<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOCC-U.US,D,20210924,000000,9.84,9.85,9.82,9.83,1562877,0
LOCC-U.US,D,20210927,000000,9.83,9.85,9.81,9.85,98506,0
LOCC-U.US,D,20210928,000000,9.84,9.84,9.82,9.84,55132,0
LOCC-U.US,D,20210929,000000,9.83,9.85,9.83,9.85,174245,0
LOCC-U.US,D,20210930,000000,9.85,9.87,9.81,9.81,90374,0
LOCC-U.US,D,20211001,000000,9.84,9.87,9.84,9.85,6027,0
LOCC-U.US,D,20211004,000000,9.85,9.87,9.85,9.87,12360,0
LOCC-U.US,D,20211005,000000,9.87,9.87,9.86,9.87,113933,0
LOCC-U.US,D,20211006,000000,9.87,9.87,9.855,9.87,15600,0
LOCC-U.US,D,20211007,000000,9.94,9.94,9.89,9.89,1698,0
LOCC-U.US,D,20211008,000000,9.87,9.89,9.87,9.89,5469,0
LOCC-U.US,D,20211011,000000,9.88,9.88,9.87,9.87,3467,0
LOCC-U.US,D,20211012,000000,9.8501,9.88,9.8501,9.88,44576,0
LOCC-U.US,D,20211013,000000,9.87,9.88,9.84,9.84,48591,0
LOCC-U.US,D,20211014,000000,9.87,9.87,9.86,9.86,22015,0
LOCC-U.US,D,20211015,000000,9.87,9.87,9.87,9.87,29822,0
LOCC-U.US,D,20211018,000000,9.87,9.87,9.87,9.87,1002,0
LOCC-U.US,D,20211019,000000,9.87,9.87,9.86,9.8601,594883,0
LOCC-U.US,D,20211020,000000,9.87,9.88,9.86,9.865,50293,0
LOCC-U.US,D,20211021,000000,9.87,9.87,9.8655,9.8693,3504,0
LOCC-U.US,D,20211025,000000,9.86,9.86,9.85,9.85,20837,0
LOCC-U.US,D,20211026,000000,9.84,9.86,9.8399,9.86,92994,0
LOCC-U.US,D,20211027,000000,9.83,9.85,9.83,9.85,600,0
LOCC-U.US,D,20211028,000000,9.87,9.87,9.86,9.86,16919,0
LOCC-U.US,D,20211029,000000,9.85,9.892,9.85,9.85,2000,0
LOCC-U.US,D,20211101,000000,9.87,9.87,9.86,9.87,1196,0
LOCC-U.US,D,20211102,000000,9.87,9.9,9.86,9.89,10531,0
LOCC-U.US,D,20211104,000000,9.951,9.951,9.88,9.88,1800,0
LOCC-U.US,D,20211105,000000,9.89,9.89,9.88,9.88,1105,0
LOCC-U.US,D,20211108,000000,9.85,9.91,9.83,9.87,33361,0
LOCC-U.US,D,20211109,000000,9.92,9.92,9.83,9.85,27201,0
LOCC-U.US,D,20211110,000000,9.9,9.909,9.83,9.84,34759,0
LOCC-U.US,D,20211111,000000,9.8816,9.9,9.84,9.84,31865,0
LOCC-U.US,D,20211112,000000,9.83,9.92,9.83,9.85,49505,0
LOCC-U.US,D,20211115,000000,9.93,10.04,9.91,10,267835,0
LOCC-U.US,D,20211116,000000,10.04,10.13,10,10.1,488223,0
LOCC-U.US,D,20211117,000000,10.1,10.21,10.1,10.15,113659,0
LOCC-U.US,D,20211118,000000,10.15,10.2,10.15,10.15,58781,0
LOCC-U.US,D,20211119,000000,10.11,10.11,10.11,10.11,100,0
LOCC-U.US,D,20211122,000000,10.17,10.2,10.16,10.1701,12362,0
LOCC-U.US,D,20211123,000000,10.19,10.24,10.19,10.23,64527,0
LOCC-U.US,D,20211124,000000,10.3,10.3,10.18,10.21,56501,0
LOCC-U.US,D,20211129,000000,10.21,10.21,10.19,10.2,3192,0
LOCC-U.US,D,20211130,000000,10.2,10.23,10.18,10.22,11126,0
LOCC-U.US,D,20211201,000000,10.24,10.24,10.1,10.19,152080,0
LOCC-U.US,D,20211202,000000,10.22,10.25,10.22,10.24,34235,0
LOCC-U.US,D,20211203,000000,10.24,10.24,10.21,10.2159,63180,0
LOCC-U.US,D,20211206,000000,10.26,10.28,10.24,10.28,144703,0
LOCC-U.US,D,20211207,000000,10.1966,10.25,10.1966,10.25,3454,0
LOCC-U.US,D,20211208,000000,10.26,10.26,10.24,10.25,118870,0
LOCC-U.US,D,20211209,000000,10.19,10.23,10.18,10.23,3631,0
LOCC-U.US,D,20211210,000000,10.08,10.24,10.07,10.22,11900,0
LOCC-U.US,D,20211213,000000,10.22,10.23,10.22,10.22,3089,0
LOCC-U.US,D,20211214,000000,10.27,10.27,10.1401,10.18,39740,0
LOCC-U.US,D,20211215,000000,10.23,10.23,10.18,10.2,510266,0
LOCC-U.US,D,20211216,000000,10.17,10.17,10.17,10.17,498,0
LOCC-U.US,D,20211217,000000,10.15,10.21,10.15,10.21,1398,0
LOCC-U.US,D,20211221,000000,10.25,10.25,10.2,10.2,32540,0
LOCC-U.US,D,20211222,000000,10.18,10.18,10.16,10.16,1625,0
LOCC-U.US,D,20211223,000000,10.12,10.17,10.05,10.16,12200,0
LOCC-U.US,D,20211227,000000,10.15,10.2,10.15,10.19,38520,0
LOCC-U.US,D,20211228,000000,10.2,10.2,10.2,10.2,500,0
LOCC-U.US,D,20211230,000000,10.195,10.27,10.16,10.27,12222,0
LOCC-U.US,D,20211231,000000,10.2,10.21,10.2,10.2,56480,0
LOCC-U.US,D,20220103,000000,10.21,10.22,10.21,10.22,13805,0
LOCC-U.US,D,20220104,000000,10.2,10.21,10.2,10.21,18300,0
LOCC-U.US,D,20220105,000000,10.2,10.2,10.14,10.14,5900,0
LOCC-U.US,D,20220106,000000,10.06,10.2,10.06,10.19,12929,0
LOCC-U.US,D,20220107,000000,10.19,10.19,10.19,10.19,588,0
LOCC-U.US,D,20220111,000000,10.0789,10.0789,10.0789,10.0789,2506,0
LOCC-U.US,D,20220112,000000,10.16,10.16,10.15,10.15,4282,0
LOCC-U.US,D,20220113,000000,10.07,10.07,10.07,10.07,1200,0
LOCC-U.US,D,20220114,000000,10.11,10.11,10.11,10.11,100,0
LOCC-U.US,D,20220118,000000,10.1222,10.1222,10.1222,10.1222,100,0
LOCC-U.US,D,20220119,000000,10.12,10.12,10.12,10.12,348,0
LOCC-U.US,D,20220121,000000,10.06,10.081,10.06,10.081,1600,0
