<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPG.US,D,20140508,000000,17.55,17.827,16.589,17.217,4044201,0
LPG.US,D,20140509,000000,17.217,17.559,17.042,17.55,317972,0
LPG.US,D,20140512,000000,17.55,17.707,17.319,17.642,161381,0
LPG.US,D,20140513,000000,17.55,17.808,16.875,17.605,107971,0
LPG.US,D,20140514,000000,17.66,17.707,17.55,17.605,51178,0
LPG.US,D,20140515,000000,17.577,17.587,16.58,17.134,399322,0
LPG.US,D,20140516,000000,17.134,17.642,17.134,17.55,72999,0
LPG.US,D,20140519,000000,17.55,17.642,17.55,17.614,51890,0
LPG.US,D,20140520,000000,17.55,17.725,17.476,17.679,47697,0
LPG.US,D,20140521,000000,17.725,18.011,17.485,17.624,51588,0
LPG.US,D,20140522,000000,17.568,18.289,17.568,18.205,56868,0
LPG.US,D,20140523,000000,18.113,18.196,18.021,18.15,55533,0
LPG.US,D,20140527,000000,18.335,18.427,18.011,18.15,50968,0
LPG.US,D,20140528,000000,18.048,18.233,18.011,18.196,60841,0
LPG.US,D,20140529,000000,18.519,18.834,18.362,18.464,332137,0
LPG.US,D,20140530,000000,18.427,18.981,18.427,18.76,528138,0
LPG.US,D,20140602,000000,18.76,19.12,18.732,18.824,331652,0
LPG.US,D,20140603,000000,19.074,19.074,18.741,19.064,312830,0
LPG.US,D,20140604,000000,18.935,19.027,18.741,18.963,284458,0
LPG.US,D,20140605,000000,19.212,19.517,18.954,19.009,151929,0
LPG.US,D,20140606,000000,19.12,20.21,18.963,19.886,213449,0
LPG.US,D,20140609,000000,19.951,20.321,19.166,19.24,215617,0
LPG.US,D,20140610,000000,19.554,20.108,19.36,20.025,242512,0
LPG.US,D,20140611,000000,20.173,20.321,19.646,20.136,347854,0
LPG.US,D,20140612,000000,20.127,20.219,19.886,20.09,142289,0
LPG.US,D,20140613,000000,20.09,20.09,19.628,19.979,117051,0
LPG.US,D,20140616,000000,20.293,20.293,18.649,19.148,420906,0
LPG.US,D,20140617,000000,19.85,20.09,19.369,19.535,380144,0
LPG.US,D,20140618,000000,19.766,21.355,19.766,20.395,541787,0
LPG.US,D,20140619,000000,20.782,21.198,20.339,20.644,441813,0
LPG.US,D,20140620,000000,20.542,21.115,20.145,20.967,319053,0
LPG.US,D,20140623,000000,21.013,21.374,20.755,21.17,327794,0
LPG.US,D,20140624,000000,21.207,21.919,21.143,21.549,490301,0
LPG.US,D,20140625,000000,21.521,21.558,20.782,20.829,215412,0
LPG.US,D,20140626,000000,21.466,21.955,21.244,21.669,251913,0
LPG.US,D,20140627,000000,21.835,21.937,21.327,21.327,1124875,0
LPG.US,D,20140630,000000,21.244,23.027,21.096,21.235,481113,0
LPG.US,D,20140701,000000,21.715,22.353,21.263,21.42,415107,0
LPG.US,D,20140702,000000,21.484,21.512,20.616,21.041,266547,0
LPG.US,D,20140703,000000,21.041,21.725,21.004,21.678,101213,0
LPG.US,D,20140707,000000,21.688,21.688,20.376,20.653,488945,0
LPG.US,D,20140708,000000,20.819,21.466,20.792,20.949,181530,0
LPG.US,D,20140709,000000,20.949,21.337,20.653,20.903,144270,0
LPG.US,D,20140710,000000,20.718,21.207,20.395,21.106,277653,0
LPG.US,D,20140711,000000,21.106,21.309,20.782,20.958,137351,0
LPG.US,D,20140714,000000,21.133,21.217,20.921,20.949,198477,0
LPG.US,D,20140715,000000,20.912,21.041,20.515,20.764,119678,0
LPG.US,D,20140716,000000,20.699,20.93,20.515,20.561,218997,0
LPG.US,D,20140717,000000,20.487,20.533,20.136,20.219,201722,0
LPG.US,D,20140718,000000,20.164,20.45,20.053,20.339,134524,0
LPG.US,D,20140721,000000,20.293,20.358,19.822,19.942,60375,0
LPG.US,D,20140722,000000,19.96,20.395,19.96,20.191,48257,0
LPG.US,D,20140723,000000,20.164,20.478,20.164,20.413,123213,0
LPG.US,D,20140724,000000,20.33,20.552,20.321,20.505,130777,0
LPG.US,D,20140725,000000,20.413,20.533,20.201,20.45,225112,0
LPG.US,D,20140728,000000,20.395,20.395,19.748,19.914,160778,0
LPG.US,D,20140729,000000,19.951,20.108,19.822,20.007,121633,0
LPG.US,D,20140730,000000,20.108,20.117,19.212,19.295,145022,0
LPG.US,D,20140731,000000,19.332,19.332,18.464,18.538,284192,0
LPG.US,D,20140801,000000,18.473,19.027,18.473,18.963,313329,0
LPG.US,D,20140804,000000,18.991,19.018,18.344,18.981,175003,0
LPG.US,D,20140805,000000,18.944,19.046,18.483,18.676,192901,0
LPG.US,D,20140806,000000,18.501,19.452,18.104,18.252,500810,0
LPG.US,D,20140807,000000,18.242,18.252,17.919,18.039,238131,0
LPG.US,D,20140808,000000,18.03,18.178,17.836,18.132,174113,0
LPG.US,D,20140811,000000,18.252,18.399,18.021,18.132,239795,0
LPG.US,D,20140812,000000,18.289,18.289,17.439,17.734,353899,0
LPG.US,D,20140813,000000,17.725,18.289,17.651,18.095,252390,0
LPG.US,D,20140814,000000,18.196,18.242,18.039,18.168,80581,0
LPG.US,D,20140815,000000,18.409,18.704,18.242,18.279,143035,0
LPG.US,D,20140818,000000,18.372,18.399,18.15,18.307,101431,0
LPG.US,D,20140819,000000,18.316,18.399,18.242,18.27,100126,0
LPG.US,D,20140820,000000,18.168,18.252,18.058,18.168,51061,0
LPG.US,D,20140821,000000,18.307,18.335,18.113,18.233,56096,0
LPG.US,D,20140822,000000,18.242,18.261,18.048,18.205,87065,0
LPG.US,D,20140825,000000,18.224,18.316,17.781,17.928,126455,0
LPG.US,D,20140826,000000,18.021,18.168,17.845,18.048,120674,0
LPG.US,D,20140827,000000,18.011,18.168,17.938,18.039,92535,0
LPG.US,D,20140828,000000,18.021,18.132,17.956,18.067,96347,0
LPG.US,D,20140829,000000,18.104,18.242,18.011,18.132,140795,0
LPG.US,D,20140902,000000,18.104,18.372,17.568,17.975,563710,0
LPG.US,D,20140903,000000,18.104,18.723,17.744,17.864,459935,0
LPG.US,D,20140904,000000,17.928,18.15,17.411,17.568,566291,0
LPG.US,D,20140905,000000,17.476,17.651,17.365,17.531,194443,0
LPG.US,D,20140908,000000,17.503,17.577,17.328,17.457,311601,0
LPG.US,D,20140909,000000,17.494,17.568,17.226,17.466,92084,0
LPG.US,D,20140910,000000,17.568,17.781,17.476,17.744,293075,0
LPG.US,D,20140911,000000,17.725,18.427,17.596,18.168,96142,0
LPG.US,D,20140912,000000,18.187,18.242,17.854,18.196,214038,0
LPG.US,D,20140915,000000,18.132,18.178,17.928,18.011,124346,0
LPG.US,D,20140916,000000,18.076,18.695,17.725,17.817,103247,0
LPG.US,D,20140917,000000,17.827,18.233,17.808,18.021,465063,0
LPG.US,D,20140918,000000,18.039,18.279,17.854,17.984,181387,0
LPG.US,D,20140919,000000,17.993,18.15,17.771,17.836,52342,0
LPG.US,D,20140922,000000,17.817,17.817,17.503,17.503,71809,0
LPG.US,D,20140923,000000,17.503,17.688,17.291,17.319,835208,0
LPG.US,D,20140924,000000,17.448,17.448,17.199,17.365,120583,0
LPG.US,D,20140925,000000,17.42,17.448,16.377,16.746,183432,0
LPG.US,D,20140926,000000,16.838,16.995,16.515,16.866,155203,0
LPG.US,D,20140929,000000,16.626,17.042,16.626,16.903,125603,0
LPG.US,D,20140930,000000,16.94,16.94,16.395,16.46,163885,0
LPG.US,D,20141001,000000,16.497,16.571,16.173,16.256,332742,0
LPG.US,D,20141002,000000,16.469,16.617,15.721,16.118,354042,0
LPG.US,D,20141003,000000,16.192,16.487,16.127,16.321,152692,0
LPG.US,D,20141006,000000,16.469,16.765,16.164,16.441,142996,0
LPG.US,D,20141007,000000,16.395,16.441,15.85,15.869,120686,0
LPG.US,D,20141008,000000,15.822,15.952,15.083,15.712,304701,0
LPG.US,D,20141009,000000,15.712,15.721,15.277,15.314,123161,0
LPG.US,D,20141010,000000,15.176,15.287,13.809,14.252,351845,0
