<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTC.US,D,20050225,000000,10.154,10.412,10.09,10.412,87010,0
LTC.US,D,20050228,000000,10.359,10.523,10.252,10.252,85429,0
LTC.US,D,20050301,000000,10.24,10.576,10.24,10.561,108619,0
LTC.US,D,20050302,000000,10.503,10.54,10.395,10.517,70652,0
LTC.US,D,20050303,000000,10.453,10.503,10.385,10.412,58181,0
LTC.US,D,20050304,000000,10.496,10.696,10.416,10.582,140081,0
LTC.US,D,20050307,000000,10.555,10.781,10.545,10.731,76986,0
LTC.US,D,20050308,000000,10.735,10.753,10.503,10.549,61515,0
LTC.US,D,20050309,000000,10.493,10.611,10.346,10.385,46223,0
LTC.US,D,20050310,000000,10.389,10.389,10.187,10.279,65209,0
LTC.US,D,20050311,000000,10.279,10.339,10.24,10.269,51505,0
LTC.US,D,20050314,000000,10.245,10.326,10.194,10.313,49390,0
LTC.US,D,20050315,000000,10.359,10.433,10.326,10.359,62044,0
LTC.US,D,20050316,000000,10.24,10.24,9.967,10.122,102650,0
LTC.US,D,20050317,000000,10.067,10.172,9.945,9.967,71887,0
LTC.US,D,20050318,000000,10.027,10.274,9.967,10.19,153619,0
LTC.US,D,20050321,000000,10.19,10.194,9.881,10.021,100005,0
LTC.US,D,20050322,000000,10.021,10.139,9.984,10.073,47637,0
LTC.US,D,20050323,000000,10.021,10.038,9.629,9.647,228320,0
LTC.US,D,20050324,000000,9.65,9.853,9.603,9.835,101066,0
LTC.US,D,20050328,000000,9.835,9.853,9.659,9.716,73123,0
LTC.US,D,20050329,000000,9.67,9.806,9.67,9.787,143601,0
LTC.US,D,20050330,000000,9.819,10.073,9.762,10.042,75039,0
LTC.US,D,20050331,000000,10.122,10.139,9.776,9.869,135690,0
LTC.US,D,20050401,000000,9.956,10.01,9.388,9.603,141841,0
LTC.US,D,20050404,000000,9.603,9.932,9.603,9.921,89818,0
LTC.US,D,20050405,000000,9.921,9.921,9.787,9.824,67326,0
LTC.US,D,20050406,000000,9.847,9.916,9.757,9.835,76282,0
LTC.US,D,20050407,000000,9.844,9.998,9.819,9.91,54132,0
LTC.US,D,20050408,000000,9.926,9.967,9.726,9.881,77697,0
LTC.US,D,20050411,000000,9.844,9.844,9.689,9.716,54828,0
LTC.US,D,20050412,000000,9.67,9.682,9.511,9.647,178049,0
LTC.US,D,20050413,000000,9.65,9.695,9.629,9.659,77157,0
LTC.US,D,20050414,000000,9.647,9.682,9.616,9.629,69080,0
LTC.US,D,20050415,000000,9.629,9.654,9.4904,9.502,95795,0
LTC.US,D,20050418,000000,9.506,9.726,9.506,9.698,326574,0
LTC.US,D,20050419,000000,9.674,9.857,9.674,9.824,365064,0
LTC.US,D,20050420,000000,9.787,10.067,9.738,10.033,452064,0
LTC.US,D,20050421,000000,10.144,10.359,10.096,10.359,222339,0
LTC.US,D,20050422,000000,10.359,10.38,10.231,10.359,139379,0
LTC.US,D,20050425,000000,10.38,10.582,10.38,10.53,86471,0
LTC.US,D,20050426,000000,10.53,10.572,10.428,10.472,98776,0
LTC.US,D,20050427,000000,10.401,10.517,10.269,10.496,87176,0
LTC.US,D,20050428,000000,10.555,10.555,10.412,10.422,46929,0
LTC.US,D,20050429,000000,10.395,10.479,10.187,10.444,96325,0
LTC.US,D,20050502,000000,10.465,10.555,10.359,10.53,63627,0
LTC.US,D,20050503,000000,10.496,10.667,10.465,10.597,80852,0
LTC.US,D,20050504,000000,10.572,10.667,10.465,10.648,276478,0
LTC.US,D,20050505,000000,10.639,10.691,10.53,10.597,84362,0
LTC.US,D,20050506,000000,10.597,10.757,10.582,10.731,188948,0
LTC.US,D,20050509,000000,10.735,11.046,10.708,11.046,223053,0
LTC.US,D,20050510,000000,11.037,11.037,10.819,10.921,146586,0
LTC.US,D,20050511,000000,10.981,10.981,10.819,10.861,102467,0
LTC.US,D,20050512,000000,10.885,11.037,10.876,11.027,128313,0
LTC.US,D,20050513,000000,11.037,11.052,10.849,10.918,124617,0
LTC.US,D,20050516,000000,10.946,11.146,10.946,11.052,182095,0
LTC.US,D,20050517,000000,11.037,11.075,10.981,11.037,66438,0
LTC.US,D,20050518,000000,11.065,11.097,10.981,11.013,168564,0
LTC.US,D,20050519,000000,10.995,11.065,10.995,11.052,253975,0
LTC.US,D,20050520,000000,11.122,11.261,11.013,11.154,97552,0
LTC.US,D,20050523,000000,11.238,11.285,11.154,11.199,119165,0
LTC.US,D,20050524,000000,11.238,11.285,11.142,11.267,114071,0
LTC.US,D,20050525,000000,11.154,11.203,10.928,10.972,128835,0
LTC.US,D,20050526,000000,10.921,10.981,10.843,10.952,154147,0
LTC.US,D,20050527,000000,10.972,11.146,10.952,11.128,78568,0
LTC.US,D,20050531,000000,11.256,11.381,11.212,11.271,223920,0
LTC.US,D,20050601,000000,11.297,11.49,11.241,11.49,81384,0
LTC.US,D,20050602,000000,11.354,11.376,11.261,11.291,90531,0
LTC.US,D,20050603,000000,11.317,11.381,11.238,11.285,79628,0
LTC.US,D,20050606,000000,11.325,11.364,11.219,11.331,171022,0
LTC.US,D,20050607,000000,11.337,11.539,11.337,11.473,241675,0
LTC.US,D,20050608,000000,11.467,11.545,11.419,11.507,115656,0
LTC.US,D,20050609,000000,11.473,11.641,11.409,11.641,72071,0
LTC.US,D,20050610,000000,11.651,11.651,11.457,11.467,38659,0
LTC.US,D,20050613,000000,11.467,11.726,11.467,11.726,128132,0
LTC.US,D,20050614,000000,11.72,11.768,11.579,11.768,123915,0
LTC.US,D,20050615,000000,11.822,12.066,11.782,12.06,117243,0
LTC.US,D,20050616,000000,12.055,12.348,12.02,12.348,101413,0
LTC.US,D,20050617,000000,12.488,12.513,12.348,12.379,145006,0
LTC.US,D,20050620,000000,12.427,12.427,12.138,12.138,78214,0
LTC.US,D,20050621,000000,12.167,12.193,11.776,11.816,100358,0
LTC.US,D,20050622,000000,11.696,11.948,11.666,11.833,292476,0
LTC.US,D,20050623,000000,11.862,11.862,11.747,11.8,153975,0
LTC.US,D,20050624,000000,11.782,11.903,11.696,11.833,316195,0
LTC.US,D,20050627,000000,11.89,11.948,11.747,11.941,262424,0
LTC.US,D,20050628,000000,11.919,11.948,11.862,11.862,218299,0
LTC.US,D,20050629,000000,11.919,11.941,11.782,11.826,107390,0
LTC.US,D,20050630,000000,11.89,11.995,11.726,11.782,125315,0
LTC.US,D,20050701,000000,11.833,12.042,11.811,12.042,79272,0
LTC.US,D,20050705,000000,12.143,12.456,12.122,12.449,136220,0
LTC.US,D,20050706,000000,12.348,12.669,12.333,12.543,122149,0
