<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAKX.US,D,20211001,000000,40,40.0176,39.61,40.0176,570,0
MAKX.US,D,20211004,000000,39.79,39.79,39.0993,39.0993,352,0
MAKX.US,D,20211005,000000,39.17,39.75,39.17,39.37,10501,0
MAKX.US,D,20211006,000000,39.03,39.29,39.03,39.29,357,0
MAKX.US,D,20211007,000000,40.1,40.42,40.1,40.2416,10038,0
MAKX.US,D,20211008,000000,40.17,40.35,39.9,40.0765,10050,0
MAKX.US,D,20211011,000000,39.9579,39.9579,39.9579,39.9579,8,0
MAKX.US,D,20211012,000000,39.96,40.04,39.91,39.9107,1056,0
MAKX.US,D,20211013,000000,40.09,40.3316,40.09,40.3316,106,0
MAKX.US,D,20211014,000000,40.59,41.2945,40.59,41.2945,150,0
MAKX.US,D,20211015,000000,41.45,41.45,41.2883,41.2883,1388,0
MAKX.US,D,20211018,000000,41.02,41.36,41.02,41.31,10535,0
MAKX.US,D,20211019,000000,41.58,42.0943,41.58,42.0943,697,0
MAKX.US,D,20211020,000000,42.19,42.19,42.1377,42.1377,207,0
MAKX.US,D,20211021,000000,42.1336,42.1336,42.1336,42.1336,119,0
MAKX.US,D,20211022,000000,41.8128,41.8128,41.8128,41.8128,82,0
MAKX.US,D,20211025,000000,42.33,42.616,42,42.616,10783,0
MAKX.US,D,20211026,000000,42.78,42.78,42.16,42.4031,10118,0
MAKX.US,D,20211027,000000,42.38,42.52,41.7969,41.7969,404,0
MAKX.US,D,20211028,000000,42,42.589,42,42.589,402,0
MAKX.US,D,20211029,000000,42.67,42.8531,42.67,42.8531,273,0
MAKX.US,D,20211101,000000,43.7616,43.7616,43.7616,43.7616,234,0
MAKX.US,D,20211102,000000,43.91,44.2936,43.91,44.2936,886,0
MAKX.US,D,20211103,000000,43.91,43.9415,43.91,43.9415,315,0
MAKX.US,D,20211104,000000,44.6896,44.6896,44.6896,44.6896,83,0
MAKX.US,D,20211105,000000,44.48,44.48,44.2455,44.31,670,0
MAKX.US,D,20211108,000000,44.69,45.0502,44.69,45.0502,505,0
MAKX.US,D,20211109,000000,44.32,44.57,43.93,44.2062,12099,0
MAKX.US,D,20211110,000000,43.96,44.14,43.06,43.117,11566,0
MAKX.US,D,20211111,000000,43.3599,43.3599,43.01,43.01,10325,0
MAKX.US,D,20211112,000000,43.29,43.41,43.18,43.29,8208,0
MAKX.US,D,20211115,000000,43.67,43.7,43.33,43.33,838,0
MAKX.US,D,20211116,000000,43.79,43.79,43.79,43.79,211,0
MAKX.US,D,20211117,000000,43.47,43.47,43.26,43.2799,758,0
MAKX.US,D,20211118,000000,43.14,43.14,42.58,42.62,950,0
MAKX.US,D,20211119,000000,42.5013,42.5013,42.5013,42.5013,29,0
MAKX.US,D,20211122,000000,41.6686,41.6686,41.6686,41.6686,58,0
MAKX.US,D,20211123,000000,41.03,41.3238,41.03,41.3238,168,0
MAKX.US,D,20211124,000000,40.71,41.0757,40.71,41.0757,717,0
MAKX.US,D,20211126,000000,40.22,40.22,40.0087,40.0087,211,0
MAKX.US,D,20211129,000000,40.451,40.7431,40.451,40.7431,199,0
MAKX.US,D,20211130,000000,40.0201,40.0201,40.0201,40.0201,54,0
MAKX.US,D,20211201,000000,39.7869,39.7869,39.6467,39.6467,223,0
MAKX.US,D,20211202,000000,39.57,39.9278,39.57,39.9278,274,0
MAKX.US,D,20211203,000000,40.27,40.27,39.8688,39.8688,223,0
MAKX.US,D,20211206,000000,40.2449,40.2449,40.2449,40.2449,145,0
MAKX.US,D,20211207,000000,41.02,41.8399,41.02,41.4592,750,0
MAKX.US,D,20211208,000000,41.75,41.75,41.7035,41.7035,565,0
MAKX.US,D,20211209,000000,41.16,41.16,40.8766,40.8766,207,0
MAKX.US,D,20211210,000000,40.76,40.78,40.76,40.78,250,0
MAKX.US,D,20211213,000000,40.6802,40.6802,40.6802,40.6802,55,0
MAKX.US,D,20211214,000000,39.94,39.95,39.93,39.93,1031,0
MAKX.US,D,20211215,000000,40.8905,40.8905,40.8905,40.8905,34,0
MAKX.US,D,20211216,000000,39.7739,39.7739,39.7739,39.7739,13,0
MAKX.US,D,20211217,000000,40.15,40.155,39.7065,39.72,528,0
MAKX.US,D,20211220,000000,39.3099,39.3302,39.3099,39.3302,355,0
MAKX.US,D,20211221,000000,40.2597,40.2597,40.2597,40.2597,35,0
MAKX.US,D,20211222,000000,40.4194,40.4194,40.4194,40.4194,61,0
MAKX.US,D,20211223,000000,40.46,40.9422,40.46,40.9422,710,0
