<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBSC-WS.US,D,20211215,000000,0.61,0.74,0.61,0.74,200,0
MBSC-WS.US,D,20211216,000000,0.6101,0.65,0.521,0.65,1134,0
MBSC-WS.US,D,20211228,000000,0.5723,0.5723,0.5326,0.5401,6095,0
MBSC-WS.US,D,20220103,000000,0.5997,0.5997,0.5997,0.5997,171,0
MBSC-WS.US,D,20220106,000000,0.58,0.58,0.58,0.58,166,0
MBSC-WS.US,D,20220107,000000,0.565,0.565,0.54,0.55,96900,0
MBSC-WS.US,D,20220110,000000,0.53,0.53,0.525,0.53,3601,0
MBSC-WS.US,D,20220111,000000,0.53,0.56,0.53,0.555,66215,0
MBSC-WS.US,D,20220112,000000,0.55,0.55,0.54,0.545,25909,0
MBSC-WS.US,D,20220114,000000,0.54,0.54,0.54,0.54,5000,0
MBSC-WS.US,D,20220119,000000,0.5,0.5001,0.5,0.5,139897,0
MBSC-WS.US,D,20220120,000000,0.4801,0.5,0.45,0.48,5663,0
