<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MC.US,D,20140416,000000,14.506,14.623,13.97,14.05,8267288,0
MC.US,D,20140417,000000,14.094,14.094,13.946,14.019,556944,0
MC.US,D,20140421,000000,14.044,14.109,13.834,13.94,264872,0
MC.US,D,20140422,000000,13.97,14.124,13.898,14.104,680592,0
MC.US,D,20140423,000000,14.019,14.474,13.916,14.44,295660,0
MC.US,D,20140424,000000,14.506,14.929,14.188,14.92,194387,0
MC.US,D,20140425,000000,14.932,14.932,14.399,14.485,261198,0
MC.US,D,20140428,000000,14.435,14.736,14.242,14.506,207459,0
MC.US,D,20140429,000000,14.506,14.506,14.188,14.48,107225,0
MC.US,D,20140430,000000,14.452,14.452,14.27,14.27,287209,0
MC.US,D,20140501,000000,14.183,14.379,14.162,14.359,190675,0
MC.US,D,20140502,000000,14.279,14.619,14.279,14.435,571816,0
MC.US,D,20140505,000000,14.469,14.469,14.077,14.327,246388,0
MC.US,D,20140506,000000,14.221,14.343,14.121,14.205,72347,0
MC.US,D,20140507,000000,14.183,14.511,14.104,14.359,108282,0
MC.US,D,20140508,000000,14.456,14.48,14.023,14.124,157182,0
MC.US,D,20140509,000000,14.077,15.118,13.97,14.804,204325,0
MC.US,D,20140512,000000,14.86,15.14,14.435,15.042,494282,0
MC.US,D,20140513,000000,15.237,15.902,15.118,15.849,222126,0
MC.US,D,20140514,000000,15.854,15.87,15.582,15.704,164104,0
MC.US,D,20140515,000000,15.582,15.973,15.466,15.66,220666,0
MC.US,D,20140516,000000,15.66,15.866,15.595,15.714,94878,0
MC.US,D,20140519,000000,15.624,16.239,15.585,16.106,179220,0
MC.US,D,20140520,000000,16.117,16.259,15.888,15.961,144083,0
MC.US,D,20140521,000000,15.936,16.225,15.936,16.17,196483,0
MC.US,D,20140522,000000,16.232,16.391,16.161,16.278,217831,0
MC.US,D,20140523,000000,16.38,16.386,16.151,16.247,48834,0
MC.US,D,20140527,000000,16.259,16.359,16.151,16.318,101909,0
MC.US,D,20140528,000000,16.332,16.332,16.17,16.266,94521,0
