<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCA.US,D,20050225,000000,7.735,7.8226,7.7291,7.8226,56405,0
MCA.US,D,20050228,000000,7.8831,7.8831,7.7888,7.7949,151764,0
MCA.US,D,20050301,000000,7.77,7.8164,7.77,7.7949,69575,0
MCA.US,D,20050302,000000,7.8164,7.8344,7.7888,7.8344,56405,0
MCA.US,D,20050303,000000,7.8399,7.8727,7.8164,7.8344,71172,0
MCA.US,D,20050304,000000,7.8537,7.8791,7.8164,7.8665,50882,0
MCA.US,D,20050307,000000,7.8727,7.8924,7.8537,7.8831,158708,0
MCA.US,D,20050308,000000,7.8889,7.8924,7.8399,7.8665,65302,0
MCA.US,D,20050309,000000,7.8831,7.8831,7.7672,7.7833,72769,0
MCA.US,D,20050310,000000,7.8043,7.8043,7.7123,7.77,62633,0
MCA.US,D,20050311,000000,7.7461,7.7461,7.673,7.673,15834,0
MCA.US,D,20050314,000000,7.6998,7.6998,7.6573,7.6573,24734,0
MCA.US,D,20050315,000000,7.6573,7.6948,7.6322,7.6322,78818,0
MCA.US,D,20050316,000000,7.6322,7.6625,7.5935,7.6209,63160,0
MCA.US,D,20050317,000000,7.6,7.6834,7.5885,7.6573,46620,0
MCA.US,D,20050318,000000,7.667,7.6899,7.6142,7.6322,30424,0
MCA.US,D,20050321,000000,7.6441,7.6573,7.6,7.6033,58356,0
MCA.US,D,20050322,000000,7.6504,7.6504,7.5885,7.5885,97498,0
MCA.US,D,20050323,000000,7.6033,7.6142,7.4926,7.5197,138247,0
MCA.US,D,20050324,000000,7.5316,7.6441,7.4989,7.5085,104434,0
MCA.US,D,20050328,000000,7.5045,7.5467,7.4468,7.4468,66012,0
MCA.US,D,20050329,000000,7.4692,7.5358,7.4584,7.5358,64228,0
MCA.US,D,20050330,000000,7.554,7.5773,7.5045,7.5085,67434,0
MCA.US,D,20050331,000000,7.554,7.6441,7.5197,7.6142,90210,0
MCA.US,D,20050401,000000,7.6998,7.7062,7.6,7.6322,115109,0
MCA.US,D,20050404,000000,7.6625,7.6625,7.5773,7.6,78818,0
MCA.US,D,20050405,000000,7.6441,7.6441,7.6079,7.6441,31317,0
MCA.US,D,20050406,000000,7.6441,7.6625,7.6209,7.6254,45011,0
MCA.US,D,20050407,000000,7.6079,7.6504,7.5885,7.6079,81133,0
MCA.US,D,20050408,000000,7.6142,7.6142,7.5649,7.5885,121167,0
MCA.US,D,20050411,000000,7.6033,7.6142,7.5709,7.5935,33629,0
MCA.US,D,20050412,000000,7.6079,7.6441,7.6,7.6079,62633,0
MCA.US,D,20050413,000000,7.6209,7.6771,7.6079,7.6441,83273,0
MCA.US,D,20050414,000000,7.6209,7.6998,7.6209,7.6899,96077,0
MCA.US,D,20050415,000000,7.7062,7.7511,7.673,7.7291,80252,0
MCA.US,D,20050418,000000,7.7291,7.777,7.7291,7.7592,73310,0
MCA.US,D,20050419,000000,7.7592,7.8012,7.7511,7.777,46086,0
MCA.US,D,20050420,000000,7.77,7.777,7.6441,7.7231,80060,0
MCA.US,D,20050421,000000,7.7291,7.7461,7.6948,7.7231,32202,0
MCA.US,D,20050422,000000,7.7592,7.7592,7.6998,7.7409,47684,0
MCA.US,D,20050425,000000,7.7543,7.77,7.7231,7.7672,39312,0
MCA.US,D,20050426,000000,7.7543,7.7672,7.7291,7.7461,50174,0
MCA.US,D,20050427,000000,7.7833,7.7949,7.7511,7.77,29187,0
MCA.US,D,20050428,000000,7.7888,7.7949,7.7543,7.7833,42517,0
MCA.US,D,20050429,000000,7.7543,7.8164,7.7543,7.8164,63343,0
MCA.US,D,20050502,000000,7.7833,7.8399,7.777,7.8399,43951,0
MCA.US,D,20050503,000000,7.8344,7.8537,7.8226,7.8399,56225,0
MCA.US,D,20050504,000000,7.81,7.8727,7.81,7.8727,75434,0
MCA.US,D,20050505,000000,7.8727,7.8924,7.8461,7.8889,62275,0
MCA.US,D,20050506,000000,7.8924,7.8924,7.81,7.8344,43767,0
MCA.US,D,20050509,000000,7.83,7.8665,7.81,7.8665,62085,0
MCA.US,D,20050510,000000,7.8599,7.8665,7.8226,7.8537,82375,0
MCA.US,D,20050511,000000,7.81,7.8344,7.7672,7.8012,114399,0
MCA.US,D,20050512,000000,7.83,7.8599,7.8164,7.8164,74191,0
MCA.US,D,20050513,000000,7.8665,7.8665,7.8043,7.8399,97331,0
MCA.US,D,20050516,000000,7.8461,7.8727,7.8164,7.8599,53735,0
MCA.US,D,20050517,000000,7.8399,7.8537,7.7543,7.83,91981,0
MCA.US,D,20050518,000000,7.8344,7.8399,7.81,7.8226,86651,0
MCA.US,D,20050519,000000,7.8399,7.8461,7.7888,7.7949,80601,0
MCA.US,D,20050520,000000,7.7888,7.8012,7.7511,7.777,78106,0
MCA.US,D,20050523,000000,7.8012,7.81,7.77,7.7949,103728,0
MCA.US,D,20050524,000000,7.7949,7.8226,7.777,7.8226,75615,0
MCA.US,D,20050525,000000,7.81,7.8226,7.8012,7.81,59076,0
MCA.US,D,20050526,000000,7.8164,7.8461,7.81,7.8461,145899,0
MCA.US,D,20050527,000000,7.8461,7.8537,7.7888,7.8226,77933,0
MCA.US,D,20050531,000000,7.8399,7.8727,7.8164,7.8665,156222,0
MCA.US,D,20050601,000000,7.8665,7.8984,7.8461,7.8791,90210,0
MCA.US,D,20050602,000000,7.8164,7.8791,7.8164,7.8599,139846,0
MCA.US,D,20050603,000000,7.8727,7.8984,7.8399,7.8399,73481,0
MCA.US,D,20050606,000000,7.8665,7.8831,7.8537,7.8831,91275,0
MCA.US,D,20050607,000000,7.8831,7.9289,7.8727,7.9176,81133,0
MCA.US,D,20050608,000000,7.9176,7.9506,7.9019,7.9289,44304,0
MCA.US,D,20050609,000000,7.8984,7.9683,7.8984,7.9357,128460,0
MCA.US,D,20050610,000000,7.9424,7.9638,7.8791,7.8791,131491,0
MCA.US,D,20050613,000000,7.9059,7.9176,7.8537,7.9019,95719,0
MCA.US,D,20050614,000000,7.8791,7.8831,7.7833,7.8665,109946,0
MCA.US,D,20050615,000000,7.8791,7.911,7.8344,7.8727,106936,0
MCA.US,D,20050616,000000,7.9019,7.911,7.8727,7.9019,34335,0
MCA.US,D,20050617,000000,7.911,7.9232,7.9019,7.9232,52666,0
MCA.US,D,20050620,000000,7.8889,7.9683,7.8889,7.911,130243,0
MCA.US,D,20050621,000000,7.9583,7.9583,7.9232,7.9232,123295,0
MCA.US,D,20050622,000000,7.9583,7.9583,7.911,7.9232,90739,0
MCA.US,D,20050623,000000,7.9424,7.9789,7.911,7.9583,123657,0
MCA.US,D,20050624,000000,7.9683,8.0633,7.9683,7.9908,122590,0
MCA.US,D,20050627,000000,8.0307,8.0487,7.9789,7.9789,134692,0
MCA.US,D,20050628,000000,7.9978,8.0101,7.9464,7.9683,80951,0
MCA.US,D,20050629,000000,7.9908,8.0172,7.9789,7.9978,34868,0
MCA.US,D,20050630,000000,8.0101,8.0393,7.9789,8.0172,147851,0
MCA.US,D,20050701,000000,8.0307,8.0443,8.0101,8.0342,103553,0
MCA.US,D,20050705,000000,8.0543,8.0592,7.9638,7.9789,106936,0
MCA.US,D,20050706,000000,8.0172,8.0487,8.0101,8.0393,135396,0
MCA.US,D,20050707,000000,8.0443,8.0633,8.0307,8.0543,79531,0
MCA.US,D,20050708,000000,8.0633,8.0911,8.0443,8.0821,97680,0
MCA.US,D,20050711,000000,8.0821,8.0964,8.0443,8.0964,109240,0
MCA.US,D,20050712,000000,8.0821,8.0821,8.0393,8.0393,80601,0
MCA.US,D,20050713,000000,8.0393,8.0696,8.0101,8.0487,82019,0
MCA.US,D,20050714,000000,8.0592,8.0592,8.0307,8.0592,59247,0
MCA.US,D,20050715,000000,8.0237,8.0543,8.0033,8.0342,64586,0
MCA.US,D,20050718,000000,8.0342,8.0393,7.9583,7.9789,79169,0
MCA.US,D,20050719,000000,8.0101,8.0101,7.9789,8.0033,54803,0
MCA.US,D,20050720,000000,8.0033,8.0487,7.9683,8.0307,114942,0
MCA.US,D,20050721,000000,8.0101,8.0592,7.9851,8.0101,70815,0
MCA.US,D,20050722,000000,8.0696,8.0762,8.0393,8.0762,22602,0
MCA.US,D,20050725,000000,8.0911,8.0911,8.0443,8.0821,37714,0
MCA.US,D,20050726,000000,8.1142,8.1435,8.0911,8.1207,69930,0
MCA.US,D,20050727,000000,8.1495,8.1874,8.1435,8.1874,43059,0
MCA.US,D,20050728,000000,8.2352,8.2975,8.1874,8.2516,149640,0
MCA.US,D,20050729,000000,8.1435,8.2239,8.1435,8.1947,160479,0
MCA.US,D,20050801,000000,8.1676,8.204,8.1604,8.1999,63696,0
MCA.US,D,20050802,000000,8.2352,8.2473,8.1775,8.204,75971,0
MCA.US,D,20050803,000000,8.204,8.2411,8.204,8.2108,45011,0
MCA.US,D,20050804,000000,8.204,8.2861,8.204,8.2352,81671,0
MCA.US,D,20050805,000000,8.1999,8.204,8.1495,8.1775,59437,0
MCA.US,D,20050808,000000,8.1564,8.1947,8.0762,8.0762,75615,0
MCA.US,D,20050809,000000,8.0964,8.1278,8.0443,8.0862,81839,0
MCA.US,D,20050810,000000,8.0911,8.1278,8.0821,8.1207,69211,0
