<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MED.US,D,20050225,000000,2.7028,2.7449,2.5928,2.5928,110346,0
MED.US,D,20050228,000000,2.3225,2.534,2.1961,2.3817,808190,0
MED.US,D,20050301,000000,2.3566,2.3987,2.2382,2.2637,291145,0
MED.US,D,20050302,000000,2.2466,2.289,2.179,2.2552,120410,0
MED.US,D,20050303,000000,2.2043,2.2805,2.1875,2.2805,146579,0
MED.US,D,20050304,000000,2.3479,2.4917,2.2466,2.4493,230404,0
MED.US,D,20050307,000000,2.4917,2.534,2.407,2.4153,160194,0
MED.US,D,20050308,000000,2.5001,2.5001,2.407,2.407,40374,0
MED.US,D,20050309,000000,2.407,2.407,2.289,2.365,50318,0
MED.US,D,20050310,000000,2.3735,2.4325,2.3058,2.3225,59790,0
MED.US,D,20050311,000000,2.365,2.365,2.2805,2.3313,71158,0
MED.US,D,20050314,000000,2.3817,2.5508,2.3395,2.4579,147763,0
MED.US,D,20050315,000000,2.4579,2.61,2.4579,2.5761,347381,0
MED.US,D,20050316,000000,2.6352,2.6605,2.5761,2.6605,195242,0
MED.US,D,20050317,000000,2.6773,2.7449,2.6691,2.6773,108102,0
MED.US,D,20050318,000000,2.7028,2.7196,2.5422,2.5589,53161,0
MED.US,D,20050321,000000,2.534,2.534,2.3141,2.4325,81341,0
MED.US,D,20050322,000000,2.4493,2.4579,2.3735,2.4153,43453,0
MED.US,D,20050323,000000,2.3735,2.4153,2.3479,2.3735,89745,0
MED.US,D,20050324,000000,2.3987,2.3987,2.3225,2.3735,49964,0
MED.US,D,20050328,000000,2.3479,2.407,2.3479,2.3735,38008,0
MED.US,D,20050329,000000,2.3395,2.3987,2.3395,2.365,31613,0
MED.US,D,20050330,000000,2.3313,2.4917,2.3313,2.4153,76962,0
MED.US,D,20050331,000000,2.4153,2.4831,2.407,2.4242,56831,0
MED.US,D,20050401,000000,2.4493,2.4917,2.4242,2.4242,81221,0
MED.US,D,20050404,000000,2.5171,2.5171,2.3735,2.3987,65828,0
MED.US,D,20050405,000000,2.4493,2.4917,2.407,2.4831,35048,0
MED.US,D,20050406,000000,2.4831,2.4831,2.365,2.3817,54579,0
MED.US,D,20050407,000000,2.4493,2.7704,2.407,2.7028,565709,0
MED.US,D,20050408,000000,2.7449,2.8294,2.7028,2.7869,275871,0
MED.US,D,20050411,000000,2.7449,2.8041,2.7112,2.7869,91523,0
MED.US,D,20050412,000000,2.8125,2.8125,2.6184,2.6605,74235,0
MED.US,D,20050413,000000,2.6266,2.7028,2.6184,2.6773,60977,0
MED.US,D,20050414,000000,2.6605,2.6941,2.6184,2.6773,56000,0
MED.US,D,20050415,000000,2.6352,2.6437,2.5845,2.6352,56000,0
MED.US,D,20050418,000000,2.6352,2.6352,2.5678,2.61,58964,0
MED.US,D,20050419,000000,2.5589,2.61,2.5422,2.61,46414,0
MED.US,D,20050420,000000,2.5508,2.5678,2.5508,2.5678,35754,0
MED.US,D,20050421,000000,2.5589,2.6859,2.5589,2.6605,67963,0
MED.US,D,20050422,000000,2.5761,2.6941,2.5761,2.6605,73763,0
MED.US,D,20050425,000000,2.6184,2.6605,2.5678,2.5761,22257,0
MED.US,D,20050426,000000,2.5761,2.6773,2.5589,2.6691,50794,0
MED.US,D,20050427,000000,2.6859,2.6859,2.5761,2.6605,32205,0
MED.US,D,20050428,000000,2.6184,2.6184,2.534,2.5761,87736,0
MED.US,D,20050429,000000,2.5678,2.652,2.5678,2.6184,29125,0
MED.US,D,20050502,000000,2.6013,2.6184,2.5761,2.5845,20247,0
MED.US,D,20050503,000000,2.5678,2.6437,2.534,2.5845,54700,0
MED.US,D,20050504,000000,2.5422,2.6437,2.5422,2.6266,62753,0
MED.US,D,20050505,000000,2.5761,2.6691,2.5761,2.6605,47594,0
MED.US,D,20050506,000000,2.6691,2.7366,2.6605,2.7278,44755,0
MED.US,D,20050509,000000,2.7449,2.7869,2.7112,2.7449,38951,0
MED.US,D,20050510,000000,2.6605,2.7619,2.534,2.7196,66421,0
MED.US,D,20050511,000000,2.7196,2.7196,2.5422,2.6352,92824,0
MED.US,D,20050512,000000,2.4917,2.6184,2.4917,2.6184,30192,0
MED.US,D,20050513,000000,2.5928,2.6013,2.5589,2.5845,30073,0
MED.US,D,20050516,000000,2.5589,2.5761,2.4917,2.5508,41913,0
MED.US,D,20050517,000000,2.5254,2.5254,2.3904,2.407,106912,0
MED.US,D,20050518,000000,2.3817,2.5171,2.3817,2.4408,57544,0
MED.US,D,20050519,000000,2.5254,2.5678,2.4917,2.5589,56594,0
MED.US,D,20050520,000000,2.4747,2.6013,2.4747,2.5678,14205,0
MED.US,D,20050523,000000,2.5761,2.5928,2.4831,2.4917,32798,0
MED.US,D,20050524,000000,2.5254,2.5678,2.4579,2.4661,37060,0
MED.US,D,20050525,000000,2.5171,2.5761,2.4917,2.5508,38596,0
MED.US,D,20050526,000000,2.5508,2.6184,2.5508,2.61,39663,0
MED.US,D,20050527,000000,2.5422,2.61,2.5083,2.534,39191,0
MED.US,D,20050531,000000,2.534,2.61,2.4917,2.5928,13022,0
MED.US,D,20050601,000000,2.534,2.6013,2.5254,2.6013,27824,0
MED.US,D,20050602,000000,2.5761,2.5761,2.5422,2.5761,13735,0
MED.US,D,20050603,000000,2.5589,2.5928,2.5508,2.5845,33979,0
MED.US,D,20050606,000000,2.5845,2.5845,2.5001,2.534,46885,0
MED.US,D,20050607,000000,2.4493,2.534,2.4493,2.5254,41559,0
MED.US,D,20050608,000000,2.534,2.534,2.4917,2.5001,30899,0
MED.US,D,20050609,000000,2.4917,2.4917,2.4325,2.4579,44520,0
MED.US,D,20050610,000000,2.4325,2.4917,2.4325,2.4747,50318,0
MED.US,D,20050613,000000,2.4661,2.5508,2.4579,2.5422,63347,0
MED.US,D,20050614,000000,2.534,2.6013,2.534,2.5928,49490,0
MED.US,D,20050615,000000,2.5083,2.5761,2.4747,2.5589,33623,0
MED.US,D,20050616,000000,2.5845,2.5845,2.5254,2.5761,74943,0
MED.US,D,20050617,000000,2.4917,2.5845,2.4917,2.5589,46764,0
MED.US,D,20050620,000000,2.4917,2.534,2.4917,2.534,23322,0
MED.US,D,20050621,000000,2.5254,2.5254,2.4917,2.5171,24508,0
MED.US,D,20050622,000000,2.5254,2.5254,2.4747,2.5083,40135,0
MED.US,D,20050623,000000,2.5254,2.534,2.4747,2.5083,29602,0
MED.US,D,20050624,000000,2.4579,2.5083,2.4579,2.4747,17289,0
MED.US,D,20050627,000000,2.5083,2.5083,2.4579,2.4747,17881,0
MED.US,D,20050628,000000,2.5083,2.5254,2.4579,2.5171,28056,0
MED.US,D,20050629,000000,2.534,2.5761,2.5171,2.5589,85243,0
MED.US,D,20050630,000000,2.5761,2.5845,2.534,2.5678,38008,0
MED.US,D,20050701,000000,2.534,2.5845,2.534,2.5845,25220,0
MED.US,D,20050705,000000,2.5845,2.5928,2.534,2.5422,16221,0
MED.US,D,20050706,000000,2.5589,3.3615,2.5422,3.3615,968149,0
MED.US,D,20050707,000000,3.277,3.9189,3.125,3.674,727443,0
MED.US,D,20050708,000000,3.7585,3.7585,3.4208,3.6148,334834,0
MED.US,D,20050711,000000,3.539,4.0457,3.539,4.0457,443048,0
MED.US,D,20050712,000000,4.0709,4.6624,4.0541,4.5606,928719,0
MED.US,D,20050713,000000,4.6791,4.6874,4.223,4.5606,484963,0
MED.US,D,20050714,000000,4.5437,4.6367,4.0625,4.3667,479039,0
MED.US,D,20050715,000000,4.3075,4.8482,4.3075,4.8058,483184,0
MED.US,D,20050718,000000,4.924,5.4394,4.8142,5.3039,1006745,0
MED.US,D,20050719,000000,5.4306,5.4306,4.9832,5.152,330096,0
MED.US,D,20050720,000000,5.152,5.279,4.8986,5.2196,247929,0
MED.US,D,20050721,000000,5.152,5.245,4.9832,5.0593,146579,0
MED.US,D,20050722,000000,5.0508,5.4055,5.0085,5.3631,408597,0
MED.US,D,20050725,000000,5.397,5.6251,5.3209,5.6251,476556,0
MED.US,D,20050726,000000,5.6843,5.6926,5.0762,5.2701,329385,0
MED.US,D,20050727,000000,5.0846,5.3293,4.7975,5,475016,0
MED.US,D,20050728,000000,5.3039,5.5321,5.279,5.4476,372248,0
MED.US,D,20050729,000000,5.3209,5.3631,5.11,5.279,129293,0
MED.US,D,20050801,000000,5.279,5.279,5.1013,5.1942,214540,0
MED.US,D,20050802,000000,5.169,5.169,4.865,5.0677,298957,0
MED.US,D,20050803,000000,5.0677,5.2365,5.0337,5.2365,124436,0
MED.US,D,20050804,000000,5.2365,5.2872,5.1353,5.2113,188728,0
MED.US,D,20050805,000000,5.169,5.3293,5.152,5.3209,172152,0
MED.US,D,20050808,000000,5.397,5.988,5.3631,5.9797,659482,0
MED.US,D,20050809,000000,6.115,6.2415,5.3209,5.3802,491947,0
MED.US,D,20050810,000000,4.4597,4.4597,3.4462,3.4711,1539540,0
MED.US,D,20050811,000000,3.7162,3.8346,3.5728,3.8175,437840,0
MED.US,D,20050812,000000,3.8851,3.9949,3.6235,3.6824,198083,0
MED.US,D,20050815,000000,3.6824,3.7922,3.3869,3.7416,198673,0
MED.US,D,20050816,000000,3.7416,3.9698,3.7416,3.7836,226260,0
MED.US,D,20050817,000000,3.767,3.9359,3.767,3.8598,118636,0
MED.US,D,20050818,000000,3.8598,3.8598,3.5135,3.5472,291027,0
MED.US,D,20050819,000000,3.5135,3.7416,3.5135,3.6824,139354,0
MED.US,D,20050822,000000,3.674,3.7416,3.4292,3.4883,215131,0
MED.US,D,20050823,000000,3.6064,3.6235,3.4799,3.5728,150722,0
MED.US,D,20050824,000000,3.5981,3.5981,3.4036,3.4036,85721,0
MED.US,D,20050825,000000,3.412,3.5472,3.4036,3.412,121121,0
MED.US,D,20050826,000000,3.4462,3.5051,3.4208,3.4799,59200,0
MED.US,D,20050829,000000,3.4711,3.5051,3.378,3.4208,77553,0
MED.US,D,20050830,000000,3.3954,3.4965,3.3954,3.4711,87259,0
MED.US,D,20050831,000000,3.463,3.4711,3.412,3.4711,71514,0
MED.US,D,20050901,000000,3.4883,3.674,3.4711,3.674,75420,0
MED.US,D,20050902,000000,3.674,3.674,3.6148,3.6402,34690,0
MED.US,D,20050906,000000,3.6319,3.801,3.6319,3.7754,50200,0
MED.US,D,20050907,000000,3.7754,3.7754,3.5302,3.5811,97089,0
MED.US,D,20050908,000000,3.5135,3.539,3.0404,3.2938,390362,0
MED.US,D,20050909,000000,3.3533,3.5896,3.2938,3.5728,145037,0
MED.US,D,20050912,000000,3.5896,3.6148,3.5302,3.5559,43925,0
MED.US,D,20050913,000000,3.5811,3.6572,3.5559,3.5559,60977,0
MED.US,D,20050914,000000,3.6064,3.6572,3.5728,3.5981,22971,0
MED.US,D,20050915,000000,3.674,3.674,3.5472,3.6319,42270,0
MED.US,D,20050916,000000,3.6824,3.6824,3.3954,3.4711,96258,0
MED.US,D,20050919,000000,3.5051,3.5051,3.2519,3.378,174167,0
MED.US,D,20050920,000000,3.5051,3.5051,3.2938,3.378,64763,0
MED.US,D,20050921,000000,3.378,3.4375,3.2519,3.3615,71158,0
MED.US,D,20050922,000000,3.3701,3.378,3.2519,3.2855,49607,0
MED.US,D,20050923,000000,3.2855,3.3444,3.218,3.277,60502,0
MED.US,D,20050926,000000,3.2519,3.378,3.2519,3.2938,50794,0
MED.US,D,20050927,000000,3.3277,3.3615,3.3107,3.3277,24270,0
MED.US,D,20050928,000000,3.2938,3.5472,3.2938,3.463,97560,0
MED.US,D,20050929,000000,3.4462,3.463,3.3363,3.4208,58132,0
MED.US,D,20050930,000000,3.378,3.412,3.3363,3.378,30307,0
MED.US,D,20051003,000000,3.3363,3.4208,3.1672,3.277,142552,0
MED.US,D,20051004,000000,3.2855,3.3024,3.2094,3.2519,111295,0
MED.US,D,20051005,000000,3.2855,3.3869,3.1672,3.3277,148473,0
MED.US,D,20051006,000000,3.2938,3.4208,3.218,3.3363,160548,0
MED.US,D,20051007,000000,3.378,3.5302,3.3533,3.412,133082,0
MED.US,D,20051010,000000,3.378,3.5302,3.378,3.5135,118044,0
MED.US,D,20051011,000000,3.4292,3.4799,3.3869,3.4711,52568,0
MED.US,D,20051012,000000,3.4711,3.4883,3.3869,3.4799,73643,0
MED.US,D,20051013,000000,3.4711,3.4711,3.3869,3.4208,80866,0
MED.US,D,20051014,000000,3.4036,3.4799,3.4036,3.4375,62988,0
MED.US,D,20051017,000000,3.3533,3.4545,3.2938,3.3192,141723,0
MED.US,D,20051018,000000,3.3107,3.412,3.2938,3.3192,40257,0
MED.US,D,20051019,000000,3.2938,3.378,3.2094,3.2855,45583,0
MED.US,D,20051020,000000,3.3869,3.412,3.2938,3.2938,112716,0
MED.US,D,20051021,000000,3.3363,3.3701,3.2938,3.3024,55530,0
MED.US,D,20051024,000000,3.3701,3.378,3.2938,3.2938,45466,0
MED.US,D,20051025,000000,3.2938,3.3615,3.2855,3.2855,33743,0
MED.US,D,20051026,000000,3.3615,3.378,3.2686,3.277,41438,0
MED.US,D,20051027,000000,3.2938,3.2938,3.2348,3.2603,36824,0
MED.US,D,20051028,000000,3.2432,3.2938,3.2094,3.2348,27470,0
MED.US,D,20051031,000000,3.2094,3.277,3.201,3.277,27470,0
MED.US,D,20051101,000000,3.2938,3.3701,3.2938,3.3107,17757,0
MED.US,D,20051102,000000,3.3192,3.3701,3.2264,3.2938,42862,0
MED.US,D,20051103,000000,3.3363,3.412,3.2519,3.3533,73881,0
MED.US,D,20051104,000000,3.3869,3.8513,3.378,3.7585,189675,0
MED.US,D,20051107,000000,3.7585,4.0961,3.7585,3.8428,363603,0
MED.US,D,20051108,000000,3.8851,3.9272,3.125,3.5728,128342,0
MED.US,D,20051109,000000,3.4965,3.8682,3.4965,3.7081,203526,0
MED.US,D,20051110,000000,3.9866,4.4004,3.8428,4.3919,855196,0
MED.US,D,20051111,000000,4.2483,4.3243,4.0541,4.2651,403032,0
MED.US,D,20051114,000000,4.2992,4.7297,4.223,4.6791,501774,0
MED.US,D,20051115,000000,4.6791,4.6791,4.4766,4.485,197607,0
MED.US,D,20051116,000000,4.485,4.5606,4.3919,4.4597,130594,0
MED.US,D,20051117,000000,4.223,4.4597,4.223,4.3502,211459,0
MED.US,D,20051118,000000,4.3502,4.5189,4.2992,4.4597,152618,0
MED.US,D,20051121,000000,4.51,4.5695,4.4597,4.5606,71039,0
MED.US,D,20051122,000000,4.5606,4.5606,4.4004,4.4086,85367,0
MED.US,D,20051123,000000,4.4509,4.5358,4.3919,4.4086,102296,0
MED.US,D,20051125,000000,4.3502,4.3836,4.1385,4.3243,65947,0
MED.US,D,20051128,000000,4.3502,4.5358,4.3502,4.5189,136039,0
MED.US,D,20051129,000000,4.5189,4.6454,4.4339,4.5695,142788,0
MED.US,D,20051130,000000,4.4597,4.5695,4.3919,4.5528,71867,0
MED.US,D,20051201,000000,4.5606,4.9664,4.5189,4.7804,166823,0
MED.US,D,20051202,000000,4.7804,4.8564,4.7046,4.7889,103011,0
MED.US,D,20051205,000000,4.7721,4.8482,4.6537,4.8142,91285,0
MED.US,D,20051206,000000,4.7721,4.8142,4.7046,4.7297,51386,0
MED.US,D,20051207,000000,4.7385,4.7975,4.7385,4.7466,38835,0
MED.US,D,20051208,000000,4.7046,4.7385,4.4004,4.4259,165759,0
MED.US,D,20051209,000000,4.5606,4.5776,4.4004,4.5528,84419,0
MED.US,D,20051212,000000,4.5606,4.7128,4.5606,4.6537,67724,0
MED.US,D,20051213,000000,4.6454,4.6454,4.5268,4.6367,35754,0
MED.US,D,20051214,000000,4.6285,4.6285,4.4259,4.485,83116,0
MED.US,D,20051215,000000,4.5189,4.5189,4.358,4.4173,74473,0
MED.US,D,20051216,000000,4.4339,4.4933,4.3919,4.4173,47835,0
MED.US,D,20051219,000000,4.3667,4.4766,4.2821,4.3667,49253,0
MED.US,D,20051220,000000,4.3075,4.4339,4.2905,4.3747,63107,0
MED.US,D,20051221,000000,4.3919,4.5189,4.358,4.485,58372,0
MED.US,D,20051222,000000,4.51,4.6454,4.51,4.6115,71867,0
MED.US,D,20051223,000000,4.6285,4.6367,4.4766,4.5528,40257,0
MED.US,D,20051227,000000,4.6367,4.6367,4.5016,4.51,43332,0
MED.US,D,20051228,000000,4.5189,4.5776,4.4933,4.5268,52688,0
MED.US,D,20051229,000000,4.5189,4.5189,4.4339,4.4339,43216,0
MED.US,D,20051230,000000,4.4086,4.5437,4.3075,4.4259,75654,0
MED.US,D,20060103,000000,4.3919,4.5862,4.3919,4.5606,61567,0
