<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEME.US,D,20211209,000000,16.22,16.35,15.1801,15.241,57254,0
MEME.US,D,20211210,000000,15.3,15.435,14.64,14.83,60516,0
MEME.US,D,20211213,000000,15.05,15.05,14.0701,14.3822,25591,0
MEME.US,D,20211214,000000,14,14.31,13.75,14.09,16865,0
MEME.US,D,20211215,000000,14.07,14.49,13.57,14.49,18286,0
MEME.US,D,20211216,000000,14.68,14.68,13.82,13.9249,13061,0
MEME.US,D,20211217,000000,13.65,14.65,13.38,14.53,16729,0
MEME.US,D,20211220,000000,14.13,14.3,13.9699,14.063,8921,0
MEME.US,D,20211221,000000,14.26,14.6173,14.22,14.56,11183,0
MEME.US,D,20211222,000000,14.41,14.6,14.34,14.423,4311,0
MEME.US,D,20211223,000000,14.41,14.6935,14.18,14.6935,3404,0
MEME.US,D,20211227,000000,14.71,14.7649,14.64,14.685,3008,0
MEME.US,D,20211228,000000,14.64,14.64,14.1201,14.1609,3493,0
MEME.US,D,20211229,000000,14,14.0001,13.745,13.8878,18514,0
MEME.US,D,20211230,000000,14.27,14.605,14.27,14.3789,5237,0
MEME.US,D,20211231,000000,14.37,14.45,14.02,14.061,7087,0
MEME.US,D,20220103,000000,14.2,14.2801,13.85,14.1254,5031,0
MEME.US,D,20220104,000000,14.09,14.09,13.4692,13.7135,9147,0
MEME.US,D,20220105,000000,13.66,13.66,12.74,12.7442,16221,0
MEME.US,D,20220106,000000,12.77,12.84,12.08,12.8141,39413,0
MEME.US,D,20220107,000000,12.94,13.222,12.73,12.966,7585,0
MEME.US,D,20220110,000000,12.87,12.87,12.46,12.819,3528,0
MEME.US,D,20220111,000000,12.8256,13.425,12.81,13.3451,5067,0
MEME.US,D,20220112,000000,13.39,13.5,13.21,13.2383,2104,0
MEME.US,D,20220113,000000,12.9599,12.9599,12.4884,12.4906,2931,0
MEME.US,D,20220114,000000,12.47,12.47,12.27,12.4178,2347,0
MEME.US,D,20220118,000000,12.09,12.2801,11.85,11.9334,4984,0
MEME.US,D,20220119,000000,11.93,11.9501,11.67,11.6704,1842,0
MEME.US,D,20220120,000000,11.78,12.15,11.3776,11.3776,2003,0
MEME.US,D,20220121,000000,11.21,11.2301,10.66,10.846,4192,0
