<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MET.US,D,20000405,000000,9.0003,9.775,8.8848,9.621,108183872,0
MET.US,D,20000406,000000,9.537,9.849,9.4615,9.658,24093873,0
MET.US,D,20000407,000000,9.537,9.658,9.3857,9.501,21236181,0
MET.US,D,20000410,000000,9.585,9.621,9.4615,9.585,8876673,0
MET.US,D,20000411,000000,9.501,9.537,9.347,9.3857,8543947,0
MET.US,D,20000412,000000,9.4615,10.395,9.3857,10.044,17079706,0
MET.US,D,20000413,000000,10.084,10.707,9.889,10.548,16732496,0
MET.US,D,20000414,000000,10.51,10.548,9.81,9.849,14959742,0
MET.US,D,20000417,000000,9.93,10.197,9.93,10.009,5546271,0
MET.US,D,20000418,000000,10.044,10.121,9.621,10.009,8538431,0
MET.US,D,20000419,000000,10.044,10.044,9.775,9.93,8422537,0
MET.US,D,20000420,000000,9.775,9.889,9.537,9.585,10884052,0
MET.US,D,20000424,000000,9.621,9.93,9.585,9.889,4904755,0
MET.US,D,20000425,000000,9.889,10.044,9.849,9.93,11664139,0
MET.US,D,20000426,000000,9.889,9.973,9.849,9.973,9356159,0
MET.US,D,20000427,000000,9.889,9.93,9.621,9.889,3912872,0
MET.US,D,20000428,000000,9.889,10.472,9.537,10.274,9792497,0
MET.US,D,20000501,000000,10.624,11.17,10.472,11.17,9270178,0
MET.US,D,20000502,000000,10.935,11.135,10.783,11.057,4932782,0
MET.US,D,20000503,000000,11.018,11.057,10.707,10.861,3120664,0
MET.US,D,20000504,000000,10.783,10.861,10.044,10.861,5400771,0
MET.US,D,20000505,000000,10.707,11.057,10.588,10.899,2868240,0
MET.US,D,20000508,000000,11.094,11.522,11.057,11.17,4562582,0
MET.US,D,20000509,000000,11.285,11.405,10.395,10.624,6667586,0
MET.US,D,20000510,000000,10.548,11.057,10.548,10.899,5170396,0
MET.US,D,20000511,000000,10.935,11.361,10.783,11.17,4719889,0
MET.US,D,20000512,000000,11.246,11.522,11.21,11.446,3034689,0
MET.US,D,20000515,000000,11.793,11.944,11.556,11.754,4246542,0
MET.US,D,20000516,000000,11.793,12.142,11.671,11.832,7846057,0
MET.US,D,20000517,000000,11.832,12.22,11.405,11.832,2483557,0
MET.US,D,20000518,000000,11.793,11.866,11.595,11.742,4501328,0
MET.US,D,20000519,000000,11.479,11.479,11.094,11.285,6035044,0
MET.US,D,20000522,000000,11.321,11.405,10.783,11.321,2696921,0
MET.US,D,20000523,000000,11.321,11.793,11.321,11.711,3297181,0
MET.US,D,20000524,000000,11.711,12.106,11.556,12.022,2477093,0
MET.US,D,20000525,000000,11.983,12.022,11.636,11.909,2728411,0
MET.US,D,20000526,000000,11.866,12.295,11.754,12.256,4164344,0
MET.US,D,20000530,000000,12.372,12.494,12.106,12.331,5084576,0
MET.US,D,20000531,000000,12.331,12.719,12.022,12.719,5589416,0
MET.US,D,20000601,000000,12.683,12.719,12.372,12.407,4532500,0
MET.US,D,20000602,000000,13.029,13.069,12.641,13.029,5426435,0
MET.US,D,20000605,000000,12.719,12.953,12.641,12.759,3741866,0
MET.US,D,20000606,000000,12.953,12.953,12.641,12.683,4651391,0
MET.US,D,20000607,000000,12.719,12.839,12.608,12.839,1452468,0
MET.US,D,20000608,000000,12.759,12.795,12.568,12.683,1520020,0
MET.US,D,20000609,000000,12.719,13.029,12.719,13.029,1884550,0
MET.US,D,20000612,000000,12.88,12.918,12.22,12.683,1688979,0
MET.US,D,20000613,000000,12.839,12.918,12.528,12.918,1535134,0
MET.US,D,20000614,000000,12.759,12.795,12.295,12.407,3638100,0
MET.US,D,20000615,000000,12.407,12.568,12.331,12.407,3943578,0
MET.US,D,20000616,000000,12.528,12.568,12.256,12.447,5042220,0
MET.US,D,20000619,000000,12.407,12.494,12.256,12.407,2008480,0
MET.US,D,20000620,000000,12.331,12.447,11.522,11.671,4601312,0
MET.US,D,20000621,000000,11.671,11.866,11.246,11.479,3847680,0
MET.US,D,20000622,000000,11.595,12.106,11.479,11.909,3091535,0
MET.US,D,20000623,000000,11.793,12.106,11.636,11.983,3403786,0
MET.US,D,20000626,000000,12.407,12.494,11.866,11.909,2663856,0
MET.US,D,20000627,000000,12.058,12.719,11.909,12.331,3215931,0
MET.US,D,20000628,000000,12.568,12.683,12.022,12.18,5547373,0
MET.US,D,20000629,000000,12.331,13.382,12.18,13.227,7738982,0
MET.US,D,20000630,000000,13.495,13.614,11.793,13.014,6952751,0
MET.US,D,20000703,000000,12.88,13.341,12.839,13.265,1294367,0
MET.US,D,20000705,000000,13.191,13.191,12.719,13.109,3224904,0
MET.US,D,20000706,000000,12.795,13.655,12.759,13.579,2475835,0
MET.US,D,20000707,000000,13.495,13.69,13.458,13.579,2347028,0
MET.US,D,20000710,000000,13.495,13.579,13.304,13.304,1295473,0
