<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIO.US,D,20210809,000000,20.004,20.054,19.995,20.044,110932,0
MIO.US,D,20210810,000000,20.014,20.054,19.995,20.044,112970,0
MIO.US,D,20210811,000000,20.064,20.064,20.004,20.054,122924,0
MIO.US,D,20210812,000000,20.054,20.054,20.014,20.034,206653,0
MIO.US,D,20210813,000000,20.014,20.034,19.985,20.014,188863,0
MIO.US,D,20210816,000000,19.995,20.044,19.995,20.024,120809,0
MIO.US,D,20210817,000000,20.024,20.024,19.965,19.985,98061,0
MIO.US,D,20210818,000000,19.995,20.004,19.965,19.965,79150,0
MIO.US,D,20210819,000000,19.965,19.985,19.965,19.975,390749,0
MIO.US,D,20210820,000000,19.985,19.985,19.975,19.985,30395,0
MIO.US,D,20210823,000000,19.985,20.189,19.985,20.114,40756,0
MIO.US,D,20210824,000000,20.024,20.114,20.024,20.084,15936,0
MIO.US,D,20210825,000000,20.104,20.154,20.104,20.134,8689,0
MIO.US,D,20210826,000000,20.144,20.144,20.064,20.134,10003,0
MIO.US,D,20210827,000000,20.084,20.134,20.044,20.134,3769,0
MIO.US,D,20210830,000000,20.124,20.154,20.064,20.084,7208,0
MIO.US,D,20210831,000000,20.034,20.149,20.025,20.114,16045,0
MIO.US,D,20210901,000000,20.074,20.134,20.044,20.134,11324,0
MIO.US,D,20210902,000000,20.144,20.154,19.995,20.024,48211,0
MIO.US,D,20210903,000000,20.077,20.077,19.995,20.064,31464,0
MIO.US,D,20210907,000000,20.064,20.141,19.965,20.064,12346,0
MIO.US,D,20210908,000000,19.975,20.054,19.975,20.044,12252,0
MIO.US,D,20210909,000000,20.104,20.354,20.019,20.084,25430,0
MIO.US,D,20210910,000000,20.124,20.124,20.044,20.044,5565,0
MIO.US,D,20210913,000000,20.064,20.164,20.063,20.114,14451,0
MIO.US,D,20210914,000000,20.264,20.395,20.154,20.154,15001,0
MIO.US,D,20210915,000000,20.079,20.154,20.004,20.064,31269,0
MIO.US,D,20210916,000000,20.074,20.124,20.014,20.074,7793,0
MIO.US,D,20210917,000000,20.064,20.114,19.995,20.034,16734,0
MIO.US,D,20210920,000000,19.975,20.064,19.835,20.014,35326,0
MIO.US,D,20210921,000000,19.985,20.064,19.895,19.965,14326,0
MIO.US,D,20210922,000000,20.064,20.064,19.975,20.014,6687,0
MIO.US,D,20210923,000000,20.114,20.174,19.997,20.064,12723,0
MIO.US,D,20210924,000000,20.064,20.174,20.049,20.154,53432,0
MIO.US,D,20210927,000000,20.104,20.154,19.965,20.054,6138,0
MIO.US,D,20210928,000000,19.965,20.114,19.965,20.114,11071,0
MIO.US,D,20210929,000000,20.094,20.094,19.965,20.004,11522,0
MIO.US,D,20210930,000000,19.965,20.354,19.765,20.354,114557,0
MIO.US,D,20211001,000000,20.264,20.264,19.825,20.264,7967,0
MIO.US,D,20211004,000000,20.252,20.252,19.785,19.795,10953,0
MIO.US,D,20211005,000000,20.114,20.114,19.745,19.745,6535,0
MIO.US,D,20211006,000000,19.865,20.003,19.785,19.854,23943,0
MIO.US,D,20211007,000000,19.885,19.885,19.8,19.81,11903,0
MIO.US,D,20211008,000000,19.805,19.865,19.805,19.865,9550,0
MIO.US,D,20211011,000000,19.745,19.865,19.745,19.865,3276,0
MIO.US,D,20211012,000000,19.745,19.865,19.266,19.865,5067,0
MIO.US,D,20211013,000000,19.585,19.865,19.585,19.865,5874,0
MIO.US,D,20211014,000000,19.939,19.965,19.865,19.965,22785,0
MIO.US,D,20211015,000000,19.965,19.965,19.605,19.715,13608,0
MIO.US,D,20211018,000000,19.952,19.952,19.47,19.8376,11563,0
MIO.US,D,20211019,000000,19.945,19.945,19.6002,19.65,5934,0
MIO.US,D,20211020,000000,20,20,19.68,19.74,11576,0
MIO.US,D,20211021,000000,19.74,19.75,19.55,19.63,9088,0
MIO.US,D,20211022,000000,19.76,19.76,19.61,19.6263,8089,0
MIO.US,D,20211025,000000,19.5225,19.64,19.26,19.55,14339,0
MIO.US,D,20211026,000000,19.68,19.68,19.0252,19.17,16197,0
MIO.US,D,20211027,000000,19.5206,19.5206,19.04,19.2,23484,0
MIO.US,D,20211028,000000,18.98,19.06,18.11,18.95,50742,0
MIO.US,D,20211029,000000,19.06,19.28,18.9162,19.13,24853,0
MIO.US,D,20211101,000000,18.9939,19.25,18.8705,19.23,20818,0
MIO.US,D,20211102,000000,19.25,19.42,19.105,19.105,9663,0
MIO.US,D,20211103,000000,19.11,19.24,18.6,18.9,8921,0
MIO.US,D,20211104,000000,18.7713,19.0513,18.645,18.9,26022,0
MIO.US,D,20211105,000000,18.85,19.36,18.85,19.25,26972,0
MIO.US,D,20211108,000000,19,19.48,18.9,19.1,51808,0
MIO.US,D,20211109,000000,19.11,19.19,18.8419,19.05,21640,0
MIO.US,D,20211110,000000,19.04,19.04,18.68,18.93,23482,0
MIO.US,D,20211111,000000,19.09,19.09,18.61,18.715,29944,0
MIO.US,D,20211112,000000,18.57,18.8,18.57,18.7,39871,0
MIO.US,D,20211115,000000,18.78,18.8,18.53,18.61,36336,0
MIO.US,D,20211116,000000,18.77,18.78,18.5,18.52,39530,0
MIO.US,D,20211117,000000,18.54,18.5834,18.3325,18.38,47762,0
MIO.US,D,20211118,000000,18.3,18.44,18.3,18.42,34999,0
MIO.US,D,20211119,000000,18.28,18.58,18.15,18.25,108076,0
MIO.US,D,20211122,000000,18.245,18.3516,18.11,18.24,122845,0
MIO.US,D,20211123,000000,18.163,18.35,18.1,18.1,116272,0
MIO.US,D,20211124,000000,18.2,18.295,18.05,18.15,69881,0
MIO.US,D,20211126,000000,17.8,18.21,17.8,18.14,24537,0
MIO.US,D,20211129,000000,18.03,18.2782,18.03,18.24,122782,0
MIO.US,D,20211130,000000,18.35,18.49,18.35,18.45,46376,0
MIO.US,D,20211201,000000,18.36,18.49,18.0147,18.43,52416,0
MIO.US,D,20211202,000000,18.3,18.4,17.91,18.22,82135,0
MIO.US,D,20211203,000000,18.13,18.69,18.0709,18.12,118333,0
MIO.US,D,20211206,000000,18.137,18.41,18.0239,18.255,75907,0
MIO.US,D,20211207,000000,18.15,18.37,18.15,18.29,138324,0
MIO.US,D,20211208,000000,18.2035,18.4,18.1525,18.32,240268,0
MIO.US,D,20211209,000000,18.28,18.28,18.11,18.18,183197,0
MIO.US,D,20211210,000000,18.2,18.3146,18.075,18.27,79659,0
MIO.US,D,20211213,000000,18.14,18.32,18.12,18.24,264607,0
MIO.US,D,20211214,000000,18.14,18.27,18.14,18.22,173434,0
MIO.US,D,20211215,000000,18.2782,18.3193,18.15,18.25,198551,0
MIO.US,D,20211216,000000,18.25,18.77,18.19,18.5,170250,0
MIO.US,D,20211217,000000,18.53,18.53,18.175,18.31,78884,0
MIO.US,D,20211220,000000,18.27,18.315,18.2,18.23,124642,0
MIO.US,D,20211221,000000,18.35,18.47,18.2,18.38,210391,0
MIO.US,D,20211222,000000,18.24,18.44,18.24,18.41,133346,0
MIO.US,D,20211223,000000,18.47,18.49,18.31,18.49,148044,0
MIO.US,D,20211227,000000,18.46,18.61,18.41,18.55,181309,0
MIO.US,D,20211228,000000,18.46,18.58,18.34,18.42,172715,0
MIO.US,D,20211229,000000,18.4,18.44,18.15,18.3,375375,0
MIO.US,D,20211230,000000,18.2,18.6,18.2,18.31,350985,0
MIO.US,D,20211231,000000,18.2807,18.41,18.24,18.37,219896,0
MIO.US,D,20220103,000000,18.575,18.575,18.25,18.32,22714,0
MIO.US,D,20220104,000000,18.34,18.34,18.25,18.33,2961,0
MIO.US,D,20220105,000000,18.33,18.33,18.203,18.27,14679,0
MIO.US,D,20220106,000000,18.2,18.29,18.12,18.24,43760,0
MIO.US,D,20220107,000000,18.24,18.24,18.1,18.15,12540,0
MIO.US,D,20220110,000000,18.15,18.2141,18,18.01,14706,0
MIO.US,D,20220111,000000,18.05,18.15,18.05,18.11,28735,0
MIO.US,D,20220112,000000,18.42,18.42,18.045,18.19,79341,0
MIO.US,D,20220113,000000,18.3,18.52,18.22,18.31,63909,0
MIO.US,D,20220114,000000,18.23,18.382,18.14,18.26,106276,0
MIO.US,D,20220118,000000,18.25,18.25,17.41,17.77,94168,0
MIO.US,D,20220119,000000,17.75,18.22,17.66,17.79,38790,0
MIO.US,D,20220120,000000,17.76,17.94,17.66,17.69,52567,0
MIO.US,D,20220121,000000,17.43,17.64,17.33,17.53,58911,0
