<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIR-WS.US,D,20211022,000000,2.39,2.5,1.89,2.435,89495,0
MIR-WS.US,D,20211025,000000,2.33,2.48,2.33,2.39,94523,0
MIR-WS.US,D,20211026,000000,2.29,2.42,2.21,2.3,137039,0
MIR-WS.US,D,20211027,000000,2.45,2.45,2.27,2.29,89196,0
MIR-WS.US,D,20211028,000000,2.3,2.44,2.26,2.44,72334,0
MIR-WS.US,D,20211029,000000,2.34,2.39,2.26,2.26,11290,0
MIR-WS.US,D,20211101,000000,2.3,2.6,2.29,2.5203,264444,0
MIR-WS.US,D,20211102,000000,2.38,2.7,2.35,2.66,168886,0
MIR-WS.US,D,20211103,000000,2.72,2.94,2.59,2.71,146922,0
MIR-WS.US,D,20211104,000000,2.72,2.82,2.6801,2.705,62076,0
MIR-WS.US,D,20211105,000000,2.7,3,2.63,2.93,221981,0
MIR-WS.US,D,20211108,000000,2.95,3.08,2.85,2.89,318920,0
MIR-WS.US,D,20211109,000000,2.81,3.3,2.81,3.23,368157,0
MIR-WS.US,D,20211110,000000,3.12,3.33,3.05,3.22,339956,0
MIR-WS.US,D,20211111,000000,3.16,3.22,2.91,3.06,343963,0
MIR-WS.US,D,20211112,000000,2.83,3.04,2.81,3,186751,0
MIR-WS.US,D,20211115,000000,2.82,3.08,2.81,3.05,176463,0
MIR-WS.US,D,20211116,000000,3.09,3.09,2.96,3,133396,0
MIR-WS.US,D,20211117,000000,3.13,3.13,2.97,2.99,67845,0
MIR-WS.US,D,20211118,000000,3.13,3.13,2.95,3.01,66930,0
MIR-WS.US,D,20211119,000000,3.14,3.14,2.99,3.05,117683,0
MIR-WS.US,D,20211122,000000,3.04,3.04,2.72,2.82,142879,0
MIR-WS.US,D,20211123,000000,2.86,2.86,2.49,2.79,124147,0
MIR-WS.US,D,20211124,000000,2.78,2.9,2.74,2.82,92599,0
MIR-WS.US,D,20211126,000000,2.62,2.92,2.62,2.9,27998,0
MIR-WS.US,D,20211129,000000,2.95,2.9572,2.84,2.87,53894,0
MIR-WS.US,D,20211130,000000,2.64,2.87,2.58,2.65,45834,0
MIR-WS.US,D,20211201,000000,2.85,2.85,2.58,2.65,103198,0
MIR-WS.US,D,20211202,000000,2.45,2.7,2.42,2.69,119298,0
MIR-WS.US,D,20211203,000000,2.62,2.7,2.53,2.6314,133410,0
MIR-WS.US,D,20211206,000000,2.5,2.84,2.5,2.7,148923,0
MIR-WS.US,D,20211207,000000,2.71,2.98,2.65,2.78,140131,0
MIR-WS.US,D,20211208,000000,2.78,2.92,2.78,2.8335,12072,0
MIR-WS.US,D,20211209,000000,2.73,2.95,2.73,2.8,25339,0
MIR-WS.US,D,20211210,000000,2.91,2.95,2.83,2.93,21492,0
MIR-WS.US,D,20211213,000000,2.74,3,2.705,2.96,43077,0
MIR-WS.US,D,20211214,000000,2.92,2.93,2.61,2.6802,52922,0
MIR-WS.US,D,20211215,000000,2.65,2.8,2.6,2.75,63630,0
MIR-WS.US,D,20211216,000000,2.715,2.85,2.5401,2.68,34435,0
MIR-WS.US,D,20211217,000000,2.59,2.7,2.495,2.55,70329,0
MIR-WS.US,D,20211220,000000,2.59,2.65,2.44,2.45,86604,0
MIR-WS.US,D,20211221,000000,2.5,2.55,2.4,2.44,30540,0
MIR-WS.US,D,20211222,000000,2.45,2.5199,2.395,2.43,16495,0
MIR-WS.US,D,20211223,000000,2.4001,2.56,2.39,2.54,36059,0
MIR-WS.US,D,20211227,000000,2.51,2.65,2.51,2.61,63477,0
MIR-WS.US,D,20211228,000000,2.57,2.64,2.57,2.64,25951,0
MIR-WS.US,D,20211229,000000,2.67,2.67,2.57,2.58,23771,0
MIR-WS.US,D,20211230,000000,2.57,2.58,2.5,2.51,31302,0
MIR-WS.US,D,20211231,000000,2.27,2.53,2.26,2.5,26794,0
MIR-WS.US,D,20220103,000000,2.585,2.6599,2.54,2.6,30363,0
MIR-WS.US,D,20220104,000000,2.65,2.65,2.51,2.53,38363,0
MIR-WS.US,D,20220105,000000,2.44,2.595,2.27,2.325,25323,0
MIR-WS.US,D,20220106,000000,2.3,2.38,2.2,2.27,79901,0
MIR-WS.US,D,20220107,000000,2.2499,2.25,2.06,2.15,128215,0
MIR-WS.US,D,20220110,000000,2.09,2.1,1.94,2.0999,103119,0
MIR-WS.US,D,20220111,000000,2.09,2.27,2.08,2.24,40522,0
MIR-WS.US,D,20220112,000000,2.27,2.33,2.13,2.2558,38931,0
MIR-WS.US,D,20220113,000000,2.2,2.2036,2.06,2.0898,22569,0
MIR-WS.US,D,20220114,000000,2.06,2.1099,1.96,2.1099,21829,0
MIR-WS.US,D,20220118,000000,1.75,2.07,1.75,1.98,82650,0
MIR-WS.US,D,20220119,000000,2.01,2.05,1.845,1.87,96246,0
MIR-WS.US,D,20220120,000000,1.87,1.979,1.8,1.9,45722,0
MIR-WS.US,D,20220121,000000,1.8301,1.87,1.66,1.7301,192175,0
