<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKC-V.US,D,20100823,000000,17.803,17.803,17.803,17.803,228,0
MKC-V.US,D,20100824,000000,17.673,17.673,17.34,17.383,3188,0
MKC-V.US,D,20100825,000000,17.217,17.349,17.217,17.349,460,0
MKC-V.US,D,20100826,000000,17.379,17.379,17.055,17.353,2054,0
MKC-V.US,D,20100827,000000,17.462,17.571,17.462,17.571,3878,0
MKC-V.US,D,20100830,000000,17.617,17.655,17.442,17.442,4608,0
MKC-V.US,D,20100831,000000,17.4,17.557,17.309,17.543,1143,0
MKC-V.US,D,20100901,000000,17.683,17.712,17.121,17.712,7067,0
MKC-V.US,D,20100907,000000,17.765,17.848,17.765,17.848,7067,0
MKC-V.US,D,20100908,000000,17.896,17.896,17.896,17.896,916,0
MKC-V.US,D,20100909,000000,18.028,18.028,17.803,17.98,11417,0
MKC-V.US,D,20100910,000000,17.949,17.958,17.765,17.905,3211,0
MKC-V.US,D,20100913,000000,18.037,18.037,17.91,17.91,1365,0
MKC-V.US,D,20100915,000000,18.007,18.007,18.002,18.007,30087,0
MKC-V.US,D,20100917,000000,18.093,18.116,18.093,18.116,21428,0
MKC-V.US,D,20100922,000000,18.213,18.213,18.138,18.2,685,0
MKC-V.US,D,20100923,000000,18.128,18.128,18.011,18.011,1407,0
MKC-V.US,D,20100924,000000,18.226,18.265,18.226,18.248,4638,0
MKC-V.US,D,20100927,000000,18.16,18.226,18.16,18.226,460,0
MKC-V.US,D,20100928,000000,18.093,18.093,17.91,17.91,685,0
MKC-V.US,D,20100930,000000,18.4,19.19,18.313,18.539,64511,0
MKC-V.US,D,20101001,000000,18.519,18.519,18.322,18.335,4100,0
MKC-V.US,D,20101004,000000,18.423,18.423,18.423,18.423,460,0
MKC-V.US,D,20101005,000000,18.4,18.4,18.356,18.356,1365,0
MKC-V.US,D,20101006,000000,18.446,21.392,18.446,21.056,42350,0
MKC-V.US,D,20101007,000000,20.618,20.618,19.304,19.41,10436,0
MKC-V.US,D,20101008,000000,19.325,20.111,19.325,20.111,2722,0
MKC-V.US,D,20101011,000000,19.089,19.089,18.968,18.968,2066,0
MKC-V.US,D,20101012,000000,19.15,19.15,19.15,19.15,562,0
MKC-V.US,D,20101013,000000,19.3,19.826,19.3,19.752,5956,0
MKC-V.US,D,20101014,000000,19.826,19.826,19.739,19.826,15489,0
MKC-V.US,D,20101015,000000,19.937,19.937,19.915,19.915,1552,0
MKC-V.US,D,20101018,000000,19.739,19.739,19.52,19.52,460,0
MKC-V.US,D,20101019,000000,19.3,19.3,18.985,18.985,2735,0
MKC-V.US,D,20101022,000000,19.271,19.271,19.2,19.2,685,0
MKC-V.US,D,20101025,000000,19.426,19.426,19.426,19.426,562,0
MKC-V.US,D,20101027,000000,19.41,19.41,19.083,19.083,2278,0
MKC-V.US,D,20101028,000000,19.083,19.304,19.083,19.279,685,0
MKC-V.US,D,20101029,000000,19.524,19.524,19.524,19.524,460,0
MKC-V.US,D,20101101,000000,19.448,19.448,19.448,19.448,228,0
MKC-V.US,D,20101103,000000,19.304,19.304,19.163,19.279,916,0
MKC-V.US,D,20101104,000000,19.524,19.73,19.524,19.55,9289,0
MKC-V.US,D,20101108,000000,20.09,20.255,19.869,20.255,3878,0
MKC-V.US,D,20101109,000000,20.255,20.255,20.111,20.255,3019,0
MKC-V.US,D,20101110,000000,20.295,20.295,19.739,19.739,1820,0
MKC-V.US,D,20101111,000000,19.629,19.629,19.016,19.322,15383,0
MKC-V.US,D,20101112,000000,19.214,19.214,19.214,19.214,1143,0
MKC-V.US,D,20101115,000000,19.163,19.292,18.857,19.256,19746,0
MKC-V.US,D,20101116,000000,19.028,19.028,19.028,19.028,460,0
MKC-V.US,D,20101117,000000,19.239,19.248,19.239,19.248,916,0
MKC-V.US,D,20101119,000000,19.252,19.252,19.252,19.252,1143,0
MKC-V.US,D,20101122,000000,19.322,19.472,19.322,19.472,1365,0
MKC-V.US,D,20101124,000000,19.422,19.468,19.209,19.468,18012,0
MKC-V.US,D,20101126,000000,19.266,19.266,19.266,19.266,460,0
MKC-V.US,D,20101129,000000,19.239,19.284,19.012,19.284,5245,0
MKC-V.US,D,20101130,000000,19.23,19.23,19.23,19.23,228,0
MKC-V.US,D,20101201,000000,19.19,19.536,19.19,19.536,2278,0
MKC-V.US,D,20101202,000000,19.739,19.975,19.739,19.975,20688,0
MKC-V.US,D,20101203,000000,20.155,20.259,20.059,20.243,24114,0
MKC-V.US,D,20101206,000000,20.173,20.219,19.97,19.97,4721,0
MKC-V.US,D,20101207,000000,20.287,20.507,20.287,20.507,1143,0
MKC-V.US,D,20101208,000000,20.726,21.306,20.3,20.397,12929,0
MKC-V.US,D,20101209,000000,20.402,20.406,20.259,20.332,3142,0
MKC-V.US,D,20101210,000000,20.356,20.356,20.356,20.356,685,0
MKC-V.US,D,20101213,000000,20.283,20.397,19.581,20.352,10228,0
MKC-V.US,D,20101214,000000,20.572,20.577,20.411,20.515,13159,0
MKC-V.US,D,20101215,000000,20.515,20.582,20.406,20.582,9415,0
MKC-V.US,D,20101216,000000,20.568,20.612,20.568,20.612,8543,0
MKC-V.US,D,20101217,000000,20.787,20.801,20.663,20.792,4032,0
MKC-V.US,D,20101221,000000,20.618,20.834,20.618,20.834,2433,0
MKC-V.US,D,20101228,000000,20.618,20.618,20.507,20.507,460,0
MKC-V.US,D,20101230,000000,20.295,20.295,20.295,20.295,460,0
MKC-V.US,D,20110103,000000,20.31,20.31,20.163,20.219,7067,0
MKC-V.US,D,20110107,000000,20.032,20.032,19.665,19.857,3760,0
MKC-V.US,D,20110110,000000,19.665,19.901,19.665,19.901,3064,0
MKC-V.US,D,20110111,000000,20.273,20.515,20.273,20.374,3745,0
MKC-V.US,D,20110112,000000,20.295,20.295,20.295,20.295,228,0
MKC-V.US,D,20110114,000000,20.076,20.076,19.929,19.929,1667,0
MKC-V.US,D,20110118,000000,20.147,20.287,20.147,20.287,1143,0
MKC-V.US,D,20110119,000000,20.287,20.411,20.178,20.411,7700,0
MKC-V.US,D,20110120,000000,20.411,20.411,20.287,20.287,2177,0
MKC-V.US,D,20110125,000000,20.094,20.137,19.786,20.137,7291,0
MKC-V.US,D,20110126,000000,19.975,19.975,19.739,19.739,2226,0
MKC-V.US,D,20110128,000000,19.726,19.777,19.607,19.607,1383,0
MKC-V.US,D,20110131,000000,19.43,19.43,19.43,19.43,228,0
MKC-V.US,D,20110203,000000,19.563,19.563,19.563,19.563,460,0
MKC-V.US,D,20110204,000000,19.629,19.646,19.629,19.646,933,0
MKC-V.US,D,20110207,000000,19.629,19.637,19.418,19.637,6175,0
MKC-V.US,D,20110208,000000,19.615,19.615,19.615,19.615,6610,0
MKC-V.US,D,20110209,000000,19.532,19.532,18.386,19.52,7747,0
MKC-V.US,D,20110210,000000,19.607,19.607,19.607,19.607,460,0
MKC-V.US,D,20110214,000000,19.739,19.762,19.448,19.739,8305,0
MKC-V.US,D,20110215,000000,19.848,19.848,19.848,19.848,460,0
MKC-V.US,D,20110218,000000,20.064,20.064,20.05,20.05,916,0
MKC-V.US,D,20110222,000000,20.064,20.064,20.041,20.041,460,0
MKC-V.US,D,20110223,000000,20.238,20.238,20.094,20.094,916,0
MKC-V.US,D,20110224,000000,20.416,20.588,20.416,20.588,2392,0
MKC-V.US,D,20110225,000000,20.701,20.706,20.594,20.659,2854,0
