<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOTE.US,D,20211008,000000,25.41,25.42,25.357,25.357,2809,0
MOTE.US,D,20211011,000000,25.4854,25.4854,25.26,25.26,2869,0
MOTE.US,D,20211012,000000,25.3,25.3,25.21,25.2235,904,0
MOTE.US,D,20211013,000000,25.29,25.4218,25.29,25.4218,445,0
MOTE.US,D,20211014,000000,25.81,25.9,25.81,25.8984,646,0
MOTE.US,D,20211015,000000,26.12,26.12,26.0934,26.0934,661,0
MOTE.US,D,20211018,000000,26.0315,26.1774,26.0315,26.1774,326,0
MOTE.US,D,20211019,000000,26.33,26.3312,26.3,26.3312,2609,0
MOTE.US,D,20211020,000000,26.4187,26.4187,26.3304,26.3304,2001,0
MOTE.US,D,20211021,000000,26.4629,26.4629,26.4629,26.4629,202,0
MOTE.US,D,20211022,000000,26.6039,26.6039,26.6039,26.6039,14,0
MOTE.US,D,20211025,000000,26.47,26.6332,26.47,26.6332,240,0
MOTE.US,D,20211026,000000,26.7899,26.7899,26.6114,26.6114,564,0
MOTE.US,D,20211027,000000,26.46,26.4709,26.4403,26.4403,204,0
MOTE.US,D,20211028,000000,26.7031,26.7031,26.7031,26.7031,9,0
MOTE.US,D,20211029,000000,26.69,26.7867,26.69,26.7867,160,0
MOTE.US,D,20211101,000000,26.715,26.7536,26.715,26.7536,316,0
MOTE.US,D,20211102,000000,26.8859,26.8859,26.8859,26.8859,22,0
MOTE.US,D,20211103,000000,26.9472,27.043,26.9472,27.043,206,0
MOTE.US,D,20211104,000000,27.18,27.2262,27.17,27.2262,2480,0
MOTE.US,D,20211105,000000,27.3714,27.3714,27.3714,27.3714,25,0
MOTE.US,D,20211108,000000,27.3554,27.3624,27.3554,27.3624,385,0
MOTE.US,D,20211109,000000,27.3916,27.3916,27.3916,27.3916,39,0
MOTE.US,D,20211110,000000,27.04,27.0927,27.04,27.0927,262,0
MOTE.US,D,20211111,000000,27.1,27.1,27.0624,27.0624,624,0
MOTE.US,D,20211112,000000,27.3311,27.3311,27.3311,27.3311,152,0
MOTE.US,D,20211115,000000,27.3395,27.36,27.3161,27.3161,1218,0
MOTE.US,D,20211116,000000,27.513,27.513,27.513,27.513,2,0
MOTE.US,D,20211117,000000,27.34,27.3504,27.34,27.3504,185,0
MOTE.US,D,20211118,000000,27.33,27.33,27.2742,27.2742,126,0
MOTE.US,D,20211119,000000,27.2128,27.2128,27.2128,27.2128,82,0
MOTE.US,D,20211122,000000,27.31,27.31,27.0293,27.0293,238,0
MOTE.US,D,20211123,000000,26.88,26.998,26.83,26.998,388,0
MOTE.US,D,20211124,000000,27.0634,27.0634,27.0634,27.0634,10,0
MOTE.US,D,20211126,000000,26.48,26.48,26.4581,26.4581,206,0
MOTE.US,D,20211129,000000,26.75,26.8554,26.75,26.8554,259,0
MOTE.US,D,20211130,000000,26.425,26.425,26.2057,26.2057,1382,0
MOTE.US,D,20211201,000000,25.9457,25.9457,25.9457,25.9457,120,0
MOTE.US,D,20211202,000000,26.28,26.28,26.28,26.28,1,0
MOTE.US,D,20211203,000000,25.88,26.0816,25.88,26.0816,213,0
MOTE.US,D,20211206,000000,26.3789,26.3789,26.3789,26.3789,1,0
MOTE.US,D,20211207,000000,26.9225,26.9225,26.9225,26.9225,60,0
MOTE.US,D,20211208,000000,27.0093,27.0093,27.0093,27.0093,1,0
MOTE.US,D,20211209,000000,26.8953,26.8953,26.7572,26.7572,117,0
MOTE.US,D,20211210,000000,26.98,26.982,26.9147,26.982,1337,0
MOTE.US,D,20211213,000000,26.95,26.95,26.8531,26.8531,747,0
MOTE.US,D,20211214,000000,26.56,26.56,26.45,26.4984,1266,0
MOTE.US,D,20211215,000000,26.857,26.857,26.857,26.857,54,0
MOTE.US,D,20211216,000000,26.6,26.6,26.582,26.582,100,0
MOTE.US,D,20211217,000000,26.2535,26.2535,26.2535,26.2535,97,0
MOTE.US,D,20211220,000000,25.7786,25.884,25.71,25.884,313,0
MOTE.US,D,20211221,000000,26.4,26.4,26.3947,26.3947,105,0
MOTE.US,D,20211222,000000,26.54,26.5846,26.54,26.5846,153,0
MOTE.US,D,20211223,000000,26.77,26.7775,26.77,26.7775,100,0
MOTE.US,D,20211227,000000,27.1,27.1621,27.1,27.1621,101,0
MOTE.US,D,20211228,000000,27.18,27.18,27.1163,27.1163,195,0
MOTE.US,D,20211229,000000,27.16,27.2108,27.16,27.2108,201,0
MOTE.US,D,20211230,000000,27.24,27.24,27.1083,27.1083,100,0
MOTE.US,D,20211231,000000,27.11,27.11,27.11,27.11,313,0
MOTE.US,D,20220103,000000,26.93,27.0137,26.8808,27.0137,501,0
MOTE.US,D,20220104,000000,27,27.08,27,27.08,293,0
MOTE.US,D,20220105,000000,26.99,26.99,26.5135,26.5135,600,0
MOTE.US,D,20220106,000000,26.58,26.58,26.5428,26.5428,214,0
MOTE.US,D,20220107,000000,26.4,26.4,26.292,26.292,104,0
MOTE.US,D,20220110,000000,25.91,26.2261,25.91,26.2261,102,0
MOTE.US,D,20220111,000000,26.28,26.3877,26.28,26.3877,128,0
MOTE.US,D,20220112,000000,26.49,26.5007,26.49,26.5007,269,0
MOTE.US,D,20220113,000000,26.52,26.52,26.1255,26.1255,100,0
MOTE.US,D,20220114,000000,26.01,26.2124,26.01,26.2124,100,0
MOTE.US,D,20220118,000000,25.72,25.73,25.6084,25.6084,597,0
MOTE.US,D,20220119,000000,25.58,25.58,25.3609,25.3609,115,0
MOTE.US,D,20220120,000000,25.65,25.73,25.05,25.05,2402,0
MOTE.US,D,20220121,000000,25.19,25.19,24.754,24.754,207,0
