<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTX.US,D,20050225,000000,30.281,30.916,30.221,30.817,254278,0
MTX.US,D,20050228,000000,30.722,30.79,29.952,30.208,356736,0
MTX.US,D,20050301,000000,30.304,30.892,30.304,30.713,209688,0
MTX.US,D,20050302,000000,30.615,31.459,30.482,30.513,266929,0
MTX.US,D,20050303,000000,30.679,31.18,30.62,30.78,120915,0
MTX.US,D,20050304,000000,30.955,31.319,30.795,30.808,295966,0
MTX.US,D,20050307,000000,30.93,31.271,30.817,30.857,178158,0
MTX.US,D,20050308,000000,30.906,30.955,30.472,30.635,139583,0
MTX.US,D,20050309,000000,30.635,30.921,30.523,30.635,247020,0
MTX.US,D,20050310,000000,30.731,30.847,30.304,30.382,195377,0
MTX.US,D,20050311,000000,30.246,30.591,30.137,30.183,148295,0
MTX.US,D,20050314,000000,30.208,30.49,30.208,30.423,262780,0
MTX.US,D,20050315,000000,30.543,30.955,30.543,30.591,292442,0
MTX.US,D,20050316,000000,30.596,30.76,30.198,30.236,253448,0
MTX.US,D,20050317,000000,30.304,31.309,30.183,31.047,836880,0
MTX.US,D,20050318,000000,30.925,32.352,30.694,32.196,1072287,0
MTX.US,D,20050321,000000,32.187,32.192,31.846,32.089,512910,0
MTX.US,D,20050322,000000,32.041,32.576,32.041,32.187,449655,0
MTX.US,D,20050323,000000,32.162,32.162,31.813,31.833,163642,0
MTX.US,D,20050324,000000,31.952,32.369,31.833,32.21,238517,0
MTX.US,D,20050328,000000,32.162,32.495,32.162,32.206,215701,0
MTX.US,D,20050329,000000,32.162,32.384,31.004,31.151,338485,0
MTX.US,D,20050330,000000,31.271,31.678,31.043,31.619,445090,0
MTX.US,D,20050331,000000,31.619,31.798,31.489,31.716,239759,0
MTX.US,D,20050401,000000,31.957,31.967,31.281,31.484,225659,0
MTX.US,D,20050404,000000,31.498,32.272,31.338,32.264,327906,0
MTX.US,D,20050405,000000,32.259,32.546,32.239,32.338,234989,0
MTX.US,D,20050406,000000,32.423,32.761,32.292,32.334,222340,0
MTX.US,D,20050407,000000,32.334,32.518,32.098,32.423,285390,0
MTX.US,D,20050408,000000,32.47,32.47,32.094,32.172,266101,0
MTX.US,D,20050411,000000,32.182,32.187,31.764,31.774,188327,0
MTX.US,D,20050412,000000,31.774,32.069,31.434,32.007,404229,0
MTX.US,D,20050413,000000,32.021,32.089,31.338,31.405,144357,0
MTX.US,D,20050414,000000,31.454,31.503,31.023,31.105,320029,0
MTX.US,D,20050415,000000,31.105,31.105,30.208,30.317,371251,0
MTX.US,D,20050418,000000,30.415,31.333,30.294,31.08,303437,0
MTX.US,D,20050419,000000,31.195,31.726,31.1,31.53,327491,0
MTX.US,D,20050420,000000,31.526,31.526,30.921,31.028,322721,0
MTX.US,D,20050421,000000,31.244,32.026,31.205,31.937,244739,0
MTX.US,D,20050422,000000,31.932,32.055,31.266,31.654,358186,0
MTX.US,D,20050425,000000,32.064,32.305,31.818,32.305,387432,0
MTX.US,D,20050426,000000,32.305,32.591,31.702,31.702,279996,0
MTX.US,D,20050427,000000,31.702,31.721,31.151,31.305,362338,0
MTX.US,D,20050428,000000,31.424,31.484,30.872,30.877,299080,0
MTX.US,D,20050429,000000,31.124,31.726,31.124,31.494,388260,0
MTX.US,D,20050502,000000,31.503,31.833,31.244,31.793,676557,0
MTX.US,D,20050503,000000,31.726,32.016,31.721,31.846,785854,0
MTX.US,D,20050504,000000,32.347,32.634,32.117,32.47,509596,0
MTX.US,D,20050505,000000,32.736,33.149,32.566,32.97,487817,0
