<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUE.US,D,20050225,000000,7.4288,7.4589,7.4288,7.4477,74389,0
MUE.US,D,20050228,000000,7.4477,7.4641,7.4381,7.4423,103856,0
MUE.US,D,20050301,000000,7.4229,7.4589,7.4165,7.4328,41466,0
MUE.US,D,20050302,000000,7.4229,7.4589,7.4229,7.4589,54931,0
MUE.US,D,20050303,000000,7.4381,7.4771,7.4328,7.4705,53117,0
MUE.US,D,20050304,000000,7.4705,7.5125,7.4641,7.4951,70938,0
MUE.US,D,20050307,000000,7.5007,7.5007,7.4641,7.4836,42925,0
MUE.US,D,20050308,000000,7.4951,7.5007,7.4381,7.4641,103309,0
MUE.US,D,20050309,000000,7.4229,7.4381,7.3576,7.3959,90216,0
MUE.US,D,20050310,000000,7.4117,7.4165,7.3508,7.3674,91306,0
MUE.US,D,20050311,000000,7.3392,7.3392,7.2763,7.2851,69473,0
MUE.US,D,20050314,000000,7.2546,7.27,7.2363,7.2616,67846,0
MUE.US,D,20050315,000000,7.2798,7.2798,7.173,7.1784,95486,0
MUE.US,D,20050316,000000,7.1998,7.1998,7.1323,7.1627,116578,0
MUE.US,D,20050317,000000,7.168,7.2128,7.1471,7.2128,60925,0
MUE.US,D,20050318,000000,7.2069,7.2069,7.1535,7.1535,63662,0
MUE.US,D,20050321,000000,7.1902,7.1902,7.0983,7.1364,82207,0
MUE.US,D,20050322,000000,7.1225,7.1364,7.0876,7.0924,47293,0
MUE.US,D,20050323,000000,7.0639,7.0639,6.9267,6.9598,139325,0
MUE.US,D,20050324,000000,6.9325,6.9785,6.9044,6.9723,64758,0
MUE.US,D,20050328,000000,6.9546,6.9546,6.9093,6.9148,50921,0
MUE.US,D,20050329,000000,6.9002,6.9325,6.857,6.8837,136410,0
MUE.US,D,20050330,000000,6.9002,6.9206,6.8629,6.9206,177155,0
MUE.US,D,20050331,000000,6.9044,6.9952,6.9044,6.9656,82024,0
MUE.US,D,20050401,000000,7.0106,7.0698,7.0106,7.0698,77118,0
MUE.US,D,20050404,000000,7.0639,7.0698,7.0355,7.0639,45475,0
MUE.US,D,20050405,000000,7.0639,7.0698,7.0259,7.0307,75847,0
MUE.US,D,20050406,000000,7.0698,7.0876,7.0419,7.0809,55295,0
MUE.US,D,20050407,000000,7.0639,7.0876,7.0529,7.075,68936,0
MUE.US,D,20050408,000000,7.0698,7.0698,7.0146,7.0355,44741,0
MUE.US,D,20050411,000000,7.0355,7.0579,7.0006,7.0419,89308,0
MUE.US,D,20050412,000000,7.0529,7.0876,7.0259,7.0876,74753,0
MUE.US,D,20050413,000000,7.0465,7.0809,7.0419,7.0465,61846,0
MUE.US,D,20050414,000000,7.0355,7.0809,7.0307,7.0639,93304,0
MUE.US,D,20050415,000000,7.0698,7.0983,7.0639,7.0983,62023,0
MUE.US,D,20050418,000000,7.1101,7.1161,7.0809,7.1161,53289,0
MUE.US,D,20050419,000000,7.1161,7.1471,7.1161,7.1364,42565,0
MUE.US,D,20050420,000000,7.1364,7.1364,7.0876,7.1101,19649,0
MUE.US,D,20050421,000000,7.1225,7.143,7.0876,7.0924,75847,0
MUE.US,D,20050422,000000,7.0924,7.1364,7.0924,7.1042,45475,0
MUE.US,D,20050425,000000,7.1042,7.143,7.1042,7.1225,38380,0
MUE.US,D,20050426,000000,7.143,7.1784,7.1274,7.1784,53662,0
MUE.US,D,20050427,000000,7.1572,7.1902,7.1471,7.173,66755,0
MUE.US,D,20050428,000000,7.2253,7.2302,7.1839,7.1955,35467,0
MUE.US,D,20050429,000000,7.2253,7.2655,7.2069,7.2186,52560,0
MUE.US,D,20050502,000000,7.2128,7.2655,7.2128,7.2253,54384,0
MUE.US,D,20050503,000000,7.2128,7.2488,7.2128,7.2302,59118,0
MUE.US,D,20050504,000000,7.2546,7.3057,7.2302,7.2974,62747,0
MUE.US,D,20050505,000000,7.2974,7.3105,7.27,7.2903,100763,0
MUE.US,D,20050506,000000,7.2903,7.3008,7.2069,7.2302,70204,0
MUE.US,D,20050509,000000,7.2128,7.2655,7.2069,7.2546,66931,0
MUE.US,D,20050510,000000,7.2302,7.321,7.2302,7.321,89845,0
MUE.US,D,20050511,000000,7.3008,7.321,7.2616,7.2798,52384,0
MUE.US,D,20050512,000000,7.2798,7.2903,7.2546,7.2655,77299,0
MUE.US,D,20050513,000000,7.2851,7.2974,7.27,7.2974,20197,0
MUE.US,D,20050516,000000,7.2903,7.3159,7.2763,7.3008,78753,0
MUE.US,D,20050517,000000,7.2903,7.2974,7.2655,7.2974,48199,0
MUE.US,D,20050518,000000,7.3008,7.321,7.2903,7.321,56204,0
MUE.US,D,20050519,000000,7.3275,7.3725,7.2974,7.3674,95675,0
MUE.US,D,20050520,000000,7.3674,7.3674,7.2974,7.3105,44378,0
MUE.US,D,20050523,000000,7.3275,7.3674,7.3159,7.3508,68750,0
MUE.US,D,20050524,000000,7.3621,7.3959,7.3392,7.3674,52560,0
MUE.US,D,20050525,000000,7.3674,7.3798,7.3159,7.3621,50555,0
MUE.US,D,20050526,000000,7.3342,7.3621,7.3342,7.3621,30552,0
MUE.US,D,20050527,000000,7.3674,7.3798,7.3446,7.3798,54746,0
MUE.US,D,20050531,000000,7.3674,7.4165,7.3674,7.4165,52560,0
MUE.US,D,20050601,000000,7.3959,7.4836,7.3959,7.4589,149331,0
MUE.US,D,20050602,000000,7.4589,7.4771,7.4477,7.4641,77663,0
MUE.US,D,20050603,000000,7.4641,7.4889,7.4477,7.4771,62747,0
MUE.US,D,20050606,000000,7.4589,7.4771,7.4477,7.4771,60020,0
MUE.US,D,20050607,000000,7.5007,7.5081,7.4229,7.4705,79850,0
MUE.US,D,20050608,000000,7.4705,7.4836,7.4423,7.4771,96398,0
MUE.US,D,20050609,000000,7.4771,7.4889,7.4381,7.4889,72757,0
MUE.US,D,20050610,000000,7.4117,7.4705,7.4117,7.4537,44741,0
MUE.US,D,20050613,000000,7.4589,7.4589,7.407,7.4117,46026,0
MUE.US,D,20050614,000000,7.4423,7.4423,7.4015,7.4165,35289,0
MUE.US,D,20050615,000000,7.4117,7.4589,7.4117,7.4477,74209,0
MUE.US,D,20050616,000000,7.4589,7.4771,7.4423,7.4771,34018,0
MUE.US,D,20050617,000000,7.4537,7.4771,7.4477,7.4705,68568,0
MUE.US,D,20050620,000000,7.4705,7.4771,7.4477,7.4705,74576,0
MUE.US,D,20050621,000000,7.4477,7.4705,7.4477,7.4705,65469,0
MUE.US,D,20050622,000000,7.4705,7.5081,7.4641,7.5081,46564,0
MUE.US,D,20050623,000000,7.529,7.5346,7.5125,7.529,56204,0
MUE.US,D,20050624,000000,7.5346,7.5346,7.5228,7.5346,29106,0
MUE.US,D,20050627,000000,7.5162,7.5607,7.4951,7.5228,81119,0
MUE.US,D,20050628,000000,7.4836,7.5552,7.4836,7.529,144588,0
MUE.US,D,20050629,000000,7.529,7.5494,7.5125,7.54,126949,0
MUE.US,D,20050630,000000,7.54,7.5552,7.5125,7.5437,100763,0
MUE.US,D,20050701,000000,7.5346,7.5607,7.4951,7.5437,141863,0
MUE.US,D,20050705,000000,7.5607,7.5849,7.5494,7.581,76019,0
MUE.US,D,20050706,000000,7.5849,7.6376,7.575,7.6024,125685,0
MUE.US,D,20050707,000000,7.6306,7.6601,7.6249,7.6415,139136,0
MUE.US,D,20050708,000000,7.6415,7.6918,7.6249,7.6918,106400,0
MUE.US,D,20050711,000000,7.6918,7.6918,7.6485,7.6654,80213,0
MUE.US,D,20050712,000000,7.6485,7.6533,7.5898,7.6415,89845,0
MUE.US,D,20050713,000000,7.6708,7.6918,7.6249,7.6708,133498,0
MUE.US,D,20050714,000000,7.686,7.686,7.6485,7.6601,51295,0
MUE.US,D,20050715,000000,7.6601,7.6601,7.5898,7.6092,90577,0
