<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUJ.US,D,20050225,000000,8.7792,8.8266,8.7272,8.8266,29535,0
MUJ.US,D,20050228,000000,8.854,8.854,8.6846,8.7384,61150,0
MUJ.US,D,20050301,000000,8.7384,8.7718,8.6923,8.7317,41694,0
MUJ.US,D,20050302,000000,8.7129,8.7968,8.7026,8.7718,60980,0
MUJ.US,D,20050303,000000,8.7968,8.854,8.7653,8.8034,27623,0
MUJ.US,D,20050304,000000,8.88,9.0008,8.854,8.9023,48121,0
MUJ.US,D,20050307,000000,8.8124,8.8717,8.7653,8.7718,46554,0
MUJ.US,D,20050308,000000,8.7569,8.8494,8.7569,8.7718,23454,0
MUJ.US,D,20050309,000000,8.7569,8.7569,8.6923,8.6923,35618,0
MUJ.US,D,20050310,000000,8.6923,8.7272,8.484,8.6464,86168,0
MUJ.US,D,20050311,000000,8.541,8.5896,8.4724,8.4949,35784,0
MUJ.US,D,20050314,000000,8.4646,8.468,8.3682,8.4522,142452,0
MUJ.US,D,20050315,000000,8.4346,8.808,8.4346,8.6249,114305,0
MUJ.US,D,20050316,000000,8.6249,8.6249,8.4346,8.4724,82695,0
MUJ.US,D,20050317,000000,8.4346,8.4584,8.4274,8.4584,7820,0
MUJ.US,D,20050318,000000,8.4584,8.4584,8.3877,8.4028,38220,0
MUJ.US,D,20050321,000000,8.3823,8.3933,8.2914,8.3229,104405,0
MUJ.US,D,20050322,000000,8.3139,8.3139,8.2324,8.2324,106318,0
MUJ.US,D,20050323,000000,8.2263,8.2263,7.995,8.0699,108926,0
MUJ.US,D,20050324,000000,8.0823,8.1827,8.0699,8.1279,38220,0
MUJ.US,D,20050328,000000,8.1669,8.1725,8.077,8.1114,57842,0
MUJ.US,D,20050329,000000,8.1114,8.1114,8.0649,8.1048,33526,0
MUJ.US,D,20050330,000000,8.1114,8.3139,8.077,8.2601,57842,0
MUJ.US,D,20050331,000000,8.334,8.3399,8.2097,8.3399,46905,0
MUJ.US,D,20050401,000000,8.3558,8.4584,8.3275,8.3933,37348,0
MUJ.US,D,20050404,000000,8.4028,8.468,8.3399,8.4646,16678,0
MUJ.US,D,20050405,000000,8.4101,8.4101,8.3139,8.3399,30399,0
MUJ.US,D,20050406,000000,8.3399,8.3933,8.334,8.3933,27273,0
MUJ.US,D,20050407,000000,8.3739,8.4146,8.3682,8.4146,15469,0
MUJ.US,D,20050408,000000,8.3682,8.4222,8.3682,8.3974,21193,0
MUJ.US,D,20050411,000000,8.4146,8.4146,8.3399,8.3399,51077,0
MUJ.US,D,20050412,000000,8.3492,8.3933,8.3399,8.3823,22060,0
MUJ.US,D,20050413,000000,8.3933,8.4346,8.3739,8.4101,28841,0
MUJ.US,D,20050414,000000,8.3933,8.4101,8.3442,8.4101,59577,0
MUJ.US,D,20050415,000000,8.4222,8.4222,8.3739,8.4222,20325,0
MUJ.US,D,20050418,000000,8.4101,8.4646,8.4028,8.4646,24146,0
MUJ.US,D,20050419,000000,8.4646,8.5134,8.4584,8.4949,36142,0
MUJ.US,D,20050420,000000,8.484,8.5226,8.468,8.4949,40298,0
MUJ.US,D,20050421,000000,8.468,8.5961,8.468,8.4949,33003,0
MUJ.US,D,20050422,000000,8.4778,8.4885,8.468,8.4885,20151,0
MUJ.US,D,20050425,000000,8.4885,8.5294,8.4885,8.5226,26059,0
MUJ.US,D,20050426,000000,8.541,8.5896,8.5294,8.5896,31616,0
MUJ.US,D,20050427,000000,8.6093,8.6464,8.6023,8.6249,35437,0
MUJ.US,D,20050428,000000,8.6598,8.7026,8.6598,8.6846,37875,0
MUJ.US,D,20050429,000000,8.7026,8.7081,8.6598,8.6719,45342,0
MUJ.US,D,20050502,000000,8.6561,8.6923,8.6249,8.6525,47598,0
MUJ.US,D,20050503,000000,8.6525,8.6923,8.6464,8.6923,27801,0
MUJ.US,D,20050504,000000,8.6525,8.6972,8.6352,8.6972,51424,0
MUJ.US,D,20050505,000000,8.6972,8.7317,8.6782,8.7201,78350,0
MUJ.US,D,20050506,000000,8.7201,8.7201,8.6352,8.6352,17195,0
MUJ.US,D,20050509,000000,8.6249,8.6782,8.6249,8.6782,23454,0
MUJ.US,D,20050510,000000,8.6782,8.7317,8.6598,8.7201,16159,0
MUJ.US,D,20050511,000000,8.6846,8.7272,8.6782,8.6782,27101,0
MUJ.US,D,20050512,000000,8.7026,8.7026,8.6525,8.7026,38916,0
MUJ.US,D,20050513,000000,8.7026,8.7272,8.6972,8.6972,10083,0
