<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUSI.US,D,20210702,000000,50.035,50.035,50.035,50.035,50,0
MUSI.US,D,20210708,000000,50.045,50.045,50.045,50.045,10,0
MUSI.US,D,20210709,000000,50.019,50.019,50.019,50.019,50,0
MUSI.US,D,20210712,000000,49.99,49.99,49.99,49.99,1,0
MUSI.US,D,20210713,000000,49.955,49.955,49.955,49.955,6,0
MUSI.US,D,20210714,000000,50.055,50.055,50.055,50.055,47,0
MUSI.US,D,20210715,000000,50.035,50.035,50.035,50.035,6,0
MUSI.US,D,20210716,000000,49.945,49.945,49.945,49.945,1,0
MUSI.US,D,20210719,000000,49.915,49.915,49.915,49.915,6,0
MUSI.US,D,20210720,000000,49.925,49.925,49.925,49.925,6,0
MUSI.US,D,20210721,000000,49.94,49.94,49.94,49.94,20,0
MUSI.US,D,20210722,000000,50.025,50.025,50.02,50.025,155,0
MUSI.US,D,20210723,000000,50.04,50.06,50.04,50.06,201,0
MUSI.US,D,20210726,000000,50.08,50.08,50.055,50.055,128,0
MUSI.US,D,20210727,000000,50.03,50.03,50.03,50.03,6,0
MUSI.US,D,20210728,000000,50.025,50.025,50.025,50.025,1,0
MUSI.US,D,20210729,000000,50.065,50.065,50.065,50.065,6,0
MUSI.US,D,20210730,000000,50.11,50.11,50.093,50.093,128,0
MUSI.US,D,20210802,000000,49.97,49.97,49.955,49.955,203,0
MUSI.US,D,20210803,000000,49.978,49.978,49.978,49.978,2,0
MUSI.US,D,20210804,000000,49.915,49.915,49.915,49.915,2,0
MUSI.US,D,20210805,000000,49.985,49.985,49.985,49.985,2,0
MUSI.US,D,20210806,000000,49.915,49.915,49.915,49.915,1,0
MUSI.US,D,20210809,000000,49.889,49.89,49.865,49.865,343,0
MUSI.US,D,20210810,000000,49.865,49.865,49.865,49.865,3,0
MUSI.US,D,20210811,000000,49.86,49.86,49.86,49.86,2,0
MUSI.US,D,20210812,000000,49.865,49.865,49.865,49.865,3,0
MUSI.US,D,20210813,000000,49.9,49.9,49.9,49.9,1,0
MUSI.US,D,20210816,000000,49.905,49.905,49.905,49.905,1,0
MUSI.US,D,20210817,000000,49.855,49.855,49.855,49.855,2,0
MUSI.US,D,20210818,000000,49.821,49.821,49.821,49.821,2,0
MUSI.US,D,20210819,000000,49.91,49.91,49.91,49.91,2,0
MUSI.US,D,20210820,000000,49.87,49.87,49.87,49.87,1,0
MUSI.US,D,20210823,000000,49.925,49.925,49.925,49.925,1,0
MUSI.US,D,20210824,000000,49.945,49.945,49.945,49.945,1,0
MUSI.US,D,20210825,000000,49.985,49.985,49.985,49.985,1,0
MUSI.US,D,20210826,000000,49.995,49.995,49.995,49.995,1,0
MUSI.US,D,20210827,000000,50.09,50.09,50.09,50.09,29,0
MUSI.US,D,20210830,000000,50.09,50.09,50.09,50.09,1,0
MUSI.US,D,20210831,000000,50.13,50.13,50.13,50.13,1,0
MUSI.US,D,20210901,000000,50.005,50.005,50.005,50.005,1,0
MUSI.US,D,20210902,000000,50.109,50.11,50.075,50.075,385,0
MUSI.US,D,20210903,000000,50.1,50.1,50.1,50.1,42,0
MUSI.US,D,20210907,000000,50.075,50.075,50.075,50.075,5,0
MUSI.US,D,20210908,000000,50.145,50.145,50.145,50.145,1,0
MUSI.US,D,20210909,000000,50.15,50.15,50.15,50.15,6,0
MUSI.US,D,20210910,000000,50.16,50.16,50.16,50.16,50,0
MUSI.US,D,20210913,000000,50.205,50.205,50.205,50.205,2,0
MUSI.US,D,20210914,000000,50.13,50.13,50.13,50.13,2,0
MUSI.US,D,20210915,000000,50.254,50.254,50.254,50.254,1,0
MUSI.US,D,20210916,000000,50.229,50.229,50.229,50.229,2,0
MUSI.US,D,20210917,000000,50.19,50.19,50.19,50.19,1,0
MUSI.US,D,20210920,000000,50.04,50.04,50.04,50.04,37,0
MUSI.US,D,20210921,000000,50.124,50.124,50.124,50.124,36,0
MUSI.US,D,20210922,000000,50.118,50.118,50.118,50.118,1,0
MUSI.US,D,20210923,000000,50.14,50.14,50.14,50.14,5,0
MUSI.US,D,20210924,000000,50.135,50.135,50.135,50.135,4,0
MUSI.US,D,20210927,000000,50.02,50.02,50.02,50.02,36,0
MUSI.US,D,20210928,000000,49.95,49.95,49.93,49.93,501,0
MUSI.US,D,20210929,000000,50.01,50.06,50.01,50.035,212038,0
MUSI.US,D,20210930,000000,50.08,50.08,50.01,50.014,40732,0
MUSI.US,D,20211001,000000,50.06,50.125,50.06,50.105,1327,0
MUSI.US,D,20211004,000000,50.08,50.08,50,50.015,3998,0
MUSI.US,D,20211005,000000,50.03,50.06,49.98,50,6577,0
MUSI.US,D,20211006,000000,49.88,49.96,49.88,49.955,2027,0
MUSI.US,D,20211007,000000,49.95,49.98,49.9058,49.9058,3607,0
MUSI.US,D,20211008,000000,49.9599,49.9599,49.91,49.91,407,0
MUSI.US,D,20211011,000000,49.82,49.885,49.8169,49.8169,1250,0
MUSI.US,D,20211012,000000,49.8,49.8052,49.78,49.79,543,0
MUSI.US,D,20211013,000000,49.79,49.8,49.79,49.8,1157,0
MUSI.US,D,20211014,000000,49.921,49.94,49.921,49.94,409,0
MUSI.US,D,20211015,000000,49.97,49.97,49.935,49.935,759,0
MUSI.US,D,20211018,000000,49.9,49.9,49.9,49.9,46,0
MUSI.US,D,20211019,000000,49.9216,49.9499,49.9216,49.925,626,0
MUSI.US,D,20211020,000000,49.935,49.935,49.935,49.935,272,0
MUSI.US,D,20211021,000000,49.895,49.895,49.895,49.895,157,0
MUSI.US,D,20211022,000000,49.82,49.88,49.82,49.83,788,0
MUSI.US,D,20211025,000000,49.815,49.815,49.8076,49.8076,420,0
MUSI.US,D,20211026,000000,49.825,49.825,49.825,49.825,199,0
MUSI.US,D,20211027,000000,49.865,49.89,49.84,49.8453,1259,0
MUSI.US,D,20211028,000000,49.8857,49.9,49.86,49.89,39997,0
MUSI.US,D,20211029,000000,49.85,49.85,49.825,49.83,40618,0
MUSI.US,D,20211101,000000,49.7,49.7091,49.68,49.6988,756,0
MUSI.US,D,20211102,000000,49.705,49.705,49.705,49.705,179,0
MUSI.US,D,20211103,000000,49.684,49.78,49.684,49.7455,2530,0
MUSI.US,D,20211104,000000,49.79,50,49.78,49.8102,3238,0
MUSI.US,D,20211105,000000,49.92,49.95,49.905,49.93,3632,0
MUSI.US,D,20211108,000000,49.945,49.95,49.905,49.905,833,0
MUSI.US,D,20211109,000000,49.9505,49.965,49.93,49.96,716,0
MUSI.US,D,20211110,000000,49.845,49.8452,49.7836,49.79,257231,0
MUSI.US,D,20211111,000000,49.8194,49.8194,49.805,49.805,202,0
MUSI.US,D,20211112,000000,49.79,49.79,49.79,49.79,31,0
MUSI.US,D,20211115,000000,49.71,49.71,49.7,49.7,3633,0
MUSI.US,D,20211116,000000,49.665,49.665,49.64,49.645,772,0
MUSI.US,D,20211117,000000,49.635,49.635,49.63,49.635,828,0
MUSI.US,D,20211118,000000,49.685,49.685,49.62,49.66,1631,0
MUSI.US,D,20211119,000000,49.6555,49.6555,49.605,49.605,492,0
MUSI.US,D,20211122,000000,49.57,49.57,49.53,49.53,2834,0
MUSI.US,D,20211123,000000,49.4719,49.4927,49.435,49.435,1427,0
MUSI.US,D,20211124,000000,49.368,49.368,49.365,49.365,541,0
MUSI.US,D,20211126,000000,49.15,49.15,49.1287,49.1287,199,0
MUSI.US,D,20211129,000000,49.191,49.2198,49.19,49.2198,825,0
MUSI.US,D,20211130,000000,49.1419,49.1419,49.1419,49.1419,278,0
MUSI.US,D,20211201,000000,49.05,49.065,49.05,49.065,421,0
MUSI.US,D,20211202,000000,49.07,49.1792,49.07,49.1792,586,0
MUSI.US,D,20211203,000000,49.175,49.18,49.1748,49.1748,551,0
MUSI.US,D,20211206,000000,49.2401,49.255,49.23,49.255,919,0
MUSI.US,D,20211207,000000,49.44,49.44,49.39,49.4133,1288,0
MUSI.US,D,20211208,000000,49.46,49.46,49.43,49.43,518,0
MUSI.US,D,20211209,000000,49.45,49.47,49.4095,49.4095,5283,0
MUSI.US,D,20211210,000000,49.48,49.51,49.48,49.51,331,0
MUSI.US,D,20211213,000000,49.43,49.43,49.425,49.425,245,0
MUSI.US,D,20211214,000000,49.45,49.45,49.435,49.435,113240,0
MUSI.US,D,20211215,000000,49.361,49.4654,49.36,49.4654,1235,0
MUSI.US,D,20211216,000000,49.25,49.27,49.25,49.27,350,0
MUSI.US,D,20211217,000000,49.31,49.31,49.275,49.275,716,0
MUSI.US,D,20211220,000000,49.26,49.295,49.26,49.295,386,0
MUSI.US,D,20211221,000000,49.275,49.3203,49.275,49.3203,1066,0
MUSI.US,D,20211222,000000,49.33,49.415,49.33,49.415,542,0
MUSI.US,D,20211223,000000,49.37,49.44,49.37,49.44,1064,0
MUSI.US,D,20211227,000000,49.451,49.5,49.451,49.48,1073,0
MUSI.US,D,20211228,000000,49.475,49.489,49.431,49.4597,1182,0
MUSI.US,D,20211229,000000,49.48,49.5,49.45,49.5,814,0
MUSI.US,D,20211230,000000,49.511,49.515,49.49,49.5,742,0
MUSI.US,D,20211231,000000,49.5699,49.5699,49.5699,49.5699,219,0
MUSI.US,D,20220103,000000,49.52,49.52,49.495,49.495,304,0
MUSI.US,D,20220104,000000,49.45,49.48,49.45,49.48,212,0
MUSI.US,D,20220105,000000,49.42,49.42,49.3209,49.3209,746,0
MUSI.US,D,20220106,000000,49.305,49.305,49.2951,49.2951,537,0
MUSI.US,D,20220107,000000,49.2692,49.27,49.21,49.2235,1090,0
MUSI.US,D,20220110,000000,49.06,49.06,49.055,49.06,3397,0
MUSI.US,D,20220111,000000,49.09,49.22,49.09,49.2001,2009,0
MUSI.US,D,20220112,000000,49.245,49.245,49.225,49.225,168,0
MUSI.US,D,20220113,000000,49.22,49.24,49.2,49.2,759,0
MUSI.US,D,20220114,000000,49.1038,49.145,49.1038,49.145,283,0
MUSI.US,D,20220118,000000,48.8509,48.8509,48.8509,48.8509,58,0
MUSI.US,D,20220119,000000,49.02,49.02,48.937,48.937,1286,0
MUSI.US,D,20220120,000000,49,49.015,48.9262,48.9262,585,0
MUSI.US,D,20220121,000000,48.95,48.99,48.93,48.93,3571,0
