<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCZ.US,D,20050225,000000,3.9617,3.9935,3.9501,3.9668,918637,0
NCZ.US,D,20050228,000000,3.9588,3.9648,3.9501,3.9617,559558,0
NCZ.US,D,20050301,000000,3.9791,3.9879,3.9588,3.9879,497094,0
NCZ.US,D,20050302,000000,3.973,4.0521,3.9702,4.0141,898728,0
NCZ.US,D,20050303,000000,4.049,4.049,4.0171,4.0263,516311,0
NCZ.US,D,20050304,000000,4.0344,4.0462,4.023,4.0462,469619,0
NCZ.US,D,20050307,000000,4.04,4.0521,4.0313,4.0521,333344,0
NCZ.US,D,20050308,000000,4.0434,4.0728,4.04,4.04,484720,0
NCZ.US,D,20050309,000000,4.0344,4.0344,3.947,3.9588,475448,0
NCZ.US,D,20050310,000000,3.9442,3.9588,3.9094,3.921,513223,0
NCZ.US,D,20050311,000000,3.9267,3.9322,3.8597,3.8743,621354,0
NCZ.US,D,20050314,000000,3.8891,3.8891,3.8191,3.8364,624437,0
NCZ.US,D,20050315,000000,3.8624,3.8624,3.8014,3.8159,661174,0
NCZ.US,D,20050316,000000,3.8191,3.8191,3.7698,3.8014,752841,0
NCZ.US,D,20050317,000000,3.7987,3.8398,3.781,3.8333,600415,0
NCZ.US,D,20050318,000000,3.8509,3.877,3.8043,3.8191,590460,0
NCZ.US,D,20050321,000000,3.8014,3.8106,3.734,3.7665,698593,0
NCZ.US,D,20050322,000000,3.775,3.7785,3.7319,3.7519,488503,0
NCZ.US,D,20050323,000000,3.7319,3.7319,3.5712,3.6559,1348781,0
NCZ.US,D,20050324,000000,3.5973,3.7171,3.5829,3.6761,877796,0
NCZ.US,D,20050328,000000,3.6498,3.7052,3.6385,3.6848,568491,0
NCZ.US,D,20050329,000000,3.7052,3.7519,3.6761,3.6848,827675,0
NCZ.US,D,20050330,000000,3.7112,3.734,3.7052,3.7319,366293,0
NCZ.US,D,20050331,000000,3.7377,3.775,3.7139,3.7544,448675,0
NCZ.US,D,20050401,000000,3.8159,3.8159,3.7224,3.7319,473742,0
NCZ.US,D,20050404,000000,3.7461,3.8858,3.7319,3.7868,758676,0
NCZ.US,D,20050405,000000,3.7868,3.8218,3.7868,3.8106,446272,0
NCZ.US,D,20050406,000000,3.8191,3.8509,3.8191,3.848,383447,0
NCZ.US,D,20050407,000000,3.8364,3.848,3.8159,3.8191,324063,0
NCZ.US,D,20050408,000000,3.8509,3.8509,3.7899,3.8106,349466,0
NCZ.US,D,20050411,000000,3.7927,3.8073,3.775,3.7868,421209,0
NCZ.US,D,20050412,000000,3.7606,3.7606,3.72,3.7461,677997,0
NCZ.US,D,20050413,000000,3.6879,3.7258,3.6879,3.7081,215927,0
NCZ.US,D,20050414,000000,3.6761,3.7052,3.6612,3.6792,510125,0
NCZ.US,D,20050415,000000,3.659,3.67,3.6208,3.6559,415722,0
NCZ.US,D,20050418,000000,3.6559,3.659,3.6004,3.6208,305183,0
NCZ.US,D,20050419,000000,3.6324,3.6761,3.6234,3.6677,565737,0
NCZ.US,D,20050420,000000,3.6731,3.691,3.6442,3.6528,523863,0
NCZ.US,D,20050421,000000,3.6528,3.7139,3.6528,3.7139,403363,0
NCZ.US,D,20050422,000000,3.7139,3.7319,3.6997,3.7258,462398,0
NCZ.US,D,20050425,000000,3.7377,3.7461,3.72,3.7258,458273,0
NCZ.US,D,20050426,000000,3.7112,3.7258,3.6933,3.7052,547551,0
NCZ.US,D,20050427,000000,3.729,3.7431,3.7052,3.7431,355995,0
NCZ.US,D,20050428,000000,3.7491,3.784,3.7377,3.7698,398563,0
NCZ.US,D,20050429,000000,3.7698,3.7785,3.734,3.7544,356670,0
NCZ.US,D,20050502,000000,3.7377,3.7698,3.7377,3.7606,361136,0
NCZ.US,D,20050503,000000,3.734,3.781,3.734,3.7785,288710,0
NCZ.US,D,20050504,000000,3.7785,3.8218,3.7698,3.8159,332301,0
NCZ.US,D,20050505,000000,3.8191,3.8624,3.813,3.8398,337452,0
NCZ.US,D,20050506,000000,3.8538,3.8624,3.8308,3.848,295923,0
NCZ.US,D,20050509,000000,3.8597,3.8658,3.848,3.8658,339508,0
NCZ.US,D,20050510,000000,3.8565,3.8804,3.8509,3.8509,381746,0
NCZ.US,D,20050511,000000,3.8043,3.8247,3.8014,3.8218,315816,0
NCZ.US,D,20050512,000000,3.8159,3.8308,3.7665,3.7698,426016,0
NCZ.US,D,20050513,000000,3.7868,3.7954,3.7606,3.7698,330600,0
NCZ.US,D,20050516,000000,3.7544,3.7579,3.7258,3.7258,404737,0
NCZ.US,D,20050517,000000,3.7171,3.7258,3.6761,3.6933,452811,0
NCZ.US,D,20050518,000000,3.7052,3.7579,3.6933,3.7431,471326,0
NCZ.US,D,20050519,000000,3.7461,3.7868,3.7461,3.7785,322699,0
NCZ.US,D,20050520,000000,3.784,3.8333,3.7698,3.8247,354956,0
NCZ.US,D,20050523,000000,3.8308,3.8624,3.8106,3.8333,377975,0
NCZ.US,D,20050524,000000,3.8218,3.8509,3.8159,3.8398,468260,0
NCZ.US,D,20050525,000000,3.842,3.842,3.8159,3.8364,305533,0
NCZ.US,D,20050526,000000,3.8398,3.8597,3.8308,3.8565,342964,0
NCZ.US,D,20050527,000000,3.8597,3.8624,3.8454,3.8624,239614,0
NCZ.US,D,20050531,000000,3.8624,3.9004,3.8624,3.8973,291113,0
NCZ.US,D,20050601,000000,3.8891,3.8973,3.877,3.8804,468601,0
NCZ.US,D,20050602,000000,3.8858,3.8891,3.8624,3.8716,271547,0
NCZ.US,D,20050603,000000,3.877,3.915,3.8682,3.9036,307594,0
NCZ.US,D,20050606,000000,3.9119,3.915,3.9036,3.9063,316866,0
NCZ.US,D,20050607,000000,3.915,3.9267,3.8919,3.9036,511486,0
NCZ.US,D,20050608,000000,3.8624,3.9036,3.8624,3.8947,282181,0
NCZ.US,D,20050609,000000,3.8973,3.9004,3.8716,3.883,458641,0
NCZ.US,D,20050610,000000,3.8658,3.877,3.8454,3.8716,405075,0
NCZ.US,D,20050613,000000,3.8597,3.877,3.8218,3.8218,370077,0
NCZ.US,D,20050614,000000,3.8364,3.8597,3.8218,3.8308,470999,0
NCZ.US,D,20050615,000000,3.8218,3.848,3.8043,3.8364,418121,0
NCZ.US,D,20050616,000000,3.848,3.8624,3.842,3.8538,548570,0
NCZ.US,D,20050617,000000,3.8597,3.8919,3.8597,3.8804,334008,0
NCZ.US,D,20050620,000000,3.8973,3.9178,3.8804,3.8947,420874,0
NCZ.US,D,20050621,000000,3.9036,3.9036,3.8716,3.8858,433904,0
NCZ.US,D,20050622,000000,3.8858,3.9004,3.8682,3.9004,447657,0
NCZ.US,D,20050623,000000,3.883,3.8919,3.8624,3.8743,346041,0
NCZ.US,D,20050624,000000,3.8716,3.9063,3.8682,3.8973,256772,0
NCZ.US,D,20050627,000000,3.8804,3.915,3.8658,3.8891,392387,0
NCZ.US,D,20050628,000000,3.8919,3.9267,3.8891,3.9036,503938,0
NCZ.US,D,20050629,000000,3.9036,3.9178,3.8919,3.9036,366637,0
NCZ.US,D,20050630,000000,3.915,3.9297,3.9036,3.9267,345345,0
NCZ.US,D,20050701,000000,3.947,3.9702,3.9267,3.9617,369381,0
NCZ.US,D,20050705,000000,3.973,3.9935,3.9648,3.9879,319605,0
NCZ.US,D,20050706,000000,3.9964,4.0171,3.9819,3.9879,634048,0
NCZ.US,D,20050707,000000,3.9879,4.0285,3.9761,4.0026,516992,0
NCZ.US,D,20050708,000000,4.0026,4.0171,3.9879,3.9994,447308,0
NCZ.US,D,20050711,000000,4.0026,4.0199,3.9879,4.0199,428081,0
NCZ.US,D,20050712,000000,4.023,4.0462,4.0199,4.0313,592530,0
NCZ.US,D,20050713,000000,4.0114,4.0199,3.947,3.9819,462742,0
NCZ.US,D,20050714,000000,4.008,4.0199,3.9819,4.0141,560256,0
NCZ.US,D,20050715,000000,4.023,4.023,3.9819,3.9994,359072,0
NCZ.US,D,20050718,000000,4.0052,4.0114,3.9761,3.9906,433563,0
NCZ.US,D,20050719,000000,4.0052,4.0199,3.9935,4.0141,377975,0
NCZ.US,D,20050720,000000,4.0052,4.0199,3.9964,4.008,383447,0
NCZ.US,D,20050721,000000,4.0344,4.0344,3.9964,4.0052,386218,0
NCZ.US,D,20050722,000000,4.023,4.023,4.0026,4.0199,371095,0
NCZ.US,D,20050725,000000,4.0344,4.0344,4.0026,4.0141,453152,0
NCZ.US,D,20050726,000000,4.0313,4.0313,3.9964,3.9964,487812,0
NCZ.US,D,20050727,000000,4.0026,4.0199,3.9964,4.0114,491936,0
