<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NDJI.US,D,20211222,000000,24.7,24.85,24.7,24.8482,31951,0
NDJI.US,D,20211223,000000,24.99,25.05,24.99,25.0044,4477,0
NDJI.US,D,20211227,000000,25.055,25.1602,25.055,25.1602,740,0
NDJI.US,D,20211228,000000,25.31,25.31,25.23,25.2346,1339,0
NDJI.US,D,20211229,000000,25.32,25.34,25.32,25.3294,748,0
NDJI.US,D,20211230,000000,25.44,25.44,25.28,25.28,2776,0
NDJI.US,D,20211231,000000,25.25,25.25,25.2068,25.2159,4031,0
NDJI.US,D,20220103,000000,25.33,25.3422,25.2,25.3422,3102,0
NDJI.US,D,20220104,000000,25.5299,25.62,25.505,25.5267,6534,0
NDJI.US,D,20220105,000000,25.54,25.63,25.2738,25.2738,8448,0
NDJI.US,D,20220106,000000,25.24,25.2499,25.11,25.1312,4042,0
NDJI.US,D,20220107,000000,25.17,25.23,25.1,25.141,5042,0
NDJI.US,D,20220110,000000,25.11,25.11,24.765,25,10002,0
NDJI.US,D,20220111,000000,24.95,25.15,24.83,25.1194,11907,0
NDJI.US,D,20220112,000000,25.17,25.25,25.1097,25.1658,12264,0
NDJI.US,D,20220113,000000,25.25,25.26,25,25.0464,128625,0
NDJI.US,D,20220114,000000,24.83,25.01,24.69,24.9,198401,0
NDJI.US,D,20220118,000000,24.68,24.68,24.4701,24.4958,11342,0
NDJI.US,D,20220119,000000,24.64,24.66,24.3172,24.3172,70593,0
NDJI.US,D,20220120,000000,24.4066,24.62,24.07,24.11,8060,0
NDJI.US,D,20220121,000000,24.18,24.216,24.18,24.2097,6069,0
