<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFNT-U.US,D,20211122,000000,10.09,10.12,10.07,10.08,1153196,0
NFNT-U.US,D,20211123,000000,10.3,10.3,10.07,10.07,79340,0
NFNT-U.US,D,20211124,000000,10.14,10.1898,10.1,10.1,20071,0
NFNT-U.US,D,20211126,000000,10.05,10.13,10.05,10.13,11403,0
NFNT-U.US,D,20211129,000000,10.14,10.2,10.0799,10.105,267705,0
NFNT-U.US,D,20211130,000000,10.09,10.1599,10.09,10.1,26175,0
NFNT-U.US,D,20211201,000000,10.0926,10.12,10.0926,10.105,40356,0
NFNT-U.US,D,20211202,000000,10.05,10.09,10.05,10.08,22622,0
NFNT-U.US,D,20211203,000000,10.05,10.1092,10.035,10.04,43612,0
NFNT-U.US,D,20211206,000000,10.08,10.08,10.0622,10.08,103361,0
NFNT-U.US,D,20211207,000000,10.118,10.1643,10.07,10.07,68748,0
NFNT-U.US,D,20211208,000000,10.06,10.0615,10.03,10.03,48113,0
NFNT-U.US,D,20211209,000000,10.02,10.1,10,10.0767,1853,0
NFNT-U.US,D,20211210,000000,10.081,10.09,10.05,10.09,2093,0
NFNT-U.US,D,20211213,000000,10.09,10.09,10.06,10.06,8229,0
NFNT-U.US,D,20211214,000000,10.0101,10.05,10.0101,10.04,139393,0
NFNT-U.US,D,20211215,000000,10.0469,10.058,10.04,10.04,103379,0
NFNT-U.US,D,20211216,000000,10.0402,10.0402,10.04,10.04,10301,0
NFNT-U.US,D,20211217,000000,10.09,10.09,10.01,10.025,106676,0
NFNT-U.US,D,20211220,000000,10.09,10.0901,10.03,10.0869,15800,0
NFNT-U.US,D,20211221,000000,10.09,10.09,10.02,10.04,30686,0
NFNT-U.US,D,20211222,000000,10.12,10.12,10.02,10.02,11173,0
NFNT-U.US,D,20211223,000000,10.02,10.0735,10.02,10.02,6590,0
NFNT-U.US,D,20211227,000000,10.08,10.08,10.05,10.08,2692,0
NFNT-U.US,D,20211228,000000,10.05,10.08,10.05,10.08,3409,0
NFNT-U.US,D,20211229,000000,10.08,10.08,10.04,10.04,8293,0
NFNT-U.US,D,20211230,000000,10.0499,10.09,10.03,10.0623,65952,0
NFNT-U.US,D,20211231,000000,10.05,10.07,10.05,10.07,1158,0
NFNT-U.US,D,20220103,000000,10.08,10.1,10.04,10.1,10992,0
NFNT-U.US,D,20220104,000000,10.0337,10.0819,10.0337,10.0819,1696,0
NFNT-U.US,D,20220105,000000,10.0301,10.0302,10.03,10.0302,9401,0
NFNT-U.US,D,20220106,000000,10.015,10.04,10.01,10.04,20724,0
NFNT-U.US,D,20220110,000000,10.1,10.11,10.1,10.11,5470,0
NFNT-U.US,D,20220111,000000,10.11,10.12,10.11,10.12,11931,0
NFNT-U.US,D,20220112,000000,10.1,10.125,10.1,10.11,12636,0
NFNT-U.US,D,20220113,000000,10.12,10.12,10.12,10.12,3202,0
NFNT-U.US,D,20220114,000000,10.12,10.12,10.08,10.12,28704,0
NFNT-U.US,D,20220118,000000,10.095,10.11,10.09,10.09,31951,0
NFNT-U.US,D,20220119,000000,10.07,10.07,10.07,10.07,3796,0
NFNT-U.US,D,20220120,000000,10.05,10.1,10.05,10.08,2132,0
NFNT-U.US,D,20220121,000000,10.095,10.095,10.06,10.06,3471,0
