<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFYS.US,D,20211201,000000,10.02,10.02,9.6981,9.7,19515,0
NFYS.US,D,20211206,000000,9.84,9.84,9.84,9.84,100,0
NFYS.US,D,20211207,000000,9.67,9.7174,9.67,9.67,24237,0
NFYS.US,D,20211209,000000,9.66,9.68,9.64,9.67,88201,0
NFYS.US,D,20211210,000000,9.66,9.66,9.64,9.64,501,0
NFYS.US,D,20211213,000000,9.64,9.65,9.64,9.64,87463,0
NFYS.US,D,20211214,000000,9.8,9.8,9.7595,9.8,7796,0
NFYS.US,D,20211215,000000,9.67,9.68,9.67,9.68,10400,0
NFYS.US,D,20211216,000000,9.645,9.67,9.645,9.66,24387,0
NFYS.US,D,20211217,000000,9.65,9.65,9.635,9.635,597,0
NFYS.US,D,20211220,000000,9.64,9.64,9.63,9.63,2485,0
NFYS.US,D,20211221,000000,9.64,9.66,9.63,9.66,5400,0
NFYS.US,D,20211222,000000,9.67,9.67,9.67,9.67,202,0
NFYS.US,D,20211223,000000,9.67,9.67,9.665,9.67,2003,0
NFYS.US,D,20211227,000000,9.78,9.78,9.64,9.64,5610,0
NFYS.US,D,20211228,000000,9.66,9.66,9.645,9.645,5101,0
NFYS.US,D,20211230,000000,9.65,9.65,9.65,9.65,2003,0
NFYS.US,D,20211231,000000,9.66,9.66,9.6398,9.6398,801,0
NFYS.US,D,20220103,000000,9.66,9.68,9.63,9.66,6272,0
NFYS.US,D,20220105,000000,9.65,9.65,9.62,9.65,49350,0
NFYS.US,D,20220106,000000,9.65,9.65,9.65,9.65,389572,0
NFYS.US,D,20220107,000000,9.65,9.67,9.65,9.67,2013,0
NFYS.US,D,20220110,000000,9.65,9.68,9.65,9.68,1476,0
NFYS.US,D,20220111,000000,9.68,9.68,9.6799,9.6799,8702,0
NFYS.US,D,20220112,000000,9.68,9.725,9.68,9.68,205752,0
NFYS.US,D,20220113,000000,9.75,9.75,9.73,9.73,2463,0
NFYS.US,D,20220114,000000,9.72,9.72,9.72,9.72,200002,0
NFYS.US,D,20220118,000000,9.72,9.73,9.69,9.72,1356,0
NFYS.US,D,20220119,000000,9.68,9.68,9.68,9.68,5018,0
