<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMAI.US,D,20211123,000000,19.4,19.5799,18.82,18.82,61724,0
NMAI.US,D,20211124,000000,18.7,18.81,17.76,18.15,193557,0
NMAI.US,D,20211126,000000,17.75,18.15,17.75,18.1101,175051,0
NMAI.US,D,20211129,000000,18.02,18.21,17.7,18.1,187972,0
NMAI.US,D,20211130,000000,18.07,18.21,17.75,17.82,158386,0
NMAI.US,D,20211201,000000,17.85,18.1,17.8,17.93,112430,0
NMAI.US,D,20211202,000000,18.27,19.22,18.21,18.69,289650,0
NMAI.US,D,20211203,000000,18.68,18.75,18.36,18.41,93950,0
NMAI.US,D,20211206,000000,18.36,18.8,18.36,18.42,109998,0
NMAI.US,D,20211207,000000,18.65,18.8,18.36,18.51,112234,0
NMAI.US,D,20211208,000000,18.5,18.65,18.37,18.62,73130,0
NMAI.US,D,20211209,000000,18.55,18.75,18.27,18.28,109557,0
NMAI.US,D,20211210,000000,18.4,18.54,18.29,18.35,91415,0
NMAI.US,D,20211213,000000,18.31,18.51,18.01,18.07,141433,0
NMAI.US,D,20211214,000000,17.64,17.93,17.64,17.77,49435,0
NMAI.US,D,20211215,000000,17.6,17.85,17.6,17.71,73683,0
NMAI.US,D,20211216,000000,17.72,18,17.44,17.48,174692,0
NMAI.US,D,20211217,000000,17.49,17.825,17.38,17.75,120843,0
NMAI.US,D,20211220,000000,17.55,17.6999,17.35,17.44,74630,0
NMAI.US,D,20211221,000000,17.53,17.75,17.3811,17.59,107897,0
NMAI.US,D,20211222,000000,17.59,18.24,17.58,18.06,94788,0
NMAI.US,D,20211223,000000,18.23,18.3079,18,18.27,89726,0
NMAI.US,D,20211227,000000,18.14,18.27,18.065,18.22,73069,0
NMAI.US,D,20211228,000000,18.11,18.34,18.1,18.25,75939,0
NMAI.US,D,20211229,000000,18.16,18.22,18.0195,18.17,83565,0
NMAI.US,D,20211230,000000,18.14,18.35,18.1,18.26,57404,0
NMAI.US,D,20211231,000000,18.35,18.65,18.2734,18.65,158535,0
NMAI.US,D,20220103,000000,18.7,18.9,18.56,18.81,98785,0
NMAI.US,D,20220104,000000,18.79,18.88,18.67,18.86,72413,0
NMAI.US,D,20220105,000000,18.65,18.9,18.61,18.74,105151,0
NMAI.US,D,20220106,000000,18.74,18.84,18.5931,18.8,64298,0
NMAI.US,D,20220107,000000,18.8,18.9,18.5,18.56,58762,0
NMAI.US,D,20220110,000000,18.68,18.68,18.4,18.6,70156,0
NMAI.US,D,20220111,000000,18.68,18.69,18.51,18.67,52579,0
NMAI.US,D,20220112,000000,18.53,18.68,18.51,18.64,64037,0
NMAI.US,D,20220113,000000,18.56,18.69,18.3,18.49,58063,0
NMAI.US,D,20220114,000000,18.44,19.22,18.3577,19.05,245312,0
NMAI.US,D,20220118,000000,18.8,19.17,18.8,19.07,230675,0
NMAI.US,D,20220119,000000,19,19.16,18.82,18.99,133951,0
NMAI.US,D,20220120,000000,18.89,19.1,18.83,18.98,166654,0
NMAI.US,D,20220121,000000,18.9,18.96,18.15,18.15,855607,0
