<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NP.US,D,20050225,000000,28.461,28.546,26.895,27.66,531707,0
NP.US,D,20050228,000000,27.66,27.669,27.252,27.31,207401,0
NP.US,D,20050301,000000,27.31,27.596,27.286,27.545,182424,0
NP.US,D,20050302,000000,27.651,27.753,27.286,27.402,155519,0
NP.US,D,20050303,000000,27.417,27.417,26.798,26.876,83684,0
NP.US,D,20050304,000000,26.895,27.807,26.895,27.729,378242,0
NP.US,D,20050307,000000,27.807,27.979,27.44,27.447,264049,0
NP.US,D,20050308,000000,27.447,27.447,26.814,26.89,211395,0
NP.US,D,20050309,000000,26.876,27.382,26.876,27.047,101192,0
NP.US,D,20050310,000000,26.954,26.979,26.588,26.844,210622,0
NP.US,D,20050311,000000,26.733,26.954,26.566,26.954,130673,0
NP.US,D,20050314,000000,26.954,26.954,25.67,25.905,212809,0
NP.US,D,20050315,000000,25.982,26.369,25.945,26.295,200067,0
NP.US,D,20050316,000000,26.175,26.41,25.969,26.353,180239,0
NP.US,D,20050317,000000,26.549,26.602,26.319,26.602,172384,0
NP.US,D,20050318,000000,26.681,26.681,26.369,26.574,138908,0
NP.US,D,20050321,000000,26.494,26.644,26.058,26.517,70549,0
NP.US,D,20050322,000000,26.798,26.905,26.384,26.549,110462,0
NP.US,D,20050323,000000,26.549,26.549,25.066,25.61,217060,0
NP.US,D,20050324,000000,25.05,26.099,24.71,25.857,416480,0
NP.US,D,20050328,000000,25.913,26.798,25.913,26.588,160927,0
NP.US,D,20050329,000000,26.347,26.353,26.141,26.164,309882,0
NP.US,D,20050330,000000,26.081,26.156,25.913,26.029,211008,0
NP.US,D,20050331,000000,26.029,26.205,25.991,26.116,138140,0
NP.US,D,20050401,000000,25.982,26.058,25.712,25.881,204442,0
NP.US,D,20050404,000000,25.788,25.819,25.557,25.602,130160,0
NP.US,D,20050405,000000,25.447,25.571,25.392,25.439,117669,0
NP.US,D,20050406,000000,25.447,25.593,25.398,25.501,162473,0
NP.US,D,20050407,000000,25.492,25.803,25.475,25.64,105824,0
NP.US,D,20050408,000000,25.712,25.819,25.593,25.773,166717,0
NP.US,D,20050411,000000,25.969,26.058,25.378,25.447,119733,0
NP.US,D,20050412,000000,25.37,25.587,25.322,25.501,170071,0
NP.US,D,20050413,000000,25.695,25.695,25.075,25.531,232896,0
NP.US,D,20050414,000000,25.339,25.439,24.958,25.05,104279,0
NP.US,D,20050415,000000,25.05,25.166,24.974,25.166,166465,0
NP.US,D,20050418,000000,25.05,25.127,25.01,25.05,152687,0
NP.US,D,20050419,000000,25.01,25.127,24.983,25.075,182559,0
NP.US,D,20050420,000000,25.075,25.127,24.66,24.739,210361,0
NP.US,D,20050421,000000,24.739,24.739,24.196,24.467,265208,0
NP.US,D,20050422,000000,24.467,24.506,23.667,23.667,376055,0
NP.US,D,20050425,000000,23.782,23.966,23.458,23.758,291860,0
NP.US,D,20050426,000000,23.651,23.975,23.612,23.767,132732,0
NP.US,D,20050427,000000,23.692,23.798,23.536,23.564,159896,0
