<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSCS.US,D,20210806,000000,25.55,25.55,25.5467,25.5467,90090,0
NSCS.US,D,20210809,000000,25.4599,25.4599,25.3245,25.3245,610,0
NSCS.US,D,20210810,000000,25.378,25.3799,25.335,25.335,581,0
NSCS.US,D,20210811,000000,25.4282,25.5,25.25,25.4991,1318,0
NSCS.US,D,20210812,000000,25.47,25.5195,25.47,25.5195,537,0
NSCS.US,D,20210813,000000,25.3092,25.3092,25.3092,25.3092,259,0
NSCS.US,D,20210816,000000,25.1715,25.1715,25.1715,25.1715,78,0
NSCS.US,D,20210817,000000,24.842,24.842,24.842,24.842,40,0
NSCS.US,D,20210818,000000,24.6396,24.6396,24.6396,24.6396,150,0
NSCS.US,D,20210819,000000,24.3455,24.3455,24.3455,24.3455,71,0
NSCS.US,D,20210820,000000,24.545,24.7122,24.545,24.7122,416,0
NSCS.US,D,20210823,000000,25.05,25.1318,25.05,25.1318,445,0
NSCS.US,D,20210824,000000,25.286,25.286,25.286,25.286,33,0
NSCS.US,D,20210825,000000,25.4808,25.4808,25.4808,25.4808,67,0
NSCS.US,D,20210826,000000,25.2471,25.2471,25.2471,25.2471,103,0
NSCS.US,D,20210827,000000,25.55,25.8236,25.55,25.8236,555,0
NSCS.US,D,20210830,000000,25.82,25.82,25.6825,25.6825,1107,0
NSCS.US,D,20210831,000000,25.59,25.6777,25.58,25.6777,286,0
NSCS.US,D,20210901,000000,25.86,25.87,25.806,25.806,237,0
NSCS.US,D,20210902,000000,25.97,26.1,25.97,26.0045,572,0
NSCS.US,D,20210903,000000,25.8399,25.9063,25.8313,25.9063,233,0
NSCS.US,D,20210907,000000,25.75,25.75,25.6692,25.6692,30029,0
NSCS.US,D,20210908,000000,25.3585,25.3585,25.3585,25.3585,99,0
NSCS.US,D,20210909,000000,25.3694,25.3694,25.3694,25.3694,36,0
NSCS.US,D,20210910,000000,26.3,26.3,25.1045,25.1045,440,0
NSCS.US,D,20210913,000000,25.15,25.2065,25.11,25.2065,402,0
NSCS.US,D,20210914,000000,25.0698,25.0698,24.8495,24.8495,2001,0
NSCS.US,D,20210915,000000,25.1293,25.1293,25.1293,25.1293,22,0
NSCS.US,D,20210916,000000,25.1383,25.1383,25.1383,25.1383,2,0
NSCS.US,D,20210917,000000,25.11,25.13,24.93,25.1067,2207,0
NSCS.US,D,20210920,000000,24.61,24.63,24.3,24.6127,4000,0
NSCS.US,D,20210921,000000,24.6652,24.6652,24.6652,24.6652,2044,0
NSCS.US,D,20210922,000000,25.0411,25.0411,25.0411,25.0411,30,0
NSCS.US,D,20210923,000000,25.4545,25.4545,25.4545,25.4545,126,0
NSCS.US,D,20210924,000000,25.3,25.49,25.3,25.3566,517,0
NSCS.US,D,20210927,000000,25.67,25.72,25.6257,25.6257,5296,0
NSCS.US,D,20210928,000000,25.26,25.26,25.016,25.016,955,0
NSCS.US,D,20210929,000000,25.03,25.0492,25.0299,25.0492,200,0
NSCS.US,D,20210930,000000,24.92,24.92,24.7866,24.7866,174,0
NSCS.US,D,20211001,000000,24.98,25.25,24.98,25.1888,887,0
NSCS.US,D,20211004,000000,24.98,24.99,24.9099,24.9621,593,0
NSCS.US,D,20211005,000000,25.11,25.11,25.045,25.045,210,0
NSCS.US,D,20211006,000000,24.75,24.8909,24.75,24.8909,626,0
NSCS.US,D,20211007,000000,25.3305,25.3305,25.3305,25.3305,192,0
NSCS.US,D,20211008,000000,25.34,25.34,25.1417,25.1417,210,0
NSCS.US,D,20211011,000000,24.9988,24.9988,24.9988,24.9988,113,0
NSCS.US,D,20211012,000000,25.1202,25.1202,25.1202,25.1202,72,0
NSCS.US,D,20211013,000000,25.15,25.2365,25.15,25.2365,206,0
NSCS.US,D,20211014,000000,25.52,25.5882,25.52,25.5882,302,0
NSCS.US,D,20211015,000000,25.81,25.84,25.6053,25.6053,2335,0
NSCS.US,D,20211018,000000,25.65,25.658,25.55,25.658,2155,0
NSCS.US,D,20211019,000000,25.74,25.8,25.7187,25.7187,1544,0
NSCS.US,D,20211020,000000,25.97,25.97,25.912,25.912,1375,0
NSCS.US,D,20211021,000000,25.94,26.08,25.8865,26.0108,1967,0
NSCS.US,D,20211022,000000,26.01,26.0417,25.88,26.0417,1111,0
NSCS.US,D,20211025,000000,26.77,26.77,26.2575,26.2575,1571,0
NSCS.US,D,20211026,000000,26.14,26.17,26.0965,26.0965,605,0
NSCS.US,D,20211027,000000,26.51,26.51,25.6428,25.6428,1603,0
NSCS.US,D,20211028,000000,26.75,26.75,25.97,26.1372,2484,0
NSCS.US,D,20211029,000000,26.15,26.23,26.12,26.2187,4251,0
NSCS.US,D,20211101,000000,26.56,26.794,26.5498,26.794,1666,0
NSCS.US,D,20211102,000000,26.36,26.77,26.36,26.6987,2570,0
NSCS.US,D,20211103,000000,27.14,27.26,27.07,27.207,1125,0
NSCS.US,D,20211104,000000,27.39,27.39,27.2962,27.2962,409,0
NSCS.US,D,20211105,000000,27.76,27.77,27.6743,27.6743,337,0
NSCS.US,D,20211108,000000,27.86,27.88,27.7,27.7175,1312,0
NSCS.US,D,20211109,000000,28.29,28.29,27.6949,27.6949,1501,0
NSCS.US,D,20211110,000000,27.65,27.65,27.291,27.291,1006,0
NSCS.US,D,20211111,000000,27.01,27.49,27.01,27.4305,790,0
NSCS.US,D,20211112,000000,27.48,27.48,27.4655,27.4655,300,0
NSCS.US,D,20211115,000000,27.48,27.56,27.4645,27.5589,620,0
NSCS.US,D,20211116,000000,27.655,27.655,27.6517,27.6517,250,0
NSCS.US,D,20211117,000000,27.47,27.51,27.2899,27.379,4242,0
NSCS.US,D,20211118,000000,27.06,27.16,26.9899,27.1029,767,0
NSCS.US,D,20211119,000000,26.8132,26.8132,26.8132,26.8132,64,0
NSCS.US,D,20211122,000000,26.67,26.77,26.63,26.63,737,0
NSCS.US,D,20211123,000000,26.37,26.5895,26.3692,26.5895,1097,0
NSCS.US,D,20211124,000000,26.43,26.6178,26.4299,26.6178,896,0
NSCS.US,D,20211126,000000,25.89,25.89,25.31,25.565,1477,0
NSCS.US,D,20211129,000000,26,26,25.52,25.5612,1175,0
NSCS.US,D,20211130,000000,25.33,25.41,24.8,24.988,3527,0
NSCS.US,D,20211201,000000,25.41,25.41,24.5068,24.5068,2944,0
NSCS.US,D,20211202,000000,25,25.1593,24.6,25.1593,724,0
NSCS.US,D,20211203,000000,24.74,24.78,24.584,24.718,633,0
NSCS.US,D,20211206,000000,25.38,25.38,25.3008,25.3008,269,0
NSCS.US,D,20211207,000000,25.97,26,25.7772,25.7772,818,0
NSCS.US,D,20211208,000000,26.0318,26.0318,26.0318,26.0318,46,0
NSCS.US,D,20211209,000000,25.74,25.74,25.5071,25.5071,371,0
NSCS.US,D,20211210,000000,25.64,25.64,25.4242,25.4242,900,0
NSCS.US,D,20211213,000000,25.2326,25.2326,25.2326,25.2326,87,0
NSCS.US,D,20211214,000000,25.0055,25.0055,25.0055,25.0055,6,0
NSCS.US,D,20211215,000000,24.83,25.3705,24.83,25.3705,465,0
NSCS.US,D,20211216,000000,24.8738,24.8738,24.8738,24.8738,120,0
NSCS.US,D,20211217,000000,24.86,25.08,24.86,25.0027,400,0
NSCS.US,D,20211220,000000,24.44,24.563,24.4,24.563,862,0
NSCS.US,D,20211221,000000,25.3612,25.3612,25.3612,25.3612,137,0
NSCS.US,D,20211222,000000,25.6585,25.6585,25.6585,25.6585,69,0
NSCS.US,D,20211223,000000,25.9079,25.9079,25.9079,25.9079,66,0
NSCS.US,D,20211227,000000,26.0697,26.1502,26.05,26.1502,3277,0
NSCS.US,D,20211228,000000,26.1303,26.2406,26.0903,26.0903,2261,0
NSCS.US,D,20211229,000000,26.08,26.21,26.08,26.1558,1470,0
NSCS.US,D,20211230,000000,26.3399,26.37,26.1081,26.1081,955,0
NSCS.US,D,20211231,000000,26.0923,26.0923,26.0923,26.0923,338,0
NSCS.US,D,20220103,000000,26.07,26.38,26.07,26.238,1395,0
NSCS.US,D,20220104,000000,26.39,26.47,26.28,26.3021,2377,0
NSCS.US,D,20220105,000000,26.21,26.27,25.4751,25.4751,556,0
NSCS.US,D,20220106,000000,25.56,25.82,25.32,25.624,503,0
NSCS.US,D,20220107,000000,25.66,25.68,25.2915,25.2915,616,0
NSCS.US,D,20220110,000000,24.87,25.1844,24.87,25.1844,245,0
NSCS.US,D,20220111,000000,25.02,25.5222,24.98,25.5222,1433,0
NSCS.US,D,20220112,000000,25.3626,25.3626,25.3626,25.3626,23,0
NSCS.US,D,20220113,000000,25.46,25.49,25.1783,25.1783,1600,0
NSCS.US,D,20220114,000000,25.1,25.1823,24.96,25.1823,700,0
NSCS.US,D,20220118,000000,24.64,24.64,24.4473,24.4473,416,0
NSCS.US,D,20220119,000000,24.42,24.42,24.1023,24.1023,285,0
NSCS.US,D,20220120,000000,24.58,24.58,23.7428,23.7428,203,0
NSCS.US,D,20220121,000000,23.52,24,23.402,23.402,957,0
