<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSPI.US,D,20211221,000000,24.85,24.95,24.78,24.95,5253,0
NSPI.US,D,20211222,000000,25.02,25.02,24.805,24.9961,37930,0
NSPI.US,D,20211223,000000,25.09,25.16,25.09,25.13,3133,0
NSPI.US,D,20211227,000000,25.21,25.31,25.21,25.3011,12936,0
NSPI.US,D,20211228,000000,25.33,25.37,25.28,25.305,3625,0
NSPI.US,D,20211229,000000,25.31,25.38,25.3,25.365,2174,0
NSPI.US,D,20211230,000000,25.68,25.68,25.3021,25.3021,2855,0
NSPI.US,D,20211231,000000,25.31,25.31,25.27,25.2784,820,0
NSPI.US,D,20220103,000000,25.4,25.4701,25.35,25.4701,2528,0
NSPI.US,D,20220104,000000,25.5,25.5,25.35,25.4179,10515,0
NSPI.US,D,20220105,000000,25.42,25.42,25.08,25.08,7332,0
NSPI.US,D,20220106,000000,25,25.15,25,25.0304,4282,0
NSPI.US,D,20220107,000000,25.03,25.125,24.92,25.0425,13832,0
NSPI.US,D,20220110,000000,24.82,24.9271,24.55,24.9271,36415,0
NSPI.US,D,20220111,000000,24.8401,25.1799,24.81,25.1469,19698,0
NSPI.US,D,20220112,000000,25.2694,25.36,25.19,25.23,38987,0
NSPI.US,D,20220113,000000,25.22,25.22,24.8911,24.8911,8149,0
NSPI.US,D,20220114,000000,24.9049,24.9061,24.7,24.9061,14135,0
NSPI.US,D,20220118,000000,24.75,24.75,24.4473,24.4473,13330,0
NSPI.US,D,20220119,000000,24.61,24.63,24.2418,24.2418,11922,0
NSPI.US,D,20220120,000000,24.4185,24.5899,24.1007,24.1007,4676,0
NSPI.US,D,20220121,000000,24.04,24.05,23.9562,23.9562,6966,0
