<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTKI.US,D,20211221,000000,25.1299,25.13,25.1299,25.13,686,0
NTKI.US,D,20211222,000000,25.66,26.21,24.98,24.98,39436,0
NTKI.US,D,20211223,000000,25.1257,25.1257,25.1257,25.1257,83,0
NTKI.US,D,20211227,000000,25.16,25.23,25.16,25.2062,1311,0
NTKI.US,D,20211228,000000,25.24,25.25,25.1941,25.1941,3113,0
NTKI.US,D,20211229,000000,25.2,25.32,25.2,25.2347,1930,0
NTKI.US,D,20211230,000000,25.32,25.5399,25.2201,25.2855,2847,0
NTKI.US,D,20211231,000000,25.25,25.3199,25.23,25.2874,1331,0
NTKI.US,D,20220103,000000,25.34,25.4,25.29,25.2981,1415,0
NTKI.US,D,20220104,000000,25.98,26,25.27,25.2913,10695,0
NTKI.US,D,20220105,000000,25.28,25.33,25.1224,25.1224,1381,0
NTKI.US,D,20220106,000000,25.05,25.16,24.9701,25.0979,5060,0
NTKI.US,D,20220107,000000,25.1,25.12,25.06,25.0664,1737,0
NTKI.US,D,20220110,000000,25,25.0455,24.9,25.0455,4489,0
NTKI.US,D,20220111,000000,25.33,25.33,24.98,25.165,2960,0
NTKI.US,D,20220112,000000,25.1,25.15,25.1,25.1343,1539,0
NTKI.US,D,20220113,000000,25.11,25.11,25,25.0097,989,0
NTKI.US,D,20220114,000000,25.32,25.32,24.88,25.0692,15703,0
NTKI.US,D,20220118,000000,24.9,24.9,24.5765,24.5765,3271,0
NTKI.US,D,20220119,000000,24.5,24.5,24.27,24.2708,1673,0
NTKI.US,D,20220120,000000,24.42,24.42,23.9462,23.9462,1891,0
NTKI.US,D,20220121,000000,23.93,23.995,23.8901,23.8901,16937,0
