<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTZO.US,D,20211104,000000,20.2384,20.25,20.19,20.2303,27850,0
NTZO.US,D,20211105,000000,20.2799,20.2799,20.2002,20.2002,149,0
NTZO.US,D,20211108,000000,20.29,20.29,20.2335,20.2335,728,0
NTZO.US,D,20211109,000000,20.1482,20.1482,20.1482,20.1482,60,0
NTZO.US,D,20211110,000000,20.0271,20.0271,20.0271,20.0271,63,0
NTZO.US,D,20211111,000000,20.0556,20.0556,20.0556,20.0556,135,0
NTZO.US,D,20211112,000000,20.153,20.153,20.153,20.153,110,0
NTZO.US,D,20211115,000000,20.1067,20.1067,20.1067,20.1067,37,0
NTZO.US,D,20211116,000000,20.2,20.2,20.2,20.2,150,0
NTZO.US,D,20211117,000000,20.1583,20.1583,20.1583,20.1583,26,0
NTZO.US,D,20211118,000000,20.1873,20.1873,20.1873,20.1873,2,0
NTZO.US,D,20211119,000000,20.1461,20.1461,20.1461,20.1461,15,0
NTZO.US,D,20211122,000000,20.0808,20.0808,20.0808,20.0808,79,0
NTZO.US,D,20211123,000000,20.03,20.03,20.03,20.03,5,0
NTZO.US,D,20211124,000000,20,20.0238,20,20.0238,5006,0
NTZO.US,D,20211126,000000,19.79,19.79,19.61,19.61,686,0
NTZO.US,D,20211129,000000,19.845,19.845,19.84,19.84,1118,0
NTZO.US,D,20211130,000000,19.59,19.59,19.59,19.59,107,0
NTZO.US,D,20211201,000000,19.4,19.4,19.4,19.4,171,0
NTZO.US,D,20211202,000000,19.6053,19.6053,19.6053,19.6053,1,0
NTZO.US,D,20211203,000000,19.406,19.406,19.406,19.406,8,0
NTZO.US,D,20211206,000000,19.6059,19.6059,19.6059,19.6059,5,0
NTZO.US,D,20211207,000000,19.9744,19.9744,19.9744,19.9744,5,0
NTZO.US,D,20211208,000000,20.0509,20.0509,20.0509,20.0509,5,0
NTZO.US,D,20211209,000000,19.89,19.89,19.89,19.89,104,0
NTZO.US,D,20211210,000000,20.0319,20.0319,20.0319,20.0319,3,0
NTZO.US,D,20211213,000000,19.8945,19.8945,19.8945,19.8945,2,0
NTZO.US,D,20211214,000000,19.84,19.84,19.7,19.7262,982,0
NTZO.US,D,20211215,000000,19.9661,19.9661,19.9661,19.9661,1,0
NTZO.US,D,20211216,000000,19.8741,19.8741,19.8741,19.8741,1,0
NTZO.US,D,20211217,000000,19.67,19.67,19.67,19.67,100,0
NTZO.US,D,20211220,000000,19.49,19.49,19.49,19.49,241,0
NTZO.US,D,20211221,000000,19.7681,19.7681,19.7681,19.7681,2,0
NTZO.US,D,20211222,000000,19.8978,19.9792,19.8978,19.9792,381,0
NTZO.US,D,20211223,000000,20.13,20.13,20.13,20.13,101,0
NTZO.US,D,20211227,000000,20.251,20.35,20.25,20.35,704,0
NTZO.US,D,20211228,000000,20.19,20.19,20.19,20.19,115,0
NTZO.US,D,20211229,000000,20.2239,20.2239,20.2239,20.2239,84,0
NTZO.US,D,20211230,000000,20.165,20.165,20.165,20.165,1,0
NTZO.US,D,20211231,000000,20.1338,20.1338,20.1338,20.1338,4,0
NTZO.US,D,20220103,000000,20.23,20.28,20.23,20.2769,2518,0
NTZO.US,D,20220104,000000,20.23,20.23,20.23,20.23,101,0
NTZO.US,D,20220105,000000,19.8796,19.8796,19.8796,19.8796,12,0
NTZO.US,D,20220106,000000,19.7598,19.7598,19.7598,19.7598,10,0
NTZO.US,D,20220107,000000,19.7219,19.7219,19.7219,19.7219,1,0
NTZO.US,D,20220110,000000,19.615,19.615,19.615,19.615,2,0
NTZO.US,D,20220111,000000,19.8031,19.8031,19.8031,19.8031,1,0
NTZO.US,D,20220112,000000,19.933,19.933,19.933,19.933,1,0
NTZO.US,D,20220113,000000,19.6786,19.6786,19.6786,19.6786,1,0
NTZO.US,D,20220114,000000,19.6168,19.6168,19.6168,19.6168,1,0
NTZO.US,D,20220118,000000,19.49,19.49,19.28,19.3091,1011,0
NTZO.US,D,20220119,000000,19.4299,19.43,19.2653,19.2653,2139,0
NTZO.US,D,20220120,000000,19.072,19.072,19.072,19.072,10,0
NTZO.US,D,20220121,000000,18.8762,18.8762,18.8762,18.8762,1883,0
