<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXR.US,D,20050225,000000,8.7316,8.7378,8.7178,8.7178,6041,0
NXR.US,D,20050228,000000,8.8312,8.8312,8.6875,8.6947,22059,0
NXR.US,D,20050301,000000,8.7378,8.7378,8.6947,8.7378,2868,0
NXR.US,D,20050302,000000,8.7584,8.771,8.7178,8.7253,9818,0
NXR.US,D,20050303,000000,8.7091,8.7661,8.7091,8.7178,8013,0
NXR.US,D,20050304,000000,8.703,8.7986,8.6875,8.7091,47132,0
NXR.US,D,20050307,000000,8.7178,8.7316,8.7178,8.7316,1643,0
NXR.US,D,20050308,000000,8.7178,8.7584,8.703,8.7253,9217,0
NXR.US,D,20050309,000000,8.7253,8.7253,8.6586,8.6829,25227,0
NXR.US,D,20050310,000000,8.6715,8.6947,8.6715,8.6947,8763,0
NXR.US,D,20050311,000000,8.6195,8.6346,8.5895,8.5895,16159,0
NXR.US,D,20050314,000000,8.6152,8.6195,8.5596,8.5826,14345,0
NXR.US,D,20050315,000000,8.6034,8.6034,8.5826,8.5826,6196,0
NXR.US,D,20050316,000000,8.5895,8.5895,8.5255,8.5455,31569,0
NXR.US,D,20050317,000000,8.5826,8.5895,8.5193,8.5455,18273,0
NXR.US,D,20050318,000000,8.5392,8.5392,8.4863,8.4993,30963,0
NXR.US,D,20050321,000000,8.4863,8.5392,8.446,8.5136,62383,0
NXR.US,D,20050322,000000,8.5392,8.5596,8.4392,8.4392,23863,0
NXR.US,D,20050323,000000,8.4206,8.4805,8.4206,8.4657,19339,0
NXR.US,D,20050324,000000,8.4657,8.5255,8.4657,8.4657,22505,0
NXR.US,D,20050328,000000,8.446,8.5518,8.446,8.5392,23266,0
NXR.US,D,20050329,000000,8.5662,8.596,8.4805,8.4929,22059,0
NXR.US,D,20050330,000000,8.533,8.533,8.4657,8.4729,13591,0
NXR.US,D,20050331,000000,8.5193,8.533,8.4657,8.4863,23564,0
NXR.US,D,20050401,000000,8.5392,8.6034,8.4863,8.4929,16316,0
NXR.US,D,20050404,000000,8.4993,8.533,8.4805,8.533,5136,0
NXR.US,D,20050405,000000,8.4729,8.533,8.4729,8.4805,23266,0
NXR.US,D,20050406,000000,8.4805,8.5392,8.4729,8.5392,14053,0
NXR.US,D,20050407,000000,8.5193,8.5518,8.5136,8.5255,13295,0
NXR.US,D,20050408,000000,8.5193,8.5518,8.5136,8.5392,19938,0
NXR.US,D,20050411,000000,8.5392,8.5743,8.5255,8.5743,15558,0
NXR.US,D,20050412,000000,8.5518,8.5743,8.5518,8.5743,5445,0
NXR.US,D,20050413,000000,8.5392,8.6346,8.5136,8.6195,57252,0
NXR.US,D,20050414,000000,8.5662,8.6532,8.5255,8.6532,61029,0
NXR.US,D,20050415,000000,8.6195,8.6762,8.5895,8.6762,10422,0
NXR.US,D,20050418,000000,8.6487,8.771,8.6088,8.771,31267,0
NXR.US,D,20050419,000000,8.7378,8.7378,8.6195,8.6532,67676,0
NXR.US,D,20050420,000000,8.6034,8.6762,8.5895,8.596,20847,0
NXR.US,D,20050421,000000,8.6275,8.6275,8.5743,8.6088,6041,0
NXR.US,D,20050422,000000,8.6195,8.6195,8.5826,8.5826,5890,0
NXR.US,D,20050425,000000,8.6152,8.6275,8.5455,8.596,12234,0
NXR.US,D,20050426,000000,8.6346,8.6431,8.596,8.6275,6491,0
NXR.US,D,20050427,000000,8.6586,8.6715,8.6088,8.6152,32171,0
NXR.US,D,20050428,000000,8.6431,8.6762,8.6152,8.6715,9818,0
NXR.US,D,20050429,000000,8.7091,8.7178,8.6586,8.6875,8013,0
NXR.US,D,20050502,000000,8.6875,8.6875,8.6586,8.6762,14053,0
NXR.US,D,20050503,000000,8.6762,8.6829,8.6649,8.6649,3622,0
NXR.US,D,20050504,000000,8.6586,8.6715,8.6346,8.6487,17522,0
NXR.US,D,20050505,000000,8.6487,8.6532,8.6346,8.6346,14053,0
NXR.US,D,20050506,000000,8.6532,8.6532,8.6034,8.6195,17522,0
NXR.US,D,20050509,000000,8.6088,8.6346,8.5826,8.6088,62538,0
NXR.US,D,20050510,000000,8.6487,8.6586,8.6195,8.6346,8608,0
NXR.US,D,20050511,000000,8.5743,8.6431,8.5743,8.6431,19339,0
NXR.US,D,20050512,000000,8.6275,8.6532,8.6152,8.6152,12839,0
NXR.US,D,20050513,000000,8.6487,8.6762,8.6346,8.6431,23564,0
NXR.US,D,20050516,000000,8.6346,8.6875,8.596,8.6875,45618,0
NXR.US,D,20050517,000000,8.6829,8.703,8.6829,8.703,9217,0
NXR.US,D,20050518,000000,8.7091,8.7316,8.7091,8.7253,10274,0
NXR.US,D,20050519,000000,8.7253,8.7378,8.6875,8.6875,19938,0
NXR.US,D,20050520,000000,8.6875,8.7178,8.6586,8.6715,28399,0
NXR.US,D,20050523,000000,8.6829,8.7253,8.6762,8.7253,18578,0
NXR.US,D,20050524,000000,8.7316,8.7451,8.6947,8.7091,21751,0
NXR.US,D,20050525,000000,8.7378,8.7378,8.703,8.7091,9818,0
NXR.US,D,20050526,000000,8.7091,8.7316,8.6487,8.7178,23416,0
NXR.US,D,20050527,000000,8.7316,8.7584,8.7316,8.7584,11029,0
NXR.US,D,20050531,000000,8.7584,8.7844,8.7584,8.7584,27489,0
NXR.US,D,20050601,000000,8.7844,8.8495,8.771,8.8129,26890,0
NXR.US,D,20050602,000000,8.8049,8.8495,8.8049,8.8422,15558,0
NXR.US,D,20050603,000000,8.8202,8.8619,8.8202,8.8543,35349,0
NXR.US,D,20050606,000000,8.8697,8.8905,8.8202,8.8202,7851,0
NXR.US,D,20050607,000000,8.8367,8.8619,8.8249,8.8422,18273,0
NXR.US,D,20050608,000000,8.8495,8.8619,8.8495,8.8543,4987,0
NXR.US,D,20050609,000000,8.8422,8.8619,8.8312,8.8543,17222,0
NXR.US,D,20050610,000000,8.8495,8.8619,8.8312,8.8619,16015,0
NXR.US,D,20050613,000000,8.8202,8.8249,8.7584,8.7844,21448,0
NXR.US,D,20050614,000000,8.771,8.8202,8.771,8.8129,15711,0
NXR.US,D,20050615,000000,8.771,8.8129,8.771,8.7986,17375,0
NXR.US,D,20050616,000000,8.7779,8.8543,8.7779,8.8129,12234,0
NXR.US,D,20050617,000000,8.7779,8.8202,8.7661,8.7929,11330,0
NXR.US,D,20050620,000000,8.8049,8.8367,8.8049,8.8129,7098,0
NXR.US,D,20050621,000000,8.8202,8.8495,8.8202,8.8249,5136,0
NXR.US,D,20050622,000000,8.8049,8.8422,8.8049,8.8422,10115,0
NXR.US,D,20050623,000000,8.8312,8.9128,8.8249,8.8833,20243,0
NXR.US,D,20050624,000000,8.8833,8.9128,8.8757,8.8968,5285,0
NXR.US,D,20050627,000000,8.9056,8.9193,8.8757,8.8757,6347,0
NXR.US,D,20050628,000000,8.9056,8.9056,8.8757,8.8757,3471,0
NXR.US,D,20050629,000000,8.8757,8.8905,8.8312,8.8367,25832,0
NXR.US,D,20050630,000000,8.8697,8.8697,8.8367,8.8367,19792,0
NXR.US,D,20050701,000000,8.8697,8.8757,8.8367,8.8422,1964,0
NXR.US,D,20050705,000000,8.8367,8.8422,8.7844,8.7844,11789,0
NXR.US,D,20050706,000000,8.8312,8.8312,8.8202,8.8249,2111,0
NXR.US,D,20050707,000000,8.8367,8.8422,8.8367,8.8422,5445,0
NXR.US,D,20050708,000000,8.8422,8.8757,8.8422,8.8619,14802,0
NXR.US,D,20050711,000000,8.8905,8.8905,8.8249,8.8905,30817,0
NXR.US,D,20050712,000000,8.9056,8.9193,8.8367,8.8543,11330,0
NXR.US,D,20050713,000000,8.8543,8.9056,8.8495,8.8495,9217,0
NXR.US,D,20050714,000000,8.8833,8.8833,8.8543,8.8543,4828,0
NXR.US,D,20050715,000000,8.8833,8.8833,8.8757,8.8833,3930,0
NXR.US,D,20050718,000000,8.8619,8.8833,8.8249,8.8312,7255,0
NXR.US,D,20050719,000000,8.7929,8.8619,8.771,8.8422,11926,0
NXR.US,D,20050720,000000,8.8697,8.8697,8.8129,8.8202,7556,0
NXR.US,D,20050721,000000,8.8367,8.8422,8.8129,8.8422,7255,0
NXR.US,D,20050722,000000,8.8495,8.8495,8.8129,8.8422,10422,0
NXR.US,D,20050725,000000,8.8495,8.8495,8.8129,8.8495,3166,0
NXR.US,D,20050726,000000,8.8367,8.8422,8.8129,8.8202,12839,0
NXR.US,D,20050727,000000,8.8422,8.8697,8.7929,8.8312,15106,0
NXR.US,D,20050728,000000,8.8202,8.8757,8.8049,8.8367,13440,0
NXR.US,D,20050729,000000,8.8697,8.8833,8.8049,8.8129,7851,0
NXR.US,D,20050801,000000,8.8495,8.8495,8.8049,8.8312,21751,0
NXR.US,D,20050802,000000,8.8312,8.8543,8.8129,8.8129,11029,0
NXR.US,D,20050803,000000,8.8619,8.8757,8.8202,8.8697,13440,0
NXR.US,D,20050804,000000,8.8367,8.8422,8.8249,8.8249,11627,0
NXR.US,D,20050805,000000,8.8049,8.8129,8.7779,8.7779,15859,0
NXR.US,D,20050808,000000,8.7451,8.7986,8.7451,8.771,7098,0
NXR.US,D,20050809,000000,8.771,8.8367,8.771,8.8049,28709,0
NXR.US,D,20050810,000000,8.8249,8.8249,8.7779,8.7929,2713,0
NXR.US,D,20050811,000000,8.7929,8.8312,8.7451,8.8312,9977,0
NXR.US,D,20050812,000000,8.8249,8.8367,8.7661,8.7661,18729,0
NXR.US,D,20050815,000000,8.8049,8.8202,8.7451,8.7779,9666,0
NXR.US,D,20050816,000000,8.7929,8.8367,8.7661,8.8312,15412,0
NXR.US,D,20050817,000000,8.8697,8.8697,8.7661,8.7661,3776,0
NXR.US,D,20050818,000000,8.7844,8.8312,8.7844,8.8312,2868,0
NXR.US,D,20050819,000000,8.7929,8.8495,8.7929,8.7986,12234,0
