<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
O.US,D,20050225,000000,14.51,14.925,14.471,14.905,399886,0
O.US,D,20050228,000000,14.891,14.891,14.499,14.592,790092,0
O.US,D,20050301,000000,14.584,14.841,14.562,14.784,617305,0
O.US,D,20050302,000000,14.917,14.917,14.609,14.828,572184,0
O.US,D,20050303,000000,14.925,14.932,14.759,14.911,370551,0
O.US,D,20050304,000000,14.891,15.24,14.858,15.24,365711,0
O.US,D,20050307,000000,15.344,15.411,15.046,15.272,513354,0
O.US,D,20050308,000000,15.344,15.344,15.053,15.176,483537,0
O.US,D,20050309,000000,15.095,15.095,14.577,14.614,812817,0
O.US,D,20050310,000000,14.725,14.865,14.592,14.759,456139,0
O.US,D,20050311,000000,14.674,14.736,14.386,14.422,449208,0
O.US,D,20050314,000000,14.522,14.754,14.457,14.718,411002,0
O.US,D,20050315,000000,14.858,15.025,14.584,14.603,556069,0
O.US,D,20050316,000000,14.639,14.731,14.51,14.584,503360,0
O.US,D,20050317,000000,14.661,14.81,14.596,14.81,364266,0
O.US,D,20050318,000000,14.937,14.937,14.522,14.546,809117,0
O.US,D,20050321,000000,14.609,14.609,14.375,14.491,427608,0
O.US,D,20050322,000000,14.457,14.688,14.272,14.272,586204,0
O.US,D,20050323,000000,14.272,14.361,13.647,14.121,548972,0
O.US,D,20050324,000000,14.121,14.392,14.085,14.176,466451,0
O.US,D,20050328,000000,14.143,14.319,14.085,14.108,448717,0
O.US,D,20050329,000000,14.125,14.313,14.001,14.028,462262,0
O.US,D,20050330,000000,14.108,14.272,14.007,14.272,706766,0
O.US,D,20050331,000000,14.276,14.381,14.115,14.196,491107,0
O.US,D,20050401,000000,14.29,14.381,14.035,14.129,489340,0
O.US,D,20050404,000000,14.115,14.209,13.948,14.147,366846,0
O.US,D,20050405,000000,14.115,14.255,14.089,14.209,407621,0
O.US,D,20050406,000000,14.196,14.349,14.171,14.308,448388,0
O.US,D,20050407,000000,14.354,14.485,14.155,14.485,656805,0
O.US,D,20050408,000000,14.449,14.466,14.235,14.243,442108,0
O.US,D,20050411,000000,14.264,14.302,14.143,14.216,301556,0
O.US,D,20050412,000000,14.216,14.562,14.135,14.562,592811,0
O.US,D,20050413,000000,14.572,14.609,14.408,14.485,430030,0
O.US,D,20050414,000000,14.485,14.522,14.308,14.349,390848,0
O.US,D,20050415,000000,14.349,14.506,14.319,14.403,562999,0
O.US,D,20050418,000000,14.491,14.562,14.381,14.517,524802,0
O.US,D,20050419,000000,14.543,14.681,14.51,14.596,453238,0
O.US,D,20050420,000000,14.491,14.596,14.399,14.422,519643,0
O.US,D,20050421,000000,14.546,14.674,14.422,14.674,388602,0
O.US,D,20050422,000000,14.705,14.725,14.546,14.705,451459,0
O.US,D,20050425,000000,14.891,14.911,14.741,14.905,479671,0
O.US,D,20050426,000000,14.898,14.958,14.804,14.937,480475,0
O.US,D,20050427,000000,14.891,15.109,14.77,15.085,409871,0
O.US,D,20050428,000000,14.979,15.013,14.828,14.891,359746,0
O.US,D,20050429,000000,14.979,14.979,14.674,14.958,658086,0
O.US,D,20050502,000000,14.969,14.969,14.791,14.952,444042,0
O.US,D,20050503,000000,14.891,14.979,14.754,14.847,453561,0
O.US,D,20050504,000000,14.835,14.979,14.754,14.958,313171,0
O.US,D,20050505,000000,14.984,15.173,14.905,15.109,387308,0
O.US,D,20050506,000000,15.109,15.109,14.835,14.898,403918,0
O.US,D,20050509,000000,14.898,15.198,14.898,15.198,346046,0
O.US,D,20050510,000000,15.198,15.198,15.013,15.078,495303,0
O.US,D,20050511,000000,15.173,15.198,15.067,15.198,643589,0
O.US,D,20050512,000000,15.198,15.198,14.865,14.865,593612,0
O.US,D,20050513,000000,14.984,15.067,14.841,14.852,523668,0
O.US,D,20050516,000000,14.952,15.193,14.952,15.193,429861,0
O.US,D,20050517,000000,15.198,15.327,15.053,15.272,450822,0
O.US,D,20050518,000000,15.288,15.491,15.26,15.491,457910,0
O.US,D,20050519,000000,15.506,15.651,15.441,15.615,406812,0
O.US,D,20050520,000000,15.659,15.668,15.418,15.668,279643,0
O.US,D,20050523,000000,15.738,15.738,15.537,15.639,409228,0
O.US,D,20050524,000000,15.543,15.543,15.348,15.385,454690,0
O.US,D,20050525,000000,15.38,15.426,15.103,15.109,478695,0
O.US,D,20050526,000000,15.128,15.362,15.128,15.182,484671,0
O.US,D,20050527,000000,15.295,15.31,15.095,15.31,278516,0
O.US,D,20050531,000000,15.348,15.411,15.255,15.272,287384,0
O.US,D,20050601,000000,15.385,15.603,15.272,15.467,691781,0
O.US,D,20050602,000000,15.404,15.498,15.355,15.391,297694,0
O.US,D,20050603,000000,15.467,15.532,15.203,15.234,581053,0
O.US,D,20050606,000000,15.288,15.411,15.248,15.404,493530,0
O.US,D,20050607,000000,15.487,15.651,15.295,15.446,513354,0
O.US,D,20050608,000000,15.423,15.62,15.396,15.454,395367,0
O.US,D,20050609,000000,15.454,15.498,15.31,15.48,317041,0
O.US,D,20050610,000000,15.543,15.574,15.396,15.519,414394,0
O.US,D,20050613,000000,15.532,15.603,15.404,15.586,503686,0
O.US,D,20050614,000000,15.543,15.574,15.454,15.543,398760,0
O.US,D,20050615,000000,15.62,15.62,15.446,15.593,595711,0
O.US,D,20050616,000000,15.593,15.651,15.446,15.651,396653,0
O.US,D,20050617,000000,15.773,15.936,15.682,15.929,810239,0
O.US,D,20050620,000000,15.845,15.936,15.696,15.831,358300,0
O.US,D,20050621,000000,15.831,15.876,15.645,15.696,403918,0
O.US,D,20050622,000000,15.773,15.908,15.688,15.812,401652,0
O.US,D,20050623,000000,15.725,15.925,15.703,15.71,434699,0
O.US,D,20050624,000000,15.659,15.834,15.316,15.682,4016879,0
O.US,D,20050627,000000,15.682,15.725,15.396,15.525,497719,0
O.US,D,20050628,000000,15.603,15.798,15.511,15.792,377320,0
O.US,D,20050629,000000,15.838,15.838,15.63,15.776,272717,0
O.US,D,20050630,000000,15.725,15.792,15.537,15.537,1034759,0
O.US,D,20050701,000000,15.532,15.72,15.532,15.72,425675,0
O.US,D,20050705,000000,15.703,15.831,15.676,15.792,385220,0
O.US,D,20050706,000000,15.725,15.812,15.645,15.651,280297,0
O.US,D,20050707,000000,15.659,15.715,15.418,15.71,320581,0
O.US,D,20050708,000000,15.651,15.889,15.639,15.826,567345,0
O.US,D,20050711,000000,15.725,15.881,15.725,15.85,352175,0
O.US,D,20050712,000000,15.914,15.914,15.676,15.752,308003,0
O.US,D,20050713,000000,15.752,15.826,15.574,15.63,332190,0
O.US,D,20050714,000000,15.609,15.615,14.815,14.974,1307963,0
O.US,D,20050715,000000,15.039,15.28,14.984,15.26,538820,0
