<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OC.US,D,20060920,000000,24.31,25.086,23.197,23.197,243794,0
OC.US,D,20060921,000000,23.09,23.09,21.412,21.723,2638576,0
OC.US,D,20060922,000000,21.634,22.305,21.412,21.412,147619,0
OC.US,D,20060925,000000,20.967,21.723,20.967,21.458,59911,0
OC.US,D,20060926,000000,21.634,21.634,20.967,20.967,138543,0
OC.US,D,20060927,000000,20.521,21.412,20.521,21.188,58287,0
OC.US,D,20060928,000000,21.634,22.748,21.634,22.748,70526,0
OC.US,D,20060929,000000,22.748,23.419,22.748,23.419,70503,0
OC.US,D,20061002,000000,23.197,23.638,23.197,23.197,30108,0
OC.US,D,20061003,000000,23.638,24.087,23.638,24.087,19837,0
OC.US,D,20061004,000000,24.087,24.087,23.638,23.638,86755,0
OC.US,D,20061005,000000,23.731,23.731,23.419,23.638,140053,0
OC.US,D,20061006,000000,23.638,23.866,23.638,23.688,114941,0
OC.US,D,20061009,000000,23.866,23.866,23.866,23.866,251,0
OC.US,D,20061010,000000,24.31,24.979,24.31,24.979,141569,0
OC.US,D,20061011,000000,24.979,26.317,24.31,25.871,50272,0
OC.US,D,20061012,000000,25.871,25.871,25.871,25.871,10816,0
OC.US,D,20061013,000000,25.871,25.871,25.871,25.871,3699,0
OC.US,D,20061016,000000,25.871,25.871,25.871,25.871,230,0
OC.US,D,20061017,000000,25.652,25.652,25.408,25.408,86354,0
OC.US,D,20061018,000000,25.652,25.871,25.652,25.871,186069,0
OC.US,D,20061019,000000,25.871,25.871,25.871,25.871,896,0
OC.US,D,20061020,000000,25.471,25.496,25.427,25.427,106480,0
OC.US,D,20061023,000000,25.871,25.871,25.427,25.652,22529,0
OC.US,D,20061024,000000,25.427,25.427,24.31,25.114,19615,0
OC.US,D,20061025,000000,25.114,25.114,24.625,24.625,37552,0
OC.US,D,20061026,000000,24.847,25.196,24.758,24.979,39007,0
OC.US,D,20061027,000000,25.114,25.158,24.979,24.979,16703,0
OC.US,D,20061030,000000,25.069,25.355,24.934,25.114,74875,0
OC.US,D,20061031,000000,25.069,25.204,24.934,25.026,176316,0
OC.US,D,20061101,000000,25.248,25.56,24.625,24.625,199633,0
OC.US,D,20061102,000000,24.577,24.577,23.536,23.536,324384,0
OC.US,D,20061103,000000,23.374,23.555,23.171,23.179,218911,0
OC.US,D,20061106,000000,23.283,23.464,22.837,23.283,259935,0
OC.US,D,20061107,000000,23.152,24.535,23.115,24.265,201424,0
OC.US,D,20061108,000000,24.488,24.882,24.179,24.882,483884,0
OC.US,D,20061109,000000,25.652,25.871,25.204,25.427,712438,0
OC.US,D,20061110,000000,25.871,26.139,25.338,25.418,611334,0
OC.US,D,20061113,000000,25.427,25.624,25.211,25.221,545086,0
