<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCEN.US,D,20211028,000000,25.55,25.6,25.55,25.6,10432,0
OCEN.US,D,20211029,000000,25.52,25.52,25.52,25.52,362,0
OCEN.US,D,20211101,000000,25.6147,25.6147,25.6147,25.6147,82,0
OCEN.US,D,20211102,000000,25.7057,25.7057,25.7057,25.7057,29,0
OCEN.US,D,20211103,000000,25.77,25.77,25.77,25.77,357,0
OCEN.US,D,20211104,000000,25.85,25.85,25.85,25.85,172,0
OCEN.US,D,20211105,000000,25.8414,25.8414,25.8414,25.8414,136,0
OCEN.US,D,20211108,000000,25.87,25.94,25.87,25.94,498,0
OCEN.US,D,20211109,000000,25.8945,25.9039,25.8945,25.9039,238,0
OCEN.US,D,20211110,000000,25.66,25.66,25.66,25.66,141,0
OCEN.US,D,20211111,000000,25.8099,25.8099,25.7757,25.7757,122,0
OCEN.US,D,20211112,000000,25.8255,25.96,25.8255,25.96,418,0
OCEN.US,D,20211115,000000,26.05,26.05,25.8776,25.8776,166,0
OCEN.US,D,20211116,000000,25.9439,25.9439,25.9439,25.9439,9,0
OCEN.US,D,20211117,000000,26.04,26.04,25.9,25.9261,217,0
OCEN.US,D,20211118,000000,26.04,26.04,26.04,26.04,134,0
OCEN.US,D,20211119,000000,26.05,26.05,26.05,26.05,198,0
OCEN.US,D,20211122,000000,25.8346,25.8346,25.8346,25.8346,5,0
OCEN.US,D,20211123,000000,25.6553,25.6553,25.6553,25.6553,70,0
OCEN.US,D,20211124,000000,25.485,25.61,25.485,25.61,301,0
OCEN.US,D,20211126,000000,25.1936,25.1936,25.1936,25.1936,15,0
OCEN.US,D,20211129,000000,25.44,25.48,25.32,25.48,527,0
OCEN.US,D,20211130,000000,25.11,25.11,25.11,25.11,309,0
OCEN.US,D,20211201,000000,25.0423,25.0423,25.0423,25.0423,18,0
OCEN.US,D,20211202,000000,25.23,25.28,25.1967,25.1967,504,0
OCEN.US,D,20211203,000000,25.1,25.1,25.1,25.1,199,0
OCEN.US,D,20211206,000000,25.41,25.41,25.41,25.41,310,0
OCEN.US,D,20211207,000000,25.9346,25.9346,25.9346,25.9346,3,0
OCEN.US,D,20211208,000000,25.95,25.95,25.95,25.95,320,0
OCEN.US,D,20211209,000000,25.7,25.7,25.7,25.7,300,0
OCEN.US,D,20211210,000000,25.7804,25.7804,25.7804,25.7804,26,0
OCEN.US,D,20211213,000000,25.6189,25.6189,25.6189,25.6189,93,0
OCEN.US,D,20211214,000000,25.48,25.5,25.31,25.31,506,0
OCEN.US,D,20211215,000000,25.72,25.72,25.72,25.72,301,0
OCEN.US,D,20211216,000000,25.56,25.56,25.56,25.56,100,0
OCEN.US,D,20211217,000000,25.22,25.22,25.22,25.22,301,0
OCEN.US,D,20211220,000000,25.39,25.39,25.0425,25.0425,170,0
OCEN.US,D,20211221,000000,25.2519,25.2519,25.2519,25.2519,4,0
OCEN.US,D,20211222,000000,25.44,25.44,25.44,25.44,301,0
OCEN.US,D,20211223,000000,25.63,25.63,25.63,25.63,386,0
OCEN.US,D,20211227,000000,25.72,25.9,25.68,25.9,802,0
OCEN.US,D,20211228,000000,25.98,25.98,25.96,25.96,701,0
OCEN.US,D,20211229,000000,26.0745,26.0745,26.0745,26.0745,33,0
OCEN.US,D,20211230,000000,25.99,25.99,25.99,25.99,309,0
OCEN.US,D,20211231,000000,26.0021,26.0021,26.0021,26.0021,2,0
OCEN.US,D,20220103,000000,26.1,26.1,26.1,26.1,103,0
OCEN.US,D,20220104,000000,26.02,26.02,26.02,26.02,351,0
OCEN.US,D,20220105,000000,25.7473,25.7473,25.7473,25.7473,35,0
OCEN.US,D,20220106,000000,25.4323,25.4323,25.4323,25.4323,48,0
OCEN.US,D,20220107,000000,25.38,25.38,25.38,25.38,115,0
OCEN.US,D,20220110,000000,24.9818,24.9818,24.9818,24.9818,22,0
OCEN.US,D,20220111,000000,25.2093,25.2093,25.2093,25.2093,52,0
OCEN.US,D,20220112,000000,25.46,25.46,25.46,25.46,342,0
OCEN.US,D,20220113,000000,25.2322,25.2322,25.2322,25.2322,7,0
OCEN.US,D,20220114,000000,25.0612,25.0612,25.0612,25.0612,1,0
OCEN.US,D,20220118,000000,24.4844,24.4844,24.4844,24.4844,2,0
OCEN.US,D,20220119,000000,24.4563,24.4563,24.4563,24.4563,2,0
OCEN.US,D,20220120,000000,24.3188,24.3188,24.3188,24.3188,1,0
OCEN.US,D,20220121,000000,24.02,24.02,24.02,24.02,1,0
