<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODC.US,D,20050225,000000,10.956,11.076,10.956,11.045,56982,0
ODC.US,D,20050228,000000,11.076,11.076,10.956,10.956,54655,0
ODC.US,D,20050301,000000,10.971,11.165,10.971,11.165,40536,0
ODC.US,D,20050302,000000,11.107,11.142,11.107,11.136,53827,0
ODC.US,D,20050303,000000,11.136,11.197,11.136,11.197,31565,0
ODC.US,D,20050304,000000,11.197,11.256,11.165,11.197,40206,0
ODC.US,D,20050307,000000,11.197,11.285,11.197,11.226,51828,0
ODC.US,D,20050308,000000,11.285,11.285,11.279,11.279,3491,0
ODC.US,D,20050309,000000,11.34,11.379,11.331,11.379,23421,0
ODC.US,D,20050310,000000,11.409,11.429,11.379,11.409,17776,0
ODC.US,D,20050311,000000,11.429,11.507,11.429,11.467,13625,0
ODC.US,D,20050314,000000,11.435,11.435,11.136,11.15,75753,0
ODC.US,D,20050315,000000,11.076,11.181,11.076,11.181,7809,0
ODC.US,D,20050316,000000,11.25,11.285,11.226,11.285,7478,0
ODC.US,D,20050318,000000,11.285,11.393,11.285,11.362,13625,0
ODC.US,D,20050321,000000,11.285,11.331,11.25,11.256,17609,0
ODC.US,D,20050322,000000,11.197,11.25,11.165,11.243,3816,0
ODC.US,D,20050323,000000,11.165,11.165,11.142,11.165,24921,0
ODC.US,D,20050324,000000,11.107,11.12,11.076,11.092,11130,0
ODC.US,D,20050328,000000,11.12,11.189,11.092,11.092,35551,0
ODC.US,D,20050329,000000,11.062,11.142,11.062,11.092,27740,0
ODC.US,D,20050330,000000,11.07,11.107,11.07,11.107,665,0
ODC.US,D,20050331,000000,11.076,11.158,11.076,11.136,27907,0
ODC.US,D,20050401,000000,11.136,11.197,11.12,11.142,4651,0
ODC.US,D,20050404,000000,11.076,11.076,10.956,10.956,15283,0
ODC.US,D,20050405,000000,11.015,11.076,11.015,11.076,2990,0
ODC.US,D,20050406,000000,11.076,11.076,11.076,11.076,7478,0
ODC.US,D,20050407,000000,11.136,11.136,11.136,11.136,1327,0
ODC.US,D,20050411,000000,11.142,11.181,11.142,11.181,1496,0
ODC.US,D,20050412,000000,11.197,11.197,11.197,11.197,4319,0
ODC.US,D,20050413,000000,11.197,11.226,11.197,11.226,665,0
ODC.US,D,20050414,000000,11.197,11.197,11.197,11.197,14952,0
ODC.US,D,20050415,000000,11.214,11.234,11.197,11.197,2660,0
ODC.US,D,20050418,000000,11.128,11.136,11.128,11.136,13455,0
ODC.US,D,20050420,000000,11.136,11.25,11.076,11.15,84728,0
ODC.US,D,20050421,000000,11.086,11.128,11.086,11.128,6314,0
ODC.US,D,20050422,000000,11.045,11.045,10.865,10.865,11130,0
ODC.US,D,20050425,000000,10.865,10.865,10.815,10.815,2660,0
ODC.US,D,20050426,000000,10.773,10.773,10.773,10.773,1327,0
ODC.US,D,20050427,000000,10.713,10.713,10.653,10.653,5813,0
ODC.US,D,20050428,000000,10.594,10.594,10.535,10.535,1327,0
ODC.US,D,20050429,000000,10.503,10.535,10.473,10.535,1832,0
ODC.US,D,20050502,000000,10.503,10.503,10.413,10.473,4818,0
ODC.US,D,20050503,000000,10.473,10.494,10.473,10.494,3154,0
ODC.US,D,20050504,000000,10.453,10.453,10.445,10.445,13957,0
ODC.US,D,20050505,000000,10.503,10.503,10.503,10.503,332,0
ODC.US,D,20050506,000000,10.565,10.565,10.565,10.565,166,0
ODC.US,D,20050509,000000,10.587,10.671,10.587,10.671,8474,0
ODC.US,D,20050510,000000,10.653,10.671,10.653,10.671,1496,0
ODC.US,D,20050512,000000,10.625,10.625,10.625,10.625,1664,0
ODC.US,D,20050516,000000,10.688,10.688,10.688,10.688,3816,0
ODC.US,D,20050517,000000,10.671,10.76,10.671,10.73,4155,0
ODC.US,D,20050518,000000,10.806,10.831,10.806,10.831,2158,0
ODC.US,D,20050519,000000,10.806,10.865,10.806,10.865,2496,0
ODC.US,D,20050520,000000,10.835,10.896,10.773,10.835,4485,0
ODC.US,D,20050523,000000,10.896,10.896,10.823,10.835,6150,0
ODC.US,D,20050524,000000,10.773,10.78,10.773,10.78,993,0
ODC.US,D,20050525,000000,10.848,10.848,10.848,10.848,1163,0
ODC.US,D,20050526,000000,10.835,10.835,10.744,10.744,2828,0
ODC.US,D,20050527,000000,10.713,10.713,10.112,10.326,70606,0
ODC.US,D,20050531,000000,10.351,10.405,10.293,10.293,16112,0
ODC.US,D,20050601,000000,10.241,10.263,10.174,10.174,16614,0
ODC.US,D,20050602,000000,10.112,10.188,10.09,10.188,2326,0
ODC.US,D,20050603,000000,10.127,10.127,9.874,10.008,34220,0
ODC.US,D,20050606,000000,10,10.112,10,10.112,16112,0
ODC.US,D,20050607,000000,10.142,10.15,10.081,10.081,25751,0
ODC.US,D,20050608,000000,10.081,10.081,10.081,10.081,166,0
ODC.US,D,20050609,000000,10.081,10.098,10.081,10.098,7143,0
ODC.US,D,20050610,000000,10.081,10.326,10.081,10.263,43858,0
ODC.US,D,20050613,000000,10.317,10.384,10.317,10.384,13285,0
ODC.US,D,20050614,000000,10.473,10.473,10.473,10.473,5483,0
ODC.US,D,20050615,000000,10.526,10.551,10.503,10.551,2326,0
ODC.US,D,20050616,000000,10.601,10.607,10.565,10.607,1163,0
ODC.US,D,20050620,000000,10.551,10.551,10.511,10.535,2828,0
ODC.US,D,20050621,000000,10.679,10.835,10.662,10.823,25250,0
ODC.US,D,20050622,000000,10.835,10.925,10.835,10.925,11130,0
ODC.US,D,20050623,000000,10.896,10.896,10.896,10.896,12125,0
ODC.US,D,20050624,000000,10.835,10.842,10.835,10.842,12792,0
ODC.US,D,20050627,000000,10.752,10.815,10.752,10.815,4155,0
ODC.US,D,20050628,000000,10.806,10.806,10.806,10.806,1664,0
ODC.US,D,20050629,000000,10.806,10.806,10.806,10.806,827,0
ODC.US,D,20050630,000000,10.848,10.848,10.798,10.848,6647,0
ODC.US,D,20050701,000000,10.835,10.835,10.78,10.78,16614,0
ODC.US,D,20050705,000000,10.535,10.535,10.468,10.535,21264,0
ODC.US,D,20050708,000000,10.535,10.625,10.535,10.594,7143,0
ODC.US,D,20050711,000000,10.565,10.565,10.565,10.565,166,0
ODC.US,D,20050712,000000,10.573,10.573,10.573,10.573,501,0
ODC.US,D,20050713,000000,10.535,10.565,10.535,10.565,665,0
ODC.US,D,20050715,000000,10.615,10.615,10.594,10.607,1327,0
ODC.US,D,20050718,000000,10.625,10.78,10.625,10.78,12294,0
ODC.US,D,20050720,000000,10.79,10.798,10.79,10.798,3154,0
ODC.US,D,20050721,000000,10.806,10.806,10.736,10.798,8474,0
ODC.US,D,20050722,000000,10.806,10.806,10.798,10.798,5483,0
ODC.US,D,20050725,000000,10.736,10.736,10.551,10.594,22429,0
ODC.US,D,20050726,000000,10.587,10.688,10.551,10.653,2326,0
ODC.US,D,20050727,000000,10.625,10.671,10.535,10.671,7478,0
ODC.US,D,20050728,000000,10.679,10.896,10.679,10.896,10468,0
ODC.US,D,20050729,000000,10.925,10.949,10.848,10.848,5813,0
ODC.US,D,20050801,000000,10.865,10.871,10.806,10.871,5483,0
ODC.US,D,20050802,000000,10.871,10.871,10.773,10.773,18940,0
ODC.US,D,20050804,000000,10.645,10.653,10.503,10.503,10795,0
ODC.US,D,20050805,000000,10.503,10.565,10.503,10.565,2660,0
ODC.US,D,20050808,000000,10.565,10.625,10.511,10.511,3491,0
ODC.US,D,20050809,000000,10.479,10.503,10.479,10.503,1327,0
ODC.US,D,20050810,000000,10.473,10.488,10.473,10.488,993,0
ODC.US,D,20050811,000000,10.473,10.473,10.473,10.473,665,0
ODC.US,D,20050812,000000,10.445,10.445,10.445,10.445,166,0
ODC.US,D,20050816,000000,10.413,10.413,10.413,10.413,501,0
ODC.US,D,20050818,000000,10.36,10.36,10.174,10.241,9468,0
ODC.US,D,20050822,000000,10.204,10.204,10.204,10.204,827,0
ODC.US,D,20050823,000000,10.204,10.204,10.204,10.204,2496,0
ODC.US,D,20050824,000000,10.268,10.392,10.268,10.392,5483,0
ODC.US,D,20050825,000000,10.384,10.494,10.384,10.494,993,0
ODC.US,D,20050826,000000,10.468,10.468,10.468,10.468,166,0
ODC.US,D,20050829,000000,10.413,10.445,10.392,10.445,1163,0
ODC.US,D,20050830,000000,10.413,10.453,10.413,10.453,1996,0
ODC.US,D,20050831,000000,10.421,10.79,10.421,10.79,13119,0
ODC.US,D,20050901,000000,10.72,10.918,10.72,10.865,11294,0
ODC.US,D,20050902,000000,10.909,10.986,10.909,10.956,7307,0
ODC.US,D,20050906,000000,10.986,10.986,10.925,10.956,7307,0
ODC.US,D,20050907,000000,10.896,10.896,10.806,10.806,25419,0
ODC.US,D,20050908,000000,10.865,10.88,10.835,10.835,1163,0
ODC.US,D,20050909,000000,10.773,10.925,10.773,10.925,2158,0
ODC.US,D,20050912,000000,10.865,10.865,10.823,10.823,3656,0
ODC.US,D,20050913,000000,10.76,10.76,10.713,10.713,2828,0
ODC.US,D,20050914,000000,10.773,10.773,10.594,10.594,4485,0
ODC.US,D,20050915,000000,10.545,10.594,10.545,10.594,21925,0
ODC.US,D,20050916,000000,10.594,10.679,10.468,10.468,13455,0
ODC.US,D,20050919,000000,10.468,10.468,10.421,10.445,12958,0
ODC.US,D,20050920,000000,10.413,10.413,10.384,10.384,29237,0
ODC.US,D,20050921,000000,10.351,10.384,10.351,10.384,993,0
ODC.US,D,20050922,000000,10.351,10.351,10.293,10.334,2496,0
