<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OILD.US,D,20211110,000000,25.23,27.4701,25.07,27.0975,1303,0
OILD.US,D,20211111,000000,26.3,26.6995,26.3,26.6995,282,0
OILD.US,D,20211112,000000,26.95,26.95,26.8532,26.8532,234,0
OILD.US,D,20211115,000000,26.685,26.685,26.2815,26.2815,112,0
OILD.US,D,20211116,000000,26.11,26.1712,25.93,26.1712,3371,0
OILD.US,D,20211117,000000,26.68,27.5976,26.64,27.5976,1857,0
OILD.US,D,20211118,000000,27.8883,27.8883,27.8883,27.8883,10,0
OILD.US,D,20211119,000000,31.1914,31.1914,31.1914,31.1914,7,0
OILD.US,D,20211122,000000,29.2705,29.2705,29.2705,29.2705,63,0
OILD.US,D,20211123,000000,27.01,27.01,26.5018,26.5018,512,0
OILD.US,D,20211124,000000,25.5196,25.5196,25.5196,25.5196,159,0
OILD.US,D,20211126,000000,28.9058,28.9058,28.9058,28.9058,973,0
OILD.US,D,20211129,000000,27.68,28.17,27.68,28.0684,3167,0
OILD.US,D,20211130,000000,29.24,30.38,28.7,30.2186,2258,0
OILD.US,D,20211201,000000,27.76,31.3897,27.55,31.3897,653,0
OILD.US,D,20211202,000000,30.18,30.18,28.4,28.8825,5180,0
OILD.US,D,20211203,000000,29.3422,29.3422,29.3422,29.3422,87,0
OILD.US,D,20211206,000000,27.9887,27.9887,27.9887,27.9887,171,0
OILD.US,D,20211207,000000,25.17,25.753,25.17,25.753,352,0
OILD.US,D,20211208,000000,25.51,25.74,25.51,25.67,2748,0
OILD.US,D,20211209,000000,26.74,26.74,26.18,26.432,1749,0
OILD.US,D,20211210,000000,25.7101,25.7101,25.7101,25.7101,90,0
OILD.US,D,20211213,000000,27.42,28.19,27.33,28.19,2578,0
OILD.US,D,20211214,000000,27.75,28.6539,27.69,28.6539,1650,0
OILD.US,D,20211215,000000,29.9156,29.99,28.82,28.8891,759,0
OILD.US,D,20211216,000000,27.95,28.25,27.95,28.1931,964,0
OILD.US,D,20211217,000000,29.9129,29.9129,29.9129,29.9129,18,0
OILD.US,D,20211220,000000,33.42,33.42,31.2175,31.2175,8424,0
OILD.US,D,20211221,000000,29.58,29.58,28.07,28.2918,5443,0
OILD.US,D,20211222,000000,27.61,27.61,27.31,27.5084,447,0
OILD.US,D,20211223,000000,27.08,27.3497,27.08,27.3497,279,0
OILD.US,D,20211227,000000,27.47,27.47,25.5725,25.5725,1892,0
OILD.US,D,20211228,000000,25.05,25.5441,25.05,25.5441,1676,0
OILD.US,D,20211229,000000,25.1401,26,25.1401,25.9134,2610,0
OILD.US,D,20211230,000000,25.91,26.5504,25.5843,26.5504,307,0
OILD.US,D,20211231,000000,26.3094,26.3094,26.3094,26.3094,36,0
OILD.US,D,20220103,000000,26.11,26.11,23.8338,23.8338,102,0
OILD.US,D,20220104,000000,21.47,21.52,21.1028,21.1028,3763,0
OILD.US,D,20220105,000000,20.5399,21.4563,20.5399,21.4563,361,0
OILD.US,D,20220106,000000,19.72,20.37,19.72,19.8264,1519,0
OILD.US,D,20220107,000000,18.9543,18.9543,18.9543,18.9543,121,0
OILD.US,D,20220110,000000,19.55,19.55,19.2345,19.2345,671,0
OILD.US,D,20220111,000000,17.2737,17.2737,17.2737,17.2737,409,0
OILD.US,D,20220112,000000,16.795,17,16.795,16.9916,1711,0
OILD.US,D,20220113,000000,17.4148,17.4148,17.4148,17.4148,70,0
OILD.US,D,20220114,000000,16.73,16.73,15.9294,15.9294,7152,0
OILD.US,D,20220118,000000,15.91,16.43,15.86,15.9404,5342,0
OILD.US,D,20220119,000000,16.28,16.57,16.101,16.2617,2479,0
OILD.US,D,20220120,000000,16.36,16.9779,15.64,16.9779,2712,0
OILD.US,D,20220121,000000,17.35,18.2708,17.35,17.9989,2039,0
