<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OLN.US,D,20050225,000000,16.439,17.061,16.289,17.003,1573598,0
OLN.US,D,20050228,000000,17.153,17.401,16.957,17.126,1477886,0
OLN.US,D,20050301,000000,17.121,17.354,16.984,17.113,1516199,0
OLN.US,D,20050302,000000,17.024,17.092,16.715,16.948,898822,0
OLN.US,D,20050303,000000,16.886,17.061,16.736,16.779,849288,0
OLN.US,D,20050304,000000,16.875,17.299,16.875,17.161,1061108,0
OLN.US,D,20050307,000000,17.237,17.262,17.003,17.017,708425,0
OLN.US,D,20050308,000000,16.957,17.017,16.702,16.838,959423,0
OLN.US,D,20050309,000000,17.087,17.113,16.581,16.934,1254707,0
OLN.US,D,20050310,000000,16.957,16.963,16.213,16.478,1093154,0
OLN.US,D,20050311,000000,16.373,16.722,16.373,16.507,532154,0
OLN.US,D,20050314,000000,16.681,16.694,16.373,16.456,649566,0
OLN.US,D,20050315,000000,16.471,16.585,16.373,16.373,692395,0
OLN.US,D,20050316,000000,16.22,16.269,15.838,16.01,1268402,0
OLN.US,D,20050317,000000,15.893,16.305,15.821,16.18,756787,0
OLN.US,D,20050318,000000,16.188,16.188,15.803,16.036,1108597,0
OLN.US,D,20050321,000000,16.076,16.076,15.629,15.934,487139,0
OLN.US,D,20050322,000000,15.934,16.297,15.886,15.906,565951,0
OLN.US,D,20050323,000000,15.757,15.906,15.668,15.668,604266,0
OLN.US,D,20050324,000000,15.674,15.877,15.645,15.757,552116,0
OLN.US,D,20050328,000000,15.766,15.851,15.532,15.629,776888,0
OLN.US,D,20050329,000000,15.66,15.773,14.99,15.103,1368044,0
OLN.US,D,20050330,000000,15.068,15.198,15.047,15.198,903486,0
OLN.US,D,20050331,000000,15.186,15.355,15.09,15.307,896342,0
OLN.US,D,20050401,000000,15.315,15.886,15.26,15.838,1734711,0
OLN.US,D,20050404,000000,15.925,16.202,15.766,15.973,1067666,0
OLN.US,D,20050405,000000,16.098,16.24,15.979,16.09,856575,0
OLN.US,D,20050406,000000,16.098,16.329,16.06,16.113,436737,0
OLN.US,D,20050407,000000,16.036,16.113,15.829,15.925,534631,0
OLN.US,D,20050408,000000,15.92,15.925,15.674,15.714,589845,0
OLN.US,D,20050411,000000,15.677,15.72,15.384,15.406,717017,0
OLN.US,D,20050412,000000,15.411,15.411,14.985,15.271,1095193,0
OLN.US,D,20050413,000000,15.198,15.205,14.621,14.73,985348,0
OLN.US,D,20050414,000000,14.683,14.737,13.833,13.943,1748551,0
OLN.US,D,20050415,000000,13.943,14.163,13.659,13.845,1089219,0
OLN.US,D,20050418,000000,14.12,14.12,13.659,13.954,668066,0
OLN.US,D,20050419,000000,14.126,14.669,14.126,14.655,844630,0
OLN.US,D,20050420,000000,14.813,14.813,14.2,14.246,714978,0
OLN.US,D,20050421,000000,14.401,14.643,14.365,14.588,870266,0
OLN.US,D,20050422,000000,14.588,14.669,14.239,14.438,644182,0
OLN.US,D,20050425,000000,14.476,14.855,14.476,14.855,616063,0
OLN.US,D,20050426,000000,14.849,14.886,14.445,14.484,1620360,0
OLN.US,D,20050427,000000,14.358,14.358,13.9,14.12,725904,0
OLN.US,D,20050428,000000,14.126,14.266,13.735,13.853,1400675,0
OLN.US,D,20050429,000000,13.937,13.968,12.117,12.178,5321689,0
OLN.US,D,20050502,000000,12.355,12.466,12.048,12.287,2330668,0
OLN.US,D,20050503,000000,12.355,12.438,12.109,12.377,2039167,0
OLN.US,D,20050504,000000,12.493,12.753,12.432,12.701,2874046,0
OLN.US,D,20050505,000000,12.816,12.939,12.672,12.871,1564121,0
OLN.US,D,20050506,000000,12.782,12.884,12.732,12.768,1059644,0
OLN.US,D,20050509,000000,12.844,12.967,12.701,12.898,895617,0
OLN.US,D,20050510,000000,12.835,12.912,12.732,12.86,1516779,0
OLN.US,D,20050511,000000,12.816,13.009,12.637,12.967,1089946,0
OLN.US,D,20050512,000000,13.009,13.009,12.372,12.438,1475988,0
OLN.US,D,20050513,000000,12.39,12.46,11.731,11.993,2503879,0
OLN.US,D,20050516,000000,11.978,12.269,11.878,12.255,1246402,0
OLN.US,D,20050517,000000,12.262,12.48,12.129,12.466,791602,0
OLN.US,D,20050518,000000,12.542,12.96,12.542,12.939,917467,0
OLN.US,D,20050519,000000,13.002,13.002,12.795,12.809,783885,0
OLN.US,D,20050520,000000,12.809,12.852,12.722,12.768,524433,0
OLN.US,D,20050523,000000,12.803,12.905,12.714,12.865,1064019,0
OLN.US,D,20050524,000000,12.871,12.871,12.728,12.747,530403,0
OLN.US,D,20050525,000000,12.701,12.732,12.485,12.688,636459,0
OLN.US,D,20050526,000000,12.694,12.891,12.694,12.835,523126,0
OLN.US,D,20050527,000000,12.835,12.989,12.782,12.967,461646,0
OLN.US,D,20050531,000000,12.982,12.995,12.803,12.884,513944,0
OLN.US,D,20050601,000000,12.86,13.221,12.816,13.121,1101314,0
OLN.US,D,20050602,000000,13.143,13.174,12.884,13.113,648844,0
OLN.US,D,20050603,000000,13.113,13.243,12.905,12.905,487427,0
OLN.US,D,20050606,000000,12.939,12.955,12.747,12.803,745863,0
OLN.US,D,20050607,000000,12.83,13.138,12.83,13.039,852205,0
OLN.US,D,20050608,000000,13.105,13.16,12.759,12.825,478986,0
OLN.US,D,20050609,000000,12.803,12.809,12.383,12.688,1480650,0
OLN.US,D,20050610,000000,12.776,12.835,12.529,12.688,1052216,0
OLN.US,D,20050613,000000,12.65,12.947,12.589,12.803,511761,0
OLN.US,D,20050614,000000,12.759,12.898,12.714,12.835,504624,0
OLN.US,D,20050615,000000,12.809,13.255,12.803,13.235,839091,0
OLN.US,D,20050616,000000,13.18,13.302,13.143,13.235,928248,0
OLN.US,D,20050617,000000,13.302,13.367,12.989,13.206,1228047,0
OLN.US,D,20050620,000000,13.079,13.16,13.002,13.002,588094,0
OLN.US,D,20050621,000000,13.009,13.028,12.795,12.816,510446,0
OLN.US,D,20050622,000000,12.891,13.016,12.728,12.768,445334,0
OLN.US,D,20050623,000000,12.768,12.809,12.412,12.46,668652,0
OLN.US,D,20050624,000000,12.46,12.493,12.186,12.255,939024,0
OLN.US,D,20050627,000000,12.144,12.295,12.129,12.213,578627,0
OLN.US,D,20050628,000000,12.32,12.57,12.32,12.493,788257,0
OLN.US,D,20050629,000000,12.564,12.74,12.564,12.701,849584,0
OLN.US,D,20050630,000000,12.759,12.759,12.522,12.522,705947,0
OLN.US,D,20050701,000000,12.426,12.576,12.255,12.529,827731,0
OLN.US,D,20050705,000000,12.57,12.57,12.372,12.485,836906,0
OLN.US,D,20050706,000000,12.48,12.529,12.311,12.39,1767486,0
OLN.US,D,20050707,000000,12.355,12.397,12.255,12.355,1051345,0
OLN.US,D,20050708,000000,12.39,12.607,12.317,12.529,1673236,0
OLN.US,D,20050711,000000,12.564,12.96,12.564,12.835,908870,0
OLN.US,D,20050712,000000,12.905,13.143,12.884,13.039,1626181,0
OLN.US,D,20050713,000000,13.039,13.412,12.96,13.168,1304383,0
OLN.US,D,20050714,000000,13.215,13.358,13.143,13.221,727798,0
OLN.US,D,20050715,000000,13.229,13.351,13.071,13.105,518313,0
OLN.US,D,20050718,000000,13.113,13.215,13.079,13.128,582851,0
