<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONE.US,D,20220107,000000,0.3468,0.45,0.27,0.2901,34986203,0
ONE.US,D,20220110,000000,0.3031,0.3035,0.1893,0.1941,19748316,0
ONE.US,D,20220111,000000,0.2239,0.2357,0.196,0.1975,34386189,0
ONE.US,D,20220112,000000,0.2048,0.209,0.1931,0.203,13614629,0
ONE.US,D,20220113,000000,0.2,0.2028,0.19,0.1986,8004021,0
ONE.US,D,20220114,000000,0.1989,0.1989,0.1725,0.1872,8326192,0
ONE.US,D,20220118,000000,0.155,0.16,0.1,0.15455,21147182,0
ONE.US,D,20220119,000000,0.1442,0.18,0.1442,0.1599,8964066,0
ONE.US,D,20220120,000000,0.175,0.185,0.152,0.159,12939266,0
ONE.US,D,20220121,000000,0.1625,0.1625,0.142,0.156,4585335,0
