<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OWL-WS.US,D,20210521,000000,1.925,2.1,1.85,1.9,918562,0
OWL-WS.US,D,20210524,000000,2,2.3,2,2.15,156508,0
OWL-WS.US,D,20210525,000000,2.24,2.28,2.09,2.25,101088,0
OWL-WS.US,D,20210526,000000,2.25,2.31,2.1201,2.14,53132,0
OWL-WS.US,D,20210527,000000,2.19,2.1902,1.98,2.04,71213,0
OWL-WS.US,D,20210528,000000,2.04,2.13,2.04,2.09,29040,0
OWL-WS.US,D,20210601,000000,1.89,2.14,1.88,2.1,20103,0
OWL-WS.US,D,20210602,000000,2.035,2.1,2,2.03,22385,0
OWL-WS.US,D,20210603,000000,2.02,2.45,2.02,2.25,210999,0
OWL-WS.US,D,20210604,000000,2.19,2.61,2.19,2.605,843927,0
OWL-WS.US,D,20210607,000000,2.7,3.71,2.7,3.68,487904,0
OWL-WS.US,D,20210608,000000,3.6,3.76,3.25,3.76,90664,0
OWL-WS.US,D,20210609,000000,3.98,4.05,3.18,3.35,161398,0
OWL-WS.US,D,20210610,000000,3.45,3.85,3.45,3.74,109669,0
OWL-WS.US,D,20210611,000000,4,4.2399,2.9099,3.205,76138,0
OWL-WS.US,D,20210614,000000,3.02,3.02,2.725,2.94,40920,0
OWL-WS.US,D,20210615,000000,2.94,3.27,2.65,2.83,61977,0
OWL-WS.US,D,20210616,000000,2.73,2.88,2.73,2.78,24902,0
OWL-WS.US,D,20210617,000000,2.7,2.79,2.5,2.5099,49621,0
OWL-WS.US,D,20210618,000000,2.26,2.72,2.25,2.57,15266,0
OWL-WS.US,D,20210621,000000,2.56,2.56,2.3,2.35,12052,0
OWL-WS.US,D,20210622,000000,2.4,2.45,2.37,2.45,15454,0
OWL-WS.US,D,20210623,000000,2.56,2.74,2.56,2.61,10030,0
OWL-WS.US,D,20210624,000000,2.705,2.91,2.705,2.84,5056,0
OWL-WS.US,D,20210625,000000,2.76,2.85,2.61,2.61,31966,0
OWL-WS.US,D,20210628,000000,2.6999,2.7,2.595,2.61,8611,0
OWL-WS.US,D,20210629,000000,2.8,2.9,2.67,2.75,119709,0
OWL-WS.US,D,20210630,000000,2.77,2.9,2.68,2.8241,24336,0
OWL-WS.US,D,20210701,000000,2.76,2.94,2.76,2.76,64988,0
OWL-WS.US,D,20210702,000000,2.66,2.81,2.66,2.715,166517,0
OWL-WS.US,D,20210706,000000,2.62,2.6345,2.43,2.61,68670,0
OWL-WS.US,D,20210707,000000,2.555,2.65,2.5,2.63,19696,0
OWL-WS.US,D,20210708,000000,2.74,2.74,2.3,2.3,108925,0
OWL-WS.US,D,20210709,000000,2.49,2.4999,2.29,2.4203,9761,0
OWL-WS.US,D,20210712,000000,2.5,2.55,2.25,2.55,34702,0
OWL-WS.US,D,20210713,000000,2.6301,2.75,2.63,2.71,167790,0
OWL-WS.US,D,20210714,000000,2.75,2.99,2.6301,2.77,23008,0
OWL-WS.US,D,20210715,000000,2.85,2.93,2.74,2.83,89765,0
OWL-WS.US,D,20210716,000000,2.9,2.96,2.55,2.82,19166,0
OWL-WS.US,D,20210719,000000,2.68,2.85,2.56,2.79,14024,0
OWL-WS.US,D,20210720,000000,2.99,3.0523,2.75,2.82,199641,0
OWL-WS.US,D,20210721,000000,3,3.175,2.95,3,61762,0
OWL-WS.US,D,20210722,000000,2.84,3.2,2.84,3.2,90863,0
OWL-WS.US,D,20210723,000000,2.9,3.15,2.9,3.1,22580,0
OWL-WS.US,D,20210726,000000,3.15,3.2,2.93,2.97,116379,0
OWL-WS.US,D,20210727,000000,3.045,3.045,2.812,3.01,31591,0
