<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAC.US,D,20060223,000000,12.667,12.667,12.667,12.667,0,0
PAC.US,D,20060224,000000,18.099,18.099,16.583,17.048,34151298,0
PAC.US,D,20060227,000000,17.265,17.692,16.892,17.465,5043157,0
PAC.US,D,20060228,000000,17.494,17.494,16.892,17.373,3046582,0
PAC.US,D,20060301,000000,17.735,18.394,17.583,18.036,2660333,0
PAC.US,D,20060302,000000,18.099,18.399,18.032,18.279,1047355,0
PAC.US,D,20060303,000000,18.099,18.219,17.785,17.884,1203681,0
PAC.US,D,20060306,000000,18.007,18.099,17.494,17.556,791404,0
PAC.US,D,20060307,000000,17.494,17.676,17.366,17.522,822069,0
PAC.US,D,20060308,000000,17.795,17.795,17.354,17.465,494007,0
PAC.US,D,20060309,000000,17.494,17.795,17.494,17.765,1456648,0
PAC.US,D,20060310,000000,17.801,17.825,17.522,17.825,586171,0
PAC.US,D,20060313,000000,17.825,18.64,17.825,18.399,1110848,0
PAC.US,D,20060314,000000,18.127,18.52,18.099,18.52,569761,0
PAC.US,D,20060315,000000,18.701,19.605,18.701,19.394,1259216,0
PAC.US,D,20060316,000000,19.363,19.846,19.302,19.721,705035,0
PAC.US,D,20060317,000000,19.79,19.909,19.342,19.816,94823,0
PAC.US,D,20060320,000000,19.846,20.026,19.663,19.997,408134,0
PAC.US,D,20060321,000000,19.935,20.51,19.909,20.389,96978,0
PAC.US,D,20060322,000000,20.45,20.51,20.147,20.51,423386,0
PAC.US,D,20060323,000000,20.568,20.6,20.236,20.51,428190,0
PAC.US,D,20060324,000000,20.613,20.613,19.342,19.661,563796,0
PAC.US,D,20060327,000000,19.661,19.661,18.622,18.64,855390,0
PAC.US,D,20060328,000000,18.64,19.544,18.609,19.537,747638,0
PAC.US,D,20060329,000000,19.909,19.909,19.031,19.724,414433,0
PAC.US,D,20060330,000000,19.605,19.785,19.177,19.3,203902,0
PAC.US,D,20060331,000000,19.147,19.456,18.958,19.273,177875,0
PAC.US,D,20060403,000000,19.363,19.621,19.003,19.123,274189,0
PAC.US,D,20060404,000000,19.123,19.184,18.762,18.941,275018,0
PAC.US,D,20060405,000000,18.941,18.941,18.549,18.701,648506,0
PAC.US,D,20060406,000000,18.851,18.971,18.701,18.821,353266,0
PAC.US,D,20060407,000000,18.862,19.062,18.827,18.881,545227,0
PAC.US,D,20060410,000000,18.789,19.003,18.737,18.762,264078,0
PAC.US,D,20060411,000000,18.718,18.762,17.752,17.926,884237,0
PAC.US,D,20060412,000000,18.007,18.176,17.494,17.788,941424,0
PAC.US,D,20060413,000000,17.884,18.068,17.373,17.704,556999,0
PAC.US,D,20060417,000000,17.711,18.001,17.646,17.778,305026,0
PAC.US,D,20060418,000000,17.785,18.207,17.785,18.158,745650,0
PAC.US,D,20060419,000000,18.158,18.399,18.158,18.322,754267,0
PAC.US,D,20060420,000000,18.322,18.489,18.322,18.489,299881,0
PAC.US,D,20060421,000000,18.489,18.731,18.485,18.615,121678,0
PAC.US,D,20060424,000000,18.549,18.881,18.549,18.881,378126,0
PAC.US,D,20060425,000000,18.971,18.971,18.724,18.851,307513,0
PAC.US,D,20060426,000000,18.924,19.184,18.924,19.128,942754,0
PAC.US,D,20060427,000000,19.133,21.565,19.123,20.568,2456428,0
PAC.US,D,20060428,000000,20.81,20.81,20.026,20.075,298893,0
PAC.US,D,20060501,000000,20.51,20.872,20.51,20.632,328399,0
PAC.US,D,20060502,000000,20.724,22.163,20.701,21.764,1795326,0
PAC.US,D,20060503,000000,21.565,21.867,21.036,21.403,1140523,0
PAC.US,D,20060504,000000,21.565,21.705,21.314,21.385,604576,0
PAC.US,D,20060505,000000,21.504,21.928,21.476,21.807,669556,0
PAC.US,D,20060508,000000,22.079,23.225,21.928,22.459,933305,0
PAC.US,D,20060509,000000,22.621,23.225,22.512,22.989,1278443,0
PAC.US,D,20060510,000000,22.989,23.134,22.803,23.105,661770,0
PAC.US,D,20060511,000000,23.587,23.736,22.536,22.566,575897,0
PAC.US,D,20060512,000000,22.319,22.319,21.186,21.488,647179,0
PAC.US,D,20060515,000000,21.467,21.867,21.352,21.53,524011,0
PAC.US,D,20060516,000000,21.836,21.896,21.467,21.536,979555,0
PAC.US,D,20060517,000000,21.476,21.582,20.553,20.781,407139,0
PAC.US,D,20060518,000000,20.81,21.112,20.359,20.364,488537,0
PAC.US,D,20060519,000000,20.45,20.515,19.663,20.479,1413882,0
PAC.US,D,20060522,000000,20.389,20.389,19.075,19.763,1158751,0
PAC.US,D,20060523,000000,19.909,20.057,19.424,19.67,773002,0
PAC.US,D,20060524,000000,19.757,19.81,18.911,19.302,1104879,0
PAC.US,D,20060525,000000,19.456,20.479,19.424,20.479,930487,0
PAC.US,D,20060526,000000,20.724,20.902,20.522,20.697,175388,0
PAC.US,D,20060530,000000,20.42,20.51,20.057,20.167,263250,0
PAC.US,D,20060531,000000,20.236,20.264,19.605,20.088,530474,0
PAC.US,D,20060601,000000,20.208,20.298,19.617,19.757,260926,0
PAC.US,D,20060602,000000,19.909,20.102,19.611,19.663,529813,0
PAC.US,D,20060605,000000,19.909,19.909,18.976,18.976,231750,0
PAC.US,D,20060606,000000,18.851,19.085,18.458,18.941,1087306,0
PAC.US,D,20060607,000000,19.062,19.152,18.701,18.768,393546,0
PAC.US,D,20060608,000000,18.762,18.778,17.711,18.411,505942,0
PAC.US,D,20060609,000000,18.549,18.905,17.976,18.099,371002,0
PAC.US,D,20060612,000000,18.158,18.295,17.765,17.881,299221,0
PAC.US,D,20060613,000000,18.036,18.316,17.761,17.884,640549,0
PAC.US,D,20060614,000000,17.884,18.127,16.862,17.071,535115,0
PAC.US,D,20060615,000000,17.373,18.326,17.373,18.24,502127,0
PAC.US,D,20060616,000000,18.258,18.309,18.025,18.187,240867,0
PAC.US,D,20060619,000000,18.187,18.337,17.662,17.662,124329,0
PAC.US,D,20060620,000000,17.556,17.856,17.414,17.856,249822,0
PAC.US,D,20060621,000000,17.856,18.452,17.788,17.946,426205,0
PAC.US,D,20060622,000000,17.918,18.114,17.832,17.89,101949,0
PAC.US,D,20060623,000000,17.856,18.447,17.856,18.447,167765,0
PAC.US,D,20060626,000000,18.429,18.827,18.429,18.526,240539,0
PAC.US,D,20060627,000000,18.609,18.803,18.309,18.493,237886,0
PAC.US,D,20060628,000000,18.581,18.609,18.09,18.187,142895,0
PAC.US,D,20060629,000000,18.127,18.694,18.036,18.549,238053,0
PAC.US,D,20060630,000000,18.581,19.573,18.556,19.213,413603,0
PAC.US,D,20060703,000000,19.456,20.359,19.456,19.857,257780,0
PAC.US,D,20060705,000000,20.264,20.264,19.636,19.785,188153,0
PAC.US,D,20060706,000000,19.876,20.102,19.757,19.846,370338,0
PAC.US,D,20060707,000000,19.846,20.057,19.846,19.909,198101,0
PAC.US,D,20060710,000000,19.909,20.303,19.846,19.846,498313,0
PAC.US,D,20060711,000000,19.738,19.81,19.302,19.785,186162,0
PAC.US,D,20060712,000000,19.724,19.81,19.003,19.085,185999,0
PAC.US,D,20060713,000000,19.031,19.036,18.609,18.762,129137,0
PAC.US,D,20060714,000000,18.64,18.64,18.337,18.489,92173,0
PAC.US,D,20060717,000000,18.411,18.847,18.326,18.762,179367,0
PAC.US,D,20060718,000000,18.821,18.953,18.337,18.37,470632,0
PAC.US,D,20060719,000000,18.458,18.839,18.407,18.701,671383,0
PAC.US,D,20060720,000000,18.762,18.924,18.671,18.671,253466,0
PAC.US,D,20060721,000000,18.694,18.694,18.429,18.543,157484,0
PAC.US,D,20060724,000000,18.543,18.953,18.538,18.549,195278,0
PAC.US,D,20060725,000000,18.429,18.429,18.043,18.127,392214,0
PAC.US,D,20060726,000000,18.099,18.109,17.265,17.556,2289825,0
PAC.US,D,20060727,000000,17.522,18.072,17.494,17.918,784942,0
PAC.US,D,20060728,000000,17.825,18.322,17.825,17.987,1280430,0
PAC.US,D,20060731,000000,17.918,18.054,17.583,18.054,734539,0
PAC.US,D,20060801,000000,18.036,18.399,17.995,18.248,583526,0
PAC.US,D,20060802,000000,18.187,18.458,18.099,18.248,564788,0
PAC.US,D,20060803,000000,18.248,18.302,18.06,18.24,233075,0
PAC.US,D,20060804,000000,18.386,19.003,18.386,18.706,672213,0
PAC.US,D,20060807,000000,18.701,18.937,18.628,18.718,260428,0
PAC.US,D,20060808,000000,18.701,18.757,18.576,18.706,288112,0
PAC.US,D,20060809,000000,18.762,18.762,18.219,18.225,544897,0
PAC.US,D,20060810,000000,18.127,18.991,18.099,18.941,398020,0
PAC.US,D,20060811,000000,18.947,18.947,18.104,18.181,713323,0
PAC.US,D,20060814,000000,18.181,18.701,18.181,18.489,123006,0
PAC.US,D,20060815,000000,18.489,18.911,18.489,18.789,210699,0
PAC.US,D,20060816,000000,18.941,19.302,18.911,19.302,875118,0
PAC.US,D,20060817,000000,19.213,19.636,19.152,19.544,495497,0
PAC.US,D,20060818,000000,19.513,19.593,19.302,19.482,168093,0
PAC.US,D,20060821,000000,19.456,19.544,19.217,19.294,250150,0
PAC.US,D,20060822,000000,19.3,20.143,19.3,19.846,563961,0
PAC.US,D,20060823,000000,19.846,19.943,19.605,19.621,431176,0
PAC.US,D,20060824,000000,19.724,19.724,18.958,19.027,298556,0
PAC.US,D,20060825,000000,19.027,19.312,18.971,19.075,263580,0
PAC.US,D,20060828,000000,18.941,19.884,18.941,19.663,167434,0
PAC.US,D,20060829,000000,19.617,19.895,19.617,19.846,215836,0
PAC.US,D,20060830,000000,19.876,20.484,19.724,20.432,387908,0
PAC.US,D,20060831,000000,20.51,20.51,20.214,20.479,257945,0
PAC.US,D,20060901,000000,20.479,20.632,20.264,20.564,368016,0
PAC.US,D,20060905,000000,20.564,20.75,20.564,20.605,227940,0
PAC.US,D,20060906,000000,20.62,20.62,20.033,20.088,392052,0
PAC.US,D,20060907,000000,20.057,20.057,19.424,19.713,337849,0
PAC.US,D,20060908,000000,19.997,20.968,19.846,20.816,446923,0
PAC.US,D,20060911,000000,20.781,21.045,20.275,20.51,450738,0
PAC.US,D,20060912,000000,20.479,21.414,20.359,21.112,768361,0
PAC.US,D,20060913,000000,21.083,21.709,21.083,21.53,403328,0
PAC.US,D,20060914,000000,21.685,21.715,21.318,21.414,163123,0
PAC.US,D,20060915,000000,21.476,21.685,21.186,21.196,103776,0
PAC.US,D,20060918,000000,21.143,21.426,20.914,20.944,145713,0
PAC.US,D,20060919,000000,20.914,20.914,20.327,20.396,376801,0
PAC.US,D,20060920,000000,20.396,20.787,20.383,20.6,359560,0
PAC.US,D,20060921,000000,20.541,21.414,20.504,20.846,528649,0
PAC.US,D,20060922,000000,20.75,20.75,20.303,20.373,520030,0
PAC.US,D,20060925,000000,20.236,20.327,20.147,20.147,365530,0
PAC.US,D,20060926,000000,20.208,20.413,20.208,20.287,101949,0
PAC.US,D,20060927,000000,20.348,20.479,20.208,20.443,484225,0
PAC.US,D,20060928,000000,20.474,20.51,20.348,20.389,132784,0
PAC.US,D,20060929,000000,20.42,20.605,19.918,20.51,473779,0
PAC.US,D,20061002,000000,20.659,21.009,20.568,20.568,326740,0
PAC.US,D,20061003,000000,20.6,20.659,20.208,20.251,93494,0
PAC.US,D,20061004,000000,20.208,20.75,20.208,20.74,374149,0
PAC.US,D,20061005,000000,20.625,21.03,20.625,20.884,683649,0
PAC.US,D,20061006,000000,20.734,20.81,20.462,20.613,944409,0
PAC.US,D,20061009,000000,20.69,21.083,20.428,21.051,302371,0
PAC.US,D,20061010,000000,21.051,21.548,21.03,21.467,624966,0
PAC.US,D,20061011,000000,21.482,21.543,21.359,21.407,221143,0
PAC.US,D,20061012,000000,21.504,21.536,21.347,21.476,183841,0
PAC.US,D,20061013,000000,21.374,21.621,21.314,21.616,302703,0
PAC.US,D,20061016,000000,21.494,21.735,21.494,21.715,196443,0
PAC.US,D,20061017,000000,21.655,21.655,20.828,21.414,457037,0
PAC.US,D,20061018,000000,21.499,21.999,21.499,21.944,278830,0
PAC.US,D,20061019,000000,21.836,22.23,21.836,22.186,193623,0
PAC.US,D,20061020,000000,22.139,22.23,22.06,22.06,150523,0
PAC.US,D,20061023,000000,22.06,22.42,22.054,22.26,372662,0
PAC.US,D,20061024,000000,22.199,22.652,22.006,22.652,203074,0
PAC.US,D,20061025,000000,22.748,22.767,22.343,22.486,183014,0
PAC.US,D,20061026,000000,22.64,22.697,22.56,22.621,240700,0
PAC.US,D,20061027,000000,22.56,22.718,22.35,22.718,280822,0
PAC.US,D,20061030,000000,22.772,22.779,22.297,22.544,305192,0
PAC.US,D,20061031,000000,22.693,22.921,22.597,22.767,622478,0
PAC.US,D,20061101,000000,22.856,22.917,22.363,22.472,394376,0
PAC.US,D,20061102,000000,22.472,22.676,22.37,22.502,255789,0
PAC.US,D,20061103,000000,22.592,22.815,22.554,22.742,81399,0
PAC.US,D,20061106,000000,22.803,23.675,22.645,23.582,947393,0
PAC.US,D,20061107,000000,23.582,24.275,23.452,23.647,1446041,0
PAC.US,D,20061108,000000,23.615,23.72,23.078,23.137,380284,0
PAC.US,D,20061109,000000,23.171,23.526,23.171,23.34,145215,0
PAC.US,D,20061110,000000,23.49,23.514,23.152,23.358,466817,0
PAC.US,D,20061113,000000,23.458,23.502,23.013,23.129,180528,0
PAC.US,D,20061114,000000,23.068,23.26,22.989,23.193,128475,0
PAC.US,D,20061115,000000,23.074,23.448,23.074,23.373,303861,0
PAC.US,D,20061116,000000,23.526,23.582,23.405,23.436,95318,0
PAC.US,D,20061117,000000,23.436,23.464,22.954,23.121,387410,0
PAC.US,D,20061120,000000,23.164,23.237,22.917,23.019,176885,0
PAC.US,D,20061121,000000,23.013,23.013,22.621,22.681,266730,0
PAC.US,D,20061122,000000,22.652,23.099,22.652,23.043,616015,0
PAC.US,D,20061124,000000,23.013,23.829,22.978,23.736,524669,0
PAC.US,D,20061127,000000,23.526,23.526,22.879,23.051,441954,0
PAC.US,D,20061128,000000,22.954,23.582,22.921,23.533,447590,0
PAC.US,D,20061129,000000,23.815,23.956,23.464,23.917,783113,0
PAC.US,D,20061130,000000,24.069,24.123,23.769,23.822,373156,0
PAC.US,D,20061201,000000,23.938,23.977,23.464,23.977,446594,0
PAC.US,D,20061204,000000,23.889,24.009,23.744,23.744,258443,0
PAC.US,D,20061205,000000,23.659,23.709,23.225,23.256,727078,0
PAC.US,D,20061206,000000,23.056,23.185,22.621,22.742,795049,0
PAC.US,D,20061207,000000,22.833,23.218,22.56,22.989,508764,0
PAC.US,D,20061208,000000,22.862,23.105,22.332,23.074,962648,0
PAC.US,D,20061211,000000,22.983,23.218,22.893,23.111,293584,0
PAC.US,D,20061212,000000,23.134,23.193,22.875,23.092,117201,0
PAC.US,D,20061213,000000,23.013,23.225,23.013,23.043,129469,0
PAC.US,D,20061214,000000,22.921,23.105,22.901,23.031,270707,0
PAC.US,D,20061215,000000,23.185,23.496,23.013,23.367,204397,0
PAC.US,D,20061218,000000,23.315,23.464,22.018,23.367,190807,0
PAC.US,D,20061219,000000,23.284,23.345,22.862,23.249,232249,0
PAC.US,D,20061220,000000,23.345,23.642,23.249,23.411,257281,0
PAC.US,D,20061221,000000,23.353,23.514,23.256,23.464,289771,0
PAC.US,D,20061222,000000,23.526,23.615,23.309,23.436,175720,0
PAC.US,D,20061226,000000,23.405,23.647,23.302,23.615,169750,0
PAC.US,D,20061227,000000,23.615,24.009,23.556,23.839,596121,0
PAC.US,D,20061228,000000,23.938,23.949,23.682,23.682,167926,0
PAC.US,D,20061229,000000,23.533,23.714,23.526,23.642,134940,0
PAC.US,D,20070103,000000,23.769,24.088,23.496,23.857,559319,0
PAC.US,D,20070104,000000,23.709,23.709,23.225,23.296,281316,0
PAC.US,D,20070105,000000,23.345,23.345,22.687,23.062,264575,0
