<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAG.US,D,20050225,000000,11.183,11.295,11.012,11.253,189458,0
PAG.US,D,20050228,000000,11.192,11.192,10.917,10.963,294228,0
PAG.US,D,20050301,000000,10.944,11.309,10.944,11.286,364671,0
PAG.US,D,20050302,000000,11.262,11.364,11.02,11.183,225312,0
PAG.US,D,20050303,000000,11.183,11.198,10.938,10.963,394422,0
PAG.US,D,20050304,000000,11.012,11.278,10.924,11.16,225055,0
PAG.US,D,20050307,000000,11.262,11.489,11.262,11.348,244386,0
PAG.US,D,20050308,000000,11.348,11.348,11.12,11.215,238788,0
PAG.US,D,20050309,000000,11.169,11.183,11.105,11.16,171146,0
PAG.US,D,20050310,000000,11.169,11.333,11.097,11.16,190221,0
PAG.US,D,20050311,000000,11.16,11.239,11.128,11.16,299822,0
PAG.US,D,20050314,000000,11.152,11.231,11.128,11.183,424176,0
PAG.US,D,20050315,000000,11.206,11.309,11.144,11.206,256847,0
PAG.US,D,20050316,000000,11.128,11.136,10.978,11.012,556160,0
PAG.US,D,20050317,000000,11.02,11.192,10.978,11.105,346103,0
PAG.US,D,20050318,000000,11.128,11.192,11.052,11.128,314061,0
PAG.US,D,20050321,000000,11.089,11.097,11.012,11.066,206243,0
PAG.US,D,20050322,000000,11.052,11.12,10.985,11.06,274138,0
PAG.US,D,20050323,000000,11.043,11.12,10.994,11.08,248963,0
PAG.US,D,20050324,000000,11.089,11.176,11.06,11.073,159957,0
PAG.US,D,20050328,000000,11.089,11.16,10.985,11.152,119520,0
PAG.US,D,20050329,000000,11.152,11.16,10.917,10.97,335933,0
PAG.US,D,20050330,000000,10.855,11.169,10.855,11.073,565818,0
PAG.US,D,20050331,000000,11.073,11.105,10.932,10.938,641857,0
PAG.US,D,20050401,000000,10.978,11.073,10.714,10.714,804354,0
PAG.US,D,20050404,000000,10.714,10.978,10.572,10.963,451132,0
PAG.US,D,20050405,000000,10.978,11.192,10.978,11.169,569634,0
PAG.US,D,20050406,000000,11.206,11.231,10.829,10.863,452399,0
PAG.US,D,20050407,000000,10.863,10.863,10.546,10.743,726032,0
PAG.US,D,20050408,000000,10.743,10.743,10.42,10.501,588202,0
PAG.US,D,20050411,000000,10.501,10.601,10.438,10.501,385014,0
PAG.US,D,20050412,000000,10.476,10.799,10.429,10.757,564550,0
PAG.US,D,20050413,000000,10.757,10.772,10.53,10.546,664741,0
PAG.US,D,20050414,000000,10.563,10.633,10.42,10.438,511656,0
PAG.US,D,20050415,000000,10.438,10.508,10.123,10.123,552344,0
PAG.US,D,20050418,000000,10.138,10.476,10.138,10.351,581080,0
PAG.US,D,20050419,000000,10.657,11.459,10.626,11.436,1976689,0
PAG.US,D,20050420,000000,11.395,11.75,11.262,11.333,1100362,0
PAG.US,D,20050421,000000,11.436,11.584,11.222,11.386,699077,0
PAG.US,D,20050422,000000,11.395,11.395,10.885,10.978,718401,0
PAG.US,D,20050425,000000,11.052,11.286,11.052,11.206,668811,0
PAG.US,D,20050426,000000,11.206,11.436,11.105,11.247,619476,0
PAG.US,D,20050427,000000,11.247,11.495,11.152,11.206,606763,0
PAG.US,D,20050428,000000,11.183,11.454,11.052,11.12,599136,0
PAG.US,D,20050429,000000,11.206,11.253,10.932,11.144,457485,0
PAG.US,D,20050502,000000,11.12,11.262,11.089,11.222,589471,0
PAG.US,D,20050503,000000,11.876,12.094,11.694,11.953,1629312,0
PAG.US,D,20050504,000000,11.984,12.094,11.83,12.034,630671,0
PAG.US,D,20050505,000000,12.051,12.229,11.961,11.984,814782,0
PAG.US,D,20050506,000000,12.034,12.183,11.991,12.017,438668,0
PAG.US,D,20050509,000000,12.017,12.213,11.953,12.118,334913,0
PAG.US,D,20050510,000000,12.109,12.158,11.984,12.094,546748,0
PAG.US,D,20050511,000000,12.134,12.141,11.789,11.915,343814,0
PAG.US,D,20050512,000000,11.915,12.026,11.561,11.569,545479,0
PAG.US,D,20050513,000000,11.592,11.741,11.436,11.513,297024,0
PAG.US,D,20050516,000000,11.513,11.709,11.513,11.658,364671,0
PAG.US,D,20050517,000000,11.632,11.923,11.632,11.805,509621,0
PAG.US,D,20050518,000000,11.969,12.355,11.969,12.292,455964,0
PAG.US,D,20050519,000000,12.263,12.389,12.118,12.278,279986,0
PAG.US,D,20050520,000000,12.239,12.263,11.883,12.158,398236,0
PAG.US,D,20050523,000000,12.168,12.38,12.168,12.307,313302,0
PAG.US,D,20050524,000000,12.345,12.345,12.043,12.051,237768,0
PAG.US,D,20050525,000000,12.017,12.126,11.915,12.034,314825,0
PAG.US,D,20050526,000000,12.034,12.174,12.007,12.026,361874,0
PAG.US,D,20050527,000000,12.034,12.094,11.991,12.026,287614,0
PAG.US,D,20050531,000000,12.017,12.248,12.017,12.109,887261,0
PAG.US,D,20050601,000000,12.15,12.362,12.06,12.126,337458,0
PAG.US,D,20050602,000000,12.094,12.229,11.999,12.168,313050,0
PAG.US,D,20050603,000000,12.15,12.27,12.034,12.141,250743,0
