<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCK.US,D,20050225,000000,7.4218,7.4716,7.4049,7.4716,122898,0
PCK.US,D,20050228,000000,7.4986,7.5102,7.4498,7.4763,134499,0
PCK.US,D,20050301,000000,7.5047,7.516,7.4817,7.5102,231843,0
PCK.US,D,20050302,000000,7.5261,7.553,7.5102,7.553,228941,0
PCK.US,D,20050303,000000,7.5799,7.5799,7.5314,7.5402,164120,0
PCK.US,D,20050304,000000,7.5575,7.5935,7.5455,7.5853,126951,0
PCK.US,D,20050307,000000,7.5799,7.6103,7.5799,7.5935,146112,0
PCK.US,D,20050308,000000,7.5935,7.6158,7.5455,7.5972,161408,0
PCK.US,D,20050309,000000,7.5455,7.5455,7.4763,7.4922,83020,0
PCK.US,D,20050310,000000,7.5455,7.5455,7.4498,7.4763,77611,0
PCK.US,D,20050311,000000,7.4443,7.4922,7.3968,7.4338,83220,0
PCK.US,D,20050314,000000,7.428,7.4654,7.4098,7.4098,102956,0
PCK.US,D,20050315,000000,7.4338,7.4498,7.3968,7.4139,68699,0
PCK.US,D,20050316,000000,7.4139,7.4338,7.3743,7.4003,133340,0
PCK.US,D,20050317,000000,7.428,7.4386,7.3911,7.3911,141465,0
PCK.US,D,20050318,000000,7.4049,7.4098,7.3645,7.3799,131208,0
PCK.US,D,20050321,000000,7.3861,7.3861,7.3533,7.3743,66188,0
PCK.US,D,20050322,000000,7.3645,7.3743,7.3533,7.3598,62514,0
PCK.US,D,20050323,000000,7.3598,7.3743,7.2593,7.293,229529,0
PCK.US,D,20050324,000000,7.3105,7.3105,7.2593,7.2983,182890,0
PCK.US,D,20050328,000000,7.3533,7.3533,7.2155,7.2798,407765,0
PCK.US,D,20050329,000000,7.2652,7.2885,7.2214,7.236,188299,0
PCK.US,D,20050330,000000,7.236,7.2593,7.2214,7.2541,121539,0
PCK.US,D,20050331,000000,7.2453,7.2798,7.2409,7.2798,173405,0
PCK.US,D,20050401,000000,7.2885,7.3598,7.2885,7.3206,92898,0
PCK.US,D,20050404,000000,7.3052,7.4139,7.3052,7.3533,151920,0
PCK.US,D,20050405,000000,7.3533,7.3598,7.3105,7.3267,91728,0
PCK.US,D,20050406,000000,7.35,7.3743,7.3151,7.3267,58253,0
PCK.US,D,20050407,000000,7.3383,7.3436,7.3206,7.3383,59416,0
PCK.US,D,20050408,000000,7.3383,7.35,7.3206,7.35,67353,0
PCK.US,D,20050411,000000,7.35,7.3645,7.3151,7.3533,169921,0
PCK.US,D,20050412,000000,7.3861,7.428,7.3533,7.428,131405,0
PCK.US,D,20050413,000000,7.3861,7.4098,7.3799,7.3911,115339,0
PCK.US,D,20050414,000000,7.3383,7.428,7.3383,7.4139,143798,0
PCK.US,D,20050415,000000,7.4049,7.4386,7.4049,7.4098,92128,0
PCK.US,D,20050418,000000,7.4049,7.4551,7.4049,7.4386,118641,0
PCK.US,D,20050419,000000,7.4606,7.486,7.4498,7.4817,166425,0
PCK.US,D,20050420,000000,7.486,7.5216,7.4654,7.5047,107996,0
PCK.US,D,20050421,000000,7.5314,7.5314,7.4386,7.4443,110892,0
PCK.US,D,20050422,000000,7.4654,7.4986,7.4443,7.4986,77793,0
PCK.US,D,20050425,000000,7.5102,7.5455,7.4922,7.5261,86309,0
PCK.US,D,20050426,000000,7.5455,7.576,7.516,7.553,89603,0
PCK.US,D,20050427,000000,7.553,7.5896,7.5455,7.553,93866,0
PCK.US,D,20050428,000000,7.553,7.5935,7.5484,7.5696,72568,0
PCK.US,D,20050429,000000,7.5853,7.6158,7.5261,7.5696,286420,0
PCK.US,D,20050502,000000,7.5799,7.5799,7.5455,7.553,93866,0
PCK.US,D,20050503,000000,7.5575,7.5896,7.5314,7.5696,25729,0
PCK.US,D,20050504,000000,7.5484,7.5935,7.5455,7.576,206884,0
PCK.US,D,20050505,000000,7.576,7.5935,7.5455,7.5634,221982,0
PCK.US,D,20050506,000000,7.553,7.553,7.5216,7.5455,122506,0
PCK.US,D,20050509,000000,7.5455,7.5896,7.5363,7.576,65229,0
PCK.US,D,20050510,000000,7.5935,7.6415,7.553,7.5696,199725,0
