<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEAK.US,D,20050225,000000,14.338,14.58,14.297,14.58,770880,0
PEAK.US,D,20050228,000000,14.58,14.676,14.45,14.639,1031340,0
PEAK.US,D,20050301,000000,14.633,14.828,14.633,14.761,560344,0
PEAK.US,D,20050302,000000,14.639,14.639,14.407,14.482,779664,0
PEAK.US,D,20050303,000000,14.523,14.58,14.376,14.58,549848,0
PEAK.US,D,20050304,000000,14.644,14.834,14.592,14.817,526605,0
PEAK.US,D,20050307,000000,14.666,14.963,14.662,14.901,433991,0
PEAK.US,D,20050308,000000,14.901,14.901,14.639,14.662,396631,0
PEAK.US,D,20050309,000000,14.58,14.585,13.94,14.083,1011897,0
PEAK.US,D,20050310,000000,14.083,14.457,14.083,14.376,679814,0
PEAK.US,D,20050311,000000,14.371,14.371,14.011,14.051,815637,0
PEAK.US,D,20050314,000000,14.108,14.478,14.108,14.478,621455,0
PEAK.US,D,20050315,000000,14.469,14.58,14.192,14.192,533843,0
PEAK.US,D,20050316,000000,14.192,14.192,13.959,13.993,597183,0
PEAK.US,D,20050317,000000,14.07,14.291,14.051,14.215,649690,0
PEAK.US,D,20050318,000000,14.307,14.307,13.936,14.033,824251,0
PEAK.US,D,20050321,000000,13.978,14.152,13.904,14.017,407303,0
PEAK.US,D,20050322,000000,14.098,14.146,13.744,13.744,903097,0
PEAK.US,D,20050323,000000,13.474,13.873,13.437,13.66,748847,0
PEAK.US,D,20050324,000000,13.708,13.978,13.622,13.622,1107091,0
PEAK.US,D,20050328,000000,13.912,13.94,13.592,13.767,1104509,0
PEAK.US,D,20050329,000000,13.693,13.883,13.693,13.737,836133,0
PEAK.US,D,20050330,000000,13.883,13.912,13.767,13.842,946305,0
PEAK.US,D,20050331,000000,13.928,13.946,13.622,13.636,870388,0
PEAK.US,D,20050401,000000,13.781,13.928,13.641,13.836,684121,0
PEAK.US,D,20050404,000000,13.827,13.827,13.564,13.622,543645,0
PEAK.US,D,20050405,000000,13.622,13.678,13.592,13.652,1154428,0
PEAK.US,D,20050406,000000,13.678,13.763,13.573,13.622,979531,0
PEAK.US,D,20050407,000000,13.628,13.82,13.622,13.82,639706,0
PEAK.US,D,20050408,000000,13.855,13.889,13.744,13.827,532803,0
