<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFSI.US,D,20130509,000000,16.893,17.945,16.799,17.677,7031767,0
PFSI.US,D,20130510,000000,17.65,18.519,17.456,18.143,402588,0
PFSI.US,D,20130513,000000,18.64,18.697,17.713,17.872,686427,0
PFSI.US,D,20130514,000000,17.723,18.438,17.669,18.057,304151,0
PFSI.US,D,20130515,000000,18.048,18.325,17.954,18.241,92098,0
PFSI.US,D,20130516,000000,18.26,18.622,18.26,18.537,195141,0
PFSI.US,D,20130517,000000,18.697,18.753,18.5,18.509,392427,0
PFSI.US,D,20130520,000000,18.834,20.455,18.743,20.047,501403,0
PFSI.US,D,20130521,000000,20.224,21.103,20.075,20.778,307743,0
PFSI.US,D,20130522,000000,20.87,21.591,20.02,20.028,418863,0
PFSI.US,D,20130523,000000,20.011,20.555,19.354,20.436,300569,0
PFSI.US,D,20130524,000000,20.417,20.417,19.926,20.056,274590,0
PFSI.US,D,20130528,000000,20.362,20.362,19.908,19.917,308014,0
PFSI.US,D,20130529,000000,19.807,19.833,19.418,19.612,353511,0
PFSI.US,D,20130530,000000,19.574,20.407,19.456,20.342,203488,0
PFSI.US,D,20130531,000000,20.224,20.352,20.038,20.177,133541,0
PFSI.US,D,20130603,000000,20.362,20.362,19.298,19.564,164715,0
PFSI.US,D,20130604,000000,19.564,19.908,19.241,19.843,72962,0
PFSI.US,D,20130605,000000,19.853,19.899,19.574,19.797,38975,0
PFSI.US,D,20130606,000000,19.797,19.797,19.401,19.437,34455,0
PFSI.US,D,20130607,000000,19.465,19.482,18.706,18.954,168086,0
PFSI.US,D,20130610,000000,18.88,18.954,18.659,18.926,137183,0
PFSI.US,D,20130611,000000,18.743,18.973,18.602,18.88,85309,0
PFSI.US,D,20130612,000000,18.973,19.51,18.973,19.447,138790,0
PFSI.US,D,20130613,000000,19.408,19.465,18.973,19.465,308038,0
PFSI.US,D,20130614,000000,19.437,19.621,19.362,19.456,47288,0
PFSI.US,D,20130617,000000,19.5,20.168,19.5,20.002,88073,0
PFSI.US,D,20130618,000000,19.982,20.27,19.982,20.224,147305,0
PFSI.US,D,20130619,000000,20.206,20.493,20.131,20.177,125175,0
PFSI.US,D,20130620,000000,19.964,20.028,19.63,19.823,122739,0
PFSI.US,D,20130621,000000,19.889,19.945,19.621,19.752,316463,0
