<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGSS.US,D,20211215,000000,9.83,9.83,9.83,9.83,203,0
PGSS.US,D,20211216,000000,9.8999,9.8999,9.79,9.8,28004,0
PGSS.US,D,20211217,000000,9.79,9.81,9.79,9.81,20880,0
PGSS.US,D,20211220,000000,9.8,9.8168,9.76,9.79,463745,0
PGSS.US,D,20211221,000000,9.87,9.87,9.8599,9.8599,409,0
PGSS.US,D,20211222,000000,9.884,9.884,9.884,9.884,100,0
PGSS.US,D,20211223,000000,15.81,15.81,9.8,9.87,10341,0
PGSS.US,D,20211227,000000,9.78,9.9,9.78,9.83,115604,0
PGSS.US,D,20211228,000000,9.8384,9.88,9.83,9.86,4208,0
PGSS.US,D,20211229,000000,9.88,9.88,9.8,9.82,8788,0
PGSS.US,D,20211230,000000,9.8,9.82,9.8,9.81,530,0
PGSS.US,D,20211231,000000,9.86,9.86,9.8,9.81,1146,0
PGSS.US,D,20220103,000000,9.85,9.85,9.81,9.82,28914,0
PGSS.US,D,20220104,000000,9.81,9.9,9.81,9.9,197933,0
PGSS.US,D,20220105,000000,9.93,9.93,9.86,9.86,839,0
PGSS.US,D,20220106,000000,9.84,9.85,9.84,9.84,26840,0
PGSS.US,D,20220107,000000,9.83,9.85,9.83,9.84,34298,0
PGSS.US,D,20220110,000000,9.84,9.84,9.84,9.84,4487,0
PGSS.US,D,20220111,000000,9.84,9.84,9.84,9.84,1310,0
PGSS.US,D,20220112,000000,9.8585,9.89,9.8585,9.86,2330,0
PGSS.US,D,20220114,000000,9.91,9.91,9.845,9.85,1204,0
PGSS.US,D,20220118,000000,9.845,9.85,9.84,9.84,1921,0
PGSS.US,D,20220119,000000,9.84,9.84,9.83,9.83,13406,0
PGSS.US,D,20220120,000000,9.83,9.83,9.83,9.83,1360,0
