<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PH.US,D,19850701,000000,3.5465,3.637,3.5465,3.637,244826,0
PH.US,D,19850702,000000,3.637,3.6859,3.6281,3.6859,330543,0
PH.US,D,19850703,000000,3.6859,3.6942,3.637,3.637,320678,0
PH.US,D,19850705,000000,3.6529,3.7106,3.6529,3.7106,125188,0
PH.US,D,19850708,000000,3.6695,3.6695,3.637,3.6695,88804,0
PH.US,D,19850709,000000,3.6695,3.6695,3.6204,3.6281,167737,0
PH.US,D,19850710,000000,3.6204,3.6204,3.571,3.6038,99901,0
PH.US,D,19850711,000000,3.6038,3.637,3.6038,3.6204,166504,0
PH.US,D,19850712,000000,3.6204,3.637,3.5625,3.6038,743723,0
PH.US,D,19850715,000000,3.5876,3.5876,3.5379,3.5625,477932,0
PH.US,D,19850716,000000,3.5625,3.5876,3.5214,3.5876,430448,0
PH.US,D,19850717,000000,3.5876,3.6695,3.5876,3.6038,456345,0
PH.US,D,19850718,000000,3.6038,3.6281,3.5465,3.571,152939,0
PH.US,D,19850719,000000,3.571,3.6204,3.571,3.5876,270726,0
PH.US,D,19850722,000000,3.5876,3.5876,3.5625,3.571,101137,0
PH.US,D,19850723,000000,3.571,3.5876,3.5625,3.571,219540,0
PH.US,D,19850724,000000,3.571,3.571,3.5625,3.571,79555,0
PH.US,D,19850725,000000,3.571,3.5876,3.5465,3.571,730775,0
PH.US,D,19850726,000000,3.5876,3.6204,3.5876,3.5876,131360,0
PH.US,D,19850729,000000,3.5876,3.6281,3.5876,3.6281,180687,0
PH.US,D,19850730,000000,3.6281,3.6281,3.6038,3.6204,70919,0
PH.US,D,19850731,000000,3.6204,3.6281,3.6038,3.6204,66600,0
PH.US,D,19850801,000000,3.6204,3.6695,3.6038,3.6529,233108,0
PH.US,D,19850802,000000,3.6529,3.6942,3.6529,3.6529,78319,0
PH.US,D,19850805,000000,3.6529,3.6695,3.6204,3.6281,211522,0
PH.US,D,19850806,000000,3.6281,3.6529,3.5876,3.6204,455116,0
PH.US,D,19850807,000000,3.6204,3.637,3.6204,3.6204,236190,0
PH.US,D,19850808,000000,3.6204,3.6529,3.6204,3.6529,189938,0
PH.US,D,19850809,000000,3.6529,3.6859,3.637,3.637,78935,0
PH.US,D,19850812,000000,3.637,3.6695,3.6281,3.6281,119639,0
PH.US,D,19850813,000000,3.6281,3.6281,3.6038,3.6038,144920,0
PH.US,D,19850814,000000,3.6204,3.6204,3.5625,3.579,193024,0
PH.US,D,19850815,000000,3.579,3.5876,3.579,3.579,47485,0
PH.US,D,19850816,000000,3.579,3.5876,3.5625,3.5625,47485,0
PH.US,D,19850819,000000,3.5625,3.6038,3.5546,3.6038,313895,0
PH.US,D,19850820,000000,3.6038,3.6038,3.579,3.579,56116,0
PH.US,D,19850821,000000,3.579,3.6038,3.579,3.6038,456965,0
PH.US,D,19850822,000000,3.637,3.6615,3.637,3.637,116556,0
PH.US,D,19850823,000000,3.6447,3.6695,3.6447,3.6615,57966,0
PH.US,D,19850826,000000,3.6615,3.7269,3.6615,3.6695,261476,0
PH.US,D,19850827,000000,3.6695,3.6859,3.6447,3.6859,65984,0
PH.US,D,19850828,000000,3.6859,3.6859,3.6447,3.6615,74616,0
PH.US,D,19850829,000000,3.6615,3.6695,3.6447,3.6447,139990,0
PH.US,D,19850830,000000,3.6447,3.6615,3.6038,3.637,91883,0
PH.US,D,19850903,000000,3.6038,3.6038,3.5546,3.5546,92501,0
PH.US,D,19850904,000000,3.5625,3.637,3.5625,3.5876,320058,0
PH.US,D,19850905,000000,3.5876,3.6038,3.5379,3.5546,143689,0
PH.US,D,19850906,000000,3.5546,3.5876,3.5546,3.5876,360760,0
PH.US,D,19850909,000000,3.5876,3.637,3.5876,3.637,756060,0
PH.US,D,19850910,000000,3.637,3.6447,3.6204,3.6204,150473,0
PH.US,D,19850911,000000,3.6204,3.6447,3.5625,3.5625,185626,0
PH.US,D,19850912,000000,3.5625,3.5876,3.481,3.481,245441,0
PH.US,D,19850913,000000,3.481,3.5214,3.3906,3.456,138753,0
PH.US,D,19850916,000000,3.4397,3.4397,3.3906,3.3906,78935,0
PH.US,D,19850917,000000,3.3906,3.4397,3.3574,3.3574,120871,0
PH.US,D,19850918,000000,3.3574,3.3906,3.3494,3.374,175136,0
PH.US,D,19850919,000000,3.3906,3.4397,3.3906,3.4397,75235,0
PH.US,D,19850920,000000,3.4397,3.481,3.4152,3.481,129502,0
PH.US,D,19850923,000000,3.5053,3.5876,3.5053,3.5876,305876,0
PH.US,D,19850924,000000,3.5876,3.6204,3.5379,3.5876,102986,0
PH.US,D,19850925,000000,3.5625,3.5625,3.5546,3.5625,29600,0
PH.US,D,19850926,000000,3.5625,3.6204,3.5053,3.5546,144920,0
PH.US,D,19850930,000000,3.5546,3.5876,3.5214,3.5379,129502,0
PH.US,D,19851001,000000,3.5546,3.579,3.5546,3.5625,79555,0
PH.US,D,19851002,000000,3.5625,3.6038,3.5625,3.5625,83254,0
PH.US,D,19851003,000000,3.5625,3.6038,3.5379,3.5625,86954,0
PH.US,D,19851004,000000,3.5625,3.579,3.5053,3.5053,156640,0
PH.US,D,19851007,000000,3.5053,3.5214,3.456,3.456,91883,0
PH.US,D,19851008,000000,3.4397,3.4397,3.374,3.4069,28985,0
PH.US,D,19851009,000000,3.4314,3.456,3.4314,3.456,17264,0
PH.US,D,19851010,000000,3.456,3.456,3.4314,3.4314,122106,0
PH.US,D,19851011,000000,3.4314,3.4723,3.4314,3.4723,210909,0
PH.US,D,19851014,000000,3.4723,3.4723,3.4314,3.4397,80786,0
PH.US,D,19851015,000000,3.456,3.5053,3.456,3.481,125188,0
PH.US,D,19851016,000000,3.481,3.4972,3.4723,3.481,107302,0
PH.US,D,19851017,000000,3.481,3.5625,3.4723,3.4723,126420,0
PH.US,D,19851018,000000,3.4723,3.5214,3.456,3.4972,107918,0
PH.US,D,19851021,000000,3.4972,3.5379,3.4972,3.4972,137521,0
PH.US,D,19851022,000000,3.4972,3.5379,3.481,3.5053,167737,0
PH.US,D,19851023,000000,3.5053,3.5379,3.5053,3.5053,271963,0
PH.US,D,19851024,000000,3.5053,3.5625,3.481,3.481,434150,0
PH.US,D,19851025,000000,3.481,3.5053,3.4314,3.456,275663,0
PH.US,D,19851028,000000,3.456,3.4723,3.4069,3.4069,136288,0
PH.US,D,19851029,000000,3.4069,3.4314,3.3906,3.3906,243592,0
PH.US,D,19851030,000000,3.3906,3.4314,3.374,3.4069,247291,0
PH.US,D,19851031,000000,3.4152,3.4397,3.4152,3.4152,137521,0
PH.US,D,19851101,000000,3.4314,3.456,3.4314,3.456,439082,0
PH.US,D,19851104,000000,3.4397,3.4397,3.374,3.374,402080,0
PH.US,D,19851105,000000,3.374,3.4069,3.374,3.3906,49334,0
PH.US,D,19851106,000000,3.3906,3.4152,3.3906,3.4069,167737,0
PH.US,D,19851107,000000,3.4397,3.481,3.4397,3.456,1312926,0
PH.US,D,19851108,000000,3.4723,3.5546,3.4723,3.5546,328697,0
PH.US,D,19851111,000000,3.5625,3.6204,3.5625,3.5876,157873,0
PH.US,D,19851112,000000,3.6204,3.6615,3.6204,3.6447,169586,0
PH.US,D,19851113,000000,3.637,3.637,3.579,3.6204,796144,0
PH.US,D,19851114,000000,3.6529,3.6529,3.6038,3.6204,313277,0
PH.US,D,19851115,000000,3.6204,3.6529,3.6038,3.6529,359526,0
PH.US,D,19851118,000000,3.6529,3.6615,3.6204,3.6529,89420,0
PH.US,D,19851119,000000,3.6615,3.7848,3.6615,3.7848,648756,0
PH.US,D,19851120,000000,3.7848,3.842,3.7848,3.8011,315126,0
PH.US,D,19851121,000000,3.8011,3.883,3.7681,3.8664,313895,0
PH.US,D,19851122,000000,3.8993,3.9486,3.8993,3.9076,296009,0
PH.US,D,19851125,000000,3.9076,3.9076,3.5137,3.8173,406396,0
PH.US,D,19851126,000000,3.8173,3.842,3.7681,3.842,122719,0
PH.US,D,19851127,000000,3.842,3.883,3.8255,3.8664,362607,0
PH.US,D,19851129,000000,3.8664,3.9156,3.8664,3.9156,182544,0
PH.US,D,19851202,000000,3.9156,3.9156,3.883,3.883,45632,0
PH.US,D,19851203,000000,3.883,3.9076,3.883,3.9076,310192,0
PH.US,D,19851204,000000,3.9156,3.9982,3.9156,3.932,1100169,0
PH.US,D,19851205,000000,3.932,3.9732,3.883,3.9732,457581,0
PH.US,D,19851206,000000,3.965,3.965,3.9156,3.932,295389,0
PH.US,D,19851209,000000,3.965,4.0304,3.965,3.9894,390365,0
PH.US,D,19851210,000000,3.9894,4.0472,3.9732,4.0304,292926,0
PH.US,D,19851211,000000,4.0304,4.1622,3.9982,4.1129,366313,0
PH.US,D,19851212,000000,4.1129,4.1622,4.0798,4.0798,219540,0
PH.US,D,19851213,000000,4.0716,4.0716,3.9982,3.9982,444631,0
PH.US,D,19851216,000000,3.9982,4.0304,3.9982,4.0145,269493,0
PH.US,D,19851217,000000,4.0145,4.0304,3.965,3.9982,302176,0
PH.US,D,19851218,000000,3.9982,4.0716,3.965,4.0472,383579,0
PH.US,D,19851219,000000,4.0472,4.0798,4.0472,4.0472,212138,0
PH.US,D,19851220,000000,4.0472,4.244,4.0472,4.244,563036,0
PH.US,D,19851223,000000,4.2198,4.2198,4.1377,4.1784,239892,0
PH.US,D,19851224,000000,4.1784,4.2198,4.1294,4.1294,252226,0
PH.US,D,19851226,000000,4.1377,4.1622,4.1377,4.1377,24048,0
PH.US,D,19851227,000000,4.1377,4.1622,4.1294,4.1377,53036,0
PH.US,D,19851230,000000,4.1377,4.1784,4.0963,4.1294,88185,0
PH.US,D,19851231,000000,4.1294,4.1947,4.0552,4.1947,429829,0
PH.US,D,19860102,000000,4.1947,4.1947,4.1377,4.1622,351511,0
PH.US,D,19860103,000000,4.1622,4.1947,4.1538,4.1947,189938,0
PH.US,D,19860106,000000,4.1947,4.2198,4.1538,4.1947,304031,0
PH.US,D,19860107,000000,4.1947,4.2198,4.1622,4.1947,241123,0
PH.US,D,19860108,000000,4.1947,4.2198,4.1538,4.1538,273186,0
PH.US,D,19860109,000000,4.1538,4.1784,4.0716,4.1377,501368,0
PH.US,D,19860110,000000,4.1377,4.1538,4.0552,4.0716,188091,0
PH.US,D,19860113,000000,4.0716,4.1377,4.0552,4.0963,748661,0
PH.US,D,19860114,000000,4.0963,4.0963,4.0552,4.0963,178839,0
PH.US,D,19860115,000000,4.0963,4.1129,3.9732,3.9732,863362,0
PH.US,D,19860116,000000,3.9894,4.0304,3.9894,4.0145,492117,0
PH.US,D,19860117,000000,4.0145,4.0145,3.9156,3.9156,182544,0
PH.US,D,19860120,000000,3.9156,3.9732,3.9076,3.932,178223,0
PH.US,D,19860121,000000,3.932,4.0304,3.9156,3.9156,529738,0
PH.US,D,19860122,000000,3.9156,3.9156,3.7848,3.8011,368158,0
PH.US,D,19860123,000000,3.8173,3.842,3.8173,3.8255,311428,0
PH.US,D,19860124,000000,3.8255,3.85,3.7436,3.8011,185626,0
PH.US,D,19860127,000000,3.8011,4.0304,3.8011,4.0145,212138,0
PH.US,D,19860128,000000,4.0145,4.1622,3.9894,4.1377,303405,0
PH.US,D,19860129,000000,4.1377,4.2607,4.1377,4.1377,997799,0
PH.US,D,19860130,000000,4.1377,4.1784,4.1377,4.1377,186240,0
PH.US,D,19860131,000000,4.1377,4.244,4.0798,4.244,181309,0
PH.US,D,19860203,000000,4.236,4.236,4.1538,4.2198,289227,0
PH.US,D,19860204,000000,4.2198,4.236,4.1129,4.1947,260859,0
PH.US,D,19860205,000000,4.1947,4.2198,4.1294,4.1538,42551,0
PH.US,D,19860206,000000,4.1538,4.1947,4.1294,4.1947,178839,0
PH.US,D,19860207,000000,4.1947,4.2771,4.1538,4.2607,286146,0
PH.US,D,19860210,000000,4.2607,4.3012,4.2198,4.3012,159721,0
PH.US,D,19860211,000000,4.3342,4.359,4.2771,4.3342,477312,0
PH.US,D,19860212,000000,4.3342,4.4823,4.318,4.4823,625935,0
PH.US,D,19860213,000000,4.4823,4.4823,4.392,4.4823,391595,0
PH.US,D,19860214,000000,4.4823,4.556,4.4413,4.556,233108,0
PH.US,D,19860218,000000,4.556,4.5806,4.4823,4.5806,394065,0
PH.US,D,19860219,000000,4.5806,4.6463,4.5397,4.556,419964,0
PH.US,D,19860220,000000,4.5235,4.5235,4.4413,4.5235,345958,0
PH.US,D,19860221,000000,4.5235,4.556,4.3756,4.3999,567972,0
PH.US,D,19860224,000000,4.4576,4.5806,4.4576,4.5397,243592,0
PH.US,D,19860225,000000,4.5397,4.5806,4.4576,4.5806,220778,0
PH.US,D,19860226,000000,4.5806,4.7203,4.556,4.704,556251,0
PH.US,D,19860227,000000,4.704,4.8846,4.5235,4.8516,386043,0
PH.US,D,19860228,000000,4.8516,4.9666,4.8516,4.9504,608670,0
PH.US,D,19860303,000000,4.9504,4.9504,4.8271,4.9256,363230,0
PH.US,D,19860304,000000,4.8927,4.8927,4.8271,4.8516,357682,0
PH.US,D,19860305,000000,4.8516,4.8927,4.8271,4.8927,160959,0
PH.US,D,19860306,000000,4.8927,4.9091,4.8271,4.8516,203506,0
PH.US,D,19860307,000000,4.8516,4.8516,4.7203,4.7531,475465,0
PH.US,D,19860310,000000,4.7531,4.7531,4.6054,4.6054,154790,0
PH.US,D,19860311,000000,4.6054,4.7203,4.6054,4.7203,307728,0
PH.US,D,19860312,000000,4.7203,4.8106,4.7203,4.7451,449566,0
PH.US,D,19860313,000000,4.7693,4.8678,4.7693,4.8351,540832,0
PH.US,D,19860314,000000,4.8351,5.0983,4.8023,4.8927,731389,0
PH.US,D,19860317,000000,4.8927,4.8927,4.8023,4.8516,120871,0
PH.US,D,19860318,000000,4.8516,4.9256,4.8351,4.8846,489648,0
PH.US,D,19860319,000000,4.8846,4.9336,4.8846,4.9336,301558,0
PH.US,D,19860320,000000,4.9336,4.9666,4.8846,4.9091,65984,0
PH.US,D,19860321,000000,4.9091,4.9915,4.8846,4.9915,202270,0
PH.US,D,19860324,000000,4.9915,4.9915,4.8678,4.9256,176990,0
PH.US,D,19860325,000000,4.9256,4.9829,4.8927,4.9829,235578,0
PH.US,D,19860326,000000,4.9829,5.0078,4.9336,5.0078,460666,0
PH.US,D,19860327,000000,5.0078,5.0157,4.9666,4.9666,175136,0
PH.US,D,19860331,000000,4.9666,4.9666,4.9256,4.9256,157873,0
PH.US,D,19860401,000000,4.9336,4.9336,4.8678,4.8678,146772,0
PH.US,D,19860402,000000,4.8678,4.8846,4.8271,4.8678,194876,0
PH.US,D,19860403,000000,4.8516,4.8516,4.4823,4.5235,445860,0
PH.US,D,19860404,000000,4.5397,4.6219,4.5397,4.6054,263942,0
PH.US,D,19860407,000000,4.6054,4.7203,4.556,4.7203,188091,0
PH.US,D,19860408,000000,4.7203,4.8516,4.7203,4.8516,129502,0
PH.US,D,19860409,000000,4.8516,4.8927,4.8106,4.8516,391595,0
PH.US,D,19860410,000000,4.8516,4.8846,4.8106,4.8351,259627,0
PH.US,D,19860411,000000,4.8351,4.8678,4.8271,4.8271,100518,0
PH.US,D,19860414,000000,4.8271,4.8271,4.7858,4.8023,281210,0
PH.US,D,19860415,000000,4.8023,4.8927,4.8023,4.8927,123339,0
PH.US,D,19860416,000000,4.8927,4.9091,4.8271,4.8678,820195,0
PH.US,D,19860417,000000,4.8023,4.8023,4.7203,4.8023,218927,0
PH.US,D,19860418,000000,4.8023,4.8023,4.6628,4.7203,80171,0
PH.US,D,19860421,000000,4.704,4.704,4.6463,4.6628,392211,0
PH.US,D,19860422,000000,4.6628,4.7203,4.6628,4.7203,291078,0
PH.US,D,19860423,000000,4.7203,4.7203,4.6463,4.7203,179453,0
PH.US,D,19860424,000000,4.7203,4.7203,4.6628,4.6628,228175,0
PH.US,D,19860425,000000,4.6628,4.7203,4.6219,4.7203,276891,0
PH.US,D,19860428,000000,4.7203,4.7203,4.6875,4.7203,407630,0
PH.US,D,19860429,000000,4.7203,4.7287,4.6628,4.6628,80786,0
PH.US,D,19860430,000000,4.6628,4.704,4.6054,4.6463,96824,0
PH.US,D,19860501,000000,4.6383,4.6383,4.5397,4.5397,122106,0
PH.US,D,19860502,000000,4.5397,4.556,4.3756,4.392,172059,0
PH.US,D,19860505,000000,4.392,4.4244,4.392,4.3999,48717,0
PH.US,D,19860506,000000,4.3999,4.4165,4.3427,4.3756,323146,0
PH.US,D,19860507,000000,4.4084,4.4084,4.2607,4.392,118403,0
PH.US,D,19860508,000000,4.392,4.5235,4.392,4.4576,270726,0
PH.US,D,19860509,000000,4.4576,4.5726,4.4328,4.5235,138753,0
PH.US,D,19860512,000000,4.5235,4.5726,4.5235,4.5479,444631,0
PH.US,D,19860513,000000,4.5479,4.5726,4.5317,4.5726,184390,0
PH.US,D,19860514,000000,4.5479,4.5479,4.4905,4.4905,175136,0
PH.US,D,19860515,000000,4.4905,4.5726,4.4905,4.5317,133819,0
PH.US,D,19860516,000000,4.5317,4.556,4.5235,4.5235,94353,0
PH.US,D,19860519,000000,4.5235,4.556,4.5235,4.556,100518,0
PH.US,D,19860520,000000,4.556,4.5726,4.5069,4.5317,91270,0
PH.US,D,19860521,000000,4.5317,4.5317,4.5069,4.5317,41316,0
PH.US,D,19860522,000000,4.5317,4.5479,4.5069,4.5479,119639,0
PH.US,D,19860523,000000,4.5479,4.5479,4.5235,4.5479,72151,0
PH.US,D,19860527,000000,4.5479,4.5479,4.5235,4.5479,153552,0
PH.US,D,19860528,000000,4.5479,4.5479,4.5317,4.5317,232497,0
PH.US,D,19860529,000000,4.5479,4.6875,4.5479,4.6875,397147,0
PH.US,D,19860530,000000,4.6875,4.6875,4.474,4.474,548851,0
PH.US,D,19860602,000000,4.474,4.5317,4.4493,4.474,65984,0
PH.US,D,19860603,000000,4.474,4.4905,4.4493,4.4905,101754,0
PH.US,D,19860604,000000,4.4905,4.4905,4.3756,4.4328,360143,0
PH.US,D,19860605,000000,4.4328,4.4576,4.4084,4.4576,127039,0
PH.US,D,19860606,000000,4.4576,4.5235,4.4244,4.4244,198572,0
PH.US,D,19860609,000000,4.5235,4.5235,4.4165,4.4328,374536,0
PH.US,D,19860610,000000,4.4328,4.4576,4.2938,4.3101,436202,0
PH.US,D,19860611,000000,4.3262,4.4328,4.3262,4.392,579688,0
PH.US,D,19860612,000000,4.392,4.4328,4.3756,4.392,205151,0
PH.US,D,19860613,000000,4.392,4.5806,4.392,4.5235,160752,0
PH.US,D,19860616,000000,4.5235,4.6875,4.474,4.6875,200628,0
PH.US,D,19860617,000000,4.6875,4.6875,4.5235,4.556,85099,0
PH.US,D,19860618,000000,4.5235,4.5235,4.3508,4.4576,59613,0
PH.US,D,19860619,000000,4.4576,4.474,4.3101,4.3508,279977,0
PH.US,D,19860620,000000,4.3508,4.3756,4.1049,4.1455,224477,0
PH.US,D,19860623,000000,4.1455,4.1455,3.8993,4.0388,409478,0
PH.US,D,19860624,000000,4.0388,4.3756,4.0223,4.244,578861,0
PH.US,D,19860625,000000,4.244,4.392,4.244,4.392,186653,0
PH.US,D,19860626,000000,4.3756,4.3756,4.2275,4.2938,127449,0
PH.US,D,19860627,000000,4.2938,4.3508,4.2938,4.3101,365489,0
PH.US,D,19860630,000000,4.3101,4.3756,4.3101,4.3756,124153,0
PH.US,D,19860701,000000,4.3262,4.4165,4.3262,4.4165,69890,0
PH.US,D,19860702,000000,4.4165,4.4165,4.3262,4.3262,43169,0
PH.US,D,19860703,000000,4.3262,4.3756,4.244,4.3101,98260,0
PH.US,D,19860707,000000,4.2687,4.2687,4.1455,4.1455,275861,0
PH.US,D,19860708,000000,4.1049,4.1049,3.8749,4.0223,404550,0
PH.US,D,19860709,000000,3.9982,4.0636,3.85,4.0636,1129774,0
PH.US,D,19860710,000000,4.1049,4.1049,3.8337,3.9982,134846,0
PH.US,D,19860711,000000,3.9403,3.9403,3.8749,3.8749,340001,0
PH.US,D,19860714,000000,3.8993,3.9156,3.85,3.8993,93738,0
PH.US,D,19860715,000000,3.8173,3.8749,3.7681,3.8173,280387,0
PH.US,D,19860716,000000,3.85,3.9403,3.7925,3.7925,254896,0
PH.US,D,19860717,000000,3.8337,3.9568,3.8173,3.8993,216251,0
PH.US,D,19860718,000000,3.85,3.8749,3.7925,3.8173,104424,0
PH.US,D,19860721,000000,3.7681,3.7925,3.6447,3.6447,91270,0
PH.US,D,19860722,000000,3.6859,3.8173,3.6447,3.7106,419757,0
PH.US,D,19860723,000000,3.7352,3.7516,3.7106,3.7352,178839,0
PH.US,D,19860724,000000,3.6859,3.7106,3.6447,3.6695,1177461,0
PH.US,D,19860725,000000,3.7106,3.7106,3.6695,3.7106,141839,0
PH.US,D,19860728,000000,3.7106,3.7106,3.5053,3.6038,117168,0
PH.US,D,19860729,000000,3.5625,3.5876,3.4397,3.5214,648756,0
PH.US,D,19860730,000000,3.3574,3.5214,3.3574,3.481,1260508,0
PH.US,D,19860731,000000,3.4397,3.6038,3.4397,3.5053,241744,0
PH.US,D,19860801,000000,3.5465,3.7106,3.5214,3.6447,323146,0
PH.US,D,19860804,000000,3.6447,3.8993,3.6038,3.85,136077,0
PH.US,D,19860805,000000,3.85,3.8749,3.6695,3.7925,790180,0
PH.US,D,19860806,000000,3.7925,3.8173,3.7516,3.7681,506918,0
PH.US,D,19860807,000000,3.7681,3.9403,3.7681,3.8173,294365,0
PH.US,D,19860808,000000,3.8173,3.8337,3.7681,3.7681,420579,0
PH.US,D,19860811,000000,3.8173,3.8337,3.7516,3.7681,203099,0
PH.US,D,19860812,000000,3.8173,4.0223,3.8173,4.0223,1046723,0
