<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHD.US,D,20050225,000000,9.1245,9.2121,9.1245,9.1794,72360,0
PHD.US,D,20050228,000000,9.1854,9.1919,9.0918,9.1445,98591,0
PHD.US,D,20050301,000000,9.1245,9.1854,9.0586,9.1245,146149,0
PHD.US,D,20050302,000000,9.0918,9.1445,9.0918,9.1398,77280,0
PHD.US,D,20050303,000000,9.1445,9.1746,9.1186,9.1521,61082,0
PHD.US,D,20050304,000000,9.1186,9.1746,9.0918,9.1445,146973,0
PHD.US,D,20050307,000000,9.1641,9.1794,9.0918,9.0918,154761,0
PHD.US,D,20050308,000000,9.0918,9.1398,9.0719,9.0918,126877,0
PHD.US,D,20050309,000000,9.1014,9.1186,9.0796,9.0872,52068,0
PHD.US,D,20050310,000000,9.0872,9.1129,9.0539,9.0757,167262,0
PHD.US,D,20050311,000000,9.0872,9.1854,9.0539,9.0539,182031,0
PHD.US,D,20050314,000000,9.0539,9.1445,9.0539,9.0918,179557,0
PHD.US,D,20050315,000000,9.0918,9.1282,9.0539,9.0757,179976,0
PHD.US,D,20050316,000000,9.05,9.1129,9.05,9.1129,160503,0
PHD.US,D,20050317,000000,9.1072,9.1129,9.0719,9.1014,113768,0
PHD.US,D,20050318,000000,9.0796,9.1129,9.0539,9.0634,89781,0
PHD.US,D,20050321,000000,9.0539,9.0681,9.0065,9.0426,71733,0
PHD.US,D,20050322,000000,9.0445,9.05,8.9526,9.0151,179770,0
PHD.US,D,20050323,000000,9.0151,9.0151,8.8408,8.919,312600,0
PHD.US,D,20050324,000000,8.8344,8.995,8.814,8.8344,186126,0
PHD.US,D,20050328,000000,8.8056,8.8344,8.699,8.7379,191456,0
PHD.US,D,20050329,000000,8.7112,8.7509,8.6461,8.6589,182232,0
PHD.US,D,20050330,000000,8.6783,8.7874,8.6246,8.7426,221175,0
PHD.US,D,20050331,000000,8.6891,8.7817,8.6891,8.7764,80766,0
PHD.US,D,20050401,000000,8.7462,8.919,8.7462,8.919,91422,0
PHD.US,D,20050404,000000,8.919,8.9526,8.8798,8.8865,81992,0
PHD.US,D,20050405,000000,8.7874,8.8798,8.7874,8.8102,104128,0
PHD.US,D,20050406,000000,8.7874,8.8539,8.7764,8.7764,95933,0
PHD.US,D,20050407,000000,8.8022,8.9041,8.7674,8.8102,105165,0
PHD.US,D,20050408,000000,8.7874,8.8539,8.5936,8.7325,106998,0
PHD.US,D,20050411,000000,8.7201,8.7379,8.6306,8.7112,151077,0
PHD.US,D,20050412,000000,8.6891,8.8056,8.6306,8.699,182644,0
PHD.US,D,20050413,000000,8.6736,8.7379,8.6461,8.6504,121339,0
PHD.US,D,20050414,000000,8.6029,8.7553,8.6029,8.7112,150461,0
PHD.US,D,20050415,000000,8.6144,8.7325,8.5839,8.6029,99830,0
PHD.US,D,20050418,000000,8.6029,8.6843,8.4592,8.4725,376547,0
PHD.US,D,20050419,000000,8.5229,8.5784,8.4592,8.5712,216463,0
PHD.US,D,20050420,000000,8.5003,8.6208,8.4725,8.5839,158662,0
