<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHK.US,D,20050225,000000,4.1661,4.1882,4.153,4.179,1260031,0
PHK.US,D,20050228,000000,4.1851,4.1882,4.1564,4.1626,907038,0
PHK.US,D,20050301,000000,4.2043,4.2043,4.1661,4.1851,1330635,0
PHK.US,D,20050302,000000,4.1851,4.1945,4.1692,4.1821,1795813,0
PHK.US,D,20050303,000000,4.1821,4.1916,4.1753,4.1821,969446,0
PHK.US,D,20050304,000000,4.1945,4.2105,4.1851,4.2043,1570476,0
PHK.US,D,20050307,000000,4.2105,4.2171,4.1945,4.2105,1606396,0
PHK.US,D,20050308,000000,4.1974,4.2171,4.1974,4.2171,1011672,0
PHK.US,D,20050309,000000,4.1821,4.1851,4.1121,4.1251,1446925,0
PHK.US,D,20050310,000000,4.1059,4.1251,4.0838,4.0962,1598519,0
PHK.US,D,20050311,000000,4.0805,4.0962,4.0773,4.0805,920284,0
PHK.US,D,20050314,000000,4.0805,4.0805,4.0551,4.0679,1554079,0
PHK.US,D,20050315,000000,4.0582,4.0645,4.0042,4.0264,1560378,0
PHK.US,D,20050316,000000,4.0392,4.0392,3.9152,3.9315,2989660,0
PHK.US,D,20050317,000000,3.9281,3.9853,3.9281,3.9853,1768382,0
PHK.US,D,20050318,000000,3.9853,3.9884,3.9281,3.9473,1639797,0
PHK.US,D,20050321,000000,3.9409,3.95,3.8995,3.9216,1716066,0
PHK.US,D,20050322,000000,3.912,3.9281,3.8744,3.8995,2203647,0
PHK.US,D,20050323,000000,3.8581,3.8744,3.7883,3.8236,3481321,0
PHK.US,D,20050324,000000,3.8362,3.9249,3.8328,3.8995,1569218,0
PHK.US,D,20050328,000000,3.9249,3.9409,3.8995,3.9216,1354893,0
PHK.US,D,20050329,000000,3.9249,3.9346,3.8995,3.9216,1083540,0
PHK.US,D,20050330,000000,3.9249,3.95,3.8935,3.9409,835184,0
PHK.US,D,20050331,000000,3.9631,3.979,3.9537,3.979,863237,0
PHK.US,D,20050401,000000,4.0198,4.0264,3.979,3.979,1344492,0
PHK.US,D,20050404,000000,3.9596,3.982,3.9596,3.9758,1521620,0
PHK.US,D,20050405,000000,3.979,3.979,3.9537,3.9631,948020,0
PHK.US,D,20050406,000000,3.9631,3.9884,3.9567,3.9884,780037,0
PHK.US,D,20050407,000000,3.979,3.9946,3.9692,3.9884,1030277,0
PHK.US,D,20050408,000000,3.9884,3.998,3.982,3.9884,1067785,0
PHK.US,D,20050411,000000,3.9884,3.9884,3.9281,3.9315,957152,0
PHK.US,D,20050412,000000,3.9373,3.979,3.9028,3.9537,943920,0
PHK.US,D,20050413,000000,3.9028,3.9315,3.8744,3.8995,1296582,0
PHK.US,D,20050414,000000,3.8834,3.8995,3.8264,3.8395,1145313,0
PHK.US,D,20050415,000000,3.8264,3.8581,3.8138,3.8362,1071878,0
PHK.US,D,20050418,000000,3.8395,3.89,3.8328,3.8744,1137728,0
PHK.US,D,20050419,000000,3.8935,3.912,3.8869,3.8995,1188499,0
PHK.US,D,20050420,000000,3.8995,3.906,3.8869,3.8935,998444,0
PHK.US,D,20050421,000000,3.9216,3.9216,3.8963,3.9028,1114113,0
PHK.US,D,20050422,000000,3.9191,3.9249,3.8995,3.9028,733085,0
PHK.US,D,20050425,000000,3.9315,3.95,3.9028,3.912,1216854,0
PHK.US,D,20050426,000000,3.9092,3.9249,3.8709,3.8995,1273262,0
PHK.US,D,20050427,000000,3.8995,3.8995,3.8744,3.8804,1084477,0
PHK.US,D,20050428,000000,3.89,3.8963,3.8709,3.8744,1103075,0
PHK.US,D,20050429,000000,3.8804,3.8834,3.865,3.8772,1309515,0
PHK.US,D,20050502,000000,3.8935,3.8963,3.8744,3.8869,1106852,0
PHK.US,D,20050503,000000,3.8869,3.8995,3.8772,3.8963,1585908,0
PHK.US,D,20050504,000000,3.9092,3.9373,3.8963,3.9315,1358359,0
PHK.US,D,20050505,000000,3.9438,3.95,3.8995,3.9152,2541806,0
PHK.US,D,20050506,000000,3.9092,3.9152,3.8995,3.9152,1009159,0
PHK.US,D,20050509,000000,3.9191,3.9315,3.912,3.9281,1343861,0
PHK.US,D,20050510,000000,3.9281,3.9346,3.9152,3.9315,1519412,0
PHK.US,D,20050511,000000,3.9028,3.9249,3.8869,3.9249,770578,0
PHK.US,D,20050512,000000,3.9092,3.9315,3.906,3.9152,1828585,0
PHK.US,D,20050513,000000,3.9028,3.9249,3.8995,3.912,703760,0
PHK.US,D,20050516,000000,3.912,3.9373,3.8995,3.9249,1028707,0
PHK.US,D,20050517,000000,3.9216,3.9249,3.89,3.906,968808,0
PHK.US,D,20050518,000000,3.9152,3.9438,3.9028,3.9409,1122622,0
PHK.US,D,20050519,000000,3.9438,3.9473,3.9092,3.9249,849370,0
PHK.US,D,20050520,000000,3.9249,3.95,3.9216,3.9438,999061,0
PHK.US,D,20050523,000000,3.9438,4.0042,3.9438,3.9884,1259398,0
PHK.US,D,20050524,000000,3.9758,4.0455,3.9758,3.9916,1460466,0
PHK.US,D,20050525,000000,3.9916,3.9916,3.9726,3.9884,1788559,0
PHK.US,D,20050526,000000,3.998,4.0233,3.998,4.0198,923750,0
PHK.US,D,20050527,000000,4.0198,4.0233,4.0042,4.0168,925011,0
PHK.US,D,20050531,000000,4.0233,4.0551,4.0168,4.0551,1817554,0
PHK.US,D,20050601,000000,4.0613,4.0898,4.0551,4.0679,1822604,0
PHK.US,D,20050602,000000,4.0805,4.1376,4.0739,4.1312,1772173,0
PHK.US,D,20050603,000000,4.1376,4.1753,4.1376,4.1436,1520358,0
PHK.US,D,20050606,000000,4.153,4.1626,4.1469,4.1599,832344,0
PHK.US,D,20050607,000000,4.1661,4.2105,4.1599,4.1882,1760510,0
PHK.US,D,20050608,000000,4.1508,4.1661,4.1028,4.1341,1697165,0
PHK.US,D,20050609,000000,4.1182,4.1405,4.0582,4.0805,1548729,0
PHK.US,D,20050610,000000,4.0679,4.1086,4.0679,4.0933,866064,0
PHK.US,D,20050613,000000,4.0933,4.1059,4.0739,4.0898,879620,0
PHK.US,D,20050614,000000,4.0898,4.1341,4.0838,4.1086,1101503,0
PHK.US,D,20050615,000000,4.1312,4.1312,4.0962,4.1121,781929,0
PHK.US,D,20050616,000000,4.1121,4.1312,4.0993,4.1059,681394,0
PHK.US,D,20050617,000000,4.1086,4.1436,4.1086,4.1341,1239542,0
PHK.US,D,20050620,000000,4.1341,4.1341,4.0933,4.1086,1897293,0
PHK.US,D,20050621,000000,4.1086,4.1217,4.0993,4.1156,950844,0
PHK.US,D,20050622,000000,4.1156,4.1508,4.1121,4.1341,1265398,0
PHK.US,D,20050623,000000,4.1251,4.1508,4.1251,4.1341,1029020,0
PHK.US,D,20050624,000000,4.1341,4.1508,4.1251,4.1469,861667,0
PHK.US,D,20050627,000000,4.1405,4.1599,4.1405,4.1508,906099,0
PHK.US,D,20050628,000000,4.1599,4.1626,4.1376,4.1564,1068098,0
PHK.US,D,20050629,000000,4.1564,4.1599,4.1508,4.1599,815329,0
PHK.US,D,20050630,000000,4.1564,4.1661,4.1508,4.1626,955891,0
PHK.US,D,20050701,000000,4.1728,4.2105,4.1564,4.1945,1056748,0
PHK.US,D,20050705,000000,4.1916,4.2328,4.1728,4.2232,1974507,0
PHK.US,D,20050706,000000,4.2328,4.2328,4.2171,4.2232,1344492,0
PHK.US,D,20050707,000000,4.2232,4.2232,4.1851,4.2105,1204555,0
PHK.US,D,20050708,000000,4.2232,4.2264,4.2043,4.2197,847489,0
PHK.US,D,20050711,000000,4.2232,4.236,4.2105,4.2232,988361,0
PHK.US,D,20050712,000000,4.2328,4.236,4.2171,4.2264,1523196,0
PHK.US,D,20050713,000000,4.2105,4.2105,4.1851,4.2105,1457952,0
