<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHYT-U.US,D,20211028,000000,10.12,10.1395,10.09,10.09,690956,0
PHYT-U.US,D,20211029,000000,10.08,10.1494,10.08,10.11,172602,0
PHYT-U.US,D,20211101,000000,10.1,10.11,10.0902,10.11,23533,0
PHYT-U.US,D,20211102,000000,10.1,10.12,10.1,10.12,35088,0
PHYT-U.US,D,20211103,000000,10.128,10.14,10.11,10.14,4090,0
PHYT-U.US,D,20211104,000000,10.13,10.13,10.11,10.12,60894,0
PHYT-U.US,D,20211105,000000,10.11,10.13,10.09,10.115,236839,0
PHYT-U.US,D,20211108,000000,10.129,10.141,10.1203,10.125,3968,0
PHYT-U.US,D,20211109,000000,10.1,10.12,10.1,10.12,79196,0
PHYT-U.US,D,20211112,000000,10.1,10.1,10.1,10.1,8709,0
PHYT-U.US,D,20211115,000000,10.1,10.18,10.1,10.18,162109,0
PHYT-U.US,D,20211116,000000,10.11,10.14,10.11,10.14,300590,0
PHYT-U.US,D,20211118,000000,10.1228,10.15,10.1,10.135,14165,0
PHYT-U.US,D,20211119,000000,10.1196,10.14,10.1196,10.14,2347,0
PHYT-U.US,D,20211122,000000,10.135,10.15,10.135,10.14,1555,0
PHYT-U.US,D,20211123,000000,10.18,10.18,10.13,10.14,10340,0
PHYT-U.US,D,20211124,000000,10.14,10.14,10.135,10.14,2361,0
PHYT-U.US,D,20211126,000000,10.15,10.15,10.15,10.15,16865,0
PHYT-U.US,D,20211129,000000,10.18,10.18,10.18,10.18,943,0
PHYT-U.US,D,20211130,000000,10.15,10.15,10.15,10.15,200098,0
PHYT-U.US,D,20211201,000000,10.15,10.1663,10.15,10.1663,8710,0
PHYT-U.US,D,20211202,000000,10.175,10.2,10.175,10.18,4000,0
PHYT-U.US,D,20211203,000000,10.175,10.2,10.175,10.18,689,0
PHYT-U.US,D,20211206,000000,10.18,10.18,10.15,10.1509,45769,0
PHYT-U.US,D,20211207,000000,10.11,10.159,10.09,10.15,58448,0
PHYT-U.US,D,20211208,000000,10.15,10.175,10.15,10.15,86828,0
PHYT-U.US,D,20211209,000000,10.15,10.15,10.15,10.15,101040,0
PHYT-U.US,D,20211210,000000,10.15,10.15,10.15,10.15,200,0
PHYT-U.US,D,20211214,000000,10.15,10.15,10.15,10.15,88886,0
PHYT-U.US,D,20211215,000000,10.15,10.19,10.15,10.19,228986,0
PHYT-U.US,D,20211216,000000,10.2,10.2,10.1504,10.156,2585,0
PHYT-U.US,D,20211217,000000,10.1631,10.1631,10.1631,10.1631,1030,0
PHYT-U.US,D,20211220,000000,10.15,10.15,10.15,10.15,154792,0
PHYT-U.US,D,20211222,000000,10.1245,10.1245,10.1245,10.1245,1463,0
PHYT-U.US,D,20211223,000000,10.13,10.13,10.12,10.12,198507,0
PHYT-U.US,D,20211227,000000,10.14,10.14,10.14,10.14,50071,0
PHYT-U.US,D,20211228,000000,10.2,10.25,10.19,10.19,5080,0
PHYT-U.US,D,20211229,000000,10.1421,10.145,10.11,10.145,2111,0
PHYT-U.US,D,20220103,000000,10.1315,10.1315,10.1315,10.1315,2320,0
PHYT-U.US,D,20220105,000000,10.2,10.2,10.17,10.17,33113,0
PHYT-U.US,D,20220107,000000,10.17,10.17,10.17,10.17,300000,0
PHYT-U.US,D,20220110,000000,10.14,10.14,10.14,10.14,788,0
PHYT-U.US,D,20220111,000000,10.14,10.2,10.14,10.2,12165,0
PHYT-U.US,D,20220113,000000,10.1431,10.1431,10.1431,10.1431,1000,0
PHYT-U.US,D,20220118,000000,10.12,10.12,10.115,10.12,25567,0
PHYT-U.US,D,20220119,000000,10.12,10.12,10.12,10.12,227,0
