<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKE.US,D,20050225,000000,7.0037,7.0661,6.932,7.0201,130961,0
PKE.US,D,20050228,000000,7.0201,7.0576,6.9208,7.0201,140113,0
PKE.US,D,20050301,000000,7.0454,7.157,6.9993,7.1483,136260,0
PKE.US,D,20050302,000000,7.1483,7.2434,7.0747,7.1441,128794,0
PKE.US,D,20050303,000000,7.1697,7.1989,7.0576,7.1313,144678,0
PKE.US,D,20050304,000000,7.179,7.2897,7.1611,7.2434,108091,0
PKE.US,D,20050307,000000,7.2434,7.4436,7.2434,7.3392,199095,0
PKE.US,D,20050308,000000,7.3392,7.3437,7.179,7.179,381079,0
PKE.US,D,20050309,000000,7.1611,7.1989,7.0711,7.1194,389515,0
PKE.US,D,20050310,000000,7.1074,7.1989,7.037,7.0541,219554,0
PKE.US,D,20050311,000000,7.0825,7.1739,6.9747,7.0576,113632,0
PKE.US,D,20050314,000000,7.037,7.1157,7.0279,7.1037,133371,0
PKE.US,D,20050315,000000,7.0661,7.2209,7.0454,7.1037,219070,0
PKE.US,D,20050316,000000,7.0747,7.2606,7.0576,7.0866,134574,0
PKE.US,D,20050317,000000,7.1074,7.1533,7.0781,7.0951,165625,0
PKE.US,D,20050318,000000,7.0994,7.2024,7.0747,7.1533,240013,0
PKE.US,D,20050321,000000,7.1483,7.1611,7.0619,7.0747,86417,0
PKE.US,D,20050322,000000,7.0909,7.2399,7.0576,7.0951,222209,0
PKE.US,D,20050323,000000,7.0747,7.135,7.037,7.0499,184162,0
PKE.US,D,20050324,000000,7.0909,7.2209,7.0576,7.1313,115315,0
PKE.US,D,20050328,000000,7.1832,7.1989,7.1037,7.1313,102555,0
PKE.US,D,20050329,000000,7.135,7.2158,7.0413,7.0576,151910,0
PKE.US,D,20050330,000000,7.0825,7.2315,7.0825,7.2315,104721,0
PKE.US,D,20050331,000000,7.2158,7.2158,7.1074,7.1483,120604,0
PKE.US,D,20050401,000000,7.1989,7.2434,7.0825,7.0866,110742,0
PKE.US,D,20050404,000000,7.0747,7.2116,7.0576,7.2073,77757,0
PKE.US,D,20050405,000000,7.2237,7.308,7.1989,7.2359,118691,0
PKE.US,D,20050406,000000,7.2697,7.3167,7.2478,7.2647,134809,0
PKE.US,D,20050407,000000,7.3032,7.3201,7.2315,7.2315,125674,0
PKE.US,D,20050408,000000,7.2399,7.3124,7.2209,7.2399,108091,0
PKE.US,D,20050411,000000,7.2478,7.3167,7.0825,7.1037,67408,0
PKE.US,D,20050412,000000,7.0909,7.2315,7.037,7.2073,85946,0
PKE.US,D,20050413,000000,7.1611,7.1648,7.0328,7.0825,329090,0
PKE.US,D,20050414,000000,7.0994,7.0994,6.8929,6.8929,292985,0
PKE.US,D,20050415,000000,6.8929,6.9411,6.7624,6.8568,264566,0
PKE.US,D,20050418,000000,6.8568,6.9162,6.7709,6.8218,108569,0
PKE.US,D,20050419,000000,6.8376,6.8965,6.7294,6.8965,243385,0
PKE.US,D,20050420,000000,6.932,7.0619,6.9162,7.0279,245313,0
PKE.US,D,20050421,000000,7.0909,7.2697,7.0279,7.2073,119647,0
PKE.US,D,20050422,000000,7.2073,7.3201,7.1533,7.3124,185612,0
PKE.US,D,20050425,000000,7.3201,7.3847,7.0994,7.2697,92447,0
PKE.US,D,20050426,000000,7.3565,7.6637,7.3356,7.5628,269625,0
