<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PL-WS.US,D,20211209,000000,3.56,3.735,2.86,2.97,418923,0
PL-WS.US,D,20211210,000000,3.03,3.17,2.6,2.6,318085,0
PL-WS.US,D,20211213,000000,2.72,3.12,2.32,2.55,769722,0
PL-WS.US,D,20211214,000000,2.17,2.37,2.02,2.21,419520,0
PL-WS.US,D,20211215,000000,2.34,2.34,2.03,2.13,220316,0
PL-WS.US,D,20211216,000000,2.2,2.46,2.0701,2.1,128904,0
PL-WS.US,D,20211217,000000,2.2,2.2,1.87,1.89,259420,0
PL-WS.US,D,20211220,000000,1.95,2.06,1.88,1.92,76875,0
PL-WS.US,D,20211221,000000,1.97,2.05,1.91,1.91,290869,0
PL-WS.US,D,20211222,000000,2,2.05,1.86,1.87,114674,0
PL-WS.US,D,20211223,000000,1.9,2.18,1.85,2.11,405000,0
PL-WS.US,D,20211227,000000,2.18,2.28,2.01,2.0101,116358,0
PL-WS.US,D,20211228,000000,2.01,2.06,1.835,1.85,108341,0
PL-WS.US,D,20211229,000000,1.845,1.86,1.76,1.8,286209,0
PL-WS.US,D,20211230,000000,1.8,1.96,1.8,1.89,70774,0
PL-WS.US,D,20211231,000000,1.86,1.97,1.82,1.942,150362,0
PL-WS.US,D,20220103,000000,2.08,2.08,1.86,1.9,90568,0
PL-WS.US,D,20220104,000000,1.93,1.93,1.67,1.67,153884,0
PL-WS.US,D,20220105,000000,1.75,1.75,1.475,1.5,183017,0
PL-WS.US,D,20220106,000000,1.55,1.6199,1.36,1.61,204668,0
PL-WS.US,D,20220107,000000,1.72,1.7599,1.61,1.61,36222,0
PL-WS.US,D,20220110,000000,1.6,1.6799,1.6,1.62,24701,0
PL-WS.US,D,20220111,000000,1.685,1.72,1.64,1.655,15526,0
PL-WS.US,D,20220112,000000,1.88,1.93,1.73,1.73,302953,0
PL-WS.US,D,20220113,000000,1.77,1.8,1.625,1.65,53137,0
PL-WS.US,D,20220114,000000,1.63,1.84,1.61,1.8001,34663,0
PL-WS.US,D,20220118,000000,1.8,1.8,1.59,1.59,51628,0
PL-WS.US,D,20220119,000000,1.6,1.78,1.6,1.715,44458,0
PL-WS.US,D,20220120,000000,1.75,1.85,1.67,1.7,107081,0
PL-WS.US,D,20220121,000000,1.7,1.78,1.2497,1.25,241464,0
