<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLD.US,D,19950818,000000,19.102,19.413,19.102,19.413,4956,0
PLD.US,D,19950821,000000,19.413,19.577,19.413,19.577,614,0
PLD.US,D,19950822,000000,19.577,19.89,19.577,19.577,9728,0
PLD.US,D,19950823,000000,19.577,19.577,19.413,19.413,7098,0
PLD.US,D,19950824,000000,19.102,19.247,19.102,19.247,2508,0
PLD.US,D,19950825,000000,19.102,19.413,19.102,19.247,4348,0
PLD.US,D,19950828,000000,19.247,19.577,19.247,19.413,5936,0
PLD.US,D,19950829,000000,19.413,19.413,19.413,19.413,367,0
PLD.US,D,19950830,000000,19.577,19.577,19.413,19.577,19156,0
PLD.US,D,19950831,000000,19.723,20.199,19.723,20.199,12364,0
PLD.US,D,19950901,000000,19.89,20.051,19.89,19.89,3669,0
PLD.US,D,19950905,000000,19.89,19.89,19.723,19.89,982,0
PLD.US,D,19950906,000000,19.89,20.199,19.89,19.89,24113,0
PLD.US,D,19950907,000000,19.89,20.199,19.577,19.577,3552,0
PLD.US,D,19950908,000000,19.413,19.577,19.413,19.577,43018,0
PLD.US,D,19950911,000000,19.413,19.577,19.413,19.577,23620,0
PLD.US,D,19950912,000000,19.577,20.051,19.577,19.723,77292,0
PLD.US,D,19950913,000000,19.723,19.89,19.577,19.723,110274,0
PLD.US,D,19950914,000000,19.723,19.723,19.577,19.577,13588,0
PLD.US,D,19950915,000000,19.577,19.723,19.577,19.577,9854,0
PLD.US,D,19950918,000000,19.577,19.723,19.577,19.577,14200,0
PLD.US,D,19950919,000000,19.723,19.723,19.577,19.577,6917,0
PLD.US,D,19950920,000000,19.723,19.723,19.577,19.577,75211,0
PLD.US,D,19950921,000000,19.577,19.723,19.577,19.577,17136,0
PLD.US,D,19950922,000000,19.577,19.723,19.577,19.577,116515,0
PLD.US,D,19950925,000000,19.577,19.723,19.577,19.577,70863,0
PLD.US,D,19950926,000000,19.577,19.577,19.577,19.577,67925,0
