<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLOW.US,D,20100504,000000,7.2482,7.2482,7.2482,7.2482,0,0
PLOW.US,D,20100505,000000,7.2482,7.6982,7.0421,7.2739,4617621,0
PLOW.US,D,20100506,000000,7.2482,7.6024,7.2482,7.4028,726214,0
PLOW.US,D,20100507,000000,7.4413,7.4413,7.2544,7.4091,186140,0
PLOW.US,D,20100510,000000,7.5512,7.5512,7.2804,7.4413,94926,0
PLOW.US,D,20100511,000000,7.4287,7.4735,7.3123,7.4091,79378,0
PLOW.US,D,20100512,000000,7.4091,7.6146,7.2482,7.3446,427962,0
PLOW.US,D,20100513,000000,7.3123,7.3963,7.2414,7.2935,136144,0
PLOW.US,D,20100514,000000,7.2674,7.4542,7.145,7.4542,191553,0
PLOW.US,D,20100517,000000,7.5058,7.5122,7.3384,7.3575,138444,0
PLOW.US,D,20100518,000000,7.3705,7.5058,7.3705,7.4413,37134,0
PLOW.US,D,20100519,000000,7.448,7.6477,7.3064,7.6477,63404,0
PLOW.US,D,20100520,000000,7.6477,7.6477,7.3641,7.4735,75778,0
PLOW.US,D,20100521,000000,7.4735,7.8855,7.3318,7.5382,174489,0
PLOW.US,D,20100524,000000,7.6541,7.7641,7.5122,7.5122,67828,0
PLOW.US,D,20100525,000000,7.5183,7.5565,7.2804,7.5512,131467,0
PLOW.US,D,20100526,000000,7.7313,7.796,7.5122,7.5512,109111,0
PLOW.US,D,20100527,000000,7.6342,7.7641,7.5899,7.7641,58515,0
PLOW.US,D,20100528,000000,7.7641,7.8724,7.5382,7.6342,84280,0
PLOW.US,D,20100601,000000,7.6403,7.7119,7.5382,7.6089,59396,0
PLOW.US,D,20100602,000000,7.5512,7.5827,7.2544,7.4222,46142,0
PLOW.US,D,20100603,000000,7.3963,7.6024,7.3963,7.5317,122224,0
PLOW.US,D,20100604,000000,7.4413,7.6218,7.4091,7.5257,196084,0
PLOW.US,D,20100607,000000,7.4926,7.5382,7.4091,7.5317,48957,0
PLOW.US,D,20100608,000000,7.5382,7.6541,7.3123,7.5058,224525,0
PLOW.US,D,20100609,000000,7.5058,7.7508,7.4348,7.6342,26544,0
PLOW.US,D,20100610,000000,7.6867,7.7388,7.5565,7.6342,34866,0
PLOW.US,D,20100611,000000,7.6278,7.6794,7.5764,7.6794,29024,0
PLOW.US,D,20100614,000000,7.796,7.8532,7.6794,7.7313,140386,0
PLOW.US,D,20100615,000000,7.7119,7.7759,7.4866,7.6146,65599,0
PLOW.US,D,20100616,000000,7.4997,7.5827,7.3515,7.5827,121551,0
PLOW.US,D,20100617,000000,7.6146,7.7888,7.6024,7.6607,72485,0
PLOW.US,D,20100618,000000,7.6928,7.6982,7.5443,7.6146,37435,0
PLOW.US,D,20100621,000000,7.6477,7.6735,7.4091,7.5058,16995,0
PLOW.US,D,20100622,000000,7.5899,7.5899,7.4091,7.4348,41934,0
PLOW.US,D,20100623,000000,7.3898,7.57,7.3705,7.57,95302,0
PLOW.US,D,20100624,000000,7.6089,8.028,7.3446,7.7822,215432,0
PLOW.US,D,20100625,000000,7.8214,8.0926,7.6794,7.9772,1931340,0
PLOW.US,D,20100628,000000,8.0213,8.0213,7.5382,7.5639,65073,0
PLOW.US,D,20100629,000000,7.5317,7.5382,7.3446,7.4091,95700,0
PLOW.US,D,20100630,000000,7.3913,7.5066,7.3367,7.4117,60808,0
PLOW.US,D,20100701,000000,7.4542,7.5899,7.3384,7.4602,25763,0
PLOW.US,D,20100702,000000,7.4997,7.7056,7.3898,7.6867,53200,0
PLOW.US,D,20100706,000000,7.7251,7.7251,7.3963,7.4222,38554,0
PLOW.US,D,20100707,000000,7.4735,7.57,7.4028,7.57,51185,0
PLOW.US,D,20100708,000000,7.6024,7.847,7.6024,7.7313,50760,0
PLOW.US,D,20100709,000000,7.6928,7.7388,7.6607,7.7251,28946,0
PLOW.US,D,20100712,000000,7.6607,7.7251,7.4997,7.5183,23532,0
PLOW.US,D,20100713,000000,7.5827,7.7313,7.5827,7.6794,58819,0
PLOW.US,D,20100714,000000,7.6403,7.7508,7.5512,7.7251,57933,0
PLOW.US,D,20100715,000000,7.7119,7.7119,7.3641,7.4348,33850,0
PLOW.US,D,20100716,000000,7.4156,7.4413,7.2287,7.2544,69453,0
PLOW.US,D,20100719,000000,7.2935,7.3255,6.9322,7.016,54866,0
PLOW.US,D,20100720,000000,6.958,7.3446,6.5719,7.3318,110631,0
PLOW.US,D,20100721,000000,7.3641,7.4091,7.0932,7.1255,36324,0
PLOW.US,D,20100722,000000,7.1774,7.4997,7.1511,7.3575,59589,0
PLOW.US,D,20100723,000000,7.2995,7.7442,7.2739,7.6982,193851,0
PLOW.US,D,20100726,000000,7.7508,7.8991,7.7119,7.7183,80587,0
PLOW.US,D,20100727,000000,7.7694,7.8664,7.3446,7.6607,91615,0
PLOW.US,D,20100728,000000,7.6218,7.7183,7.4222,7.4997,49133,0
PLOW.US,D,20100729,000000,7.5382,7.6024,6.926,7.2482,107950,0
PLOW.US,D,20100730,000000,7.1062,7.6607,7.1062,7.6342,170550,0
PLOW.US,D,20100802,000000,7.6982,7.6982,7.4735,7.5257,58032,0
PLOW.US,D,20100803,000000,7.5257,7.5565,7.2935,7.4735,17927,0
PLOW.US,D,20100804,000000,7.5122,7.5122,7.0613,7.4091,164591,0
PLOW.US,D,20100805,000000,7.3705,7.3705,7.1705,7.2031,24937,0
PLOW.US,D,20100806,000000,7.1385,7.4997,7.0871,7.1901,23880,0
PLOW.US,D,20100809,000000,7.2222,7.319,6.9519,7.2804,132920,0
PLOW.US,D,20100810,000000,7.7251,7.7251,7.3446,7.3641,307753,0
PLOW.US,D,20100811,000000,7.2739,7.448,7.1901,7.3898,134927,0
PLOW.US,D,20100812,000000,7.2804,7.4091,6.958,7.1511,85850,0
PLOW.US,D,20100813,000000,7.1062,7.2804,6.997,7.2157,42992,0
PLOW.US,D,20100816,000000,7.1582,7.3834,7.145,7.3515,67265,0
PLOW.US,D,20100817,000000,7.4156,7.4348,7.1901,7.2674,65564,0
PLOW.US,D,20100818,000000,7.2804,7.3446,7.1705,7.2674,47897,0
PLOW.US,D,20100819,000000,7.2609,7.2739,7.1255,7.1385,53167,0
PLOW.US,D,20100820,000000,7.0932,7.448,7.0932,7.4287,213425,0
PLOW.US,D,20100823,000000,7.4997,7.4997,7.3255,7.3575,127523,0
PLOW.US,D,20100824,000000,7.2609,7.3123,7.0483,7.1511,148306,0
PLOW.US,D,20100825,000000,7.1127,7.3898,7.1,7.3834,42659,0
PLOW.US,D,20100826,000000,7.3768,7.3768,7.1901,7.2544,42032,0
PLOW.US,D,20100827,000000,7.319,7.3898,7.2674,7.3575,77708,0
PLOW.US,D,20100830,000000,7.2995,7.2995,7.0805,7.2544,74152,0
PLOW.US,D,20100831,000000,7.2522,7.3596,7.1511,7.3193,120223,0
PLOW.US,D,20100901,000000,7.3446,7.6982,7.2414,7.6607,97142,0
PLOW.US,D,20100902,000000,7.6278,7.796,7.5565,7.7442,101736,0
PLOW.US,D,20100903,000000,7.9114,8.1503,7.8609,7.9438,84021,0
PLOW.US,D,20100907,000000,7.9438,8.1751,7.7313,7.9114,69450,0
PLOW.US,D,20100908,000000,7.957,8.1127,7.8289,7.9055,57821,0
PLOW.US,D,20100909,000000,8.0007,8.1127,7.6928,7.8082,42675,0
PLOW.US,D,20100910,000000,7.8146,7.9697,7.6928,7.9511,46483,0
PLOW.US,D,20100913,000000,8.008,8.3704,7.7641,8.2656,56329,0
PLOW.US,D,20100914,000000,8.2716,8.3771,8.1503,8.2284,74121,0
PLOW.US,D,20100915,000000,8.2146,8.3055,7.796,8.1436,69278,0
PLOW.US,D,20100916,000000,8.1436,8.2927,7.6607,7.6667,82035,0
PLOW.US,D,20100917,000000,7.6735,7.6735,7.3123,7.5382,135155,0
PLOW.US,D,20100920,000000,7.5961,7.5961,7.2935,7.5317,382225,0
PLOW.US,D,20100921,000000,7.448,7.5122,7.2544,7.4091,195720,0
PLOW.US,D,20100922,000000,7.4028,7.5183,7.2482,7.2935,355026,0
PLOW.US,D,20100923,000000,7.2674,7.4287,7.2482,7.319,234943,0
PLOW.US,D,20100924,000000,7.3898,7.5058,7.3446,7.5058,122855,0
PLOW.US,D,20100927,000000,7.5122,7.7508,7.4287,7.7388,60258,0
PLOW.US,D,20100928,000000,7.7759,7.9371,7.7641,7.8408,46115,0
PLOW.US,D,20100929,000000,7.8408,7.9055,7.796,7.8408,39258,0
PLOW.US,D,20100930,000000,7.8897,7.9847,7.7016,7.9578,75202,0
PLOW.US,D,20101001,000000,7.9304,8.1503,7.7119,8.041,36876,0
PLOW.US,D,20101004,000000,7.9887,8.1182,7.9697,8.0146,97081,0
PLOW.US,D,20101005,000000,8.1182,8.4971,8.1182,8.4007,116622,0
PLOW.US,D,20101006,000000,8.3564,8.784,8.3564,8.6926,181455,0
PLOW.US,D,20101007,000000,8.7623,8.7623,8.5879,8.6852,177691,0
PLOW.US,D,20101008,000000,8.6926,9.0202,8.6926,8.9942,35278,0
PLOW.US,D,20101011,000000,9.0125,9.0202,8.8899,8.9158,29657,0
PLOW.US,D,20101012,000000,8.8797,8.8797,8.6397,8.7565,15255,0
PLOW.US,D,20101013,000000,8.8113,8.8251,8.6997,8.784,37701,0
PLOW.US,D,20101014,000000,8.8047,8.8546,8.5879,8.7409,68106,0
PLOW.US,D,20101015,000000,8.7288,8.8474,8.3771,8.5113,95621,0
PLOW.US,D,20101018,000000,8.5453,8.9687,8.5039,8.8797,110416,0
PLOW.US,D,20101019,000000,8.784,8.8185,8.6082,8.7565,61404,0
PLOW.US,D,20101020,000000,8.8113,8.9019,8.6588,8.8797,101908,0
