<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PM.US,D,20080317,000000,30.098,31.694,29.642,29.731,3302494,0
PM.US,D,20080318,000000,30.008,31.303,28.743,29.857,13402019,0
PM.US,D,20080319,000000,29.857,30.7,28.232,30.158,4996436,0
PM.US,D,20080320,000000,30.219,30.219,29.417,29.587,2849981,0
PM.US,D,20080324,000000,29.985,30.7,29.985,30.7,2387168,0
PM.US,D,20080325,000000,30.939,31.152,30.462,31.152,1828666,0
PM.US,D,20080326,000000,31.124,31.583,30.279,30.279,3360977,0
PM.US,D,20080327,000000,30.671,31.323,30.098,30.508,14374993,0
PM.US,D,20080328,000000,30.671,31.602,30.435,30.737,16547693,0
PM.US,D,20080331,000000,31.542,32.928,30.098,30.449,32251154,0
PM.US,D,20080401,000000,30.762,31.416,29.5,30.449,38744274,0
PM.US,D,20080402,000000,30.797,31.343,30.189,30.827,21503774,0
PM.US,D,20080403,000000,30.7,31.001,30.339,30.731,20663939,0
PM.US,D,20080404,000000,30.99,30.99,30.581,30.925,11049123,0
PM.US,D,20080407,000000,31.062,31.062,30.4,30.5,11793591,0
PM.US,D,20080408,000000,30.345,30.706,30.226,30.462,13760382,0
PM.US,D,20080409,000000,30.4,30.455,29.587,29.725,14812524,0
PM.US,D,20080410,000000,29.79,30.046,29.195,29.294,23793523,0
PM.US,D,20080411,000000,29.19,29.429,28.943,29.095,18947919,0
PM.US,D,20080414,000000,29.073,29.107,28.552,28.895,19158396,0
PM.US,D,20080415,000000,28.76,29.107,28.76,29.015,15953181,0
PM.US,D,20080416,000000,29.142,29.864,29.107,29.772,24648456,0
PM.US,D,20080417,000000,29.932,30.098,29.752,30.008,11064784,0
PM.US,D,20080418,000000,30.394,30.664,29.725,30.075,15998912,0
PM.US,D,20080421,000000,30.219,30.634,29.574,30.479,10847639,0
PM.US,D,20080422,000000,30.462,30.64,30.052,30.141,9145940,0
PM.US,D,20080423,000000,30.7,31.507,30.64,31.303,22481649,0
PM.US,D,20080424,000000,31.303,31.563,31.001,31.303,9714270,0
PM.US,D,20080425,000000,31.389,31.41,30.551,30.88,18937255,0
PM.US,D,20080428,000000,30.664,30.88,30.551,30.743,13925085,0
PM.US,D,20080429,000000,30.964,31.423,30.256,31.31,20476887,0
PM.US,D,20080430,000000,31.124,31.31,30.645,30.718,14513042,0
PM.US,D,20080501,000000,30.599,30.803,30.473,30.551,11832195,0
PM.US,D,20080502,000000,30.64,30.762,30.339,30.712,15435518,0
PM.US,D,20080505,000000,30.622,31.077,30.479,30.586,13951955,0
PM.US,D,20080506,000000,30.64,31.274,30.609,31.229,12606444,0
PM.US,D,20080507,000000,31.281,31.423,30.887,31.116,10617360,0
PM.US,D,20080508,000000,31.091,31.428,31.001,31.423,11079663,0
PM.US,D,20080509,000000,31.241,31.578,31.017,31.202,9122930,0
PM.US,D,20080512,000000,31.288,31.628,30.88,31.583,9720414,0
PM.US,D,20080513,000000,31.554,31.805,31.328,31.578,9944908,0
PM.US,D,20080514,000000,31.61,31.813,31.542,31.707,8939780,0
PM.US,D,20080515,000000,31.61,32.091,31.363,32.054,13915065,0
PM.US,D,20080516,000000,32.043,32.205,31.512,32.135,11915599,0
PM.US,D,20080519,000000,32.2,32.475,31.862,32.284,10931569,0
PM.US,D,20080520,000000,32.087,32.468,31.796,31.854,11441406,0
PM.US,D,20080521,000000,31.928,32.013,31.202,31.288,11272482,0
PM.US,D,20080522,000000,31.197,31.767,31.168,31.471,8530645,0
PM.US,D,20080523,000000,31.363,31.891,31.152,31.182,8633838,0
PM.US,D,20080527,000000,31.255,31.269,30.771,31.077,10806873,0
PM.US,D,20080528,000000,31.124,31.241,30.599,30.797,22466666,0
PM.US,D,20080529,000000,30.676,31.397,30.66,31.316,12271275,0
PM.US,D,20080530,000000,31.343,31.898,31.19,31.7,11707748,0
PM.US,D,20080602,000000,31.394,31.724,31.255,31.369,14399666,0
PM.US,D,20080603,000000,31.363,31.676,31.104,31.104,10885275,0
PM.US,D,20080604,000000,31.116,31.463,31.001,31.274,10643968,0
PM.US,D,20080605,000000,31.323,31.449,31.025,31.19,10644048,0
PM.US,D,20080606,000000,31.001,31.006,30.339,30.4,16944320,0
PM.US,D,20080609,000000,30.581,30.671,29.606,29.79,16507825,0
PM.US,D,20080610,000000,29.5,29.887,29.214,29.79,14697072,0
PM.US,D,20080611,000000,29.79,30.462,29.569,30.014,20544466,0
PM.US,D,20080612,000000,30.02,30.928,30.02,30.875,19573837,0
PM.US,D,20080613,000000,30.87,31.229,30.52,31.067,12236179,0
PM.US,D,20080616,000000,30.803,30.803,30.243,30.537,13706746,0
PM.US,D,20080617,000000,30.428,30.68,30.172,30.479,9359387,0
PM.US,D,20080618,000000,30.231,30.435,29.991,30.038,16558491,0
PM.US,D,20080619,000000,29.979,30.449,29.918,30.339,15933331,0
PM.US,D,20080620,000000,30.141,30.455,29.957,30.231,19019217,0
PM.US,D,20080623,000000,30.298,30.52,30.038,30.484,11008617,0
PM.US,D,20080624,000000,30.249,31.025,30.128,30.803,14912019,0
PM.US,D,20080625,000000,30.972,31.755,30.851,31.162,17167099,0
PM.US,D,20080626,000000,30.762,31.025,30.189,30.189,20026310,0
PM.US,D,20080627,000000,30.164,30.249,29.63,29.997,25578873,0
PM.US,D,20080630,000000,29.979,30.195,29.4,29.731,16566512,0
PM.US,D,20080701,000000,29.514,30.455,29.332,30.333,18426212,0
PM.US,D,20080702,000000,30.384,30.743,30.02,30.462,13223134,0
PM.US,D,20080703,000000,30.441,31.006,30.272,30.986,8559749,0
PM.US,D,20080707,000000,30.986,31.5,30.762,31.213,13947081,0
PM.US,D,20080708,000000,31.139,32.508,31.039,32.37,23221033,0
PM.US,D,20080709,000000,32.337,32.766,32.054,32.508,17295288,0
PM.US,D,20080710,000000,32.441,32.504,31.73,32.17,19238551,0
PM.US,D,20080711,000000,31.862,32.408,31.454,32.127,10944766,0
PM.US,D,20080714,000000,32.06,32.441,31.755,32.243,13786195,0
PM.US,D,20080715,000000,31.838,32.43,31.495,32.087,13798887,0
PM.US,D,20080716,000000,31.767,32.127,31.139,31.857,11478867,0
PM.US,D,20080717,000000,32.026,32.026,30.64,30.676,17139510,0
PM.US,D,20080718,000000,30.762,30.986,30.172,30.531,15881322,0
PM.US,D,20080721,000000,30.594,30.696,30.249,30.39,7260985,0
PM.US,D,20080722,000000,30.249,31.363,30.135,31.333,14830247,0
PM.US,D,20080723,000000,31.657,31.657,30.634,30.986,13196390,0
PM.US,D,20080724,000000,30.939,31.96,30.939,31.578,14481775,0
PM.US,D,20080725,000000,31.463,32.235,31.463,31.936,13399523,0
PM.US,D,20080728,000000,31.774,32.054,31.507,31.676,8523584,0
PM.US,D,20080729,000000,31.748,32.151,31.683,32.109,12056423,0
PM.US,D,20080730,000000,32.243,32.52,31.707,32.127,12219464,0
PM.US,D,20080731,000000,32.127,32.379,30.905,31.091,17440678,0
PM.US,D,20080801,000000,31.152,31.662,31.152,31.349,11160772,0
PM.US,D,20080804,000000,31.363,32.554,30.87,32.337,14889509,0
PM.US,D,20080805,000000,32.325,33.431,32.265,33.228,21403768,0
PM.US,D,20080806,000000,33.023,33.803,32.931,33.427,21032430,0
PM.US,D,20080807,000000,33.186,33.295,32.687,32.891,15419695,0
PM.US,D,20080808,000000,32.809,33.41,32.809,33.235,15393026,0
PM.US,D,20080811,000000,32.928,33.56,32.891,33.56,16154288,0
PM.US,D,20080812,000000,33.476,33.869,33.422,33.678,11114041,0
PM.US,D,20080813,000000,33.626,33.705,33.331,33.431,12974338,0
PM.US,D,20080814,000000,33.254,33.575,33.073,33.393,9507307,0
PM.US,D,20080815,000000,33.416,33.529,33.258,33.452,10899596,0
PM.US,D,20080818,000000,33.508,33.529,33.054,33.114,9540708,0
PM.US,D,20080819,000000,32.964,33.224,32.776,32.814,9489570,0
PM.US,D,20080820,000000,32.837,32.928,32.547,32.873,7328396,0
PM.US,D,20080821,000000,32.626,33.137,32.235,32.999,7796222,0
PM.US,D,20080822,000000,33.107,33.427,32.754,33.427,7213962,0
PM.US,D,20080825,000000,33.287,33.508,32.844,33.03,7309664,0
PM.US,D,20080826,000000,32.985,33.169,32.633,32.891,11620097,0
PM.US,D,20080827,000000,32.958,33.044,32.33,32.567,9068591,0
PM.US,D,20080828,000000,32.511,32.662,32.235,32.458,9014571,0
PM.US,D,20080829,000000,32.362,32.781,32.301,32.325,10067074,0
PM.US,D,20080902,000000,32.355,33.3,32.325,32.994,14677848,0
PM.US,D,20080903,000000,32.958,33.398,32.508,32.547,13683474,0
PM.US,D,20080904,000000,32.508,32.626,32.032,32.127,13000403,0
PM.US,D,20080905,000000,32.115,32.633,32.05,32.508,12975394,0
PM.US,D,20080908,000000,32.508,33.349,32.321,33.097,27600346,0
PM.US,D,20080909,000000,33.126,33.545,32.978,32.978,18669126,0
PM.US,D,20080910,000000,33.051,33.218,32.701,32.88,15288328,0
PM.US,D,20080911,000000,32.673,32.994,32.355,32.994,14231073,0
PM.US,D,20080912,000000,32.741,32.898,32.054,32.315,14227038,0
PM.US,D,20080915,000000,31.989,32.58,31.796,31.796,17412753,0
PM.US,D,20080916,000000,31.281,32.657,29.772,32.37,25995940,0
PM.US,D,20080917,000000,32.2,32.2,28.931,29.484,36789000,0
PM.US,D,20080918,000000,29.932,31.755,29.932,30.098,37580136,0
PM.US,D,20080919,000000,31.405,31.569,30.098,30.954,27945422,0
PM.US,D,20080922,000000,30.586,31.288,29.85,30.118,17243236,0
PM.US,D,20080923,000000,30.031,30.581,29.648,29.648,13653557,0
PM.US,D,20080924,000000,29.823,30.214,29.47,29.974,15224617,0
