<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMM.US,D,20050225,000000,4.1101,4.144,4.1101,4.1271,164924,0
PMM.US,D,20050228,000000,4.133,4.1384,4.1157,4.1157,204263,0
PMM.US,D,20050301,000000,4.1214,4.1384,4.1101,4.1101,156631,0
PMM.US,D,20050302,000000,4.1214,4.144,4.1101,4.144,163177,0
PMM.US,D,20050303,000000,4.1101,4.1668,4.1101,4.1555,190856,0
PMM.US,D,20050304,000000,4.1555,4.1729,4.1555,4.1668,134942,0
PMM.US,D,20050307,000000,4.1668,4.1834,4.1668,4.1782,170224,0
PMM.US,D,20050308,000000,4.1896,4.1896,4.1613,4.1613,113241,0
PMM.US,D,20050309,000000,4.1497,4.1782,4.1271,4.1384,334976,0
PMM.US,D,20050310,000000,4.1157,4.1555,4.1101,4.1271,244130,0
PMM.US,D,20050311,000000,4.1045,4.1384,4.1045,4.1214,104063,0
PMM.US,D,20050314,000000,4.1101,4.1384,4.1045,4.1214,118537,0
PMM.US,D,20050315,000000,4.1045,4.133,4.1045,4.1101,143937,0
PMM.US,D,20050316,000000,4.1045,4.1101,4.0931,4.0986,207798,0
PMM.US,D,20050317,000000,4.0876,4.1101,4.0757,4.0876,127186,0
PMM.US,D,20050318,000000,4.0819,4.0986,4.0709,4.0931,63859,0
PMM.US,D,20050321,000000,4.0709,4.0931,4.065,4.0709,168815,0
PMM.US,D,20050322,000000,4.065,4.065,4.0136,4.0136,131059,0
PMM.US,D,20050323,000000,4.0085,4.025,3.9403,3.9453,158921,0
PMM.US,D,20050324,000000,3.9287,3.9911,3.9287,3.9683,130538,0
PMM.US,D,20050328,000000,3.9344,3.9853,3.9344,3.9515,110072,0
PMM.US,D,20050329,000000,3.9853,3.9853,3.9628,3.9739,193334,0
PMM.US,D,20050330,000000,3.9453,3.9911,3.9453,3.9739,116422,0
PMM.US,D,20050331,000000,3.9911,4.0136,3.9911,4.0085,97366,0
PMM.US,D,20050401,000000,4.0421,4.0533,4.0136,4.0191,140933,0
PMM.US,D,20050404,000000,4.0024,4.0363,3.9968,4.0024,119771,0
PMM.US,D,20050405,000000,3.9911,4.025,3.9911,3.9968,147818,0
PMM.US,D,20050406,000000,4.0136,4.0191,3.9911,4.0191,56094,0
PMM.US,D,20050407,000000,4.0191,4.025,3.9968,3.9968,151522,0
PMM.US,D,20050408,000000,3.9911,3.9968,3.9802,3.9802,79372,0
PMM.US,D,20050411,000000,3.9853,3.9911,3.9739,3.9802,89078,0
PMM.US,D,20050412,000000,4.0024,4.0136,3.9911,4.0136,93308,0
PMM.US,D,20050413,000000,4.0024,4.025,3.9911,4.0191,80794,0
PMM.US,D,20050414,000000,4.0191,4.025,4.0024,4.025,234423,0
PMM.US,D,20050415,000000,4.031,4.0421,4.025,4.031,125944,0
PMM.US,D,20050418,000000,4.0363,4.0476,4.031,4.0363,115883,0
PMM.US,D,20050419,000000,4.0533,4.065,4.0421,4.0533,46915,0
PMM.US,D,20050420,000000,4.0191,4.025,3.9968,4.0191,131592,0
PMM.US,D,20050421,000000,4.0931,4.0931,4.0136,4.0191,118177,0
PMM.US,D,20050422,000000,4.0191,4.0476,4.0136,4.0476,56625,0
PMM.US,D,20050425,000000,4.025,4.0533,4.025,4.0363,48506,0
PMM.US,D,20050426,000000,4.031,4.0476,4.0191,4.0191,55386,0
PMM.US,D,20050427,000000,4.0191,4.0476,4.0191,4.0421,66324,0
PMM.US,D,20050428,000000,4.0363,4.0819,4.0363,4.0593,110593,0
PMM.US,D,20050429,000000,4.0593,4.0757,4.0533,4.0533,70737,0
PMM.US,D,20050502,000000,4.0757,4.0757,4.0593,4.0757,48684,0
PMM.US,D,20050503,000000,4.0593,4.0757,4.0533,4.0593,126473,0
PMM.US,D,20050504,000000,4.0363,4.0709,4.0363,4.065,130352,0
PMM.US,D,20050505,000000,4.0593,4.0819,4.0593,4.0819,80266,0
PMM.US,D,20050506,000000,4.0593,4.0593,4.0421,4.0476,100372,0
PMM.US,D,20050509,000000,4.0363,4.0593,4.0363,4.0593,62272,0
PMM.US,D,20050510,000000,4.0421,4.0876,4.0363,4.0709,49397,0
PMM.US,D,20050511,000000,4.0593,4.1045,4.0593,4.1045,96133,0
PMM.US,D,20050512,000000,4.0819,4.1271,4.0819,4.1214,138295,0
PMM.US,D,20050513,000000,4.1271,4.133,4.1045,4.1045,196860,0
PMM.US,D,20050516,000000,4.1271,4.1555,4.1214,4.1271,157519,0
PMM.US,D,20050517,000000,4.1157,4.133,4.1101,4.1101,131592,0
PMM.US,D,20050518,000000,4.1271,4.133,4.1101,4.1271,84842,0
PMM.US,D,20050519,000000,4.133,4.144,4.1157,4.1384,65087,0
PMM.US,D,20050520,000000,4.0986,4.1214,4.0931,4.0986,124354,0
PMM.US,D,20050523,000000,4.5298,4.5298,4.3087,4.3877,4679724,0
PMM.US,D,20050524,000000,4.3824,4.3824,4.3372,4.3652,1948800,0
PMM.US,D,20050525,000000,4.3652,4.3652,4.3199,4.3478,1603068,0
PMM.US,D,20050526,000000,4.3478,4.3877,4.3425,4.3877,1239691,0
PMM.US,D,20050527,000000,4.3939,4.4507,4.3599,4.4447,818469,0
PMM.US,D,20050531,000000,4.4507,4.4507,4.3989,4.4507,814938,0
PMM.US,D,20050601,000000,4.4507,4.4958,4.4447,4.479,862038,0
PMM.US,D,20050602,000000,4.479,4.479,4.4507,4.473,533066,0
PMM.US,D,20050603,000000,4.473,4.4898,4.4668,4.4668,296698,0
PMM.US,D,20050606,000000,4.4898,4.4958,4.4668,4.4844,498667,0
PMM.US,D,20050607,000000,4.479,4.5013,4.479,4.4958,505196,0
PMM.US,D,20050608,000000,4.4958,4.4958,4.4844,4.4844,309387,0
PMM.US,D,20050609,000000,4.4898,4.4898,4.4556,4.4621,310805,0
PMM.US,D,20050610,000000,4.479,4.479,4.4556,4.4668,239716,0
PMM.US,D,20050613,000000,4.479,4.479,4.3939,4.4159,346613,0
