<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMO.US,D,20050225,000000,6.9791,6.9791,6.9622,6.9732,21830,0
PMO.US,D,20050228,000000,6.9561,6.9732,6.934,6.934,46282,0
PMO.US,D,20050301,000000,6.9561,6.9561,6.9169,6.9391,55014,0
PMO.US,D,20050302,000000,6.9442,6.9622,6.9169,6.9622,37021,0
PMO.US,D,20050303,000000,6.9287,6.9668,6.9287,6.9561,32315,0
PMO.US,D,20050304,000000,6.9498,6.9791,6.9498,6.9791,33358,0
PMO.US,D,20050307,000000,6.9732,6.9791,6.9498,6.9498,59034,0
PMO.US,D,20050308,000000,6.9498,6.9561,6.934,6.934,27940,0
PMO.US,D,20050309,000000,6.8881,6.9169,6.8721,6.8776,104097,0
PMO.US,D,20050310,000000,6.8655,6.8776,6.8476,6.8721,81741,0
PMO.US,D,20050311,000000,6.8539,6.8721,6.8476,6.8476,13972,0
PMO.US,D,20050314,000000,6.8539,6.8539,6.7848,6.8071,90298,0
PMO.US,D,20050315,000000,6.813,6.813,6.767,6.7848,135180,0
PMO.US,D,20050316,000000,6.7614,6.7792,6.7614,6.7724,67939,0
PMO.US,D,20050317,000000,6.7614,6.7848,6.7614,6.7724,61476,0
PMO.US,D,20050318,000000,6.7564,6.7848,6.7395,6.7509,25670,0
PMO.US,D,20050321,000000,6.7216,6.7452,6.7049,6.7158,58859,0
PMO.US,D,20050322,000000,6.6753,6.7158,6.579,6.5842,102520,0
PMO.US,D,20050323,000000,6.5842,6.6019,6.5381,6.5558,86281,0
PMO.US,D,20050324,000000,6.5558,6.5895,6.5558,6.5895,52042,0
PMO.US,D,20050328,000000,6.5558,6.5842,6.5381,6.5443,28123,0
PMO.US,D,20050329,000000,6.5502,6.579,6.5269,6.5614,35634,0
PMO.US,D,20050330,000000,6.5842,6.6019,6.5558,6.5558,60430,0
PMO.US,D,20050331,000000,6.5614,6.6019,6.5614,6.5895,66898,0
PMO.US,D,20050401,000000,6.63,6.63,6.5895,6.6192,79115,0
