<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNC.US,D,19880907,000000,8.868,8.8889,8.8179,8.868,4955354,0
PNC.US,D,19880908,000000,8.8889,8.8889,8.8179,8.8392,1808165,0
PNC.US,D,19880909,000000,8.868,8.8889,8.8179,8.868,1515907,0
PNC.US,D,19880912,000000,8.9124,8.9124,8.8179,8.868,76377,0
PNC.US,D,19880913,000000,8.8179,8.8179,8.6882,8.7629,321431,0
PNC.US,D,19880914,000000,8.7629,8.7931,8.6436,8.6882,267057,0
PNC.US,D,19880915,000000,8.6882,8.7397,8.5898,8.6882,312677,0
PNC.US,D,19880916,000000,8.5898,8.7629,8.5898,8.7629,429365,0
PNC.US,D,19880919,000000,8.7397,8.7629,8.6661,8.7397,75586,0
PNC.US,D,19880920,000000,8.7397,8.8179,8.7397,8.7931,93618,0
PNC.US,D,19880921,000000,8.7931,8.7931,8.7175,8.7175,317984,0
PNC.US,D,19880922,000000,8.6436,8.6661,8.5898,8.6661,218529,0
PNC.US,D,19880923,000000,8.6882,8.7629,8.6436,8.6882,134984,0
PNC.US,D,19880926,000000,8.6661,8.7931,8.6436,8.6661,181399,0
PNC.US,D,19880927,000000,8.7175,8.7397,8.6661,8.7175,170525,0
PNC.US,D,19880928,000000,8.6882,8.7397,8.6661,8.6882,203676,0
PNC.US,D,19880929,000000,8.7397,8.8179,8.7397,8.7629,318776,0
PNC.US,D,19880930,000000,8.8179,8.8889,8.7397,8.7397,410534,0
PNC.US,D,19881003,000000,8.8392,8.8392,8.7397,8.7931,205797,0
PNC.US,D,19881004,000000,8.8392,8.8392,8.7175,8.7175,152491,0
PNC.US,D,19881005,000000,8.7397,8.7397,8.6661,8.7175,246378,0
PNC.US,D,19881006,000000,8.6882,8.7175,8.6436,8.6436,78234,0
PNC.US,D,19881007,000000,8.6661,8.8179,8.5898,8.8179,415576,0
PNC.US,D,19881010,000000,8.8392,8.8392,8.7629,8.8179,66563,0
PNC.US,D,19881011,000000,8.8179,8.8179,8.7397,8.7931,259372,0
PNC.US,D,19881012,000000,8.7931,8.7931,8.5655,8.7629,197309,0
PNC.US,D,19881013,000000,8.7629,8.8392,8.6882,8.8392,204475,0
PNC.US,D,19881014,000000,8.8392,8.8392,8.6436,8.6882,178221,0
PNC.US,D,19881017,000000,8.6882,8.6882,8.5898,8.6661,94678,0
PNC.US,D,19881018,000000,8.6882,8.8392,8.5898,8.7931,124384,0
PNC.US,D,19881019,000000,8.8392,8.8392,8.5655,8.6882,1753536,0
PNC.US,D,19881020,000000,8.6882,8.7175,8.6126,8.6882,121461,0
PNC.US,D,19881021,000000,8.6436,8.6882,8.6436,8.6661,339992,0
PNC.US,D,19881024,000000,8.5898,8.6126,8.4862,8.4862,341318,0
PNC.US,D,19881025,000000,8.4862,8.4862,8.3108,8.409,239479,0
PNC.US,D,19881026,000000,8.4615,8.4862,8.3847,8.4862,1783763,0
PNC.US,D,19881027,000000,8.4615,8.5655,8.409,8.409,155409,0
PNC.US,D,19881028,000000,8.4615,8.5655,8.439,8.439,166020,0
PNC.US,D,19881031,000000,8.4615,8.5363,8.439,8.439,172119,0
PNC.US,D,19881101,000000,8.4615,8.5363,8.439,8.5363,116954,0
PNC.US,D,19881102,000000,8.5363,8.5655,8.439,8.5363,197580,0
PNC.US,D,19881103,000000,8.5655,8.5898,8.5139,8.5139,201555,0
PNC.US,D,19881104,000000,8.5655,8.6436,8.5363,8.5363,265205,0
PNC.US,D,19881107,000000,8.5363,8.5363,8.3847,8.3847,201823,0
PNC.US,D,19881108,000000,8.3847,8.5139,8.3847,8.4862,1769712,0
PNC.US,D,19881109,000000,8.439,8.4862,8.3329,8.439,390651,0
