<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRBM-WS.US,D,20211027,000000,0.52,0.5825,0.52,0.55,439532,0
PRBM-WS.US,D,20211028,000000,0.56,0.56,0.52,0.56,5166,0
PRBM-WS.US,D,20211029,000000,0.55,0.55,0.47,0.47,272868,0
PRBM-WS.US,D,20211101,000000,0.4712,0.4819,0.42,0.4819,684106,0
PRBM-WS.US,D,20211102,000000,0.506,0.51,0.49,0.51,125355,0
PRBM-WS.US,D,20211103,000000,0.51,0.55,0.501,0.549899,66226,0
PRBM-WS.US,D,20211104,000000,0.5479,0.548,0.515,0.52,36443,0
PRBM-WS.US,D,20211105,000000,0.52,0.53,0.515,0.5175,52291,0
PRBM-WS.US,D,20211108,000000,0.5469,0.55,0.52,0.53,24438,0
PRBM-WS.US,D,20211109,000000,0.53,0.536899,0.5199,0.53,56556,0
PRBM-WS.US,D,20211110,000000,0.55,0.55,0.49,0.4988,209399,0
PRBM-WS.US,D,20211111,000000,0.51,0.55,0.51,0.55,32874,0
PRBM-WS.US,D,20211112,000000,0.55,0.56,0.524999,0.55,64422,0
PRBM-WS.US,D,20211115,000000,0.56,0.56,0.5,0.5478,28986,0
PRBM-WS.US,D,20211116,000000,0.5599,0.56,0.5576,0.5576,1685,0
PRBM-WS.US,D,20211117,000000,0.56,0.57,0.54,0.54,364906,0
PRBM-WS.US,D,20211118,000000,0.56,0.56,0.54,0.54,45045,0
PRBM-WS.US,D,20211119,000000,0.56,0.56,0.54,0.54,12155,0
PRBM-WS.US,D,20211122,000000,0.55,0.55,0.48,0.5395,108619,0
PRBM-WS.US,D,20211123,000000,0.53,0.5479,0.5,0.5157,22317,0
PRBM-WS.US,D,20211124,000000,0.5489,0.55,0.5,0.55,162158,0
PRBM-WS.US,D,20211126,000000,0.53,0.53,0.49,0.5101,12691,0
PRBM-WS.US,D,20211129,000000,0.5101,0.529899,0.5101,0.525,2539,0
PRBM-WS.US,D,20211130,000000,0.500001,0.53,0.5,0.5237,25073,0
PRBM-WS.US,D,20211201,000000,0.53,0.53,0.5,0.515001,3286,0
PRBM-WS.US,D,20211202,000000,0.515,0.53,0.4902,0.4902,8922,0
PRBM-WS.US,D,20211203,000000,0.491,0.52,0.4901,0.4901,10373,0
PRBM-WS.US,D,20211206,000000,0.5002,0.53,0.5002,0.51,2637,0
PRBM-WS.US,D,20211207,000000,0.5,0.52,0.4912,0.505,10989,0
PRBM-WS.US,D,20211208,000000,0.53,0.53,0.4607,0.47,95054,0
PRBM-WS.US,D,20211209,000000,0.5068,0.508899,0.475,0.4752,9420,0
PRBM-WS.US,D,20211210,000000,0.5,0.517799,0.499899,0.5,3560,0
PRBM-WS.US,D,20211213,000000,0.4978,0.5,0.47,0.474916,13854,0
PRBM-WS.US,D,20211214,000000,0.4684,0.4779,0.45,0.46,5092,0
PRBM-WS.US,D,20211215,000000,0.49,0.496699,0.46,0.46,16073,0
PRBM-WS.US,D,20211216,000000,0.48,0.5,0.470001,0.470001,6150,0
PRBM-WS.US,D,20211217,000000,0.495,0.495,0.465067,0.490101,9381,0
PRBM-WS.US,D,20211220,000000,0.495,0.495,0.482301,0.4945,7400,0
PRBM-WS.US,D,20211221,000000,0.495,0.495,0.480001,0.487451,2196,0
PRBM-WS.US,D,20211222,000000,0.490101,0.4949,0.469899,0.47,9981,0
PRBM-WS.US,D,20211223,000000,0.485,0.485,0.470001,0.48,9402,0
PRBM-WS.US,D,20211227,000000,0.4899,0.4899,0.48,0.48,1051,0
PRBM-WS.US,D,20211228,000000,0.4744,0.4744,0.45,0.47,8938,0
PRBM-WS.US,D,20211229,000000,0.5,0.5,0.4601,0.4601,1135,0
PRBM-WS.US,D,20211230,000000,0.474999,0.48,0.4447,0.4701,20534,0
PRBM-WS.US,D,20211231,000000,0.479,0.4799,0.4499,0.45,16013,0
PRBM-WS.US,D,20220103,000000,0.4498,0.4799,0.43,0.4799,2720,0
PRBM-WS.US,D,20220104,000000,0.430201,0.4749,0.430201,0.4749,933,0
PRBM-WS.US,D,20220105,000000,0.4303,0.4602,0.41,0.44,109686,0
PRBM-WS.US,D,20220106,000000,0.4102,0.4694,0.4102,0.4694,34531,0
PRBM-WS.US,D,20220107,000000,0.44,0.4699,0.4301,0.4598,4054,0
PRBM-WS.US,D,20220110,000000,0.45,0.46,0.43,0.46,15094,0
PRBM-WS.US,D,20220111,000000,0.4603,0.47,0.4603,0.4697,14019,0
PRBM-WS.US,D,20220112,000000,0.455,0.47,0.44,0.47,5421,0
PRBM-WS.US,D,20220113,000000,0.4699,0.47,0.46,0.47,6111,0
PRBM-WS.US,D,20220114,000000,0.4432,0.4699,0.44,0.4401,11189,0
PRBM-WS.US,D,20220118,000000,0.468,0.468,0.438,0.4679,2718,0
PRBM-WS.US,D,20220119,000000,0.4649,0.4649,0.411901,0.4501,4707,0
PRBM-WS.US,D,20220120,000000,0.41,0.44,0.3801,0.3827,121804,0
PRBM-WS.US,D,20220121,000000,0.3801,0.39005,0.34,0.3556,117825,0
