<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSA_Q.US,D,20210820,000000,25.05,25.09,25.045,25.08,112767,0
PSA_Q.US,D,20210823,000000,25.12,25.17,25.09,25.1,145240,0
PSA_Q.US,D,20210824,000000,25.11,25.16,25.09,25.12,135677,0
PSA_Q.US,D,20210825,000000,25.15,25.16,25.065,25.14,227861,0
PSA_Q.US,D,20210826,000000,25.14,25.215,25.11,25.16,359292,0
PSA_Q.US,D,20210827,000000,25.19,25.24,25.14,25.2,185193,0
PSA_Q.US,D,20210830,000000,25.16,25.23,25.16,25.17,212975,0
PSA_Q.US,D,20210831,000000,25.17,25.19,25.07,25.07,665974,0
PSA_Q.US,D,20210901,000000,25.1,25.18,25.1,25.15,63278,0
PSA_Q.US,D,20210902,000000,25.1767,25.27,25.1767,25.21,27450,0
PSA_Q.US,D,20210903,000000,25.23,25.39,25.22,25.3,36889,0
PSA_Q.US,D,20210907,000000,25.32,25.34,25.24,25.27,71727,0
PSA_Q.US,D,20210908,000000,25.2999,25.34,25.225,25.33,26642,0
PSA_Q.US,D,20210909,000000,25.31,25.41,25.31,25.41,47540,0
PSA_Q.US,D,20210910,000000,25.4,25.46,25.35,25.43,38560,0
PSA_Q.US,D,20210913,000000,25.41,25.43,25.3538,25.4,26903,0
PSA_Q.US,D,20210914,000000,25.35,25.4,25.27,25.33,44788,0
PSA_Q.US,D,20210915,000000,25.32,25.36,25.27,25.32,17908,0
PSA_Q.US,D,20210916,000000,25.38,25.42,25.31,25.33,13301,0
PSA_Q.US,D,20210917,000000,25.35,25.35,25.29,25.29,37119,0
PSA_Q.US,D,20210920,000000,25.28,25.28,25.16,25.22,41417,0
PSA_Q.US,D,20210921,000000,25.26,25.3,25.2,25.27,29690,0
PSA_Q.US,D,20210922,000000,25.31,25.394,25.24,25.39,55393,0
PSA_Q.US,D,20210923,000000,25.45,25.45,25.29,25.34,14662,0
PSA_Q.US,D,20210924,000000,25.33,25.33,25.2,25.28,19266,0
PSA_Q.US,D,20210927,000000,25.23,25.28,25.14,25.2,32731,0
PSA_Q.US,D,20210928,000000,25.17,25.17,25.01,25.06,41892,0
PSA_Q.US,D,20210929,000000,25.15,25.2811,25.06,25.2811,52920,0
PSA_Q.US,D,20210930,000000,25.33,25.38,25.2,25.38,77977,0
PSA_Q.US,D,20211001,000000,25.47,25.47,25.25,25.38,8362,0
PSA_Q.US,D,20211004,000000,25.4,25.4,25.2068,25.2499,25165,0
PSA_Q.US,D,20211005,000000,25.29,25.3,25.04,25.04,63790,0
PSA_Q.US,D,20211006,000000,25.17,25.17,25.03,25.06,29593,0
PSA_Q.US,D,20211007,000000,25.1,25.17,25,25.015,88910,0
PSA_Q.US,D,20211008,000000,25.03,25.1,24.9,24.9996,39716,0
PSA_Q.US,D,20211011,000000,25.09,25.09,24.95,24.95,15833,0
PSA_Q.US,D,20211012,000000,25.05,25.11,24.9748,25.04,19269,0
PSA_Q.US,D,20211013,000000,25.01,25.23,25.01,25.15,27881,0
PSA_Q.US,D,20211014,000000,25.27,25.3446,25.16,25.205,41030,0
PSA_Q.US,D,20211015,000000,25.32,25.32,25.14,25.2,75011,0
PSA_Q.US,D,20211018,000000,25.2,25.225,25.05,25.07,19325,0
PSA_Q.US,D,20211019,000000,25.07,25.1449,24.93,25.04,36359,0
PSA_Q.US,D,20211020,000000,25.05,25.2299,24.975,25.14,119956,0
PSA_Q.US,D,20211021,000000,25.14,25.37,25.1099,25.26,51955,0
PSA_Q.US,D,20211022,000000,25.34,25.34,25.15,25.27,19697,0
PSA_Q.US,D,20211025,000000,25.31,25.4,25.22,25.39,18881,0
PSA_Q.US,D,20211026,000000,25.38,25.4,25.28,25.3201,26834,0
PSA_Q.US,D,20211027,000000,25.4,25.4,25.27,25.3765,49954,0
PSA_Q.US,D,20211028,000000,25.39,25.39,25.33,25.349,29639,0
PSA_Q.US,D,20211029,000000,25.36,25.4,25.325,25.4,58075,0
PSA_Q.US,D,20211101,000000,25.39,25.42,25.29,25.42,142900,0
PSA_Q.US,D,20211102,000000,25.31,25.55,25.31,25.55,47623,0
PSA_Q.US,D,20211103,000000,25.5,25.68,25.4498,25.68,45174,0
PSA_Q.US,D,20211104,000000,25.71,25.86,25.64,25.8,62943,0
PSA_Q.US,D,20211105,000000,25.78,25.82,25.6958,25.76,14814,0
PSA_Q.US,D,20211108,000000,25.77,25.77,25.67,25.73,18029,0
PSA_Q.US,D,20211109,000000,25.61,25.611,25.29,25.315,64221,0
PSA_Q.US,D,20211110,000000,25.39,25.39,24.82,24.99,150567,0
PSA_Q.US,D,20211111,000000,25,25.05,24.9,24.95,14247,0
PSA_Q.US,D,20211112,000000,24.99,24.99,24.935,24.97,24230,0
PSA_Q.US,D,20211115,000000,24.97,24.9992,24.86,24.9,37671,0
PSA_Q.US,D,20211116,000000,24.9,24.9,24.58,24.67,156802,0
PSA_Q.US,D,20211117,000000,24.7,24.8,24.66,24.71,11115,0
PSA_Q.US,D,20211118,000000,24.76,24.79,24.66,24.75,21284,0
PSA_Q.US,D,20211119,000000,24.77,24.77,24.725,24.77,5526,0
