<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSA_R.US,D,20211123,000000,24.85,24.855,24.37,24.59,240694,0
PSA_R.US,D,20211124,000000,24.65,24.75,24.6,24.7,523226,0
PSA_R.US,D,20211126,000000,24.67,24.81,24.6,24.72,374374,0
PSA_R.US,D,20211129,000000,24.72,24.86,24.67,24.83,443200,0
PSA_R.US,D,20211130,000000,24.73,24.98,24.66,24.98,2350829,0
PSA_R.US,D,20211201,000000,25,25,24.88,24.91,146974,0
PSA_R.US,D,20211202,000000,24.91,25,24.9,25,491787,0
PSA_R.US,D,20211203,000000,24.95,25.03,24.95,24.99,209436,0
PSA_R.US,D,20211206,000000,25,25.04,24.96,25,285011,0
PSA_R.US,D,20211207,000000,25,25.09,25,25.05,313676,0
PSA_R.US,D,20211208,000000,25.06,25.1,24.95,24.95,63300,0
PSA_R.US,D,20211209,000000,24.91,24.99,24.91,24.92,36841,0
PSA_R.US,D,20211210,000000,24.95,24.95,24.87,24.92,47189,0
PSA_R.US,D,20211213,000000,24.96,24.99,24.89,24.92,20358,0
PSA_R.US,D,20211214,000000,24.88,24.97,24.8,24.915,56002,0
PSA_R.US,D,20211215,000000,24.86,24.95,24.82,24.9394,42753,0
PSA_R.US,D,20211216,000000,24.94,25.03,24.87,24.93,84860,0
PSA_R.US,D,20211217,000000,24.98,25.02,24.87,24.885,23919,0
PSA_R.US,D,20211220,000000,24.94,24.94,24.75,24.85,20522,0
PSA_R.US,D,20211221,000000,24.95,24.96,24.72,24.82,65865,0
PSA_R.US,D,20211222,000000,24.92,24.98,24.859,24.97,55596,0
PSA_R.US,D,20211223,000000,24.99,25,24.9,24.94,43749,0
PSA_R.US,D,20211227,000000,25,25,24.9,24.93,55957,0
PSA_R.US,D,20211228,000000,24.97,25,24.92,25,43370,0
PSA_R.US,D,20211229,000000,24.94,25.1,24.94,25.03,66115,0
PSA_R.US,D,20211230,000000,25,25.1,25,25.01,69684,0
PSA_R.US,D,20211231,000000,25.01,25.0634,24.95,25.03,49391,0
PSA_R.US,D,20220103,000000,25.06,25.06,24.938,24.9999,50412,0
PSA_R.US,D,20220104,000000,24.89,24.89,24.7,24.72,97411,0
PSA_R.US,D,20220105,000000,24.76,24.79,24.225,24.25,129010,0
PSA_R.US,D,20220106,000000,24.43,24.52,24.18,24.465,108737,0
PSA_R.US,D,20220107,000000,24.4,24.73,24.3,24.62,94026,0
PSA_R.US,D,20220110,000000,24.55,24.68,24.51,24.65,61882,0
PSA_R.US,D,20220111,000000,24.61,24.81,24.4326,24.71,39701,0
PSA_R.US,D,20220112,000000,24.73,24.85,24.68,24.74,42865,0
PSA_R.US,D,20220113,000000,24.69,24.76,24.6301,24.73,82786,0
PSA_R.US,D,20220114,000000,24.64,24.7083,24.5,24.53,56302,0
PSA_R.US,D,20220118,000000,24.43,24.4887,24.28,24.4,63969,0
PSA_R.US,D,20220119,000000,24.44,24.47,24.35,24.44,30810,0
PSA_R.US,D,20220120,000000,24.46,24.57,24.4,24.46,64776,0
PSA_R.US,D,20220121,000000,24.44,24.56,24.36,24.5,81696,0
