<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTA.US,D,20201030,000000,23.701,23.717,23.625,23.625,176363,0
PTA.US,D,20201102,000000,23.674,23.674,23.625,23.625,246302,0
PTA.US,D,20201103,000000,23.634,23.664,23.625,23.625,381745,0
PTA.US,D,20201104,000000,23.644,23.786,23.634,23.674,272616,0
PTA.US,D,20201105,000000,23.683,23.717,23.644,23.654,77117,0
PTA.US,D,20201106,000000,23.654,23.674,23.634,23.654,74594,0
PTA.US,D,20201109,000000,23.708,23.863,23.389,23.737,1037836,0
PTA.US,D,20201110,000000,23.747,23.777,23.683,23.683,58041,0
PTA.US,D,20201111,000000,23.737,23.767,23.693,23.727,44888,0
PTA.US,D,20201112,000000,23.683,23.727,23.674,23.701,50925,0
PTA.US,D,20201113,000000,23.701,23.717,23.675,23.708,47114,0
PTA.US,D,20201116,000000,23.757,23.757,23.701,23.717,49701,0
PTA.US,D,20201117,000000,23.833,23.833,23.708,23.717,110140,0
PTA.US,D,20201118,000000,23.767,23.814,23.737,23.767,66947,0
PTA.US,D,20201119,000000,23.717,23.777,23.693,23.717,92148,0
PTA.US,D,20201120,000000,23.747,23.796,23.717,23.796,57611,0
PTA.US,D,20201123,000000,23.806,23.926,23.806,23.916,82098,0
PTA.US,D,20201124,000000,23.946,24.022,23.868,24.022,92918,0
PTA.US,D,20201125,000000,24.012,24.07,23.872,24.052,70613,0
PTA.US,D,20201127,000000,24.052,24.087,23.873,23.898,42162,0
PTA.US,D,20201130,000000,23.814,23.898,23.683,23.833,62419,0
PTA.US,D,20201201,000000,23.737,23.767,23.625,23.625,207480,0
PTA.US,D,20201202,000000,23.747,23.747,23.644,23.708,71004,0
PTA.US,D,20201203,000000,23.708,23.898,23.708,23.863,81666,0
PTA.US,D,20201204,000000,23.882,23.995,23.853,23.985,69979,0
PTA.US,D,20201207,000000,23.985,23.995,23.683,23.853,79966,0
PTA.US,D,20201208,000000,23.898,23.926,23.727,23.873,90199,0
PTA.US,D,20201209,000000,23.898,24.095,23.853,23.956,131353,0
PTA.US,D,20201210,000000,24.052,24.343,23.904,24.259,114877,0
PTA.US,D,20201211,000000,24.571,24.571,23.906,24.211,88547,0
PTA.US,D,20201214,000000,24.164,24.285,23.814,24.285,117070,0
PTA.US,D,20201215,000000,24.285,24.636,24.225,24.343,186805,0
PTA.US,D,20201216,000000,24.465,24.567,24.004,24.087,154355,0
PTA.US,D,20201217,000000,24.087,24.334,24.058,24.135,113534,0
PTA.US,D,20201218,000000,24.251,24.545,24.186,24.447,79443,0
PTA.US,D,20201221,000000,24.561,24.654,24.095,24.125,80416,0
PTA.US,D,20201222,000000,24.105,24.511,24.095,24.174,160473,0
PTA.US,D,20201223,000000,24.505,24.753,24.411,24.458,90717,0
PTA.US,D,20201224,000000,24.791,24.791,24.528,24.763,17514,0
PTA.US,D,20201228,000000,24.791,24.923,24.426,24.773,97994,0
PTA.US,D,20201229,000000,24.933,24.933,24.495,24.573,105951,0
PTA.US,D,20201230,000000,24.685,24.767,24.393,24.675,42887,0
PTA.US,D,20201231,000000,24.695,24.828,24.61,24.695,37424,0
PTA.US,D,20210104,000000,24.648,24.648,24.058,24.251,79304,0
PTA.US,D,20210105,000000,24.145,24.544,24.095,24.259,98811,0
PTA.US,D,20210106,000000,24.259,24.268,23.984,24.031,70226,0
PTA.US,D,20210107,000000,24.031,24.345,23.984,24.051,75614,0
PTA.US,D,20210108,000000,24.061,24.315,24.031,24.286,73728,0
PTA.US,D,20210111,000000,24.174,24.305,23.935,23.974,81712,0
PTA.US,D,20210112,000000,23.925,24.106,23.879,23.965,80693,0
PTA.US,D,20210113,000000,24.011,24.824,23.945,24.106,113568,0
PTA.US,D,20210114,000000,24.155,24.155,23.925,24.061,43851,0
PTA.US,D,20210115,000000,24.051,24.242,23.965,24.126,77830,0
PTA.US,D,20210119,000000,24.155,24.155,23.879,24.051,98731,0
PTA.US,D,20210120,000000,24.051,24.145,23.887,24.041,61451,0
PTA.US,D,20210121,000000,23.945,24.155,23.945,24.106,59803,0
