<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PVAL.US,D,20210527,000000,25.28,25.3055,25.28,25.3055,310,0
PVAL.US,D,20210528,000000,25.3379,25.3379,25.3379,25.3379,179,0
PVAL.US,D,20210601,000000,25.5007,25.5007,25.4507,25.4507,761,0
PVAL.US,D,20210602,000000,25.4341,25.4341,25.4341,25.4341,6,0
PVAL.US,D,20210603,000000,25.4604,25.4604,25.4604,25.4604,161,0
PVAL.US,D,20210604,000000,25.5267,25.5267,25.5267,25.5267,8,0
PVAL.US,D,20210607,000000,25.5006,25.5355,25.5006,25.5355,177,0
PVAL.US,D,20210608,000000,25.66,25.66,25.5834,25.5834,263,0
PVAL.US,D,20210609,000000,25.4593,25.4593,25.4593,25.4593,19,0
PVAL.US,D,20210610,000000,25.4178,25.4178,25.4178,25.4178,9,0
PVAL.US,D,20210611,000000,25.43,25.4584,25.43,25.4584,414,0
PVAL.US,D,20210614,000000,25.3973,25.3973,25.3973,25.3973,28,0
PVAL.US,D,20210615,000000,25.3923,25.3923,25.3923,25.3923,10,0
PVAL.US,D,20210616,000000,25.35,25.36,25.22,25.2634,18142,0
PVAL.US,D,20210617,000000,24.8934,24.8934,24.8934,24.8934,138,0
PVAL.US,D,20210618,000000,24.6,24.6,24.4908,24.4908,108,0
PVAL.US,D,20210621,000000,24.74,24.8933,24.74,24.8933,15822,0
PVAL.US,D,20210622,000000,24.9387,24.9857,24.9387,24.9857,1622,0
PVAL.US,D,20210623,000000,25.02,25.02,24.893,24.893,13976,0
PVAL.US,D,20210624,000000,25.2002,25.2002,25.1657,25.1657,210,0
PVAL.US,D,20210625,000000,25.35,25.35,25.25,25.3211,26130,0
PVAL.US,D,20210628,000000,25.2352,25.2352,25.2352,25.2352,46,0
PVAL.US,D,20210629,000000,25.2599,25.2599,25.1769,25.1769,999,0
PVAL.US,D,20210630,000000,25.2609,25.3062,25.255,25.3062,2422,0
PVAL.US,D,20210701,000000,25.435,25.435,25.435,25.435,1,0
PVAL.US,D,20210702,000000,25.61,25.89,25.585,25.5961,14318,0
PVAL.US,D,20210706,000000,25.41,25.41,25.3112,25.3112,307,0
PVAL.US,D,20210707,000000,25.34,25.36,25.23,25.3384,21590,0
PVAL.US,D,20210708,000000,25.24,25.24,24.91,25.0111,2763,0
PVAL.US,D,20210709,000000,25.07,25.48,25.07,25.4203,2804,0
PVAL.US,D,20210712,000000,25.48,25.4975,25.48,25.4975,137,0
PVAL.US,D,20210713,000000,26.01,26.01,25.3302,25.3302,916,0
PVAL.US,D,20210714,000000,25.24,25.24,25.2345,25.2345,145,0
PVAL.US,D,20210715,000000,25.16,25.19,25.147,25.147,1102,0
PVAL.US,D,20210716,000000,25.09,25.09,24.87,24.8911,1713,0
PVAL.US,D,20210719,000000,24.84,24.84,24.35,24.5274,2436,0
PVAL.US,D,20210720,000000,24.99,25.01,24.94,24.9721,1775,0
PVAL.US,D,20210721,000000,25.19,25.2383,25.19,25.2383,361,0
PVAL.US,D,20210722,000000,25.02,25.16,25.02,25.117,8860,0
PVAL.US,D,20210723,000000,25.26,25.33,25.2268,25.2268,845,0
PVAL.US,D,20210726,000000,25.3001,25.38,25.3,25.3471,1201,0
PVAL.US,D,20210727,000000,25.23,25.3172,25.21,25.3172,25187,0
PVAL.US,D,20210728,000000,25.3468,25.3468,25.3468,25.3468,41,0
PVAL.US,D,20210729,000000,25.585,25.62,25.5768,25.5768,202,0
PVAL.US,D,20210730,000000,25.59,25.59,25.5052,25.5052,618,0
