<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PVL.US,D,20111107,000000,6.1389,6.1473,6.1025,6.1047,1365380,0
PVL.US,D,20111108,000000,6.1047,6.1108,6.0747,6.0832,1742841,0
PVL.US,D,20111109,000000,6.0734,6.0734,5.4513,5.4989,3605533,0
PVL.US,D,20111110,000000,5.5746,5.6013,5.3239,5.513,2321358,0
PVL.US,D,20111111,000000,5.5653,5.8866,5.5422,5.8866,1723856,0
PVL.US,D,20111114,000000,5.888,5.9691,5.7866,5.888,882438,0
PVL.US,D,20111115,000000,5.816,5.888,5.6691,5.8597,1146064,0
PVL.US,D,20111116,000000,5.869,5.9363,5.808,5.8597,971089,0
PVL.US,D,20111117,000000,5.9116,5.9116,5.7135,5.7372,641202,0
PVL.US,D,20111118,000000,5.7358,5.7799,5.5676,5.6039,583642,0
PVL.US,D,20111121,000000,5.5921,5.5921,5.3859,5.4624,828009,0
PVL.US,D,20111122,000000,5.409,5.5605,5.4068,5.4951,546878,0
PVL.US,D,20111123,000000,5.409,5.4715,5.2648,5.273,491316,0
PVL.US,D,20111125,000000,5.2478,5.4543,5.2478,5.3739,258789,0
PVL.US,D,20111128,000000,5.5921,5.6135,5.4016,5.4396,472115,0
PVL.US,D,20111129,000000,5.4267,5.5237,5.4145,5.4647,364304,0
PVL.US,D,20111130,000000,5.6545,5.6545,5.3,5.5011,937818,0
PVL.US,D,20111201,000000,5.4781,5.6066,5.3218,5.3543,367391,0
PVL.US,D,20111202,000000,5.4043,5.5624,5.4016,5.5168,318572,0
PVL.US,D,20111205,000000,5.6039,5.6899,5.5833,5.6109,718259,0
PVL.US,D,20111206,000000,5.5653,5.6388,5.4502,5.6367,729476,0
PVL.US,D,20111207,000000,5.5969,5.756,5.582,5.714,491465,0
PVL.US,D,20111208,000000,5.7096,5.7292,5.5495,5.7211,330233,0
PVL.US,D,20111209,000000,5.7211,5.7347,5.5969,5.7321,246337,0
PVL.US,D,20111212,000000,5.6523,5.6701,5.4595,5.5774,493328,0
PVL.US,D,20111213,000000,5.6412,5.8551,5.6013,5.8518,1064016,0
PVL.US,D,20111214,000000,5.8279,5.8551,5.6388,5.7832,530686,0
PVL.US,D,20111215,000000,5.8551,5.8551,5.6039,5.73,684943,0
PVL.US,D,20111216,000000,5.8279,5.864,5.8048,5.8303,377213,0
PVL.US,D,20111219,000000,5.8673,5.8829,5.6523,5.839,726620,0
PVL.US,D,20111220,000000,5.887,5.9608,5.8577,5.8996,469696,0
PVL.US,D,20111221,000000,5.872,5.9159,5.8164,5.887,273503,0
PVL.US,D,20111222,000000,5.8904,6.027,5.8279,5.9965,475454,0
PVL.US,D,20111223,000000,5.9995,6.1918,5.9648,6.1795,511678,0
PVL.US,D,20111227,000000,6.1506,6.2164,6.0816,6.1346,612753,0
PVL.US,D,20111228,000000,6.1226,6.1662,6.0304,6.0493,408742,0
PVL.US,D,20111229,000000,6.0554,6.0757,5.9965,6.0757,394778,0
PVL.US,D,20111230,000000,6.0757,6.1309,5.9292,6.0674,575249,0
PVL.US,D,20120103,000000,6.1947,6.2219,6.1469,6.2128,520460,0
PVL.US,D,20120104,000000,6.1882,6.2746,6.1506,6.25,612162,0
PVL.US,D,20120105,000000,6.2219,6.2649,6.1729,6.2649,618964,0
PVL.US,D,20120106,000000,6.3002,6.3112,6.1882,6.2722,534425,0
PVL.US,D,20120109,000000,6.2579,6.3215,6.2094,6.3191,560522,0
PVL.US,D,20120110,000000,6.3675,6.3675,6.1379,6.1918,374425,0
PVL.US,D,20120111,000000,6.1757,6.2099,6.045,6.0747,248620,0
PVL.US,D,20120112,000000,6.0747,6.0747,6.0043,6.0392,298586,0
PVL.US,D,20120113,000000,6.045,6.045,5.9292,6.0425,204372,0
PVL.US,D,20120117,000000,6.0962,6.1131,5.9965,6.054,332380,0
PVL.US,D,20120118,000000,6.0081,6.0482,5.9032,6.0291,479102,0
PVL.US,D,20120119,000000,6.0081,6.0832,6.0017,6.0517,477704,0
PVL.US,D,20120120,000000,6.0482,6.0482,5.9292,6.0189,278860,0
PVL.US,D,20120123,000000,6.0425,6.1628,6.0373,6.1469,241308,0
PVL.US,D,20120124,000000,6.1057,6.2867,6.1057,6.2268,261765,0
PVL.US,D,20120125,000000,6.2268,6.2525,6.1757,6.1918,306802,0
PVL.US,D,20120126,000000,6.2164,6.235,6.1222,6.1802,213870,0
PVL.US,D,20120127,000000,6.2649,6.2649,6.1186,6.1662,274062,0
PVL.US,D,20120130,000000,6.1375,6.1628,6.0164,6.1375,262935,0
PVL.US,D,20120131,000000,6.1494,6.1729,6.0577,6.1016,426317,0
PVL.US,D,20120201,000000,6.1116,6.1563,5.9984,6.011,240612,0
