<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PX.US,D,20211021,000000,12.02,12.7,11.27,12.08,6070390,0
PX.US,D,20211022,000000,12,12.1,11.71,12,851660,0
PX.US,D,20211025,000000,12.01,12.69,12,12.5,1119191,0
PX.US,D,20211026,000000,12.5,12.7,12.01,12.49,682201,0
PX.US,D,20211027,000000,12.35,13.155,12.23,12.35,330073,0
PX.US,D,20211028,000000,12.42,12.5796,12.1,12.21,331386,0
PX.US,D,20211029,000000,12.12,12.72,12.1,12.5,384727,0
PX.US,D,20211101,000000,12.39,12.72,12,12.15,491592,0
PX.US,D,20211102,000000,12.05,12.48,12.05,12.32,93406,0
PX.US,D,20211103,000000,12.18,12.65,12.07,12.25,191532,0
PX.US,D,20211104,000000,12.05,12.5,12.05,12.42,121638,0
PX.US,D,20211105,000000,12.22,12.6,12.22,12.5,85776,0
PX.US,D,20211108,000000,12.36,12.6,12.25,12.49,267076,0
PX.US,D,20211109,000000,12.32,12.6,12.31,12.57,209437,0
PX.US,D,20211110,000000,12.36,12.7898,12.36,12.55,334646,0
PX.US,D,20211111,000000,12.31,12.75,12.13,12.65,167049,0
PX.US,D,20211112,000000,12.63,14,12.63,13.45,563233,0
PX.US,D,20211115,000000,13.85,14.67,13.69,13.99,389757,0
PX.US,D,20211116,000000,13.99,14.4799,13.86,13.96,283995,0
PX.US,D,20211117,000000,14.01,14.273,13.8,13.96,209153,0
PX.US,D,20211118,000000,13.93,14.39,13.47,14.03,372551,0
PX.US,D,20211119,000000,13.91,14.245,13.61,13.95,176875,0
PX.US,D,20211122,000000,14.68,14.95,13.92,13.93,329282,0
PX.US,D,20211123,000000,13.9,13.9,12.9,13.23,449797,0
PX.US,D,20211124,000000,13.1,13.53,13.1,13.5,75619,0
PX.US,D,20211126,000000,13.32,13.37,13.1265,13.27,31734,0
PX.US,D,20211129,000000,13.41,13.41,12.93,13.17,274798,0
PX.US,D,20211130,000000,13.22,13.8,13.05,13.77,334637,0
PX.US,D,20211201,000000,13.88,14.3,13.86,14.02,298614,0
PX.US,D,20211202,000000,14.18,14.38,13.91,14.35,472134,0
PX.US,D,20211203,000000,14.4,14.6,14.212,14.35,365813,0
PX.US,D,20211206,000000,14.5,14.9,14.1,14.5,416603,0
PX.US,D,20211207,000000,14.51,15.2965,14.51,15.01,228214,0
PX.US,D,20211208,000000,15.01,15.0296,14.2301,14.73,188563,0
PX.US,D,20211209,000000,14.54,14.8472,13.86,14.38,145450,0
PX.US,D,20211210,000000,14.45,14.6,13.59,14.03,145046,0
PX.US,D,20211213,000000,13.99,14.1899,13.06,13.49,174577,0
PX.US,D,20211214,000000,13.24,13.7,13.03,13.25,161400,0
PX.US,D,20211215,000000,13.26,13.92,13.11,13.43,461406,0
PX.US,D,20211216,000000,13.42,13.69,13.02,13.03,570557,0
PX.US,D,20211217,000000,12.96,13.54,12.33,12.71,1412681,0
PX.US,D,20211220,000000,12.16,12.72,12.14,12.14,643621,0
PX.US,D,20211221,000000,12.2,12.54,12.09,12.3,517618,0
PX.US,D,20211222,000000,12.28,12.56,12.28,12.42,194715,0
PX.US,D,20211223,000000,12.43,12.8,12.4,12.6,228556,0
PX.US,D,20211227,000000,12.69,12.92,12.5,12.65,91413,0
PX.US,D,20211228,000000,12.61,12.83,12.61,12.74,189729,0
PX.US,D,20211229,000000,12.76,13.35,12.53,13.15,193274,0
PX.US,D,20211230,000000,13.18,13.61,13.07,13.54,169042,0
PX.US,D,20211231,000000,13.55,14.03,13.55,13.98,130739,0
PX.US,D,20220103,000000,14.11,14.19,13.39,13.67,174837,0
PX.US,D,20220104,000000,13.67,13.68,13.12,13.43,253903,0
PX.US,D,20220105,000000,13.36,13.6,13,13.2,132245,0
PX.US,D,20220106,000000,13.15,13.3351,12.81,13.07,122143,0
PX.US,D,20220107,000000,13.06,13.2,12.91,13.1,65319,0
PX.US,D,20220110,000000,13.07,13.07,12.64,12.74,220914,0
PX.US,D,20220111,000000,12.67,13.14,12.67,13,86095,0
PX.US,D,20220112,000000,13.06,13.44,12.81,13.15,156761,0
PX.US,D,20220113,000000,13.16,13.68,12.95,13.5,162864,0
PX.US,D,20220114,000000,13.39,13.47,13,13.3,114669,0
PX.US,D,20220118,000000,13.12,13.27,12.77,12.8,68181,0
PX.US,D,20220119,000000,12.84,13.1864,12.7,12.72,60216,0
PX.US,D,20220120,000000,12.83,12.84,12.6,12.63,67253,0
PX.US,D,20220121,000000,12.55,12.68,12.24,12.25,300324,0
