<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QDPL.US,D,20210715,000000,34.211,34.211,34.118,34.118,234,0
QDPL.US,D,20210716,000000,34.23,34.23,33.901,33.901,3290,0
QDPL.US,D,20210719,000000,33.325,33.399,33.325,33.399,223,0
QDPL.US,D,20210720,000000,33.884,33.894,33.884,33.892,291,0
QDPL.US,D,20210721,000000,34.115,34.115,34.115,34.115,81,0
QDPL.US,D,20210722,000000,34.223,34.223,34.18,34.18,257,0
QDPL.US,D,20210723,000000,34.485,34.485,34.485,34.485,152,0
QDPL.US,D,20210726,000000,34.586,34.586,34.547,34.563,1027,0
QDPL.US,D,20210727,000000,34.415,34.415,34.415,34.415,21,0
QDPL.US,D,20210728,000000,34.507,34.507,34.416,34.416,104,0
QDPL.US,D,20210729,000000,34.655,34.655,34.543,34.543,659,0
QDPL.US,D,20210730,000000,34.468,34.468,34.368,34.371,3338,0
QDPL.US,D,20210802,000000,34.304,34.304,34.304,34.304,22,0
QDPL.US,D,20210803,000000,34.586,34.586,34.558,34.558,333,0
QDPL.US,D,20210804,000000,34.557,34.567,34.487,34.487,3493,0
QDPL.US,D,20210805,000000,34.616,34.622,34.594,34.594,1072,0
QDPL.US,D,20210806,000000,34.705,34.705,34.665,34.665,3321,0
QDPL.US,D,20210809,000000,34.656,34.656,34.656,34.656,34,0
QDPL.US,D,20210810,000000,34.658,34.658,34.658,34.658,2,0
QDPL.US,D,20210811,000000,34.737,34.737,34.737,34.737,1,0
QDPL.US,D,20210812,000000,34.814,34.854,34.794,34.854,11188,0
QDPL.US,D,20210813,000000,34.873,34.873,34.873,34.873,33,0
QDPL.US,D,20210816,000000,34.774,35.009,34.774,35.009,5529,0
QDPL.US,D,20210817,000000,34.764,34.764,34.748,34.748,1327,0
QDPL.US,D,20210818,000000,34.883,34.883,34.443,34.443,22067,0
QDPL.US,D,20210819,000000,34.507,34.507,34.433,34.433,1306,0
QDPL.US,D,20210820,000000,34.713,34.713,34.713,34.713,6,0
QDPL.US,D,20210823,000000,35.091,35.1,34.982,34.982,1468,0
QDPL.US,D,20210824,000000,35.129,35.15,35.033,35.033,2780,0
QDPL.US,D,20210825,000000,35.13,35.199,35.081,35.155,4028,0
QDPL.US,D,20210826,000000,35.1,35.1,34.942,34.942,27818,0
QDPL.US,D,20210827,000000,35.12,35.269,35.051,35.181,53571,0
QDPL.US,D,20210830,000000,35.456,35.456,35.394,35.394,297,0
QDPL.US,D,20210831,000000,35.338,35.417,35.254,35.296,9964,0
QDPL.US,D,20210901,000000,35.362,35.466,35.304,35.304,1380,0
QDPL.US,D,20210902,000000,35.432,35.506,35.358,35.391,4390,0
QDPL.US,D,20210903,000000,35.367,35.426,35.367,35.426,863,0
QDPL.US,D,20210907,000000,35.406,35.437,35.293,35.377,2627,0
QDPL.US,D,20210908,000000,35.219,35.308,35.14,35.26,1719,0
QDPL.US,D,20210909,000000,35.269,35.348,35.155,35.155,3029,0
QDPL.US,D,20210910,000000,35.278,35.278,34.88,34.88,202974,0
QDPL.US,D,20210913,000000,34.967,34.992,34.799,34.943,1609,0
QDPL.US,D,20210914,000000,34.982,34.982,34.777,34.777,4081,0
QDPL.US,D,20210915,000000,35.091,35.091,34.847,35.055,2102,0
QDPL.US,D,20210916,000000,35.051,35.061,34.829,35.035,2816,0
QDPL.US,D,20210917,000000,34.754,34.814,34.695,34.709,726,0
QDPL.US,D,20210920,000000,34.231,34.27,33.894,34.27,4734,0
QDPL.US,D,20210921,000000,34.309,34.309,34.211,34.211,193,0
QDPL.US,D,20210922,000000,34.438,34.576,34.438,34.452,6145,0
QDPL.US,D,20210923,000000,34.853,34.942,34.823,34.823,1139,0
QDPL.US,D,20210924,000000,34.922,34.922,34.816,34.905,3583,0
QDPL.US,D,20210927,000000,34.921,34.925,34.833,34.833,990,0
QDPL.US,D,20210928,000000,34.24,34.369,34.186,34.26,5936,0
QDPL.US,D,20210929,000000,34.315,34.3499,34.2251,34.2251,1311,0
QDPL.US,D,20210930,000000,34.4,34.4,33.905,33.908,5743,0
QDPL.US,D,20211001,000000,33.875,34.2314,33.83,34.2314,1787,0
QDPL.US,D,20211004,000000,34,34,33.69,33.8284,203581,0
QDPL.US,D,20211005,000000,34.26,34.32,34.12,34.1211,10329,0
QDPL.US,D,20211006,000000,33.9799,34.25,33.9799,34.2381,2333,0
QDPL.US,D,20211007,000000,34.59,34.74,34.4927,34.4927,3717,0
QDPL.US,D,20211008,000000,34.64,34.64,34.48,34.5027,3224,0
QDPL.US,D,20211011,000000,34.48,34.57,34.2576,34.2576,1009,0
QDPL.US,D,20211012,000000,34.215,34.34,34.1763,34.1763,3484,0
QDPL.US,D,20211013,000000,34.3,34.3,34.23,34.2536,1789,0
QDPL.US,D,20211014,000000,34.635,34.82,34.635,34.7433,2563,0
QDPL.US,D,20211015,000000,34.94,35.0152,34.94,35.0152,544,0
QDPL.US,D,20211018,000000,34.9886,35.15,34.9886,35.1424,13805,0
QDPL.US,D,20211019,000000,35.26,35.3899,35.25,35.26,4217,0
QDPL.US,D,20211020,000000,35.38,36.05,35.38,35.4478,2327,0
QDPL.US,D,20211021,000000,35.485,35.5435,35.4259,35.5435,6455,0
QDPL.US,D,20211022,000000,35.56,35.57,35.415,35.5439,2538,0
QDPL.US,D,20211025,000000,35.56,35.75,35.5255,35.6943,43350,0
QDPL.US,D,20211026,000000,35.84,35.84,35.66,35.7673,2799,0
QDPL.US,D,20211027,000000,35.75,35.76,35.63,35.6314,986,0
QDPL.US,D,20211028,000000,35.7405,35.82,35.7405,35.8115,2128,0
QDPL.US,D,20211029,000000,35.74,36.05,35.74,36.0216,27305,0
QDPL.US,D,20211101,000000,36.06,36.07,35.93,36.01,5194,0
QDPL.US,D,20211102,000000,36.18,36.21,36.1503,36.1503,2876,0
QDPL.US,D,20211103,000000,36.2,36.45,36.105,36.3608,7142,0
QDPL.US,D,20211104,000000,36.55,36.57,36.38,36.4725,12101,0
QDPL.US,D,20211105,000000,36.76,36.8,36.6315,36.6315,1761,0
QDPL.US,D,20211108,000000,36.71,36.75,36.59,36.659,5713,0
QDPL.US,D,20211109,000000,36.7,36.74,36.44,36.5346,11295,0
