<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QVML.US,D,20210701,000000,25.042,25.096,25.042,25.096,1042,0
QVML.US,D,20210702,000000,25.291,25.291,25.291,25.291,611,0
QVML.US,D,20210706,000000,25.202,25.259,25.202,25.259,179,0
QVML.US,D,20210707,000000,25.347,25.347,25.347,25.347,32,0
QVML.US,D,20210708,000000,25.082,25.113,25.032,25.113,229,0
QVML.US,D,20210709,000000,25.431,25.431,25.415,25.415,687,0
QVML.US,D,20210712,000000,25.491,25.507,25.451,25.507,1534,0
QVML.US,D,20210713,000000,25.51,25.561,25.424,25.424,974,0
QVML.US,D,20210714,000000,25.459,25.459,25.459,25.459,70,0
QVML.US,D,20210715,000000,25.376,25.376,25.376,25.376,50,0
QVML.US,D,20210716,000000,25.188,25.188,25.188,25.188,65,0
QVML.US,D,20210719,000000,24.962,24.962,24.766,24.766,341,0
QVML.US,D,20210720,000000,25.154,25.203,25.154,25.195,382,0
QVML.US,D,20210721,000000,25.33,25.374,25.33,25.374,233,0
QVML.US,D,20210722,000000,25.426,25.426,25.426,25.426,32,0
QVML.US,D,20210723,000000,25.641,25.71,25.641,25.683,814,0
QVML.US,D,20210726,000000,25.745,25.745,25.745,25.745,27,0
QVML.US,D,20210727,000000,25.49,25.604,25.49,25.604,207,0
QVML.US,D,20210728,000000,25.601,25.601,25.601,25.601,10,0
QVML.US,D,20210729,000000,25.714,25.714,25.714,25.714,3,0
QVML.US,D,20210730,000000,25.581,25.581,25.557,25.557,272,0
QVML.US,D,20210802,000000,25.709,25.71,25.518,25.518,2649,0
QVML.US,D,20210803,000000,25.69,25.722,25.69,25.722,167,0
QVML.US,D,20210804,000000,25.651,25.651,25.627,25.627,258,0
QVML.US,D,20210805,000000,25.75,25.75,25.75,25.75,114,0
QVML.US,D,20210806,000000,25.807,25.807,25.807,25.807,3,0
QVML.US,D,20210809,000000,25.785,25.785,25.785,25.785,1,0
QVML.US,D,20210810,000000,25.814,25.814,25.814,25.814,5,0
QVML.US,D,20210811,000000,25.889,25.901,25.889,25.901,768,0
QVML.US,D,20210812,000000,25.985,25.985,25.985,25.985,12,0
QVML.US,D,20210813,000000,26.007,26.007,26.007,26.007,65,0
QVML.US,D,20210816,000000,26.092,26.092,26.092,26.092,27,0
QVML.US,D,20210817,000000,25.77,25.89,25.755,25.89,684,0
QVML.US,D,20210818,000000,25.644,25.644,25.644,25.644,804,0
QVML.US,D,20210819,000000,25.645,25.645,25.645,25.645,28,0
QVML.US,D,20210820,000000,25.884,25.884,25.884,25.884,8,0
